pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass,q,e_q,r,mass_system,e_mass_system,r/rh
0.2101,-0.2964,-0.039,20,297.12312976504,0.1326,21.97927956957,0.1563,1827560197123780224,1.1881,0.2039,-0.259,0.192,-5.072,0.21,1.006,18.82111,0.004229,20.604195,0.058157,17.589933,0.012143,3.014261,,,1.449,338.433,18.69,91.871,0.98,0.6538462222367037,0.0044860406954439,0.0,0.0849081529553926,0.0,0.1298595144664678,0.09184638350015177,0.6538462222367037,0.08502657819421833,0.0414181528614157
0.1386,-0.2046,-0.2237,21,297.11085896723,0.0365,21.96246797013,0.0388,1827554282901324032,1.0905,0.0542,-0.429,0.05,-5.29,0.05,2.939,9.317932,0.002772,9.410587,0.002889,9.108344,0.002837,0.302243,,,1.176,3534.828,1446.656,2106.095,0.87,5.865677194097544,0.0022954167789955,0.0,0.0,0.0,0.0,0.37251580842505216,5.865677194097544,0.0022954167789955,0.16798611016205295
0.2128,-0.2994,-0.0623,21,297.11333700755,0.1244,22.01479268656,0.1372,1827561051776324480,1.0654,0.1816,0.049,0.168,-5.123,0.188,1.067,18.629843,0.003555,20.348881,0.04803,17.418196,0.009313,2.930685,,,1.434,483.275,22.644,122.201,0.97,0.656461047563322,0.0120602286942661,0.2939062313569033,0.1629908244971917,0.447713131567876,0.2484233263424831,0.45105040072339736,0.9503672789202253,0.16343640349209948,0.20340130698051503
0.1504,-0.2392,-0.2167,22,297.09870426575,0.0192,22.01089087606,0.0192,1827561227905913728,1.1859,0.0269,-0.346,0.026,-5.273,0.025,1.017,15.312681,0.002997,15.994424,0.005878,14.510309,0.004026,1.484115,,,1.268,921.367,209.852,374.164,1.0,1.0704500069085778,0.0384584543371757,0.8094751052697573,0.0669151975854786,0.7562007567336032,0.0681599341922421,0.49513383149345475,1.8799251121783351,0.07717963706774132,0.22328074267203418
0.3087,-0.4656,-0.1646,20,297.10630230305,0.0978,21.95346669392,0.1061,1827554218502382464,0.9953,0.1566,-0.236,0.143,-5.193,0.144,0.965,18.358522,0.003219,19.87487,0.047832,17.147448,0.013764,2.727423,,,1.464,652.433,22.738,80.555,0.97,0.6793156775328572,0.0121766878001844,0.4121592435058787,0.1231760460834535,0.6067271183888485,0.18164957766889,0.5194810171528921,1.0914749210387358,0.12377645193871176,0.23426011299624708
0.2305,-0.2548,-0.0434,21,297.08030594807,0.0872,21.98237743983,0.0959,1827555107559876352,1.0527,0.1277,-0.378,0.119,-4.834,0.131,1.02,18.170263,0.003272,19.636135,0.024703,16.997345,0.007864,2.63879,,,1.428,615.395,44.235,147.678,0.84,0.6965895062606476,0.0067182671401489,0.4456570144118299,0.0903308015852144,0.639769922467186,0.1298225148779378,0.5749898682724749,1.1422465206724777,0.09058028940334523,0.25929184525632726
0.2276,-0.44,-0.0357,19,297.14262283929,0.1062,21.94498374684,0.1242,1827553973665697408,1.0688,0.1745,0.0,0.15,-4.865,0.161,0.97,18.475399,0.003365,20.026495,0.045382,17.264357,0.009067,2.762138,,,1.458,562.036,23.97,125.854,0.97,0.6768862599337245,0.0133802210589203,0.2607243036244751,0.1927684079053134,0.3851818526350397,0.2848887660311565,0.6602574340124491,0.9376105635581996,0.1932322162630623,0.29774327837054704
0.0632,-0.2231,-0.1281,22,297.1134278428,0.012,22.02964732112,0.0133,1827561365344865408,1.1563,0.0175,-0.161,0.016,-4.977,0.017,0.958,14.204839,0.002763,14.776775,0.002996,13.479981,0.002854,1.296794,,,1.249,5170.238,995.698,1813.018,1.0,1.2714741341369014,0.0294353993767682,1.1329090838650369,0.0544282647818367,0.891020157979128,0.0475179737163831,0.6650110814605414,2.4043832180019384,0.06187793422239927,0.29988693704442443
0.0123,-0.243,-0.1649,21,297.17084324992,0.0182,21.98476752483,0.0199,1827560055337367296,1.1132,0.0281,0.115,0.024,-5.226,0.026,0.972,8.152393,0.002782,8.234911,0.00292,7.953362,0.00287,0.281549,,,1.178,2818.302,1262.062,1616.744,0.91,6.456983758124988,0.0835814440706628,6.14293052741836,0.1539537908878027,0.9513622393255292,0.0268354526366941,0.6680059264126884,12.599914285543349,0.1751788443895627,0.3012374632306194
0.0584,-0.2714,0.0371,18,297.16425512275,0.0966,22.01644252394,0.117,1827560364581574144,1.018,0.155,-0.284,0.132,-5.167,0.172,1.017,18.304714,0.00323,19.776615,0.053565,17.129385,0.006998,2.64723,,,1.43,643.859,20.297,169.174,0.97,0.6925779547969646,0.0100474720455385,0.2551055076235565,0.2091988659479412,0.3683419402200622,0.3021054857650153,0.7377444758732065,0.947683462420521,0.20944000861442533,0.33268608202010463
