pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass,q,e_q
-0.104,0.3456,0.2861,18,82.14177974463,0.245,3.51542919772,0.1759,3236057196666024064,3.1196,0.2937,1.177,0.291,-1.01,0.195,1.043,18.951641,0.003621,21.109373,0.124066,17.561476,0.01228,3.547897,,,1.614,462.107,8.753,90.788,0.76,0.1204259898151594,0.0147433391583575,0.0,0.0,0.0,0.0
-0.063,0.2523,0.2689,18,82.09522513032,0.0758,3.48720072171,0.0568,3236056681270134656,2.9921,0.0914,1.763,0.09,0.06,0.064,0.968,17.188408,0.003165,18.921873,0.027186,15.935117,0.005695,2.986756,,,1.482,697.352,40.149,218.717,0.92,0.2708215112642507,0.002144826920385,0.0,0.0,0.0,0.0
-0.0187,0.2065,0.3875,18,82.15380920435,0.0328,3.52623452475,0.0256,3236057231025026432,3.001,0.0421,1.363,0.039,-0.621,0.029,1.051,15.642266,0.004514,16.955105,0.01492,14.505641,0.009142,2.449464,,,1.416,303.61,74.076,124.72,0.99,0.5532179775244483,0.0018992900818221,0.0,0.0,0.0,0.0
-0.005,0.2107,0.3121,18,82.12364828356,0.0191,3.52709344378,0.0143,3236057269679762816,2.9675,0.0218,1.466,0.023,-0.637,0.016,1.034,9.870637,0.002766,9.926246,0.002813,9.750043,0.002805,0.176203,,,1.159,4393.376,3046.638,3817.078,1.0,1.8668780062789128,0.0135674956802063,0.3931193305652877,0.4105843768350806,0.21057580047710703,0.21993634039111615
0.0318,0.031,0.3488,18,82.08861669562,0.0253,3.49597288962,0.0193,3236056754283695616,2.909,0.0308,1.113,0.031,-0.448,0.022,0.968,15.001613,0.003176,15.990899,0.008697,14.011592,0.004548,1.979307,,,1.339,687.501,131.806,302.253,0.99,0.6855460550044765,0.0021322415804284,0.0,0.0,0.0,0.0
-0.1397,0.1528,0.2114,19,82.19783850949,0.0629,3.42494375777,0.047,3236008680713836416,2.9124,0.0749,1.375,0.073,-0.675,0.051,1.039,16.968849,0.002923,18.712517,0.01749,15.711404,0.00393,3.001113,,,1.486,1114.076,62.882,392.264,1.0,0.2962333143082297,0.001669474485026,0.0,0.0,0.0,0.0
-0.0206,0.152,0.375,18,82.06984814522,0.034,3.44072529265,0.0253,3236050432090785920,2.9244,0.0419,1.22,0.042,-0.211,0.029,1.385,15.145849,0.004395,16.407438,0.015712,13.967329,0.010403,2.440109,,,1.473,317.11,70.218,108.338,0.99,0.599882135422035,0.0201791412458608,0.3626659672515558,0.0419191189826358,0.6045620395019924,0.07277801962162797
0.4001,0.1219,0.1046,12,82.06951274698,0.2116,3.44074675981,0.1966,3236050432092526976,3.2344,0.2522,1.335,0.276,-0.85,0.257,1.069,18.256163,0.007208,,,,,,,,,163.002,,,0.95,9.55226139751431,5.71867550534352,3.792202659392945,5.263668460598963,0.39699527699061427,0.6001092031573119
-0.1793,0.0794,0.3927,18,82.06594807459,0.0194,3.44676537176,0.0135,3236050432091846272,3.0235,0.0235,1.227,0.023,-0.196,0.016,1.195,11.638959,0.003144,12.120368,0.005257,10.975105,0.004469,1.145263,5.76,11.07,1.241,717.219,243.678,310.999,0.97,1.254205040369812,0.0275834054940491,1.063283729481524,0.111150205223613,0.8477750409677884,0.09056211987469685
0.092,0.1713,0.3149,18,82.10228348769,0.0569,3.54902601879,0.0432,3236058090018513408,2.8587,0.0664,1.638,0.069,-0.833,0.05,1.074,16.591822,0.002901,18.145647,0.014318,15.383257,0.003707,2.76239,,,1.455,1197.223,77.311,444.728,0.99,0.3585849303244869,0.0018674196492241,0.0,0.0,0.0,0.0
