pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
0.2261,0.0699,0.0427,28,175.29156238835,0.015,-60.99418654071,0.0148,5335783527104903552,0.5462,0.0183,-6.691,0.019,0.885,0.019,1.006,14.787975,0.00277,15.053808,0.003008,14.359698,0.003002,0.69411,,,1.192,3753.971,966.418,980.808,0.98,1.5770752813433218,0.0011844329720407678,0.0,0.0418813852435349
0.2427,0.0669,0.1378,28,175.33044300378,0.011,-60.99384654151,0.0112,5335783561464649984,0.4293,0.0137,-6.748,0.014,0.94,0.015,0.927,13.742019,0.002787,13.879534,0.002879,13.501016,0.00285,0.378518,,,1.164,2607.553,1525.711,1874.735,0.62,2.0739709442342784,0.0060670829700301835,0.21237347351194355,0.3491655567975009
0.2496,0.0891,0.0379,27,175.31253986094,0.026,-61.01439253438,0.0248,5335783424025677440,0.49,0.0318,-6.778,0.032,0.877,0.033,1.026,15.91052,0.002791,16.368265,0.004319,15.286849,0.003548,1.081416,,,1.223,2444.742,329.35,495.239,0.99,1.1831352139479394,0.026203427753740745,0.9322398675146006,0.057604756040414304
0.2772,0.0336,0.0328,27,175.21989548862,0.0107,-60.99320929667,0.0107,5335783939422047488,0.4812,0.013,-6.896,0.014,1.054,0.014,0.878,12.758989,0.002764,12.857103,0.002862,12.578487,0.002818,0.278616,,,1.16,4867.931,1700.998,2736.197,0.82,2.7641576119599787,0.08464620031220554,1.3603150574393204,0.1853954856414201
0.2659,0.0477,0.0061,27,175.35433445257,0.0103,-61.00601150437,0.0105,5335783247875642624,0.4989,0.0126,-6.738,0.013,1.099,0.013,0.882,12.212817,0.002762,12.306897,0.002861,12.028028,0.002832,0.27887,,,1.164,5630.402,1711.317,2244.692,0.98,3.187061372084452,0.08637398947793093,1.8414817622823723,0.1795717522535499
0.1918,0.1047,0.0665,28,175.33205867334,0.0154,-60.96125338276,0.0153,5335789471340526208,0.5456,0.0192,-6.716,0.02,0.86,0.02,0.998,14.766292,0.002769,15.025266,0.002954,14.348634,0.003032,0.676632,,,1.19,3879.322,1118.186,915.074,0.98,1.584983085085273,0.0012359788536865843,0.0,0.0
0.2293,0.0664,-0.0564,27,175.23366435108,0.0112,-60.96526868265,0.0111,5335784347387268224,0.5033,0.0139,-6.807,0.015,1.039,0.014,0.826,12.328368,0.002781,12.379518,0.00308,12.217693,0.003116,0.161824,,,1.158,2852.036,833.055,782.735,0.99,3.2697631504165203,0.0016873250212980173,0.0,0.0
-0.0604,0.326,-0.13,14,175.20969553429,0.174,-60.99394430829,0.0565,5335783905062375936,0.493,0.0926,-6.85,0.19,1.005,0.073,1.24,16.804941,0.004219,16.484091,0.0082,15.361526,0.010974,1.122565,,,2.565,339.773,140.8,102.303,0.95,1.1481193825411415,0.023513186733516392,0.523828510723463,0.3217063726144721
0.2439,0.1052,-0.0731,27,175.20134826314,0.0259,-60.98684684332,0.0245,5335784141229006720,0.5089,0.031,-6.753,0.033,0.966,0.032,1.014,15.876115,0.00279,16.259596,0.005275,15.299383,0.005217,0.960213,,,1.225,2458.242,242.506,246.289,1.0,1.2583260282346929,0.0015412617349815437,0.0,0.14548248337518724
0.2962,-0.0757,-0.0932,26,175.19513451938,0.0123,-60.99537385965,0.0124,5335784111220804480,0.5208,0.0151,-6.739,0.016,0.994,0.016,0.937,14.132658,0.002776,14.292904,0.003032,13.856552,0.002991,0.436352,,,1.169,3207.866,914.607,1007.899,1.0,1.851082476658401,0.0013852440441837245,0.0,0.0
0.3089,0.0184,-0.1038,26,175.3834763259,0.0174,-60.99459094324,0.0185,5335783320946488960,0.5416,0.0222,-6.695,0.024,0.998,0.027,0.905,10.316943,0.002817,10.187965,0.043569,10.057461,0.055206,0.130505,,,1.351,1852.706,24.971,19.692,0.99,5.136370692770709,0.0225316350364412,0.5584077090641876,1.0395230867248721
0.1568,0.0686,0.0456,28,175.38436264986,0.0155,-60.99500319325,0.0156,5335783320946488832,0.5353,0.0192,-6.884,0.02,1.074,0.02,0.82,9.771364,0.002784,9.707678,0.010203,9.672319,0.013297,0.035358,,,1.23,2709.761,110.636,83.51,0.87,5.338613632048042,0.1586811719700653,1.2032707432028922,2.0718979494630854
0.2235,0.1107,0.0382,29,175.28327134011,0.0225,-61.03790917836,0.0226,5335782972997827072,0.5578,0.0277,-6.726,0.028,1.054,0.029,0.978,15.739979,0.00281,16.148392,0.004007,15.158151,0.003284,0.990241,,,1.217,1971.822,377.454,626.845,0.97,1.266402994753655,0.01333270313338299,0.7583564977509044,0.13522674673714824
0.1516,0.2689,0.0385,26,175.38650691367,0.1202,-60.98493591302,0.108,5335789196462610432,0.4128,0.1475,-6.928,0.163,0.838,0.132,0.964,18.486769,0.003166,19.213928,0.030535,17.660391,0.014586,1.553537,,,1.272,696.616,35.706,75.838,0.88,0.7718282784493273,0.002708937795489611,0.0,0.10344877617563639
0.7968,0.2194,0.0312,13,175.35521700345,0.2865,-60.95497312074,0.2554,5335789402566037632,0.5411,0.1988,-6.831,0.314,1.081,0.284,1.035,18.272585,0.003407,,,,,,,,,541.655,,,0.61,2.549012266820077,1.747140158971253,0.9099485899135837,1.3138865678852918
0.1914,0.0222,0.1084,29,175.26991431544,0.036,-61.03896838403,0.0365,5335782942989306368,0.5403,0.045,-6.699,0.047,1.031,0.047,0.982,16.779421,0.002938,17.267225,0.008123,16.087448,0.004833,1.179777,,,1.259,1065.805,142.322,275.131,0.99,1.0599376691734888,0.005166624024256765,0.21789056132858178,0.27100216877950273
