pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
-0.1545,0.0485,0.1757,23,26.86837887448,0.0135,57.69945443641,0.0162,505774665887783680,0.691,0.0221,-0.763,0.02,0.118,0.02,1.639,12.583452,0.002762,12.779391,0.002863,12.250816,0.002827,0.528575,,,1.177,5515.064,1691.852,2382.917,1.0,2.547686310693466,0.024669261733859846,1.4859321462563633,0.05019571076619252
-0.1485,0.0489,0.1662,22,26.87763134147,0.0091,57.71554840336,0.0114,505774700247514240,0.7013,0.0153,-0.976,0.014,0.049,0.014,1.025,12.719714,0.002765,12.852081,0.002866,12.482633,0.002816,0.369449,,,1.166,4819.103,1662.55,2828.787,0.85,2.4183336659595733,0.05523895098647103,1.454793310571507,0.10795793739647838
-0.1669,0.0203,0.1988,23,26.84572242647,0.017,57.72191601068,0.0202,505962407495758592,0.7024,0.0277,-0.881,0.025,0.145,0.026,1.099,15.181682,0.002767,15.561416,0.00355,14.620552,0.003363,0.940864,,,1.217,4227.575,494.63,578.193,1.0,1.2087083295253038,0.025506501279373178,0.8759843916330253,0.07131061704047839
-0.0392,0.1139,0.209,23,26.83714129256,0.0104,57.68976761265,0.0134,505774597168312192,0.6947,0.0177,-0.787,0.015,0.145,0.017,1.308,13.697634,0.002767,13.94762,0.002898,13.294387,0.002856,0.653234,,,1.186,4298.348,1385.857,1778.277,1.0,1.540454591663672,0.02808251258450702,1.4571212163888987,0.03078535571449166
-0.1922,0.1269,0.1402,21,26.84833051381,0.0146,57.72973324614,0.0173,505962441855486336,0.6586,0.0232,-0.87,0.021,0.218,0.022,0.971,14.937756,0.002768,15.293596,0.003219,14.407308,0.003076,0.886289,,,1.209,4154.669,676.341,838.817,1.0,1.2766487936441127,0.02052351798910289,0.9087846595005789,0.06113569673165961
-0.1385,0.0757,0.1749,21,26.80417108231,0.127,57.70745822888,0.1547,505962338768945536,0.7449,0.2107,-0.58,0.183,0.248,0.194,0.999,18.934671,0.003489,19.80694,0.034107,17.96459,0.014087,1.84235,,,1.353,507.141,31.94,78.632,0.85,0.6260728083773945,0.004381830681693035,0.141200208436646,0.14701372847440755
-0.1361,0.0427,0.1795,23,26.80458965356,0.017,57.71000673085,0.0204,505962373136036736,0.6666,0.0271,-0.785,0.025,0.212,0.026,0.956,15.40196,0.002772,15.796724,0.003137,14.834856,0.00298,0.961868,,,1.214,3573.419,757.65,1038.774,1.0,1.18034512067656,0.01623290476971288,0.7460200101086174,0.0746862878774095
-0.1516,0.1143,0.0823,22,26.86896596168,0.0256,57.73320619219,0.0337,505775146924107008,0.5709,0.0442,-0.623,0.036,0.082,0.043,1.079,16.22414,0.003018,16.716309,0.005897,15.554713,0.004917,1.161595,,,1.241,882.152,208.97,268.176,0.7,0.9582313643843896,0.028082132787734623,0.7756185049576081,0.05248660329757322
-0.0711,0.0816,0.1402,23,26.86508072892,0.0632,57.67715712612,0.0772,505774528448841600,0.6993,0.1056,-0.966,0.092,0.166,0.101,0.984,17.927652,0.002995,18.665739,0.01348,17.108461,0.006979,1.557278,,,1.263,924.318,82.329,169.728,0.98,0.7220584742377316,0.008195801598904368,0.475119976110898,0.07537141570403524
-0.1088,0.1023,0.1515,22,26.88320779893,0.0086,57.73106773177,0.0109,505775146924107264,0.6482,0.0145,-0.866,0.012,0.118,0.014,1.02,13.723722,0.00278,13.899837,0.002864,13.429929,0.002829,0.469908,,,1.168,2909.782,1686.084,2334.049,1.0,1.7984378872829943,0.015798570731863276,1.0016947580046631,0.05218697805725057
