pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass,q,e_q,r,mass_system,e_mass_system,r/rh
-0.0962,0.1481,-0.0583,18,107.67837204133,0.0171,-9.46195855681,0.0181,3048200725919123968,1.8138,0.0216,-5.664,0.022,2.727,0.021,1.086,14.333385,0.002873,14.765335,0.003858,13.742585,0.003525,1.02275,,,1.213,1334.214,407.588,504.199,1.0,0.9293444336365562,0.0008025866565466,0.0,0.0,0.0,0.0,0.5546273778175885,0.9293444336365562,0.0008025866565466,0.13702932553746694
-0.1101,0.1777,-0.071,16,107.67424894112,0.0523,-9.35190130652,0.061,3048211304420416640,1.7601,0.0718,-5.427,0.062,2.573,0.065,1.055,16.909334,0.003095,17.929127,0.01208,15.911151,0.006146,2.017976,,,1.339,769.995,92.377,198.27,1.0,0.5821250960305651,0.0038996197778058,0.1894429111259086,0.1372112912251263,0.3254333345490429,0.2357176504290596,0.5606473580510554,0.7715680071564737,0.13726669470078265,0.13851665534507002
-0.1086,0.2303,-0.1126,15,107.72861544496,0.0328,-9.45211555466,0.0337,3048200966437236736,1.7324,0.0429,-5.732,0.041,2.647,0.038,1.64,8.725554,0.002774,8.709176,0.002909,8.723359,0.002833,-0.014183,,,1.158,3386.43,1317.058,2209.329,1.0,3.63865811485544,0.0955797344655073,1.9440746274023928,0.3355401833827743,0.5342833995492398,0.0932772210110366,0.5630203250617053,5.582732742257833,0.3488878047525346,0.1391029337763143
-0.1788,0.201,-0.0632,16,107.68116828345,0.0477,-9.34898814216,0.0563,3048211308718385920,1.8665,0.0659,-6.052,0.059,2.906,0.062,3.489,10.967793,0.002776,11.091086,0.002847,10.732033,0.002833,0.359054,,,1.17,3238.719,1917.807,2206.838,0.99,1.763104142908898,0.0179002066879357,1.2766892553379932,0.035419073313169,0.7241144889102341,0.0213919842494458,0.5715390849044003,3.039793398246891,0.039685364479042626,0.1412076259757031
-0.0811,0.2069,-0.0561,16,107.72673004577,0.0513,-9.35803942973,0.0615,3048208216341898112,1.7927,0.0737,-5.772,0.063,2.403,0.066,0.967,16.873463,0.003214,18.152002,0.013228,15.757309,0.004218,2.394693,,,1.4,656.466,83.968,343.299,1.0,0.5400383715156564,0.008488535066076,0.5059677763031214,0.0154054192092092,0.9369107881780449,0.0321035724620986,0.5771021601581658,1.0460061478187779,0.017589262877661296,0.1425820702971091
-0.2412,0.2061,-0.1943,16,107.7063130707,0.1257,-9.47047123481,0.1375,3048200828993296640,1.8571,0.1552,-5.527,0.154,3.123,0.15,1.104,17.949146,0.003569,18.930222,0.107633,16.671337,0.01361,2.258884,,,1.659,478.627,10.091,81.507,0.99,0.5121667297435808,0.0019467892031396,0.0,0.0,0.0,0.0,0.6351669700949947,0.5121667297435808,0.0019467892031396,0.15692788527366747
-0.0954,0.2605,-0.0398,16,107.73479666316,0.0732,-9.35212857282,0.0886,3048208216341883008,1.8398,0.1061,-5.727,0.091,2.561,0.094,1.044,17.474482,0.003236,18.744976,0.019305,16.387421,0.007136,2.357555,,,1.371,639.495,56.837,165.308,1.0,0.5191846007658584,0.0077383597913653,0.3362103052125942,0.0446897393123351,0.6475737237133853,0.086616239559601,0.6691071840009185,0.8553949059784526,0.04535476834981178,0.16531334334179712
-0.0813,0.1908,-0.1083,15,107.69562295771,0.0379,-9.33598926539,0.0436,3048211411797568384,1.7145,0.0528,-5.562,0.048,2.602,0.052,1.156,7.383194,0.0028,7.321468,0.003259,7.46207,0.002967,-0.140602,,,1.159,2188.315,644.415,1076.793,1.0,4.440288447292349,0.0650671567618415,4.200475154916017,0.1117039593441075,0.9459915059071066,0.0287234404091235,0.6883666301655441,8.640763602208366,0.129273003454782,0.17007168925783983
-0.0321,0.2246,-0.1189,16,107.76426559195,0.0166,-9.39243437011,0.0178,3048207322988710912,1.7731,0.0228,-5.658,0.021,2.744,0.02,1.011,14.415345,0.003101,14.849875,0.005629,13.808999,0.005502,1.040876,,,1.222,762.942,222.062,228.974,1.0,0.9155765094233596,0.0006947415516752,0.0,0.0,0.0,0.0,0.7041167867421961,0.9155765094233596,0.0006947415516752,0.17396301056494984
-0.0448,0.1978,-0.1424,16,107.76658531959,0.017,-9.40354391509,0.0183,3048207082470553728,1.8057,0.0232,-5.602,0.021,2.597,0.022,1.062,14.459923,0.003135,14.910188,0.006248,13.844412,0.004903,1.065776,,,1.221,725.991,194.227,269.294,1.0,0.9082248730932432,0.0006842963897257,0.0,0.0,0.0,0.0,0.7132532759031966,0.9082248730932432,0.0006842963897257,0.17622032240634983
-0.1641,0.1877,0.0313,17,107.61670771224,0.1723,-9.43706270544,0.1844,3048201786774498432,1.571,0.2197,-5.592,0.22,3.039,0.241,1.441,18.175457,0.005315,19.56674,0.055346,16.89654,0.012169,2.6702,,,1.568,238.871,19.642,91.662,0.99,0.4200378116802667,0.0184136414741066,0.3374873631118009,0.0378085433246155,0.8034690061872255,0.0966583097292021,0.7836797560107088,0.7575251747920676,0.04205410967629996,0.1936202803872993
