pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
0.1119,0.0214,-0.0864,27,109.73342527218,0.0124,-46.05561853496,0.0126,5510568561191728256,3.6303,0.0134,-10.272,0.017,11.932,0.016,0.974,9.075476,0.002764,9.159729,0.002818,8.90414,0.002809,0.255589,,,1.164,5100.24,2761.541,3302.971,1.0,1.800904180360611,0.001939264618057852,0.4247589334020233,0.30494329458961744
0.0966,-0.0247,-0.1446,27,109.65071232416,0.0205,-46.12902925008,0.0208,5510567770919216640,3.5748,0.0226,-9.927,0.028,11.597,0.028,0.99,15.216379,0.002772,16.092056,0.004108,14.286066,0.00303,1.80599,,,1.315,3568.186,360.023,919.898,1.0,0.6169522839395196,0.00047282357994309006,0.0,0.0
0.0508,0.0338,-0.0341,25,109.42813405506,0.0589,-46.07417863586,0.0659,5510566873267736064,3.5353,0.0675,-9.825,0.075,12.103,0.084,1.071,17.371716,0.003028,18.940474,0.024921,16.159693,0.004673,2.780781,,,1.456,865.192,43.843,289.638,1.0,0.337036778596483,0.014282179709483544,0.2892657346675269,0.02104717948671003
0.0613,0.032,-0.0281,27,109.40955889256,0.0209,-46.0927777991,0.0235,5510566740125563776,3.6322,0.024,-9.821,0.027,12.077,0.031,1.019,15.519744,0.002787,16.665224,0.005725,14.467097,0.003045,2.198127,,,1.362,2597.557,217.202,891.239,1.0,0.5386886373291238,0.009758836128225418,0.4792283759479458,0.01775352964731206
0.016,0.0723,0.0392,28,109.87781052684,0.0093,-46.25344968355,0.0096,5510552205956306176,3.5592,0.0101,-9.545,0.012,11.772,0.012,0.915,13.550139,0.002774,14.065563,0.003087,12.884419,0.002926,1.181144,,,1.228,3345.297,821.593,1233.568,1.0,0.7878267191527678,0.00038914588146667144,0.0,0.01614438010544317
-0.0402,0.0281,-0.003,24,109.53790029337,0.0113,-46.26687801064,0.011,5510549113580491776,3.6469,0.012,-9.677,0.015,11.967,0.015,0.999,9.602779,0.00277,9.745819,0.00291,9.346526,0.002844,0.399293,2.52,3.38,1.169,3817.467,1315.585,1965.162,1.0,1.603186456764183,0.007354792992094801,0.8787367932445904,0.06514056202714903
0.0558,0.1669,0.0027,29,110.07823777043,0.0877,-46.24018553767,0.0954,5510598488523881344,3.8002,0.0954,-8.965,0.104,11.791,0.114,1.579,17.4263,0.003795,18.152977,0.049574,16.063969,0.017688,2.089008,,,1.848,416.004,21.936,62.16,0.98,0.4237003350421482,0.003044890011324431,0.0,0.0
-0.0563,0.1877,0.0178,26,109.27089791511,0.028,-45.8601986494,0.0324,5511333821284312064,3.561,0.0335,-9.648,0.036,11.745,0.041,0.958,16.024763,0.002802,17.089853,0.007445,15.003018,0.003418,2.086835,,,1.351,2128.12,157.289,550.178,1.0,0.539453259774231,0.0006391071451615435,0.0,0.0
0.1072,-0.0729,-0.089,26,109.40441354497,0.0129,-45.74353312727,0.0127,5511336810581333120,3.6455,0.0141,-10.032,0.02,11.778,0.017,1.079,9.630494,0.002763,9.758142,0.002844,9.390593,0.002802,0.36755,,,1.17,5383.826,1976.116,4165.908,1.0,1.6115552490845644,0.0018793796811233385,0.42228304373985553,0.2715071689604126
0.0029,-0.0623,-0.0405,26,109.21189317269,0.0389,-46.20780524272,0.0437,5510541039041396736,3.5753,0.0457,-9.508,0.056,12.04,0.057,1.113,16.520605,0.002861,17.7938,0.009306,15.407187,0.003637,2.386613,,,1.398,1411.936,122.294,465.531,1.0,0.4795669553568399,0.0038001247020271675,0.21164096125149318,0.0319424758646633
-0.0348,0.0813,-0.131,28,109.52344050426,0.0264,-45.65209443948,0.0287,5511343373291367680,3.6694,0.0303,-10.113,0.036,12.051,0.036,1.017,15.998123,0.002815,17.085251,0.005127,14.964098,0.003854,2.121153,,,1.357,1877.009,252.394,408.422,1.0,0.541422760719668,0.0003887683180307867,0.0,0.0
-0.2453,-0.0356,0.0338,24,109.45850075941,0.0098,-46.39816133747,0.0101,5510546158642581888,3.645,0.0107,-9.484,0.014,11.543,0.014,1.081,13.660557,0.002779,14.32432,0.003213,12.87338,0.002975,1.45094,,,1.263,2978.262,681.639,1052.372,1.0,0.7449803016190204,0.007117649423464812,0.59007080711316,0.028422798933208017
0.0841,-0.0128,-0.1865,27,109.96544646042,0.0107,-45.64049031053,0.0107,5511423328403352192,3.5344,0.0117,-9.496,0.017,12.263,0.015,0.945,9.042432,0.002762,9.164713,0.002853,8.80086,0.002821,0.363853,,,1.174,5462.782,1820.957,2589.623,0.99,1.6969882936198337,0.027277131562024323,1.3600284456117684,0.05407986127767095
0.1003,-0.0147,-0.1872,27,109.14977696529,0.0167,-46.23797330018,0.0176,5510540588065227904,3.5848,0.0185,-9.521,0.023,12.143,0.023,0.979,8.203187,0.002775,8.282764,0.00288,8.035583,0.002857,0.247182,,,1.165,3276.641,1518.042,1771.375,1.0,2.0208075365167355,0.034610445437441406,1.4977753270898726,0.11154190121639646
0.0513,0.0056,-0.0745,27,109.69407162816,0.0085,-45.58973350021,0.0089,5511344678961451264,3.5393,0.0095,-9.589,0.011,11.612,0.011,1.051,13.086127,0.002788,13.523994,0.003356,12.486455,0.002997,1.037539,,,1.216,2554.964,581.97,992.151,0.99,0.8506309487992962,0.0004206473593298457,0.0,0.0
0.0512,0.1556,-0.0162,27,110.34299805409,0.0086,-46.00257325582,0.0099,5510608281049094912,3.619,0.01,-9.979,0.011,11.653,0.013,0.883,11.680642,0.002786,11.972769,0.003169,11.223136,0.002934,0.749633,-0.41,0.73,1.196,2632.657,722.343,1195.856,1.0,1.0923883589527084,0.00045358708399346223,0.0,0.02061677501666977
