pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
-0.3102,-0.0778,0.0995,18,232.52136880306,0.0142,-51.21161504854,0.0139,5889387047583700864,1.4825,0.0203,-6.061,0.017,-5.984,0.018,0.998,12.970031,0.002773,13.252945,0.002902,12.527107,0.002839,0.725838,,,1.192,3507.896,1358.583,2074.454,0.81,1.2559574827204714,0.0082298171498197,0.5816584083026182,0.2512381632199459
-0.1472,-0.1785,0.1679,17,232.48908853415,0.062,-51.22716791303,0.0537,5889386291669446016,1.5974,0.091,-5.886,0.076,-5.752,0.072,1.039,17.259964,0.003002,18.197836,0.010684,16.311604,0.005027,1.886232,,,1.314,910.121,105.271,259.663,0.97,0.6031390454359906,0.0006958068437351,0.0,0.0127474232644909
-0.23,-0.1353,0.1648,18,232.40903849325,0.0215,-51.16896769024,0.022,5889398450658183168,1.5154,0.0322,-5.842,0.027,-5.747,0.028,1.023,15.284242,0.002788,15.852076,0.004014,14.557677,0.003538,1.294398,,,1.252,2534.393,376.221,499.082,0.99,0.8106603712184571,0.0045518061306012,0.518086153155604,0.0419262143546379
-0.2822,-0.1096,0.0627,18,232.4746403853,0.011,-51.12821405498,0.0115,5889388284534394240,1.5277,0.0166,-5.865,0.014,-5.669,0.015,1.12,13.105664,0.002768,13.399612,0.002878,12.647285,0.00287,0.752328,,,1.195,4101.627,1537.338,1615.372,0.99,1.2228715617789747,0.0082433320440814,0.568725387770715,0.2448580008010732
-0.1474,-0.0922,0.2378,19,232.41976311932,0.0199,-51.25016174554,0.0201,5889385810633104896,1.552,0.0287,-5.998,0.025,-5.755,0.026,0.943,8.986226,0.002779,8.973921,0.002817,8.968029,0.002824,0.005892,,,1.162,3022.286,2805.731,2497.192,0.99,3.122457424398978,0.1377401144785814,1.9284505954443747,1.0137817940421685
-0.3227,-0.0885,0.1075,18,232.58164689159,0.0182,-51.12488034269,0.0195,5889388490692805632,1.5418,0.0271,-5.929,0.023,-5.681,0.025,1.103,11.385168,0.002796,11.475003,0.002846,11.219442,0.002823,0.255561,,,1.158,2287.042,1935.733,2523.896,0.99,1.7896672941226095,0.0110690327082577,0.617385329015572,0.3578841138015138
-0.2666,-0.0345,0.1153,19,232.35462580528,0.02,-51.2554596115,0.0209,5889391823587817984,1.5407,0.0288,-5.903,0.027,-5.504,0.028,0.889,9.524929,0.002773,9.508373,0.002929,9.521284,0.002816,-0.012911,,,1.159,3519.133,1219.655,2831.686,0.98,2.9933908964388887,0.0008607043968389,0.0,0.0
-0.3272,-0.0902,0.0676,18,232.60003456887,0.0174,-51.11002584746,0.0184,5889411232478569088,1.4753,0.0265,-5.973,0.022,-5.587,0.024,0.862,8.782289,0.002776,8.772418,0.002876,8.751267,0.002808,0.021151,,,1.165,3245.745,1555.579,3466.447,0.97,3.3480218406675726,0.0364120999960827,1.87637072301106,0.3109770869007968
-0.1773,-0.1696,0.1752,19,232.3013379112,0.0621,-51.17997703077,0.0578,5889398832975080704,1.5372,0.0891,-5.942,0.081,-5.572,0.077,1.025,17.375681,0.003022,18.363459,0.010786,16.421083,0.005486,1.942375,,,1.306,874.32,104.211,229.84,0.97,0.5910693014824544,0.0007029198854043,0.0,0.009464155096905
-0.2316,-0.1331,0.2108,19,232.33153503268,0.0272,-51.11308993356,0.0266,5889399451425114112,1.5355,0.04,-6.098,0.035,-5.847,0.034,1.077,15.695778,0.002885,16.252785,0.005665,14.898249,0.013966,1.354536,,,1.312,1269.931,220.236,79.339,0.98,0.7681849191033688,0.0027287974342041,0.2275474583841564,0.1878034762879617
