pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
-0.001,-0.1545,-0.0881,27,304.14884782532,0.0168,52.04019242192,0.0165,2184330172435703424,1.5646,0.0178,-0.118,0.022,-1.594,0.02,1.072,9.929699,0.002774,9.92555,0.002823,9.920441,0.002802,0.00511,,,1.153,3359.166,2538.289,4230.03,0.99,2.690812418620018,0.0015951116227616,0.0,0.1657347009387634
0.0704,-0.146,0.0289,26,304.11057292257,0.0166,52.02447480375,0.0169,2184330211098602496,1.532,0.0184,-0.085,0.023,-1.347,0.022,0.998,15.013096,0.002861,15.494896,0.004424,14.375794,0.003768,1.119102,,,1.222,1411.242,316.221,428.778,1.0,0.8620256195744145,0.0006213464207971,0.0,0.0
-0.0358,-0.1075,-0.0564,26,304.15722767661,0.0115,52.07976406971,0.0114,2184331894726065152,1.5773,0.0122,-0.056,0.016,-1.258,0.015,0.832,11.515725,0.002768,11.627709,0.002847,11.314333,0.002822,0.313376,,,1.161,4113.659,1914.433,2569.042,1.0,1.709273165016789,0.005811206067619,0.3491433782366798,0.3754591239326085
0.0127,-0.0579,-0.0732,27,304.06654409955,0.0257,51.9987656292,0.0269,2184329764421972480,1.6151,0.0286,0.09,0.035,-1.208,0.033,1.197,7.457376,0.002778,7.437525,0.002917,7.453274,0.002845,-0.015749,,,1.161,3059.77,1278.277,1957.592,0.98,3.9369575205837775,0.0352978437716299,3.199388143455021,0.2236070547925852
-0.0783,-0.142,-0.0909,26,304.21421464214,0.013,52.0744025177,0.0133,2184331757287129728,1.5383,0.0139,-0.177,0.018,-1.396,0.017,1.243,13.879193,0.00281,14.23952,0.003323,13.348581,0.003424,0.890939,,,1.207,1977.274,601.804,547.241,1.0,1.0604017691842775,0.001145390203187,0.0,0.1606372432053355
0.0991,-0.2369,-0.1259,25,304.02833996932,0.0125,52.04320760457,0.0126,2184330898293581440,1.5258,0.0139,-0.222,0.017,-1.379,0.015,1.048,11.716271,0.002763,11.863164,0.00291,11.442876,0.002819,0.420288,-25.82,0.24,1.175,5217.698,1313.494,2696.869,1.0,1.611754041362098,0.0101148012025859,0.8787502406474487,0.0956123089575981
-0.004,-0.0425,-0.0262,27,304.22665510512,0.1296,51.98054767161,0.1255,2184326839542647808,1.4157,0.1368,0.054,0.182,-1.249,0.159,1.037,18.748587,0.00336,20.350897,0.065105,17.502247,0.009683,2.84865,,,1.492,564.502,16.692,117.089,0.98,0.3944215753227607,0.0158500509237519,0.3271671427992027,0.0311012385545304
-0.0361,-0.0963,-0.0063,27,304.26075911154,0.0082,52.00929653827,0.0086,2184328321313049856,1.5723,0.0089,-0.102,0.011,-1.479,0.01,0.958,12.371408,0.002761,12.621095,0.002854,11.96659,0.002806,0.654505,-5.82,9.5,1.187,6022.634,1815.655,3616.641,1.0,1.3739891343633388,0.0155974324462836,0.9260538940772756,0.0589782878874028
0.0054,-0.0664,-0.0558,25,304.09348433358,0.0128,52.10512472922,0.0125,2184332753719499904,1.5593,0.0135,-0.192,0.02,-1.291,0.016,0.963,7.112201,0.00276,7.714889,0.002872,6.373972,0.002891,1.340917,-27.09,0.17,1.247,7070.333,1599.803,1435.652,1.0,4.042338655229951,0.0302366974296071,1.3195451326281258,1.2792417079323342
-0.0021,-0.2398,0.0282,25,304.05342351973,0.0298,52.09131648336,0.0274,2184331448049421952,1.5475,0.0312,-0.109,0.042,-1.147,0.034,1.06,16.013803,0.002909,16.688545,0.005291,15.234127,0.003837,1.454418,,,1.253,1165.13,241.513,412.242,1.0,0.728714510893302,0.0006284454954985,0.0,0.020155298976495
