pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass,q,e_q
-0.0617,0.1244,0.1725,24,118.26339464526,0.1147,-53.02481429052,0.1122,5489503013616241920,1.5166,0.1193,-5.391,0.158,8.98,0.174,1.019,18.298782,0.003207,19.705189,0.05871,17.173359,0.012765,2.53183,,,1.385,661.55,18.514,87.165,1.0,0.4895617951810825,0.0120871072582203,0.3869261085367532,0.0355052458830968,0.7903519276736746,0.07510383809439726
0.0113,0.1007,0.1384,23,118.22153012895,0.0296,-53.0192762498,0.0294,5489505904134066304,1.5447,0.0309,-5.395,0.04,9.089,0.044,2.166,11.636024,0.002772,11.764653,0.002866,11.39984,0.002814,0.364813,,,1.167,3596.286,1660.519,2961.032,0.99,1.921491832730441,0.0134725765166442,0.7648262748130521,0.2980712966256985,0.3980377443115298,0.15515003852643364
0.0381,0.1989,0.2376,23,118.27986412285,0.0104,-53.08585063565,0.0113,5489501879744425600,1.4545,0.0118,-5.293,0.013,8.844,0.017,1.077,13.544219,0.002771,13.901005,0.003025,13.012968,0.002902,0.888037,,,1.209,3685.023,929.157,1359.648,1.0,1.2384409429776542,0.0026242947299529,0.2110118584787605,0.2719104445522036,0.17038507946241882,0.21955896544117173
-0.1149,0.0694,0.1224,21,118.18327548407,0.0529,-53.01122443634,0.0506,5489505938493782016,1.4519,0.0548,-5.369,0.074,9.022,0.079,0.974,16.946461,0.003254,17.692636,0.019499,16.014429,0.010384,1.678207,,,1.358,627.107,56.259,108.545,1.0,0.6804502935928823,0.0011996982990932,0.0,0.0,0.0,0.0
0.0123,0.108,0.1409,22,118.30308857911,0.0103,-53.00469158034,0.0104,5489504529744565120,1.4724,0.0108,-5.407,0.014,9.181,0.015,1.019,12.648996,0.002765,12.909907,0.002868,12.224952,0.002854,0.684956,,,1.192,4796.79,1633.095,1812.93,1.0,1.4904005690361055,0.0046312904469698,0.3188402368202577,0.3297205730137624,0.213929223756579,0.22123049898598193
-0.0269,0.08,0.2345,22,118.35050036731,0.0125,-53.04219146345,0.0122,5489503430232971136,1.4634,0.0128,-5.298,0.018,9.048,0.019,0.955,13.891324,0.002774,14.259753,0.003127,13.350305,0.002969,0.909449,,,1.209,3369.06,769.127,1068.987,1.0,1.1584964112018663,0.0007906536292401,0.0,0.040667211091419,0.0,0.035103441580133475
0.0519,0.2136,0.141,25,118.1248642907,0.0118,-53.07702817025,0.0119,5489505320018493568,1.4569,0.0127,-5.169,0.015,8.802,0.017,1.025,13.908774,0.002775,14.294095,0.003083,13.346138,0.00294,0.947957,,,1.215,3269.132,828.423,1171.201,1.0,1.1545717158039668,0.0009811224309321,0.0,0.1114008600356879,0.0,0.09648673920451599
-0.0008,-0.0213,0.0935,22,118.19113994853,0.1539,-52.98576222758,0.158,5489506243431724928,1.5544,0.1627,-5.26,0.214,9.265,0.245,1.085,18.751659,0.003438,20.450312,0.077456,17.525753,0.013581,2.924559,,,1.454,528.183,14.027,81.687,0.98,0.4707502527062454,0.006599012317845,0.1992118626740618,0.1036945268032354,0.4231795129770705,0.22035489580603645
0.016,0.0391,0.1582,23,118.21203755653,0.0206,-52.9715268358,0.0212,5489506350810638464,1.4811,0.0221,-5.301,0.028,8.933,0.031,1.049,7.26907,0.002771,7.305308,0.00292,7.144815,0.002868,0.160492,,,1.173,3730.508,1262.196,1640.175,1.0,4.288800927326338,0.012094384917965,3.261573596632769,1.5467097902778255,0.7604861246535058,0.36064558913991407
0.032,-0.0169,0.1605,23,118.14321262267,0.0158,-52.98740339062,0.0163,5489506591328777344,1.4728,0.0169,-5.277,0.022,8.716,0.025,1.047,10.249255,0.002798,10.2977,0.002851,10.142903,0.002804,0.154797,,,1.158,2235.692,1850.511,3871.544,1.0,2.95399871994553,0.0010202229852635,0.0,0.0,0.0,0.0
