pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
0.3385,-0.147,-0.1328,16,283.72037045588,0.0667,5.55523502675,0.069,4282463684129051776,0.4798,0.0789,-0.119,0.088,-1.618,0.085,0.893,17.068916,0.002964,18.696404,0.01933,15.854322,0.004028,2.842081,,,1.45,993.725,56.762,373.73,0.96,2.301479573242879,0.18642937207277435,1.5002256216114842,0.3040425153148382
0.2438,-0.2058,-0.0597,16,283.71328834001,0.0373,5.55786444684,0.0406,4282463757145433600,0.5991,0.0471,-0.059,0.049,-1.606,0.047,1.002,15.932161,0.002889,17.313448,0.008619,14.790202,0.003782,2.523246,,,1.408,1251.586,133.142,425.212,0.98,4.729292909104652,0.043527483130739876,0.411885543991577,0.5512163228831362
0.4297,-0.2164,-0.1749,15,283.71189685567,0.1856,5.55716229279,0.1922,4282463752855105024,0.4307,0.2202,-0.36,0.256,-2.063,0.245,1.086,18.637236,0.003782,20.413183,0.064122,17.367085,0.01212,3.046099,,,1.497,419.115,16.948,92.051,0.75,1.5783120427396522,0.07168267754104707,0.6962311768040762,0.5468237897915472
0.4484,-0.2059,-0.1798,15,283.71263521374,0.2083,5.55289246549,0.2145,4282463752848527616,0.9467,0.2443,-0.742,0.291,-1.917,0.278,1.116,18.846775,0.004069,20.642611,0.097571,17.576824,0.021662,3.065786,,,1.495,362.669,11.132,50.543,0.6,1.5261874777988822,0.05573916050474484,0.6957620452893778,0.45175212969885004
0.4196,-0.1996,-0.1391,15,283.71295020838,0.211,5.5520876126,0.211,4282463752855105408,0.506,0.23,-0.023,0.27,-1.648,0.257,1.035,18.821625,0.003729,20.668499,0.17668,17.535566,0.025166,3.132933,,,1.508,432.195,6.146,43.41,0.89,1.524539091499007,0.059936301345176725,0.7450243895267735,0.4778997547340794
0.1801,-0.2195,-0.1526,15,283.70945811806,0.0225,5.55958452746,0.0238,4282463757145436032,0.6085,0.0282,-0.186,0.028,-1.699,0.028,1.048,14.837496,0.002802,16.264921,0.003914,13.677355,0.002891,2.587566,,,1.42,2142.818,395.508,1435.207,0.99,7.508514135521512,0.28553720578060576,1.808563434214107,0.3990537405565809
0.1275,-0.2446,-0.0157,16,283.70993090087,0.012,5.55004391716,0.0133,4282463752848309120,0.5609,0.0153,-0.077,0.015,-2.01,0.015,1.08,13.066607,0.002831,14.352448,0.00344,11.956692,0.003243,2.395757,,,1.392,1672.664,539.473,656.565,0.91,14.99207470251302,0.02594971466887752,0.26652958595681986,0.59165819844871
0.3242,-0.1966,-0.13,16,283.72235432418,0.0909,5.56571389573,0.0911,4282463860224649216,0.5324,0.1067,-0.284,0.123,-1.441,0.114,0.944,17.549734,0.00321,19.461319,0.038803,16.239531,0.007035,3.221788,,,1.532,659.437,28.053,168.125,0.83,1.7838786943919391,0.03898741364378039,1.1827061272918498,0.5628739487947774
0.3323,-0.1454,-0.1229,16,283.70894576933,0.0819,5.54638640925,0.0838,4282463722785691648,0.7803,0.0945,-0.149,0.103,-1.811,0.099,1.119,17.236513,0.003012,18.608412,0.024409,16.083778,0.007575,2.524633,,,1.422,892.257,44.775,154.161,0.96,2.642196275535781,0.02328736322350075,0.13684134599747388,0.2979712608260345
0.0951,-0.2784,-0.0517,15,283.70434833694,0.0141,5.55590340745,0.016,4282463757145436928,0.6611,0.0189,-0.249,0.018,-1.706,0.017,1.262,13.178193,0.002808,14.471316,0.003079,12.064595,0.002938,2.406721,,,1.394,1998.812,834.232,1179.305,0.99,14.419573602257532,0.33155739485971686,0.7102767396554123,1.3629958039536862
0.1447,-0.2225,-0.0708,16,283.70447971467,0.0321,5.55823091865,0.0355,4282463757145437568,0.4991,0.0417,-0.112,0.041,-1.741,0.04,1.029,15.677982,0.002845,17.11375,0.00894,14.516011,0.003259,2.597739,,,1.421,1529.398,127.831,644.558,0.98,5.115291281778704,0.15245326015682661,1.2576043455936206,0.6748388523006682
0.4378,-0.1919,-0.1629,16,283.71981321669,0.0757,5.5433888622,0.0763,4282463688425948160,0.4736,0.085,-0.189,0.103,-1.788,0.097,0.959,17.192724,0.003031,18.64938,0.045145,16.019785,0.006258,2.629595,,,1.429,860.347,24.096,193.827,0.96,2.6258113180092932,0.06989256395377583,0.6079236435616077,0.542972623977988
0.277,-0.0503,-0.0024,17,283.72656428418,0.1027,5.54736573369,0.1018,4282463684129047808,0.679,0.1159,-0.306,0.134,-1.497,0.126,1.122,17.674068,0.003142,19.246983,0.058778,16.431952,0.006648,2.815031,,,1.492,718.873,18.493,179.933,0.9,1.8064110559353355,0.028178422846307755,0.48541088319338677,0.5978338315415841
0.2714,-0.0754,0.0161,17,283.72628493601,0.0958,5.54525607958,0.0944,4282463684129046400,0.6727,0.107,-0.242,0.127,-1.958,0.118,0.92,17.815447,0.003262,19.473837,0.041611,16.567617,0.007136,2.906219,,,1.486,621.487,26.151,165.302,0.95,1.7726841999837597,0.02856267885556722,0.7162870848498447,0.6106506147254798
0.2803,-0.1576,-0.1041,16,283.7054807899,0.0318,5.54679778965,0.0337,4282463718488787072,0.668,0.039,-0.18,0.041,-1.695,0.04,0.988,15.614563,0.002846,16.828648,0.007507,14.516746,0.003476,2.311902,,,1.394,1520.572,155.796,523.694,0.99,5.576961522942075,0.01613745906155086,0.0,0.014291333985675158
0.3077,-0.2145,-0.0627,16,283.70281963175,0.1007,5.56083174981,0.1077,4282463959006962176,0.8047,0.1236,-0.153,0.136,-1.807,0.129,0.955,17.784876,0.003175,19.540556,0.045949,16.525858,0.007899,3.014698,,,1.486,688.54,23.673,146.914,0.94,1.760667441377164,0.03625438515632847,1.0066474085215713,0.5817993236619114
0.1891,-0.2469,-0.0764,16,283.7019081713,0.0954,5.55911061285,0.1029,4282463959006960896,0.7554,0.1206,-0.189,0.122,-1.872,0.115,1.072,17.61281,0.003105,19.229223,0.045396,16.415783,0.004871,2.81344,,,1.431,758.994,23.962,271.928,0.96,1.8182308149749002,0.04003509105219177,0.46720904258687435,0.5773040352635909
0.3064,-0.2441,-0.0424,16,283.726063274,0.0998,5.56792980697,0.111,4282463855927750272,0.6258,0.126,-0.379,0.141,-1.905,0.133,0.964,17.828472,0.003185,19.591087,0.050409,16.542376,0.007859,3.048712,,,1.519,679.65,21.572,147.77,0.95,1.7508266859769768,0.03642774602641552,1.0737917652141042,0.5257309238989083
0.2913,-0.2215,-0.0393,16,283.72679178539,0.0691,5.56890751545,0.0782,4282463855927750144,0.6109,0.0883,0.146,0.095,-1.567,0.09,1.049,17.058367,0.002989,18.816862,0.02155,15.788504,0.004287,3.028358,,,1.499,936.18,50.811,333.594,0.92,1.872167982995604,0.047440327507307055,1.5519721749257003,0.25329844849982797
0.3441,-0.2028,-0.0602,16,283.70728649185,0.0144,5.54166092991,0.0154,4282463649769094272,0.5882,0.0174,-0.087,0.019,-1.912,0.019,1.038,12.816788,0.002793,13.962498,0.003202,11.759177,0.002998,2.203321,,,1.367,2376.569,691.538,989.754,0.97,16.368492147032015,0.014887689804251678,0.0,0.0
0.3268,-0.2627,-0.0944,14,283.69994168505,0.1482,5.56119697195,0.1695,4282463959006962304,0.4188,0.1932,-0.12,0.176,-1.777,0.165,1.067,18.144064,0.003465,19.813143,0.05311,16.915651,0.007952,2.897491,,,1.461,516.901,20.471,145.813,0.93,1.697534764155953,0.04799570051467113,0.7297692238746979,0.618180188546284
0.2869,-0.0733,-0.1738,14,283.70333877933,0.0616,5.54228553134,0.0594,4282463718488781824,0.481,0.068,-0.134,0.08,-1.609,0.073,1.072,16.663416,0.002941,17.908819,0.014363,15.567371,0.004237,2.341448,,,1.385,1056.944,77.062,340.541,0.96,3.475055988173457,0.016912023892210352,0.0,0.07131062413517177
0.2228,-0.1158,-0.0724,15,283.69634986528,0.0893,5.55728619824,0.0988,4282463924647221760,0.5354,0.1139,-0.2,0.103,-1.877,0.099,1.124,17.222176,0.002981,18.725288,0.030466,16.042719,0.005065,2.68257,,,1.429,954.031,35.788,256.86,0.96,2.512541013194551,0.10490142107500486,0.8904609791569643,0.5422002007295663
0.1534,-0.1654,-0.1254,16,283.70256341888,0.0312,5.57156595705,0.033,4282463963303875456,0.7894,0.0391,-0.159,0.039,-1.752,0.037,1.074,15.48673,0.002817,17.016481,0.005897,14.286875,0.003171,2.729607,,,1.448,1853.974,208.98,720.819,0.95,5.2570322269392635,0.1783870079102227,1.8392435632795874,0.11539559366618343
0.317,-0.114,-0.1594,15,283.70121091074,0.0911,5.54117398547,0.0904,4282463722785692032,0.606,0.1067,-0.063,0.114,-1.744,0.11,1.019,17.518343,0.00313,18.981331,0.035553,16.335751,0.009143,2.64558,,,1.439,730.656,30.633,124.695,0.97,2.132072224964834,0.03013016800975881,0.13003913619632043,0.25993397848454686
0.3974,-0.0203,0.0261,14,283.71840632858,0.1951,5.53174405357,0.1861,4282460694831798528,0.3841,0.2046,-0.381,0.251,-2.083,0.236,1.045,18.735975,0.003871,20.600531,0.121753,17.566225,0.022862,3.034306,,,1.366,399.334,8.92,47.85,0.75,1.5356550600501444,0.06707453272309953,0.7078777589625068,0.5043275999520365
0.3262,-0.1462,-0.1242,16,283.71293809336,0.0825,5.53188702422,0.0863,4282463654066207488,0.6093,0.0989,0.02,0.108,-1.6,0.105,1.138,17.221207,0.003246,18.67206,0.025997,16.043367,0.006126,2.628693,,,1.436,632.593,42.006,199.067,0.96,2.5943155693581037,0.08113493674650657,0.5681731892953327,0.5461429456605553
0.2283,-0.1883,-0.154,16,283.69337463304,0.0277,5.56331627654,0.0288,4282463963303874816,0.5542,0.0335,-0.063,0.035,-1.54,0.033,1.179,14.967511,0.00285,16.410244,0.005219,13.806452,0.0032,2.603792,,,1.418,1490.217,246.151,692.644,0.97,7.170694853974243,0.4676007493394969,1.7707130034592766,0.43747527100109895
0.2715,-0.2798,-0.0948,16,283.69560059322,0.2075,5.56907920104,0.2207,4282463959006965504,0.4215,0.2568,-0.21,0.276,-1.518,0.258,0.996,18.994299,0.0041,20.830725,0.129658,17.743246,0.013581,3.087479,,,1.466,357.574,8.376,81.686,0.83,1.4958650178620911,0.0473813621623119,0.5173120485931266,0.41688641114961117
0.1014,-0.2747,0.0536,13,283.71710884107,0.058,5.5818748853,0.0687,4282464100742828160,0.6974,0.0745,-0.171,0.065,-1.677,0.061,1.015,16.513378,0.002962,18.14255,0.02204,15.295231,0.005304,2.847319,,,1.454,998.438,49.662,240.683,0.98,2.701294327412077,0.3230702549947489,1.8362354754862522,0.05755141389068499
0.3445,-0.2503,-0.1459,16,283.69284013068,0.1991,5.56667076406,0.2056,4282463959006964352,0.7219,0.2357,-0.63,0.261,-1.462,0.246,0.98,18.983551,0.004101,20.666159,0.095631,17.676834,0.018938,2.989325,,,1.556,357.451,11.358,57.963,0.52,1.515650073331294,0.0498511571181546,0.45285865114898693,0.4475829282601985
0.3578,-0.2308,-0.1564,16,283.72076123995,0.198,5.58273730573,0.2017,4282464096445924096,0.7891,0.2233,-0.409,0.256,-2.141,0.239,1.099,18.825552,0.003928,20.92539,0.144536,17.480442,0.008299,3.444948,,,1.558,387.84,7.513,138.905,0.78,1.521732780597101,0.061245855764056244,0.7715086913575631,0.465108416018331
0.3663,-0.2105,-0.1916,14,283.68775868581,0.1586,5.5507597984,0.1592,4282463924647217792,0.4662,0.185,-0.143,0.181,-1.861,0.174,0.934,18.354345,0.003536,19.902849,0.043522,17.150934,0.007069,2.751915,,,1.449,489.837,24.998,167.15,0.92,1.6588349359681203,0.05322987267209715,0.6326699438438983,0.567058654941369
0.3444,-0.0935,-0.0262,17,283.73479994052,0.031,5.53131489525,0.0305,4282460729191537280,0.652,0.0341,-0.153,0.041,-1.762,0.039,1.078,15.365396,0.002818,16.718966,0.00665,14.228372,0.003009,2.490594,,,1.408,1841.572,179.871,963.229,0.99,6.125320088069291,0.04533408288242009,0.3448220420969458,0.58478956646408
0.3392,-0.1588,-0.1116,16,283.70662626542,0.1028,5.5257903186,0.1075,4282462172300545536,0.6029,0.1226,-0.178,0.138,-1.567,0.131,1.014,17.833647,0.003201,19.490154,0.052123,16.633747,0.007555,2.856407,,,1.429,666.356,20.86,154.635,0.96,1.7673242185104554,0.027810625436810985,0.6477112333684824,0.6068166957632292
0.175,-0.124,0.0054,17,283.74785373625,0.0392,5.56388537357,0.0398,4282463821568010112,0.587,0.0458,-0.093,0.053,-1.711,0.049,1.047,16.06039,0.002887,17.632994,0.009588,14.855064,0.003274,2.777929,,,1.448,1258.272,118.367,633.726,0.99,3.8248755903793406,0.23268781071167016,1.8170429567906665,0.10127281564928337
0.3073,-0.0778,-0.0236,16,283.74645418165,0.1395,5.53740725827,0.1369,4282460763551278976,0.2892,0.1538,-0.131,0.182,-1.833,0.172,0.997,18.310919,0.003377,19.965345,0.091315,17.06922,0.016346,2.896126,,,1.479,555.871,11.896,67.413,0.79,1.6660235118533426,0.0539591693534635,0.6915958031049201,0.5895687863199235
0.5239,-0.1642,-0.0997,16,283.723952653,0.219,5.52126671146,0.2156,4282460626112315008,0.7171,0.2156,0.111,0.307,-1.701,0.279,1.002,18.857042,0.004694,20.566383,0.113747,17.555464,0.008332,3.01092,,,1.546,285.703,9.548,138.295,0.85,1.5412624266796235,0.05666161710449284,0.562506245376101,0.4874151963439454
0.1879,-0.1601,-0.1837,15,283.71435470763,0.1072,5.59372484796,0.1088,4282464169462310656,0.8398,0.1268,-0.309,0.143,-1.804,0.132,1.036,17.874912,0.003194,19.51305,0.059019,16.647644,0.012107,2.865406,,,1.464,672.079,18.417,92.163,0.93,1.763509957599329,0.030896805878644296,0.580652449008758,0.6000111591472235
0.0722,-0.027,-0.2238,14,283.68324326448,0.046,5.53620881005,0.0503,4282462245316946560,0.489,0.06,-0.122,0.06,-1.798,0.057,0.958,16.376627,0.002858,17.734715,0.008976,15.238104,0.003402,2.496611,,,1.409,1432.524,127.257,557.601,0.97,3.911640562969988,0.024601378694031516,0.14638458341408464,0.3406449311796086
0.3626,-0.003,-0.1456,15,283.7152679776,0.1393,5.51473882328,0.1338,4282459217363037312,0.7149,0.1477,-0.117,0.193,-1.61,0.173,1.19,17.91291,0.003327,19.456675,0.044607,16.741995,0.007024,2.71468,,,1.413,582.329,24.388,168.431,0.94,1.7650885822864342,0.021589640263602886,0.35748313787402325,0.5247909842222767
0.2343,-0.0887,-0.2827,14,283.67740532792,0.1534,5.54300614375,0.1557,4282462447178462592,0.8486,0.1828,-0.124,0.196,-1.859,0.186,1.132,18.250916,0.003475,19.924534,0.068952,17.031382,0.009611,2.893152,,,1.45,512.697,15.759,118.051,0.92,1.678211548692633,0.05204610546070348,0.7080083107062535,0.575740788767969
0.3938,-0.1858,-0.1531,15,283.69934352991,0.1281,5.51533548075,0.131,4282459183003300096,0.5697,0.1484,-0.173,0.172,-1.688,0.164,1.006,18.161097,0.003413,19.661991,0.043789,16.970041,0.009319,2.69195,,,1.443,538.862,24.845,122.104,0.96,1.7150723740615192,0.04302157627249769,0.3751312255983359,0.559212570914684
0.4872,-0.1934,-0.1576,14,283.70281667559,0.1971,5.51390063825,0.2036,4282459187298774784,0.525,0.2246,-0.286,0.287,-1.754,0.283,0.963,18.791958,0.003941,20.096296,0.287825,17.312239,0.113663,2.784058,,,1.863,385.313,3.772,9.555,0.88,1.6046523611782346,0.053178502722212966,0.3675330867932722,0.5060684191390954
0.2297,0.0062,-0.2032,15,283.68973671328,0.0913,5.51920769158,0.0962,4282462137940802176,0.3684,0.1149,-0.441,0.129,-1.539,0.119,1.048,17.52808,0.003045,18.903584,0.025551,16.390675,0.010855,2.512909,,,1.404,837.522,42.749,103.498,0.69,2.1391192756618858,0.02255203859570805,0.0,0.13227083414646745
0.2059,-0.179,-0.1275,16,283.67901555223,0.0619,5.52773739085,0.065,4282462206660284544,0.5685,0.0762,-0.154,0.078,-1.82,0.075,1.03,16.924067,0.002928,18.31596,0.01759,15.780591,0.003948,2.535369,,,1.408,1094.929,62.517,388.736,0.98,3.0344455183752346,0.03350094881684831,0.2105426181231762,0.38129552865238164
