pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
-0.2206,-0.0791,0.0696,17,106.34414128065,0.0356,-12.3290390361,0.039,3045713901196844032,0.8924,0.0445,-4.129,0.046,1.316,0.052,1.023,16.058729,0.006709,16.987196,0.022389,15.071669,0.022299,1.915527,,,1.353,177.48,48.875,49.076,0.98,0.9892113840410044,0.0807215429718256,0.6841400775429071,0.1250919460106651
-0.2126,-0.0458,0.0919,18,106.35628453612,0.0801,-12.31577826753,0.0851,3045715417324097152,1.0098,0.0942,-3.721,0.105,0.858,0.114,1.006,17.372217,0.003409,18.782015,0.064784,16.149612,0.00961,2.632402,,,1.496,540.833,16.775,118.061,0.67,0.6710757799126381,0.0268198236454069,0.4692540880434442,0.0577211708247134
-0.0732,0.1593,0.1488,16,106.3554683515,0.2024,-12.31322876574,0.2091,3045715413025249280,0.9995,0.2439,-4.236,0.267,0.79,0.276,1.132,18.828215,0.004181,20.024534,0.20468,17.464214,0.023501,2.56032,,,1.719,345.199,5.305,46.529,0.64,0.4801402613076456,0.01957131891232,0.0,0.0429944446062041
-0.3637,-0.2529,0.3012,16,106.33967031882,0.0455,-12.33296346787,0.047,3045713901196842624,0.8432,0.0553,-4.072,0.067,1.226,0.072,0.994,15.90069,0.005757,16.9328,0.024656,14.722587,0.011675,2.210214,,,1.526,214.812,44.32,95.769,0.96,0.9814880073856376,0.0584197556443261,0.8221875597618449,0.0598612566484201
-0.347,-0.2279,0.2742,16,106.3416707492,0.0181,-12.33516384928,0.019,3045713905495621504,0.894,0.0222,-4.049,0.026,1.115,0.03,0.962,14.555712,0.004229,15.282222,0.011767,13.699641,0.008403,1.582581,,,1.297,338.36,94.975,136.973,0.99,1.5086025644070076,0.0576834134691006,1.256411366588715,0.1320531742388869
0.0136,-0.2166,0.1196,16,106.33360847156,0.0135,-12.32014913929,0.0132,3045713974215095040,0.8605,0.0158,-4.026,0.018,1.074,0.018,1.009,13.55878,0.004027,14.138241,0.011124,12.821691,0.008498,1.31655,,,1.255,369.686,100.826,135.257,0.97,1.838577118380733,0.041429094225111,1.334811779788449,0.466132141859205
-0.2199,-0.1872,0.3801,15,106.33275622439,0.1291,-12.32994198674,0.1395,3045713905495621888,0.6133,0.1641,-4.039,0.183,0.969,0.216,1.969,16.820755,0.007492,17.709463,0.055221,15.095296,0.054755,2.614167,,,2.382,155.843,19.687,19.855,0.64,0.7920655541234229,0.0225216499129207,0.6794486326835648,0.0616155834970986
-0.4348,-0.2035,0.2402,16,106.33694752345,0.0911,-12.3359083545,0.0931,3045713901196842112,0.9845,0.1069,-3.544,0.138,0.963,0.149,0.974,17.445719,0.004034,18.690092,0.094172,16.098106,0.018339,2.591986,,,1.687,368.521,11.534,59.9,0.67,0.6877970022565786,0.0289809042248182,0.4409649148733488,0.0745805023181921
0.0814,-0.2108,-0.0412,15,106.34576602803,0.0858,-12.30422347365,0.0854,3045715481744728576,1.023,0.0983,-3.926,0.114,1.432,0.119,1.03,17.061176,0.003468,18.691803,0.030932,15.805237,0.007651,2.886566,,,1.5,515.539,35.244,152.413,0.82,0.6776100129067091,0.0239843229966974,0.5877474619574243,0.0310300661595524
-0.2338,0.049,0.0085,15,106.33040704476,0.0711,-12.31937588046,0.0764,3045713974215095936,0.8766,0.0849,-4.029,0.092,1.129,0.101,1.063,16.857859,0.004873,17.967184,0.029545,15.758577,0.012476,2.208607,,,1.42,270.136,36.913,89.291,0.97,0.7906097069604263,0.0176056798343286,0.3553157443524876,0.2281194726091776
-0.4154,-0.1489,0.2029,16,106.32987368146,0.1357,-12.32717775174,0.1427,3045713905491232384,0.8594,0.1618,-4.132,0.197,1.018,0.222,1.023,18.096176,0.003522,19.759169,0.243894,16.710249,0.0115,3.04892,,,1.665,494.765,4.452,97.322,0.86,0.5156691416709068,0.0302856176887288,0.3737830180883159,0.0521104533580479
-0.3802,-0.1579,0.2545,16,106.33204804316,0.0492,-12.33384171528,0.0529,3045713905495623936,0.9572,0.0589,-4.152,0.07,1.409,0.083,1.07,16.162067,0.004468,17.094721,0.024595,15.043232,0.013713,2.051489,,,1.487,308.723,44.432,80.869,0.95,0.9386175015309552,0.0615148387489272,0.7335916200943072,0.057731915312293
-0.3479,-0.1065,0.2296,16,106.34026202941,0.11,-12.3434796342,0.11,3045710911899604864,0.7718,0.1265,-3.909,0.159,1.056,0.17,1.024,17.884258,0.003948,19.782848,0.1854,16.748432,0.024506,3.034416,,,1.324,384.002,5.857,44.595,0.89,0.5190002695768624,0.0259170185497805,0.404918635937057,0.0411195197689242
-0.3254,-0.3629,0.0987,14,106.35274920833,0.0287,-12.34502161949,0.0291,3045710877539868288,0.9015,0.0359,-3.523,0.044,0.879,0.045,0.938,15.411297,0.006514,16.124325,0.025253,14.361428,0.024969,1.762897,,,1.483,183.957,43.26,43.758,0.68,1.2237797837516673,0.0550636225149232,0.9548703312876302,0.0969950709597167
-0.3261,-0.2055,0.1436,15,106.32474401487,0.1519,-12.31895407967,0.1546,3045713969916313600,1.0557,0.1706,-4.351,0.199,1.482,0.226,0.944,18.209496,0.01271,19.709679,0.158934,17.045389,0.042147,2.664289,,,1.412,87.503,6.832,25.817,0.76,0.572048250397565,0.0071108420711037,0.0,0.0
-0.2827,-0.2675,0.2988,13,106.32333451616,0.0726,-12.32703150727,0.0779,3045713969916313344,0.9547,0.0921,-4.179,0.106,1.171,0.115,0.894,16.921988,0.003819,18.151897,0.054293,15.637696,0.013182,2.514201,,,1.607,410.572,20.024,84.277,0.95,0.7363251896463341,0.0209720729113727,0.6451177287494559,0.0452948598420865
-0.3305,-0.2465,0.2925,16,106.3307809416,0.0149,-12.34128815219,0.0154,3045713871135887744,0.9055,0.0183,-3.918,0.021,1.013,0.024,1.056,13.976394,0.005554,14.708881,0.017558,13.119658,0.01301,1.589223,,,1.296,225.154,62.633,85.445,0.98,1.6949317758132876,0.0406545940953046,1.4642474837064712,0.1157623019698416
-0.3934,-0.1835,0.257,14,106.33137007637,0.0746,-12.3419042803,0.0848,3045713871135887872,0.7586,0.0905,-3.865,0.105,0.792,0.129,1.045,17.088514,0.005152,18.012365,0.041493,15.862662,0.018453,2.149703,,,1.612,249.389,26.226,59.524,0.66,0.7902691154075455,0.0066659710303137,0.0,0.1075221944171937
-0.3851,-0.1288,0.2335,16,106.32257276168,0.1409,-12.31628421154,0.145,3045713969916313216,0.8672,0.1673,-4.135,0.198,0.765,0.223,0.975,18.271862,0.006083,20.121761,0.134647,16.900389,0.029732,3.221373,,,1.621,200.195,8.065,36.679,0.6,0.4637579585994435,0.026753759908135,0.3581807454144877,0.0406698624676695
