pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass,q,e_q,r,mass_system,e_mass_system,r/rh
0.3182,0.0994,0.186,27,222.2331713017,0.0986,-66.47229627676,0.1297,5848627494351983744,2.0877,0.172,-7.323,0.107,-10.474,0.167,1.551,18.041611,0.004361,19.789141,0.030169,16.633181,0.004637,3.15596,,,1.685,321.227,36.143,293.143,1.0,0.3158442551649424,0.0177127479660798,0.2592024004153195,0.0218040562913437,0.8206652366684871,0.0829691351569493,0.2417233821028538,0.5750466555802619,0.02809196168418911,0.07613552796605354
0.4001,0.0434,0.1783,27,222.18790442169,0.0562,-66.42726740751,0.0681,5848909282896662400,2.572,0.0903,-7.5,0.063,-10.995,0.089,1.026,17.752945,0.00303,19.34153,0.018742,16.508667,0.004003,2.832863,,,1.492,860.567,58.583,378.24,1.0,0.4303724346043431,0.0112895277369725,0.0,0.0639059740177446,0.0,0.1484899330889899,0.29100737338886107,0.4303724346043431,0.06489550794685654,0.09165848922942835
0.3196,-0.0152,0.171,26,222.05984752225,0.0362,-66.42724039751,0.045,5848815652623302528,2.3079,0.0602,-7.699,0.042,-11.01,0.06,1.347,16.156002,0.002816,17.474558,0.005931,14.999716,0.003149,2.474842,,,1.436,1865.276,207.443,743.789,1.0,0.5732774411765995,0.0110082028314559,0.5265923383413402,0.0211296424734435,0.9185645562130572,0.0408607430027529,0.36645931243518154,1.0998697795179397,0.02382524544750843,0.11542355972190461
0.3213,0.0024,0.1442,26,222.1207839826,0.0314,-66.40923733472,0.0394,5848815785712140160,2.3718,0.054,-7.407,0.034,-10.745,0.051,1.033,16.706781,0.002861,18.194042,0.011019,15.475075,0.004165,2.718967,,,1.493,1410.733,101.851,351.104,1.0,0.4972781204561265,0.0123759885264384,0.4546684649017077,0.0171344727697059,0.9143142362359814,0.041292127091732,0.40235759249402003,0.9519465853578342,0.021136585559222376,0.12673042826551106
0.3073,0.0564,0.2046,26,221.99589548017,0.0765,-66.45525665045,0.087,5848815235960713728,2.5157,0.1171,-7.638,0.086,-10.536,0.12,1.032,18.152761,0.003324,19.846331,0.026219,16.934378,0.008301,2.911953,,,1.445,583.668,41.646,138.871,1.0,0.3672096767331276,0.007466944060648,0.0,0.0269228669674408,0.0,0.0733174223701277,0.43304176440672265,0.3672096767331276,0.027939148507987167,0.1363950110148155
0.3351,0.0615,0.1848,27,222.31120061411,0.0219,-66.46507381725,0.0264,5848721300770893568,2.4492,0.036,-7.402,0.024,-10.854,0.035,0.955,16.085541,0.00281,17.178589,0.00454,15.047093,0.003443,2.131495,,,1.36,1965.902,303.125,538.355,1.0,0.635064339635422,0.0028297397374412,0.0,0.117972901096552,0.0,0.1857652740575512,0.4529512244959529,0.635064339635422,0.11800683378566892,0.14266588660089194
0.3458,0.0099,0.1459,27,222.142724552,0.0119,-66.3991128208,0.0142,5848909626494061184,2.4371,0.0195,-7.393,0.014,-10.593,0.019,1.009,14.761089,0.002869,15.449838,0.004427,13.950788,0.003701,1.499049,,,1.272,1359.087,315.948,446.48,1.0,0.7435077109188883,0.0025744444238636,0.2533848861568961,0.1951164855583134,0.3407965814419625,0.2624296362471765,0.4652627222907209,0.9968925970757845,0.1951334689404129,0.14654363469668322
0.4107,0.0754,0.312,25,222.30711624869,0.0956,-66.43910052192,0.1269,5848721472548513408,2.3123,0.1632,-7.611,0.102,-10.919,0.149,0.996,18.330599,0.00318,,,,,,,,,684.272,,,1.0,3.05799455156676,1.9005833277295845,1.227135752097851,1.5990944382544792,0.4012877496688571,0.5793540928518525,0.4790300043101844,4.285130303664611,2.4838115886878516,0.15087991063362757
0.3607,0.0065,0.1569,27,222.06758932965,0.0819,-66.4030183496,0.0969,5848816511616776448,2.2535,0.1282,-7.68,0.089,-11.061,0.125,1.035,18.258738,0.00303,20.030317,0.029919,16.985691,0.005284,3.044626,,,1.502,860.499,36.448,241.933,1.0,0.332665541291413,0.0278166305148466,0.0,0.0984318564175845,0.0,0.2958883448988147,0.4928232732543296,0.332665541291413,0.10228682853139727,0.15522437166302613
0.3643,0.0466,0.1772,26,222.11292372905,0.0577,-66.39460825731,0.0688,5848909626494472832,2.2255,0.0943,-7.449,0.064,-10.64,0.092,1.053,17.798397,0.003031,19.39996,0.036218,16.530487,0.005344,2.869473,,,1.519,859.734,30.067,238.196,1.0,0.4180593701547664,0.0177919368462596,0.0,0.0911893594609411,0.0,0.2181253811562281,0.5062050598885587,0.4180593701547664,0.0929088386303371,0.15943922825514759
0.3091,-0.0568,0.1612,27,222.15835186103,0.007,-66.38570255603,0.0087,5848909660853808128,2.429,0.012,-7.711,0.008,-10.456,0.012,0.987,13.153638,0.002836,13.53858,0.003742,12.58889,0.003248,0.94969,,,1.217,1619.403,435.377,653.282,1.0,1.0372294480411268,0.000982839693986,0.0,0.0,0.0,0.0,0.5587219614511486,1.0372294480411268,0.000982839693986,0.17598045812221821
