pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
-0.2696,-0.154,0.1632,17,253.77917357907,0.0257,-40.94557829946,0.0166,5969663211799109120,0.657,0.0321,-1.87,0.038,-3.747,0.031,0.976,14.901447,0.00277,15.406213,0.003286,14.220908,0.002982,1.185305,,,1.243,3813.421,625.641,1031.918,1.0,1.7130577366393225,0.007867948827246984,0.8981152418877381,0.07514376305637019
-0.13,-0.0811,0.0833,18,253.77496225822,0.0152,-40.94809805853,0.0097,5969663211805054080,0.6351,0.0189,-1.668,0.021,-4.078,0.016,0.994,13.444691,0.002769,13.843738,0.002918,12.854047,0.002955,0.989691,,,1.227,4022.728,1269.934,1114.491,0.94,2.2868636145462635,0.057528669845119666,1.500274014329985,0.1701848547900098
-0.276,-0.1554,0.1553,18,253.78154411526,0.0325,-40.94870878947,0.0208,5969663143081406848,0.6166,0.0406,-2.062,0.048,-3.675,0.038,1.118,15.122613,0.002776,15.664788,0.003536,14.394148,0.003092,1.27064,,,1.264,3191.44,499.992,815.115,1.0,1.6091239108893693,0.010354103390474287,1.005021661138139,0.051024785975677896
0.0807,-0.3395,0.0204,17,253.78112994288,0.1541,-40.93658899582,0.0985,5969663246159574272,0.6296,0.1883,-1.978,0.226,-3.777,0.166,0.99,18.279337,0.003155,19.21244,0.035295,17.390408,0.010985,1.822033,,,1.262,706.377,30.858,102.188,0.99,0.884817604216884,0.0017468088348965552,0.0,0.14735323948131393
-0.1839,-0.1563,0.1869,18,253.78539813338,0.0174,-40.93955465331,0.0114,5969663177439374592,0.6594,0.0219,-2.131,0.025,-4.039,0.02,0.984,12.918555,0.002761,13.346948,0.002911,12.296844,0.002863,1.050104,,,1.235,6154.34,1306.58,1696.319,0.55,2.524849452156587,0.011820644041361544,1.546585962223215,0.10032457833800307
-0.1779,-0.1645,0.138,18,253.78729214015,0.029,-40.9451254492,0.0192,5969663147397221120,0.6797,0.0364,-1.909,0.041,-3.69,0.033,0.957,15.221411,0.002778,15.780965,0.003647,14.490154,0.003114,1.290811,,,1.259,3038.819,462.309,785.094,1.0,1.5756923033796817,0.011219893942033784,0.9777477951042232,0.057380348700356056
-0.1109,-0.2258,0.1561,17,253.78832403213,0.0712,-40.94557338105,0.0466,5969663147374734592,0.7112,0.0873,-2.103,0.096,-3.493,0.076,1.055,16.853357,0.003053,17.664148,0.01076,15.905807,0.00644,1.758342,,,1.351,825.129,104.483,187.068,0.94,1.038863859812046,0.02017781057059432,0.9729535923593348,0.028185043046316586
-0.0375,-0.1958,0.0931,17,253.77577838909,0.0971,-40.95315171789,0.0608,5969663147374734976,0.7242,0.1152,-2.157,0.128,-4.106,0.098,0.995,17.548353,0.002934,18.387165,0.014595,16.62888,0.008014,1.758286,,,1.317,1076.689,75.787,144.522,0.85,0.991977055002022,0.02002358965496522,0.6600152584161708,0.0793317493616886
-0.1484,-0.0756,0.0852,18,253.76221055647,0.014,-40.94693586374,0.0088,5969569375353719808,0.6142,0.0172,-1.979,0.019,-3.769,0.015,0.908,12.698357,0.002762,13.054846,0.002871,12.156591,0.002825,0.898254,,,1.216,5743.879,1604.905,2439.146,1.0,2.4092822002439083,0.030095796548287115,2.307833559955094,0.0439583339092426
-0.3068,-0.3018,0.3605,17,253.79248517928,0.0542,-40.94161781273,0.0374,5969663181756960128,0.4015,0.0713,-1.668,0.077,-4.199,0.066,3.78,13.316525,0.00282,13.727977,0.008046,12.457567,0.016891,1.27041,,,1.425,1809.262,143.873,65.174,0.54,2.3644758355826174,0.014588012446616247,1.6579092129883293,0.059843959344522454
-0.3101,-0.1024,0.1193,18,253.7861999354,0.0199,-40.95380045532,0.013,5969663143079630464,0.6552,0.0246,-2.075,0.03,-3.809,0.024,0.961,14.180197,0.002765,14.698454,0.002994,13.486055,0.002921,1.212399,,,1.248,4810.97,1001.186,1257.658,0.99,1.7607943675995879,0.027366184556837692,1.6767746638972525,0.03216598148495856
-0.0414,-0.1672,0.074,17,253.77585501317,0.0871,-40.95629509786,0.0546,5969569306634479104,0.577,0.1038,-2.02,0.117,-3.709,0.089,1.025,17.370394,0.002942,18.280434,0.014412,16.456076,0.00476,1.824358,,,1.291,1051.411,76.789,281.531,1.0,0.949037917057491,0.022962123863950436,0.8673006814566662,0.03428175017910331
-0.2448,-0.1617,0.1659,18,253.79383911458,0.0155,-40.94680462458,0.0109,5969663177439360256,0.6393,0.0195,-1.88,0.022,-3.9,0.018,0.963,13.3976,0.002762,13.810402,0.002863,12.800727,0.00283,1.009675,,,1.225,5860.379,1689.491,2289.491,1.0,2.246985615908651,0.05744144559150194,1.7253963123322507,0.13877990848825636
-0.3086,-0.2712,0.2841,17,253.79508661068,0.0287,-40.93930336613,0.0202,5969663177439373696,0.5977,0.0368,-1.791,0.042,-3.709,0.035,1.004,15.096598,0.00277,15.648932,0.0036,14.377262,0.003172,1.27167,,,1.253,3781.803,477.177,719.804,1.0,1.612874354903994,0.01212203284948882,1.0233935832525276,0.05187873049298357
-0.0027,-0.2733,-0.0314,16,253.75980653166,0.015,-40.95026685361,0.0093,5969569375353571456,0.6104,0.0192,-1.983,0.022,-3.827,0.015,0.843,13.037457,0.002765,13.402671,0.002904,12.483047,0.002824,0.919623,,,1.219,4795.856,1345.824,2505.112,1.0,2.523784359300581,0.0007285739686530298,0.0,0.10637244515166056
-0.104,-0.2034,0.2257,18,253.79178194057,0.0666,-40.9525411152,0.0432,5969663143085581312,0.6037,0.0844,-2.204,0.093,-3.787,0.075,3.914,14.180073,0.002794,14.676205,0.002974,13.48035,0.002955,1.195855,,,1.261,2342.639,1054.629,1115.354,0.97,1.7660174827836952,0.024814710138443254,1.6794382651562798,0.02973270923379363
-0.321,-0.2756,0.3109,17,253.78758809082,0.0291,-40.93081252799,0.0204,5969663246158853632,0.6111,0.0375,-1.732,0.042,-3.728,0.036,0.977,15.124405,0.002772,15.658278,0.003865,14.415361,0.003072,1.242917,,,1.252,3585.258,405.943,843.997,1.0,1.6266010053532285,0.00859209862422614,0.8788813236752037,0.07431534442109099
-0.0711,-0.1665,0.0569,18,253.75851075021,0.0263,-40.94956267004,0.0168,5969569379688648576,0.6812,0.033,-1.853,0.036,-3.674,0.027,1.113,14.830461,0.002771,15.374615,0.003672,14.090969,0.004228,1.283646,,,1.271,3661.973,454.912,341.836,1.0,1.5719156924442792,0.040122564090872226,1.401863602623137,0.055515109603517264
-0.0194,-0.177,0.067,17,253.7710696261,0.0861,-40.95807699172,0.0541,5969569306634238080,0.4486,0.1024,-1.882,0.114,-3.851,0.087,1.112,17.314356,0.002881,18.101355,0.008763,16.463884,0.005442,1.63747,,,1.273,1288.947,130.696,232.406,0.99,1.0569193076106098,0.0026576731397772403,0.208968061785931,0.22859212302290113
0.0349,-0.2099,0.0566,17,253.77333700713,0.0712,-40.95856884316,0.0443,5969569306634237824,0.6611,0.0799,-1.82,0.093,-3.96,0.07,0.951,16.848026,0.002848,17.58053,0.01214,15.996285,0.005077,1.584245,,,1.292,1505.429,91.892,255.994,1.0,1.1439607914465533,0.009994313320439157,0.6293500343504066,0.16689726341367123
