pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
0.243,0.2751,0.1133,27,154.78676126255,0.0111,-56.4261650401,0.0109,5354890835821631616,0.3874,0.0132,-5.896,0.015,3.624,0.013,0.983,12.902304,0.002762,13.143139,0.00287,12.497553,0.00282,0.645586,,,1.192,5731.014,1612.081,2647.052,0.97,4.875460461642965,0.008526367902876248,0.0,0.19636805287159112
0.3224,0.2128,0.0815,26,154.77843988753,0.0111,-56.42087363101,0.0112,5354891596047012352,0.3986,0.0132,-6.016,0.015,3.464,0.014,1.01,13.685692,0.002762,13.947474,0.002896,13.246928,0.002889,0.700545,,,1.2,5586.161,1396.654,1451.719,1.0,3.655048168202516,0.01267874816891054,0.0,0.2895837421124475
0.236,0.2722,0.1678,27,154.79076202608,0.013,-56.42546857724,0.0126,5354890943211984384,0.4228,0.0153,-5.974,0.018,3.448,0.015,1.065,14.2637,0.002762,14.558864,0.00297,13.795188,0.002865,0.763676,,,1.201,5569.026,1068.027,1671.307,1.0,2.8975550797256084,0.04363081508677091,0.7565248357813517,0.5699185732284537
0.2179,0.222,0.1215,25,154.78269181865,0.0297,-56.41915745607,0.027,5354891699126229760,0.4534,0.0334,-5.752,0.039,3.398,0.033,1.069,16.020193,0.002794,16.493492,0.0045,15.37488,0.003749,1.118612,,,1.232,2335.211,307.571,433.586,0.99,1.60128867781663,0.007597242726378625,0.2846620438652825,0.36436422443455185
0.1221,0.1217,0.1509,26,154.76780501789,0.0122,-56.41952625202,0.0112,5354891596047010944,0.4206,0.0139,-5.921,0.017,3.468,0.014,1.08,13.86216,0.002762,14.15517,0.002966,13.362026,0.004277,0.793144,,,1.221,5857.836,1078.738,334.942,1.0,3.114476136090602,0.14978245260379044,1.8310245037335542,0.2602254645886693
0.2681,0.281,0.2312,26,154.78836487999,0.0338,-56.41586104588,0.0343,5354890938901179136,0.4028,0.0421,-5.959,0.047,3.595,0.041,1.011,16.428791,0.002799,16.966505,0.004654,15.737735,0.003388,1.22877,,,1.237,2195.824,291.439,564.76,0.99,1.4515344632854235,0.0026457661413819603,0.0,0.17039080965679282
0.221,0.2515,0.1139,27,154.77926347429,0.0098,-56.41516989267,0.0095,5354891699126230016,0.4441,0.0116,-5.897,0.013,3.546,0.011,0.989,12.624998,0.002874,12.832217,0.003875,12.255477,0.00357,0.57674,,,1.191,1327.176,403.768,487.562,1.0,5.364881889993846,0.0036815708060569854,0.0,0.0
0.2274,0.2565,0.1584,27,154.79085474177,0.0183,-56.43396541093,0.0176,5354890835821935616,0.4444,0.0213,-5.752,0.025,3.439,0.022,1.019,15.139227,0.002768,15.44101,0.003134,14.666652,0.002974,0.774358,,,1.2,4043.702,760.391,1054.255,1.0,2.1194720047289652,0.0033489793808719093,0.0,0.0
0.1615,0.1987,0.0966,24,154.80080350207,0.0362,-56.42266192815,0.0347,5354890943211987072,0.4735,0.0412,-5.872,0.048,3.491,0.043,1.006,16.478405,0.002796,16.994745,0.005803,15.77487,0.003802,1.219875,,,1.255,2274.092,213.384,420.436,1.0,1.4393878865395262,0.0021837779214839616,0.0,0.09048060199043235
0.1829,0.2362,0.1055,26,154.76743020482,0.0146,-56.41708157609,0.014,5354891596047011584,0.3719,0.0172,-5.881,0.02,3.411,0.017,0.938,7.878705,0.002797,9.20357,0.003344,6.755414,0.002941,2.448156,20.29,0.16,1.399,2252.592,588.947,1167.77,0.99,9.334200807573067,0.01393164942832347,7.680346718215292,0.2891925989481348
