pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
-0.3401,0.0751,-0.2339,20,109.30428443815,0.0123,-13.98013030788,0.0129,3032688712797542144,0.7628,0.0177,-1.711,0.016,0.969,0.015,1.031,14.181161,0.002767,14.449742,0.00288,13.751107,0.002879,0.698635,,,1.192,4344.928,1521.398,1529.836,1.0,1.3744358357895192,0.011392074607743703,0.7774118860731405,0.13056458441529173
-0.3108,0.0421,-0.2217,20,109.30369469267,0.0119,-13.97652800286,0.0125,3032688712797541888,0.7469,0.0172,-1.521,0.015,1.048,0.015,0.993,12.42534,0.002764,12.482788,0.00283,12.311003,0.002814,0.171785,,,1.156,5012.712,2306.553,2990.25,0.99,2.2909306813267567,0.005877370719683323,0.13699068153521896,0.29942800155956817
-0.2906,0.0945,-0.2057,20,109.30808625545,0.012,-13.99060639618,0.0125,3032688639772487552,0.7503,0.0173,-1.656,0.015,0.96,0.015,0.959,12.290792,0.002764,12.351662,0.002832,12.169925,0.002812,0.181737,,,1.156,4950.44,2226.371,3115.093,1.0,2.3632445000889,0.024812579873139073,0.8646740207758463,0.3914543514081766
-0.3354,0.0741,-0.223,20,109.31068340489,0.0116,-13.96648989436,0.0121,3032688747157277056,0.7253,0.017,-1.719,0.015,1.099,0.014,0.991,12.820401,0.002766,12.899656,0.002819,12.67815,0.002817,0.221506,,,1.154,4481.578,2685.719,2796.245,0.97,2.010202495968973,0.001753732185325028,0.0,0.13843791111074719
-0.3601,0.1375,-0.1956,20,109.29774409918,0.0671,-13.99881637795,0.0686,3032687162303820416,0.7894,0.0952,-1.581,0.087,0.982,0.081,1.033,17.705423,0.003028,18.387424,0.015881,16.926699,0.006867,1.460726,,,1.249,864.026,69.449,173.047,0.99,0.7170440860161797,0.0010548519158089513,0.0,0.01686842841005324
-0.3475,0.0884,-0.1811,20,109.29660443125,0.0339,-13.96220588054,0.0339,3032689464406344960,0.7373,0.0485,-1.615,0.045,0.882,0.041,0.978,16.413984,0.002855,16.882011,0.006134,15.780218,0.004572,1.101793,,,1.226,1452.857,198.76,299.759,0.99,0.8990132011071483,0.000936592707802853,0.0,0.02021861225802012
-0.3517,0.1715,-0.1691,20,109.30104870427,0.0404,-14.00107505332,0.0406,3032687162303818368,0.826,0.0566,-1.443,0.051,0.937,0.047,1.058,16.697811,0.002925,17.328009,0.007237,15.943769,0.004471,1.38424,,,1.249,1106.147,162.602,310.816,0.98,0.7870142538794841,0.020518804526610805,0.6926397324962817,0.035625166454014354
-0.4457,0.3011,-0.3579,20,109.32441444507,0.0672,-13.97968586106,0.0676,3032688678437798144,0.8323,0.1024,-1.6,0.089,0.782,0.08,1.09,17.433498,0.003175,18.022902,0.009741,16.671143,0.006374,1.351759,,,1.271,688.599,116.336,189.448,0.93,0.7511913850415023,0.0011296565866539925,0.0,0.031261354239089774
-0.3607,-0.008,-0.1868,20,109.29938534529,0.0115,-13.95971242242,0.0114,3032689503071522560,0.768,0.0164,-1.504,0.015,0.944,0.013,1.044,13.482872,0.002787,13.627409,0.003029,13.214095,0.003217,0.413314,,,1.174,2570.894,920.179,678.424,1.0,1.6483066725496236,0.0036325265939895425,0.1757364628866851,0.2923585726737483
-0.3152,0.0648,-0.2227,21,109.28218881774,0.0115,-13.97145385147,0.0117,3032687991243040384,0.7772,0.0161,-1.424,0.015,0.875,0.014,0.974,14.011199,0.002772,14.236445,0.002891,13.637225,0.002872,0.59922,,,1.183,3576.791,1436.332,1592.764,0.98,1.4516750741885098,0.002194696318360436,0.1138972679084602,0.23071930256439202
