pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
0.079,0.1314,-0.0031,27,167.65610054024,0.0828,-59.05616160548,0.0699,5339375627243298432,0.5328,0.093,-6.705,0.102,2.011,0.086,1.039,17.905985,0.003962,18.522934,0.018995,17.184984,0.012422,1.33795,,,1.229,381.344,57.785,89.699,0.85,0.8772994505706481,0.003497941008631,0.1251173103446977,0.2011625925966877
0.0738,0.0191,0.0254,27,167.65902493256,0.0205,-59.09211368279,0.0182,5339375116193240960,0.4993,0.0237,-6.877,0.026,2.15,0.023,0.983,15.273064,0.00277,15.625087,0.003237,14.747101,0.003005,0.877986,,,1.208,3824.462,661.534,972.914,0.82,1.3384595077991768,0.0346835833002452,1.1472784044675743,0.0569678538899397
0.0935,0.1,0.1322,28,167.65304120166,0.0172,-59.05539059404,0.0148,5339375631588831872,0.4846,0.02,-6.609,0.022,2.17,0.019,0.982,14.757492,0.002774,14.993671,0.003058,14.353824,0.00318,0.639848,,,1.194,3340.018,867.448,711.776,0.99,1.6142208104474158,0.0144102928746055,0.9621136183326836,0.0706702196445927
0.0375,0.1568,-0.0286,28,167.6382481319,0.0128,-59.05355983658,0.0108,5339375631588828032,0.4651,0.0146,-6.663,0.017,2.192,0.014,0.906,13.896,0.002777,14.020049,0.002888,13.680944,0.002958,0.339105,,,1.16,3152.781,1460.478,1105.112,0.99,2.100545748070867,0.0186558641712872,0.6820588521195671,0.4256051111580909
0.0804,0.0622,0.029,25,167.59985316585,0.0134,-59.06555934835,0.0115,5339386970304520448,0.5142,0.0155,-6.551,0.017,2.177,0.014,1.03,13.81393,0.002783,13.927717,0.004184,13.560694,0.003515,0.367023,,,1.185,2769.58,348.185,507.694,0.97,2.105637566463928,0.0237760282003299,1.1913743412644249,0.0674737067354469
0.0845,0.0648,-0.0235,27,167.5969626851,0.0373,-59.08159111787,0.0326,5339386828517587968,0.5389,0.0433,-6.781,0.047,2.28,0.04,1.029,16.578508,0.003079,17.099318,0.007898,15.839924,0.007754,1.259394,,,1.28,790.578,146.939,150.078,0.82,1.0207512016783824,0.0222551172859838,0.9386662618934544,0.0331188538673185
0.2223,0.1188,0.0546,28,167.66135876491,0.014,-59.0470511947,0.0117,5339375730321949056,0.4723,0.0153,-6.725,0.018,2.347,0.015,0.829,12.104004,0.002763,12.164911,0.002825,11.977753,0.002816,0.187159,,,1.158,5145.749,2441.801,2862.792,0.92,3.4114856231504014,0.235269094474971,2.2822285764113865,0.5223781802332287
0.0327,0.1168,0.0057,27,167.61456340673,0.0399,-59.04667397838,0.0316,5339387348261653888,0.4936,0.0432,-6.74,0.05,2.268,0.04,1.096,16.363085,0.002976,16.715773,0.012294,15.705086,0.012312,1.010687,,,1.296,965.763,90.68,90.54,0.95,1.1668035677233026,0.0118370255348655,0.6332729565094115,0.2079247806133617
0.0683,0.1247,0.047,27,167.68870516331,0.0153,-59.05075700338,0.0131,5339375661602664704,0.4843,0.017,-6.834,0.019,2.205,0.016,0.991,12.903028,0.00277,13.000042,0.002908,12.719111,0.002857,0.280931,,,1.162,3760.629,1327.789,1762.539,0.92,2.731960009371241,0.0651795408438358,1.6942859944976754,0.1232644438367315
0.2765,0.0405,0.0104,26,167.64798116751,0.0141,-59.04106115459,0.0117,5339375730322150912,0.4712,0.0147,-6.76,0.019,2.199,0.015,0.882,12.463004,0.002766,12.538973,0.002839,12.314216,0.002817,0.224757,,,1.159,4503.262,2065.798,2809.526,0.98,3.154507023340273,0.129058423707722,1.88331769179886,0.2618251075427992
