pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
-0.3921,0.0748,0.223,19,87.23595872741,0.0614,30.18918184866,0.0479,3444694475839584256,0.3491,0.0653,0.788,0.085,-1.844,0.052,1.062,16.833729,0.002852,17.331631,0.008149,16.176445,0.008335,1.155186,,,1.23,1474.286,141.816,138.23,0.99,1.4124043032360618,0.0017933295172656545,0.0,0.14551272682510508
-0.5092,-0.077,0.3422,17,87.24158032659,0.0164,30.18972855727,0.0134,3444694514494836352,0.3631,0.0176,0.839,0.023,-1.733,0.014,0.998,10.844571,0.002769,11.935331,0.002902,9.820072,0.002855,2.115259,6.49,0.14,1.347,3935.531,1360.082,1797.066,1.0,4.002704366844106,0.00457498595859737,0.2551852855768625,0.5333247357747727
-0.3195,0.0762,0.2577,19,87.24237235578,0.0171,30.19817994897,0.0135,3444694514494833664,0.338,0.0189,0.822,0.023,-1.834,0.014,1.433,13.504705,0.002772,13.757091,0.002916,13.079693,0.002852,0.677398,,,1.197,3630.034,1280.821,1837.837,1.0,3.4215030155916795,0.06581224391393996,1.1717511576532176,0.5955005051067452
-0.3546,0.0787,0.2079,19,87.2360181251,0.0162,30.18661674797,0.0125,3444694475846536576,0.3066,0.0171,0.837,0.021,-1.821,0.013,1.077,13.886749,0.002777,14.150085,0.003157,13.420996,0.003528,0.72909,,,1.215,3159.446,734.556,502.746,1.0,3.1383398533538163,0.03623898889354576,1.5622933107255048,0.14255308358110175
-0.3181,0.0738,0.2056,19,87.24268817894,0.0128,30.1998156288,0.0101,3444694514494833024,0.3403,0.0138,0.863,0.018,-1.765,0.011,1.143,13.165751,0.00277,13.405765,0.002851,12.760297,0.002836,0.645468,,,1.193,3758.302,1859.389,2145.354,1.0,3.6398186204197263,0.000959856028725989,0.0,0.14693826045331448
-0.3671,0.089,0.2101,19,87.24566137773,0.0149,30.19114310916,0.0118,3444694514494834944,0.3695,0.0157,0.831,0.021,-1.831,0.012,1.067,13.712271,0.002882,13.962096,0.004073,13.293864,0.004338,0.668232,,,1.195,1286.81,365.984,326.82,1.0,3.327129279279782,0.0019863179020439027,0.1436759671008719,0.2924527420271818
-0.3669,-0.144,0.3667,18,87.23519840274,0.0148,30.18301344945,0.0112,3444694480135101056,0.3654,0.0169,0.773,0.021,-1.723,0.012,1.058,13.634941,0.002768,13.910142,0.002897,13.186741,0.002853,0.723401,,,1.199,4072.558,1390.208,1818.841,1.0,3.307508018480296,0.04807320189683345,1.6226452702241019,0.24375116481990136
-0.3399,-0.045,0.2948,18,87.22104743021,0.0397,30.18958529028,0.0299,3444694548854580608,0.2896,0.0443,0.844,0.056,-1.726,0.032,1.057,15.989349,0.002791,16.3724,0.004358,15.432528,0.003325,0.939872,,,1.213,2436.741,324.318,600.489,0.99,1.7198827904218512,0.009888012297259647,0.8787468317552645,0.06335012847977961
-0.3403,0.0893,0.2187,19,87.24553731993,0.0261,30.20464535044,0.0202,3444694892451953792,0.3172,0.0279,0.884,0.035,-1.804,0.021,1.007,15.177641,0.002777,15.470229,0.003196,14.709335,0.003098,0.760894,,,1.202,3137.123,696.711,807.042,1.0,2.2525151328760513,0.00872475999595703,0.4342043350674003,0.38143746504158377
-0.3842,-0.0196,0.2976,18,87.22136315134,0.0859,30.18669540088,0.0643,3444694548854581248,0.3487,0.0949,0.866,0.121,-1.738,0.07,1.048,17.473005,0.002904,18.080418,0.016306,16.769041,0.009411,1.311377,,,1.219,1185.455,67.58,120.795,0.99,1.2252411405924193,0.00629081640043544,0.259120461321464,0.2753785274377537
