pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass,q,e_q,r,mass_system,e_mass_system,r/rh
0.1803,0.0606,0.1471,20,75.48487351312,0.0586,44.4986989658,0.042,205765560962197760,0.4439,0.0696,0.7,0.092,-0.945,0.074,1.03,16.853041,0.002833,17.577784,0.00807,16.020002,0.003766,1.557781,,,1.279,1642.807,143.385,429.272,0.96,1.5251208247526904,0.0020869678669191,0.0,0.0424598591285687,0.0,0.0278403248053831,0.18853223893816012,1.5251208247526904,0.042511117041257006,0.08608791061920892
0.1651,0.0693,0.162,20,75.48191220031,0.0602,44.495973256,0.043,205765560962198144,0.4063,0.0717,0.756,0.093,-0.995,0.074,1.033,16.841028,0.002834,17.518185,0.005641,16.043285,0.003632,1.474899,,,1.266,1633.948,221.469,466.863,0.96,1.532502205293485,0.0038880042554389,0.0,0.0377658340767925,0.0,0.0246432494167667,0.2940483269569625,1.532502205293485,0.037965442188997785,0.13426884564343436
0.0681,0.0294,0.2389,19,75.48348737293,0.1334,44.49317807146,0.0909,205765560962193536,0.2914,0.1543,0.489,0.192,-1.004,0.153,1.016,18.15591,0.003103,19.087105,0.024431,17.236095,0.007931,1.851009,,,1.29,760.424,44.734,146.242,0.79,1.1339815284463937,0.0075398489686041,0.1098033197780823,0.2343793403205271,0.0968299015668428,0.206688091056624,0.32096371964749776,1.243784848224476,0.23450058526910936,0.1465589978915267
0.1689,0.0262,0.1426,20,75.48781656078,0.0384,44.49045991475,0.0268,205765565258304384,0.3754,0.0453,0.498,0.056,-1.024,0.045,1.008,15.983716,0.002787,16.552849,0.00408,15.249461,0.003518,1.303388,,,1.257,2585.01,364.717,506.609,0.94,2.0620090851250605,0.0026446027233431,0.0,0.0,0.0,0.0,0.3487919735344833,2.0620090851250605,0.0026446027233431,0.15926598236698963
0.1953,0.0447,0.0963,19,75.49634221794,0.0986,44.50959958882,0.0709,205765565258395904,0.3995,0.1118,0.78,0.158,-1.067,0.122,1.015,17.697298,0.002943,18.45409,0.015059,16.828854,0.007168,1.625237,,,1.298,1049.418,73.371,164.429,0.86,1.2526251229029632,0.0043646367931327,0.0,0.0790460596233567,0.0,0.063104322417043,0.40136377344006685,1.2526251229029632,0.07916646762560037,0.18327140678062162
0.1637,0.063,0.1866,20,75.48282735852,0.0304,44.49028874892,0.0218,205765565258305152,0.3757,0.0366,0.677,0.046,-0.895,0.037,1.08,15.482041,0.002773,16.046158,0.003699,14.750814,0.003039,1.295343,,,1.257,3476.946,447.172,900.698,0.98,2.491271067617421,0.0293272210779199,0.3589803004482104,0.4697620415220905,0.1440952392192025,0.188570828402312,0.41529726744458345,2.8502513680656314,0.47067659974886733,0.18963374243859657
0.3339,-0.022,0.0846,19,75.49293734276,0.0121,44.51089186706,0.0086,205765767120338048,0.415,0.0137,0.546,0.019,-0.852,0.016,0.928,12.675434,0.00276,13.145034,0.002883,12.019876,0.002809,1.125157,,,1.24,6816.288,1493.948,3351.64,0.88,6.63233621259568,0.1554711789825188,2.0551561011354056,1.524018212806994,0.3098691072434466,0.2299008094122678,0.43262203525318604,8.687492313731086,1.5319278052381053,0.19754460729123716
-0.0052,0.1469,0.0867,19,75.50931170033,0.0668,44.50124987171,0.0461,205765530895989760,0.3663,0.0748,0.425,0.101,-0.785,0.077,1.005,16.954493,0.002885,17.563025,0.017478,16.056454,0.006898,1.506571,,,1.377,1269.927,62.929,172.101,0.6,1.507938115390261,0.0040131741425265,0.0,0.0586185264646845,0.0,0.0388732971641304,0.46955209415418814,1.507938115390261,0.058755741945695494,0.214407673405221
0.0654,0.1086,0.1542,20,75.47346241027,0.0572,44.48710368725,0.0402,205765462179093760,0.3424,0.0661,0.8,0.088,-1.007,0.069,1.02,16.758146,0.002826,17.443665,0.006773,15.950867,0.003991,1.492798,,,1.271,1723.258,175.932,380.572,0.93,1.5676685309336107,0.0026557495973863,0.0,0.0,0.0,0.0,0.6706584238965795,1.5676685309336107,0.0026557495973863,0.30623718668808647
0.2336,0.0031,0.1222,19,75.51331840302,0.0555,44.48787878222,0.0388,205762571664947456,0.3171,0.066,0.577,0.09,-1.038,0.069,0.957,16.733278,0.002834,17.391418,0.009313,15.930532,0.004286,1.460887,,,1.277,1642.218,122.199,333.72,0.94,1.5819845153253913,0.0031387950235519,0.0,0.0,0.0,0.0,0.7133920810806301,1.5819845153253913,0.0031387950235519,0.3257503016906572
