pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
-0.4014,0.0203,0.1329,16,99.45341583534,0.0564,-0.87525422396,0.056,3119001024110345472,0.2585,0.0675,0.338,0.079,1.284,0.075,1.089,16.745975,0.002895,17.35104,0.007769,15.979915,0.00462,1.371125,,,1.268,1220.041,149.75,294.877,0.98,1.7036850106124408,0.004287271179748548,0.23776227136688877,0.3494484989316531
-0.408,-0.0068,0.1653,16,99.45087199637,0.0721,-0.87329924725,0.0712,3119001097126445952,0.3495,0.0852,0.448,0.1,1.303,0.098,0.939,17.33289,0.002916,17.833593,0.01202,16.605524,0.007584,1.228069,,,1.28,1138.259,92.864,153.948,0.93,1.570562003731293,0.0023244431997182283,0.0,0.1859869222428704
-0.4811,-0.0112,0.1622,16,99.45039550287,0.1398,-0.87237554185,0.1395,3119001092830770944,0.2237,0.1634,0.795,0.195,1.191,0.202,0.981,18.413088,0.003487,19.009155,0.030118,17.562475,0.011774,1.44668,,,1.34,508.119,36.205,94.918,0.51,1.2733809856355267,0.026678505998989393,0.35443523332223525,0.377957120436624
-0.4072,0.0204,0.116,16,99.4507478035,0.0633,-0.86801546008,0.0626,3119001097126442496,0.1442,0.0749,0.268,0.089,1.167,0.086,0.999,17.092913,0.002986,17.594326,0.047063,16.299408,0.014126,1.294918,,,1.331,944.339,23.111,78.406,0.95,1.6234035401787639,0.034602571595238676,0.2680330708888107,0.43914762849657857
-0.3935,0.0046,0.1347,16,99.45078807438,0.0648,-0.86731005459,0.0636,3119001097126441856,0.1944,0.0764,0.183,0.09,1.335,0.087,0.953,17.141323,0.002941,17.658319,0.002946,16.377142,0.031925,1.281178,,,1.301,1055.667,1148.555,34.14,0.96,1.6176211830513645,0.016379800896850802,0.0,0.25307421230259597
-0.5086,-0.0509,0.2098,15,99.46020858234,0.0709,-0.86739551953,0.0706,3119376339829364480,0.1375,0.0837,0.387,0.105,1.097,0.112,1.093,17.126007,0.002948,17.726717,0.008686,16.365967,0.005763,1.36075,,,1.265,1035.375,131.993,215.338,0.95,1.5101964463833546,0.045229315294387056,1.275036570906211,0.10959957540145727
-0.401,0.0007,0.1734,16,99.45818842698,0.0603,-0.8655065629,0.0602,3119376408548841088,0.106,0.0723,0.295,0.083,1.233,0.081,1.032,16.945152,0.002909,17.57481,0.012653,16.154463,0.006743,1.420347,,,1.278,1162.574,87.973,176.87,0.95,1.6338050294726747,0.028649010071512576,0.8426453825195617,0.4432932189756534
-0.2663,-0.171,0.0898,15,99.45252345527,0.0299,-0.87854707257,0.0283,3119001028406973568,0.2367,0.0352,0.294,0.044,1.213,0.037,1.022,15.445629,0.002798,16.407215,0.004799,14.465298,0.004085,1.941917,,,1.337,2220.673,278.047,363.817,0.99,1.893593619370235,0.03269308265905357,0.22965711101503034,0.40002651557341434
-0.3502,-0.018,0.1599,16,99.44981281109,0.0307,-0.86492164003,0.031,3119001097126440832,0.2375,0.0377,0.279,0.042,1.335,0.039,0.966,15.592574,0.002793,16.489197,0.006196,14.648391,0.003217,1.840806,,,1.322,2361.969,196.239,678.192,0.99,1.8615997980234598,0.003966500191003657,1.3843306124615085,0.05003973220427337
-0.6008,-0.0808,0.2289,15,99.46248698151,0.2013,-0.86655466013,0.2074,3119376339830456320,0.4461,0.2346,0.354,0.304,1.386,0.341,1.069,18.899553,0.003855,19.580725,0.044073,18.058233,0.022205,1.522491,,,1.301,402.735,24.685,49.286,0.73,1.1556595873808744,0.01960224676040823,0.3196570000313982,0.3500706928827258
-0.3732,-0.03,0.1723,16,99.44769015518,0.0273,-0.86686551663,0.0277,3119001097126444032,0.2832,0.0333,0.126,0.037,1.296,0.035,1.039,15.300926,0.002789,16.224174,0.004202,14.345081,0.00314,1.879093,,,1.325,2518.953,345.492,753.594,0.91,1.904874010602049,0.02493876312456964,1.3333006935473433,0.11436163555239964
-0.4266,0.0221,0.159,15,99.45976090792,0.1231,-0.87863816498,0.1226,3119001024110336768,0.121,0.1523,0.018,0.168,1.208,0.168,1.044,18.148491,0.003157,18.786243,0.024954,17.410109,0.014199,1.376135,,,1.234,704.688,43.785,77.988,0.67,1.3426600623235552,0.00427122522530675,0.11753662444261007,0.23095050002515935
-0.4114,-0.0206,0.1765,15,99.44640200057,0.0631,-0.87041294831,0.0626,3119001097126446976,0.3132,0.0738,0.448,0.087,1.221,0.084,1.045,16.962288,0.0029,17.543196,0.00814,16.204388,0.005915,1.338808,,,1.271,1202.307,141.989,208.153,0.96,1.6163455987422952,0.048293091944985905,0.8481032100907392,0.49094704778766984
-0.4874,0.0067,0.1515,16,99.44793334638,0.1519,-0.86583286448,0.1511,3119001097126443264,0.0507,0.1776,0.083,0.214,1.118,0.218,0.979,18.541122,0.004661,18.794294,0.069876,17.465912,0.034922,1.328382,,,1.708,288.794,15.551,31.19,0.64,1.2994922943963676,0.008253565960378144,0.14611670931955034,0.2375025048370721
-0.2959,-0.1632,0.1011,15,99.45384655067,0.0575,-0.88016065944,0.0545,3119001028406974720,0.1459,0.0679,0.418,0.084,1.261,0.072,0.947,16.754295,0.00288,17.332928,0.012433,15.982862,0.006161,1.350066,,,1.282,1297.584,89.615,197.662,0.97,1.6954648176152722,0.017543055834520156,0.40263171517834784,0.5127902049622549
