pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
-0.1457,-0.0563,0.1849,25,30.30235446935,0.0972,75.48212824685,0.111,559354241161396864,0.166,0.1229,2.802,0.119,0.019,0.151,1.026,18.252274,0.003075,19.082584,0.021473,17.396381,0.01043,1.686203,,,1.263,795.267,50.996,108.039,0.95,0.9855355598397465,0.029979511995344287,0.8384251523474165,0.06997287860566162
-0.1172,-0.1968,0.2017,25,30.2887034573,0.0631,75.48389101035,0.0709,559354241161399424,0.2834,0.0798,2.674,0.074,0.334,0.102,0.977,17.56027,0.002925,18.377472,0.01189,16.676235,0.00527,1.701237,,,1.292,1106.547,93.937,242.831,1.0,1.0980709702941778,0.027324117950472473,0.9588208449367052,0.06317851004372022
-0.1307,-0.2077,0.1922,26,30.32869247947,0.0194,75.47713156945,0.0212,559354176739287296,0.3324,0.0249,2.663,0.024,0.391,0.03,0.921,15.368029,0.002778,16.274551,0.003986,14.428229,0.002984,1.846322,,,1.315,3060.92,381.397,1027.296,1.0,1.3478111960122106,0.0015015166832641638,1.098067775789423,0.32690220187124286
-0.1649,-0.2206,0.2194,26,30.3144963657,0.031,75.47403040935,0.0345,559354142379551232,0.2581,0.0393,2.757,0.037,0.399,0.047,0.976,16.274206,0.002802,16.997007,0.00509,15.431614,0.003255,1.565393,,,1.287,2122.509,255.038,647.943,1.0,1.3020054029597574,0.006262897825733375,1.1855489189876085,0.013696178257559715
-0.0693,-0.113,0.2459,25,30.32325381173,0.0218,75.48571786444,0.0238,559354176739282816,0.3196,0.028,2.659,0.026,0.361,0.034,0.942,15.538845,0.00278,16.578537,0.004514,14.533825,0.002928,2.044712,,,1.341,2933.153,306.029,1222.635,1.0,1.347882378457041,0.00019330200201670612,0.18996756536962436,0.3333115926507029
-0.1271,-0.1713,0.1541,26,30.31747793137,0.0564,75.473608138,0.0634,559354142377372800,0.3767,0.0711,2.591,0.067,0.259,0.088,1.043,17.40509,0.002897,18.06329,0.011702,16.563152,0.006928,1.500137,,,1.31,1211.497,95.537,171.214,0.99,1.2009231783244898,0.027643174746777723,0.2852080124632923,0.4018069741387099
-0.0317,-0.186,0.0995,24,30.29458157919,0.1186,75.48744790162,0.1248,559354245458759168,0.3347,0.1436,2.651,0.139,0.307,0.181,1.042,18.463436,0.003198,19.319099,0.026513,17.605692,0.011178,1.713408,,,1.257,668.489,41.18,100.305,0.99,0.9504638851658532,0.030221562585121507,0.8062594758593545,0.07139483304924907
-0.0793,-0.0755,0.2288,25,30.32420464399,0.0465,75.48734403394,0.0493,559354241161404160,0.3192,0.0572,2.573,0.056,0.597,0.07,1.075,16.92592,0.002838,17.630548,0.006712,16.110081,0.004543,1.520468,,,1.271,1598.075,177.844,302.828,0.98,1.2374005289201633,0.025946960138100546,1.005689837573193,0.09202189362490504
-0.1123,-0.1519,0.1873,25,30.33373261157,0.0485,75.48525799386,0.0532,559354172441927552,0.3454,0.0613,2.563,0.058,0.418,0.075,1.003,17.164164,0.002847,18.202089,0.01083,16.170818,0.004813,2.031271,,,1.33,1516.141,103.754,276.857,1.0,1.2197224509372666,0.02041943972049154,0.8473915355329311,0.11812185626709576
-0.0693,-0.0724,0.0666,20,30.34307962802,0.1835,75.47723480355,0.136,559354176737103616,0.351,0.1695,2.551,0.22,0.352,0.201,1.126,18.475241,0.004075,,,,,,,,,361.609,,,0.98,0.6966715165994616,0.3463273124485575,0.27365566369966016,0.3190675010503128
-0.0875,-0.172,0.1591,26,30.34924454192,0.0669,75.48110576761,0.0776,559354176739284992,0.322,0.0851,2.674,0.081,0.248,0.116,0.989,17.76745,0.002928,18.655464,0.029097,16.906641,0.01061,1.748823,,,1.25,1096.905,37.488,106.065,1.0,1.054814886795401,0.025233878893799473,0.9319841864013771,0.05397080240576158
-0.127,-0.0926,0.2239,25,30.27263978684,0.0776,75.48689884873,0.087,559354206801663360,0.2477,0.0978,2.738,0.092,0.309,0.125,0.994,17.923731,0.002979,18.67519,0.018568,17.079918,0.007582,1.595272,,,1.279,957.597,59.145,154.006,1.0,1.0487894905521138,0.03156028272470379,0.8682133097031313,0.08257164089683594
-0.0643,-0.0734,0.2248,25,30.33500649354,0.0305,75.48949520174,0.0319,559354176739280640,0.3228,0.0374,2.743,0.037,0.354,0.045,1.016,16.176186,0.002801,16.852556,0.00538,15.37068,0.00357,1.481876,,,1.273,2163.038,236.042,487.457,1.0,1.289146061616983,0.008640061724200988,1.2523613288302975,0.010756766157300765
-0.1383,-0.0986,0.1402,25,30.34316239246,0.1388,75.48816418182,0.1503,559355654205841280,0.4022,0.1694,2.577,0.163,0.413,0.21,0.98,18.849266,0.003379,19.754543,0.044201,17.936985,0.018824,1.817558,,,1.29,554.957,24.613,58.321,0.99,0.8921645568064275,0.02956379112555044,0.7481545043470763,0.08584834926174209
