pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
-0.0744,-0.2056,-0.1576,26,308.31146905322,0.0112,41.31157741298,0.0132,2067784619950644480,0.6329,0.0147,-2.524,0.014,-4.484,0.016,1.148,9.664779,0.002803,10.62126,0.003053,8.683593,0.002958,1.937667,,,1.34,2112.177,876.225,1106.599,0.99,29.23133008351416,0.3951691139695978,26.550351529241535,0.7018848641214759
-0.1703,0.022,-0.2023,27,308.32457503527,0.0151,41.30577059622,0.018,2067783868332808960,0.5745,0.0193,-3.048,0.02,-4.448,0.023,1.009,14.850863,0.003163,15.849192,0.009049,13.825267,0.007936,2.023925,,,1.372,699.168,126.13,146.139,0.79,5.43542205963657,0.012526431583270164,0.0,0.0
-0.1284,-0.1917,-0.1038,27,308.31280972749,0.0145,41.31400377589,0.0178,2067784624247057920,0.6313,0.0191,-2.664,0.018,-4.106,0.019,1.14,8.429846,0.002788,9.271031,0.002967,7.501371,0.002868,1.76966,125.56,17.85,1.324,2570.2,1077.039,1639.542,0.97,36.06971606626794,0.2622907588294195,30.42577213547984,0.662011008037028
-0.0813,-0.0196,-0.0456,28,308.32490974999,0.0095,41.30864567108,0.0116,2067784246289931776,0.6199,0.0125,-2.631,0.012,-4.4,0.014,0.972,9.484826,0.002789,10.349748,0.002948,8.551971,0.002988,1.797776,,,1.321,2522.66,1139.53,1016.183,1.0,29.76747047876626,0.4154310377668705,28.18406208942229,0.6238786177473422
0.0391,-0.1993,-0.1213,22,308.3124130377,0.0387,41.31481419295,0.0348,2067784624244258432,0.7136,0.0455,-2.439,0.052,-4.637,0.039,1.545,14.049774,0.002867,,,,,,,,,1370.965,,,0.66,23.00995731647621,12.221550525286542,8.01268479115053,10.785624704847333
-0.089,-0.0363,-0.1009,27,308.31625132731,0.025,41.29760303995,0.0331,2067783868332809216,0.6623,0.0332,-2.738,0.033,-4.597,0.04,1.056,16.047119,0.002832,17.463867,0.008745,14.8809,0.003436,2.582967,,,1.429,1661.841,131.008,541.39,0.99,2.1288919808646125,0.03759210540116823,1.682135275661864,0.35030514421870323
-0.0192,-0.0862,-0.1757,27,308.31805308327,0.011,41.31716882253,0.0135,2067785002204178688,0.6182,0.0143,-2.612,0.015,-4.709,0.017,0.977,11.262936,0.002784,12.230119,0.002964,10.283224,0.002814,1.946895,,,1.335,2734.398,1085.275,2941.523,0.98,23.929837994702698,0.00932569928573875,0.0,0.0
-0.0654,-0.1532,-0.3756,20,308.31728444653,0.0638,41.3177827252,0.0788,2067785002203235328,0.6979,0.0952,-2.786,0.087,-4.666,0.106,1.068,17.269171,0.004361,17.530632,0.136986,15.144174,0.089263,2.386458,,,3.55,321.183,7.928,12.169,0.96,2.0768223325171804,0.008975227751282039,0.0,0.10619680156157896
-0.1524,-0.0144,-0.1055,27,308.31410108457,0.0196,41.32020704109,0.0233,2067785002204181888,0.6305,0.0259,-2.645,0.025,-4.445,0.029,1.018,15.302316,0.002802,16.253443,0.004703,14.317819,0.003795,1.935624,,,1.344,2136.926,286.738,422.092,1.0,4.433732891340738,0.01620498306182652,0.0,0.0
-0.1179,0.0823,-0.0184,25,308.33012410992,0.1234,41.29906667523,0.1594,2067783864035982336,0.6828,0.159,-2.39,0.16,-4.227,0.211,1.019,18.718685,0.003589,20.423384,0.109763,17.455795,0.012494,2.967588,,,1.498,472.135,9.895,89.152,0.86,1.3327668425799035,0.12200500965473748,0.526207670317087,0.4673908780493892
-0.0508,-0.0679,0.1187,25,308.3334419423,0.1121,41.30887135747,0.1657,2067784246287112064,0.7631,0.162,-2.929,0.146,-4.417,0.186,1.098,18.524046,0.003682,20.287659,0.098354,17.207294,0.011997,3.080364,,,1.558,444.491,11.044,93.05,0.92,1.3685712175576683,0.09927918425366578,0.8668450414057384,0.3783383765406546
-0.1333,-0.0791,-0.1571,27,308.3051118596,0.0166,41.31843187941,0.021,2067784624247061120,0.5988,0.0217,-2.779,0.022,-4.279,0.025,1.091,15.03003,0.002778,15.998368,0.003682,14.045828,0.003059,1.95254,,,1.339,3096.829,451.855,865.513,0.99,5.007689855482927,0.015756313733165227,0.0,0.0
-0.0355,0.023,-0.122,26,308.3015588487,0.0292,41.29725095205,0.0392,2067784589887318144,0.6245,0.0411,-2.874,0.04,-4.268,0.048,1.066,16.163216,0.002823,17.317375,0.006148,15.09199,0.003352,2.225385,,,1.38,1767.947,198.196,584.313,0.98,2.846257341444923,0.11865709855352001,0.6195168643687562,0.6929018815472275
-0.0921,-0.108,-0.1603,28,308.32616271717,0.0126,41.29427032467,0.0151,2067783868332806016,0.5981,0.0161,-2.502,0.017,-4.301,0.018,1.031,14.357052,0.002842,15.533147,0.00361,13.278314,0.003548,2.254833,,,1.382,1560.225,474.009,495.505,0.99,5.804176594284261,0.6558944643385565,3.1511374304312825,1.0144257947553397
-0.0734,-0.0492,-0.2478,26,308.29737625487,0.0092,41.2995791666,0.0129,2067784589887320576,0.6342,0.013,-2.574,0.012,-4.282,0.015,1.148,13.588475,0.002773,14.598694,0.002996,12.584358,0.002811,2.014336,,,1.347,3438.069,994.502,3165.499,0.99,9.35708461665994,0.01366001409831315,0.0,0.0
-0.0884,0.0101,-0.0923,28,308.32974381456,0.0101,41.29581080628,0.0134,2067783799613328768,0.6165,0.0135,-2.722,0.013,-4.24,0.018,1.078,13.949847,0.002777,15.054618,0.002991,12.902574,0.00284,2.152044,,,1.367,3122.445,1006.481,2048.661,0.99,7.356736459418854,0.6459225827428534,2.8345864614187475,1.780488848716314
-0.0601,-0.0824,-0.1572,26,308.3250177607,0.0612,41.32167340308,0.0745,2067784997907690624,0.55,0.0792,-2.917,0.081,-4.322,0.093,0.953,17.713232,0.003089,19.341183,0.042177,16.493919,0.007125,2.847263,,,1.456,777.392,25.799,165.599,0.96,1.697847119149359,0.0722985355159291,1.160118837353428,0.4494612382720425
-0.1522,-0.0715,-0.1039,28,308.32543860659,0.0242,41.29207307291,0.0276,2067783799613329152,0.6606,0.0295,-2.582,0.033,-4.457,0.033,1.059,15.723376,0.002818,17.329948,0.010184,14.502935,0.003134,2.827013,,,1.46,1842.312,110.85,760.493,0.99,2.1627761367562655,0.06930824135442736,1.9771721197071563,0.07618983555507639
-0.1453,-0.0301,-0.1198,26,308.33628601727,0.0408,41.31289732255,0.0501,2067784246289929600,0.5978,0.0531,-2.835,0.054,-4.119,0.063,1.033,16.867689,0.002893,18.047539,0.009401,15.762922,0.005519,2.284616,,,1.409,1233.251,120.938,228.015,0.96,2.0240754115675674,0.012330702485395152,0.0,0.28790710474708714
-0.1262,-0.0006,-0.2537,26,308.33163580599,0.0141,41.31842939479,0.0178,2067784241993109376,0.6614,0.0187,-2.595,0.018,-4.354,0.022,1.066,14.588334,0.002783,15.630137,0.003328,13.565424,0.002967,2.064713,,,1.358,2779.412,598.249,1074.59,0.99,6.061746897254307,0.013346262534243716,0.0,0.0
-0.1252,-0.2245,-0.0371,27,308.31010065805,0.0258,41.32325865145,0.029,2067784624247060992,0.7214,0.0326,-2.609,0.037,-4.346,0.035,1.616,14.870075,0.004269,16.098179,0.014595,13.758487,0.010414,2.339692,,,1.406,333.033,75.789,108.217,0.82,4.462840114594496,0.25979770558866905,2.2899903727191444,0.4030676410997135
-0.0827,-0.1613,-0.1069,28,308.33858319917,0.0241,41.3109712055,0.0287,2067784246289928960,0.5955,0.0315,-2.684,0.032,-4.522,0.035,1.085,15.816944,0.002799,16.914755,0.006082,14.763628,0.003128,2.151127,,,1.374,2213.626,200.905,767.756,0.99,3.464786457465559,0.014767412670890767,0.0,0.09371132801903327
