pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass,q,e_q,r,mass_system,e_mass_system,r/rh
-0.0146,0.0556,-0.3438,17,1.47812032465,0.016,-30.10714629426,0.0125,2320615983021130752,4.3514,0.0184,18.775,0.017,2.75,0.015,1.083,11.977903,0.002837,12.333378,0.0037,11.453823,0.003241,0.879555,7.37,1.26,1.205,1605.752,446.772,658.305,1.0,0.9663760006363344,0.0007523704969919,0.0,0.0515058886475158,0.0,0.0532979798894016,0.39078652448971707,0.9663760006363344,0.05151138346749232,0.11366827351792769
0.001,0.0264,-0.3057,18,1.51799921009,0.0277,-30.0366146643,0.0241,2320713049281688704,4.2943,0.0328,19.075,0.033,3.063,0.028,1.07,15.308353,0.00285,16.286688,0.00571,14.325488,0.003236,1.9612,,,1.335,1490.761,217.924,662.741,1.0,0.546951195152362,0.0006194742659141,0.0,0.0,0.0,0.0,0.40524087518039204,0.546951195152362,0.0006194742659141,0.11787261779509306
-0.0171,0.11,-0.2623,17,1.56823350761,0.0173,-30.09918237938,0.0136,2320709647667590784,4.3199,0.0187,18.874,0.021,2.881,0.016,0.993,11.577116,0.002826,11.892529,0.003413,11.096456,0.003154,0.796073,6.78,1.16,1.198,1725.635,552.183,737.941,1.0,1.0402816956618293,0.0008267342795843,0.0,0.0815577325159097,0.0,0.0783996612225523,0.43264037317014875,1.0402816956618293,0.08156192262756999,0.1258423235975651
-0.0851,0.0881,-0.3087,16,1.57415491116,0.0673,-30.10822654816,0.053,2320708891753346816,4.275,0.0732,18.343,0.075,3.075,0.06,1.032,16.798937,0.003323,18.264074,0.015646,15.626607,0.005441,2.637467,,,1.427,584.43,70.523,232.408,1.0,0.3766063061950307,0.0084036721789765,0.0,0.0744984459997266,0.0,0.1978151846484125,0.4518316870095379,0.3766063061950307,0.0749709287822012,0.131424510735447
0.0351,0.03,-0.3518,17,1.41224521216,0.0952,-30.1256308827,0.0713,2320618456922292736,4.4035,0.1111,18.384,0.096,2.663,0.088,1.037,17.536684,0.003447,19.1059,0.033364,16.294256,0.010732,2.811644,,,1.493,524.024,32.656,104.775,1.0,0.2896180022753445,0.0009421461008495,0.0,0.0,0.0,0.0,0.5230941394175951,0.2896180022753445,0.0009421461008495,0.15215265621706148
0.0326,0.044,-0.3581,17,1.49618161933,0.2729,-30.17982076848,0.1941,2320614363817796480,4.2689,0.3208,18.028,0.238,2.753,0.222,1.095,18.967457,0.003853,20.691488,0.132544,17.641651,0.014753,3.049837,,,1.576,403.14,8.193,74.948,1.0,0.1562781113784707,0.0096119880724452,0.0,0.0253637421203698,0.0,0.1622987499442227,0.5467383491759163,0.1562781113784707,0.027123969640402007,0.15903005943723017
0.0049,-0.0012,-0.2876,18,1.49563835539,0.1377,-29.97923804921,0.1173,2320714488095198080,3.965,0.1615,19.304,0.159,2.769,0.139,1.222,17.891321,0.00359,19.462795,0.039739,16.574646,0.008397,2.888149,,,1.586,471.928,27.389,137.088,1.0,0.2514546210774483,0.0014692062054585,0.0,0.0,0.0,0.0,0.5481816652033347,0.2514546210774483,0.0014692062054585,0.15944987749823322
-0.0563,0.0628,-0.2544,17,1.39443224859,0.0968,-30.03741277511,0.0749,2320620204973694464,4.3831,0.1064,19.515,0.112,2.381,0.093,1.013,17.544102,0.003067,19.112379,0.035459,16.299505,0.00612,2.812874,,,1.496,806.641,30.714,199.313,1.0,0.2887586874909514,0.0009516904322799,0.0,0.0,0.0,0.0,0.5601122941797608,0.2887586874909514,0.0009516904322799,0.16292014556723622
0.1197,-0.0117,-0.3513,18,1.49233962846,0.0357,-30.18582005022,0.0318,2320614363817795200,4.2834,0.046,19.121,0.039,2.414,0.038,1.036,15.865607,0.003583,17.049721,0.01307,14.788264,0.006285,2.261456,,,1.379,473.874,85.032,192.793,1.0,0.4971048044725543,0.0008331902892022,0.0,0.0210059574046597,0.0,0.0422565970307765,0.5661751007617136,0.4971048044725543,0.02102247493860793,0.1646836371762255
0.0231,-0.023,-0.2342,18,1.43554400908,0.0548,-29.98732854438,0.0459,2320714286232269312,4.208,0.0635,18.59,0.064,2.464,0.057,1.056,16.605453,0.002953,17.982046,0.019049,15.452166,0.003778,2.529881,,,1.422,1022.979,57.619,426.297,1.0,0.4095839535660421,0.002155095843407,0.0,0.029075734647528,0.0,0.0709884613261338,0.5777042060669033,0.4095839535660421,0.0291554931940403,0.1680371138524198
