pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
0.1852,-0.108,-0.0674,15,259.31945830227,0.1278,-35.53163758067,0.0866,5975543331267277568,0.4784,0.1351,-0.383,0.172,-1.208,0.115,0.944,17.824293,0.004693,19.269293,0.034372,16.637041,0.010667,2.632252,,,1.448,285.773,31.693,105.461,0.99,1.0660470815717225,0.03763707231064188,0.9363610972729742,0.0616154171615103
0.1656,0.1152,-0.0011,14,259.31718704507,0.1806,-35.53674678401,0.1171,5975543335561230336,0.6282,0.1758,-0.426,0.233,-0.994,0.155,1.006,18.163836,0.003813,19.537868,0.047397,17.036812,0.017219,2.501057,,,1.393,411.908,22.947,63.899,0.98,1.0112229034127633,0.06617231992967489,0.7608726970187358,0.1106062944900638
0.0451,0.0425,0.0137,16,259.32356408607,0.0145,-35.54162665872,0.0106,5975543331278657408,0.6039,0.016,-0.241,0.02,-1.152,0.013,0.985,13.224785,0.003122,13.678616,0.005784,12.556005,0.005734,1.12261,,,1.257,739.311,214.302,216.725,1.0,3.8265921705886115,0.2658919384250772,2.4254223826339776,0.4604753628231719
0.0563,-0.0022,-0.0334,15,259.3345185835,0.013,-35.53188778926,0.0094,5975543365633240320,0.6104,0.0142,-0.273,0.017,-1.379,0.012,0.802,11.999269,0.002916,12.383327,0.003235,11.422116,0.00437,0.961211,,,1.225,1139.022,663.059,322.798,1.0,7.492579120987996,0.002871142849931505,0.0,0.062440536114483185
0.0676,0.0596,0.1015,16,259.31392339768,0.0302,-35.53985233884,0.021,5975543335568508416,0.6445,0.033,-0.231,0.038,-1.179,0.027,0.946,15.148893,0.00279,15.823383,0.003635,14.33845,0.003518,1.484933,,,1.278,2460.711,466.023,506.712,1.0,1.8273252964301694,0.03379747834692117,0.12390879879661769,0.2810733134932175
0.1023,-0.0069,0.0142,14,259.31446148639,0.0811,-35.52816544751,0.0546,5975543399986760832,0.619,0.0843,-0.383,0.1,-1.144,0.068,0.923,16.99897,0.003182,18.13192,0.015078,15.940258,0.008818,2.191662,,,1.372,682.133,73.272,129.796,1.0,1.3507375658098368,0.04602348499488943,1.0900936021741128,0.15384513329472316
0.1092,0.1229,0.0822,15,259.32045557018,0.0183,-35.54606053523,0.0133,5975543335568506624,0.5814,0.0203,-0.242,0.026,-1.132,0.017,0.994,13.9514,0.002768,14.45388,0.003148,13.268278,0.002949,1.185602,,,1.246,4168.385,744.415,1135.635,1.0,2.807483772661251,0.3388360610944738,1.8959089886089322,0.49693194232239046
-0.0007,0.0373,0.0322,16,259.33311809371,0.0142,-35.54419696066,0.0104,5975542575359256448,0.6217,0.0157,-0.403,0.019,-1.166,0.013,0.905,13.223074,0.002768,13.628041,0.003135,12.620294,0.002922,1.007748,,,1.233,4079.708,760.0,1253.106,1.0,4.3899861972865075,0.005436885748197574,0.0,0.0354442598158644
0.0462,0.0016,0.1421,16,259.33610429876,0.0297,-35.52331867364,0.02,5975543369920968064,0.572,0.0328,-0.015,0.036,-1.188,0.025,0.98,15.010613,0.0028,15.916443,0.004751,14.057076,0.003381,1.859366,,,1.328,2183.677,282.335,568.797,0.99,1.7131205294607148,0.027084933123513632,1.511365449062894,0.1085840971838293
-0.0505,0.0808,0.0825,15,259.33747112139,0.0242,-35.52389782076,0.0162,5975543369928829312,0.5964,0.0264,-0.315,0.03,-1.349,0.021,1.027,14.44346,0.00277,14.945303,0.003289,13.756889,0.002937,1.188414,,,1.249,3801.237,623.353,1185.651,1.0,2.684159045469164,0.005920516850595394,0.21811370926030837,0.3347804689330778
0.1431,0.1064,0.1115,15,259.33716438561,0.0234,-35.54867355426,0.0168,5975542579654256640,0.5688,0.0262,-0.441,0.033,-1.521,0.022,1.047,7.827816,0.002793,8.210485,0.003297,7.23573,0.003167,0.974755,,,1.236,2373.875,618.329,724.649,0.99,19.005407703389594,0.19593052194967492,8.966720652253999,6.656852981543222
0.0288,-0.0036,0.0431,16,259.31787462511,0.031,-35.51527929947,0.0224,5975543438647730688,0.564,0.0335,-0.391,0.041,-1.219,0.029,1.067,15.206432,0.00278,15.843003,0.007382,14.385329,0.004805,1.457674,,,1.3,2931.295,158.865,277.505,1.0,1.9337590484752532,0.064630451440737,0.24269982288282926,0.347468161852354
0.4326,-0.0701,-0.0319,13,259.33688454741,0.2876,-35.55248336187,0.2041,5975542579654255360,0.4311,0.2847,-0.637,0.433,-1.224,0.3,1.045,18.855904,0.006802,19.792648,0.135775,17.661732,0.038615,2.130917,,,1.57,174.583,7.998,28.191,0.95,0.9640145905888444,0.018120617508267076,0.0,0.09302518423778967
0.2551,-0.1532,0.0102,14,259.33088472471,0.0869,-35.55470654697,0.0616,5975542575359254400,0.4746,0.0831,-0.222,0.117,-0.976,0.079,1.012,17.008167,0.003579,18.107231,0.016733,15.972651,0.008773,2.13458,,,1.356,475.34,65.809,130.532,0.97,1.3866172326439246,0.04118478789882937,0.9212040947420228,0.2576085944688863
0.0658,-0.0161,0.044,15,259.31669566896,0.081,-35.55461959291,0.0588,5975519107651684480,0.4751,0.0866,-0.102,0.106,-1.309,0.074,1.379,16.64607,0.003773,17.796295,0.024712,15.480713,0.011726,2.315582,,,1.483,421.212,44.218,95.33,0.99,1.426589255836185,0.03803470897695354,1.2365733574153663,0.11328520310576752
0.0284,-0.0047,0.016,15,259.34311743342,0.0214,-35.55074881646,0.015,5975542506639789312,0.6307,0.0232,-0.421,0.029,-1.436,0.019,1.058,14.13246,0.002778,14.613498,0.003589,13.456491,0.003081,1.157007,,,1.25,3042.962,480.871,830.337,1.0,3.044406151985358,0.004773518376017836,0.14469496547788477,0.27262735641324
-0.003,0.0228,0.0586,16,259.34259344176,0.0154,-35.55232986497,0.0116,5975542506639788800,0.607,0.0171,-0.161,0.02,-1.41,0.014,0.984,13.398597,0.002773,13.857303,0.003132,12.741343,0.003473,1.11596,,,1.246,3446.368,762.525,524.959,1.0,4.066584784564435,0.0228622508105309,0.7560202747350051,0.5616815715041605
0.0628,-0.2,0.0351,15,259.32406456216,0.2338,-35.51177064861,0.1679,5975543434346530816,0.6848,0.2599,-0.026,0.334,-1.549,0.226,0.991,18.687893,0.004123,20.137554,0.068149,17.540361,0.018852,2.597193,,,1.402,354.062,15.945,58.235,0.96,0.9252992912636013,0.046939121124909555,0.4284432527440113,0.2159915977723446
0.0891,0.1234,0.1138,15,259.31091011846,0.0166,-35.55552696638,0.0119,5975519867867200384,0.5854,0.0186,-0.317,0.024,-1.211,0.015,1.013,13.676987,0.002769,14.182666,0.002979,12.989239,0.002826,1.193427,,,1.248,3881.662,1040.891,2418.305,1.0,3.130270864625745,0.2283614991624481,2.1067190263743987,0.3344062242474326
-0.125,0.0835,-0.0406,15,259.35344097459,0.0232,-35.52865954854,0.0172,5975542717093213056,0.6326,0.0252,-0.32,0.031,-1.215,0.023,1.075,14.436522,0.002776,14.958093,0.003469,13.720089,0.003274,1.238004,,,1.263,3209.002,526.699,633.664,1.0,2.638191523382568,0.02946929701238627,1.2348958874937461,0.21847928958275653
0.1056,-0.0367,0.0277,16,259.33291962373,0.0587,-35.51112036421,0.0422,5975543541726942976,0.6934,0.0616,-0.262,0.078,-1.227,0.054,0.974,16.571836,0.003552,17.581276,0.008497,15.579968,0.007047,2.001307,,,1.336,484.423,135.273,167.784,1.0,1.5199826226284825,0.013923021718354243,0.5510105554013195,0.38882647512415414
0.1939,-0.0946,-0.0293,15,259.2968553276,0.2006,-35.52352587571,0.1409,5975520138443895680,0.549,0.2081,-0.26,0.271,-1.626,0.185,1.241,18.152206,0.005252,19.1411,0.064644,16.607018,0.042662,2.534082,,,2.039,242.823,16.811,25.504,0.96,1.1006651772820577,0.06564363513719966,0.7914700509741708,0.16813789747398022
0.2049,-0.0575,0.0105,15,259.33563426166,0.0807,-35.51062421136,0.0575,5975543468706273536,0.5689,0.0805,0.02,0.107,-1.023,0.074,1.033,17.036074,0.003182,18.148026,0.015455,15.959352,0.007089,2.188674,,,1.395,682.274,71.423,166.618,0.98,1.3507038341798916,0.0454871751252882,1.0629553427952483,0.16338869420754615
-0.032,0.0069,-0.0981,14,259.36253677933,0.0204,-35.53667235889,0.0155,5975542648373731072,0.6269,0.022,-0.304,0.028,-1.196,0.021,0.802,7.8071,0.002814,8.177366,0.003321,7.232986,0.003293,0.94438,,,1.23,1897.307,603.026,621.088,1.0,18.38978638761756,0.2784247106656156,16.900646809203252,1.2688260640321027
0.0302,0.0395,0.04,16,259.34317190051,0.018,-35.56296183093,0.0127,5975542506633501440,0.5501,0.0198,-0.044,0.024,-1.55,0.016,1.121,13.829617,0.002772,14.400787,0.003153,13.083253,0.00286,1.317534,,,1.266,3609.988,739.32,1734.127,0.91,2.9903092161991025,0.08163993500465015,1.7842695886014968,0.09934546374633842
0.0806,0.0097,0.0681,16,259.35473931389,0.033,-35.55655110151,0.0232,5975542540993249408,0.5651,0.0364,-0.216,0.043,-1.216,0.03,1.015,15.42825,0.002794,16.375582,0.004264,14.45027,0.003064,1.925312,,,1.339,2332.151,336.774,856.764,1.0,1.6526890046579177,0.029118121919256196,1.3627241704513862,0.268705479708655
0.0005,0.0068,0.0532,16,259.30818953408,0.0171,-35.50173328366,0.0123,5975543644806166912,0.5781,0.0187,-0.242,0.022,-1.297,0.015,0.961,13.785681,0.003059,14.238132,0.004649,13.151147,0.004602,1.086986,,,1.233,816.774,291.969,296.711,1.0,3.49595771726757,0.0038447878695039355,0.0,0.025607445929899747
-0.1071,0.0893,-0.0413,15,259.37035968808,0.0241,-35.54160419775,0.0176,5975542644078773504,0.6265,0.0262,-0.271,0.032,-1.136,0.024,0.949,14.605885,0.002795,15.220127,0.003791,13.836373,0.003095,1.383754,,,1.267,2300.38,423.118,810.41,1.0,2.2234259610895495,0.1122807108687728,1.5771778865906236,0.08654293306463871
0.0549,-0.0088,0.0492,16,259.28311585347,0.0412,-35.51533906813,0.0294,5975520211464601216,0.7106,0.0446,-0.502,0.054,-0.932,0.038,0.946,15.905276,0.003054,16.853817,0.006963,14.942672,0.004666,1.911145,,,1.324,824.218,170.199,290.332,0.85,1.605146018288871,0.027258286716232927,0.9230315797034986,0.48272630336258754
-0.2399,0.1895,-0.1648,15,259.36944245771,0.0162,-35.52212977985,0.0119,5975542678431087872,0.6242,0.0182,-0.211,0.024,-1.425,0.017,0.823,11.560555,0.002797,11.905581,0.003003,11.029742,0.002889,0.875839,,,1.214,2266.56,976.744,1447.973,1.0,8.46226315612646,0.00698639868970662,0.0,0.0
0.037,-0.0068,0.0301,16,259.27843139612,0.029,-35.52062673563,0.0208,5975520211464601088,0.611,0.0312,-0.239,0.038,-1.4,0.027,1.035,15.160218,0.002779,15.903287,0.003501,14.30974,0.002923,1.593547,,,1.287,2984.391,513.598,1247.263,1.0,1.8028718976172198,0.07234306353947602,0.559146138867827,0.6745589875986803
-0.367,0.2803,-0.2518,14,259.34907648427,0.0229,-35.49949100483,0.0175,5975543507368064640,0.6555,0.0248,-0.423,0.033,-1.206,0.025,1.001,14.320866,0.002769,14.803617,0.003343,13.648845,0.003238,1.154772,,,1.247,3958.123,589.873,660.653,1.0,2.824121338418485,0.00299908937070238,0.0,0.07722509754584185
0.0816,-0.0161,0.0507,16,259.32035246119,0.0332,-35.57579259444,0.0232,5975519008873731712,0.6933,0.0366,-0.206,0.044,-1.45,0.03,1.052,15.42828,0.003662,16.317532,0.016152,14.469054,0.007872,1.848477,,,1.338,450.14,68.245,147.491,0.99,1.6710186003469056,0.023786142048041872,1.1852576182848014,0.3944586068032514
0.0476,-0.0057,0.0763,16,259.31937549066,0.0228,-35.49259343295,0.0166,5975543747885382528,0.6001,0.0248,-0.243,0.03,-1.418,0.022,0.924,14.618252,0.00277,15.096669,0.003286,13.956037,0.003,1.140633,,,1.241,3811.389,625.813,986.122,1.0,2.5093550812934877,0.003533956911939618,0.0,0.044302059841528796
0.2011,-0.0269,-0.008,15,259.34001594135,0.201,-35.57600816103,0.1349,5975518837067714688,0.5987,0.2126,-0.464,0.265,-1.109,0.181,1.074,18.343414,0.00347,19.825821,0.05938,17.066521,0.014634,2.7593,,,1.55,514.66,18.305,75.581,0.98,0.9477622603009255,0.0617011024810097,0.7616116332611669,0.07893913100292362
0.1723,-0.144,-0.042,15,259.31337143031,0.1268,-35.4889095956,0.0872,5975543743584217856,0.5894,0.1339,-0.289,0.173,-1.037,0.115,0.998,17.808212,0.004243,18.990337,0.025378,16.730715,0.010027,2.259623,,,1.38,336.534,43.043,112.734,0.99,1.2275791649732837,0.034428606478989536,0.33281783389317554,0.30357093264218843
0.0386,0.0357,0.0199,16,259.34691959089,0.015,-35.58318824316,0.0106,5975518832773727360,0.6168,0.0165,-0.284,0.02,-1.205,0.014,0.927,13.292045,0.002769,13.731161,0.002956,12.663003,0.002875,1.068158,,,1.235,3941.471,1111.629,1570.37,1.0,4.260264433917046,0.0033539307276957094,0.0,0.047346668876344485
0.0071,-0.0148,0.0023,16,259.26640793526,0.1313,-35.5679318198,0.0889,5975519760486688768,0.5321,0.1408,-0.529,0.178,-1.126,0.118,0.956,17.829096,0.00313,19.192213,0.028221,16.713654,0.007325,2.478559,,,1.383,731.049,38.662,160.321,0.99,1.0786681902620703,0.047971428361410696,0.9119549805347583,0.09173347216107527
0.0702,0.0012,0.0305,16,259.30133569539,0.0691,-35.590164798,0.0485,5975518974513993088,0.577,0.0734,-0.475,0.089,-1.262,0.062,0.95,16.820971,0.003264,17.957981,0.026266,15.759339,0.007382,2.198642,,,1.374,620.64,41.571,158.852,1.0,1.3861859622859742,0.04058033662626013,1.1671067478978332,0.13821084509094833
0.1026,-0.0013,0.0169,16,259.29529776554,0.0197,-35.5912243312,0.0139,5975518935852930048,0.5902,0.0211,-0.36,0.026,-1.246,0.018,0.974,14.085641,0.002771,14.568156,0.003019,13.420185,0.003003,1.147971,,,1.242,3744.79,942.677,978.315,1.0,3.0978280468639587,0.003382556413780645,0.0,0.18489897038606884
0.0782,-0.1177,0.039,15,259.36045871013,0.2809,-35.58998531776,0.2113,5975518764054234752,0.4765,0.2902,-0.668,0.368,-0.989,0.277,0.996,18.891918,0.007737,20.161491,0.087816,17.560631,0.047612,2.600861,,,1.66,150.173,12.37,22.843,0.93,0.879010594622688,0.04704010348191583,0.4564369793609026,0.19380218974486704
0.2292,-0.2093,-0.0999,14,259.24824687383,0.1456,-35.55302079867,0.0959,5975520039665905024,0.4546,0.1571,0.061,0.221,-1.307,0.138,0.991,17.89756,0.004331,19.115631,0.041661,16.800985,0.013468,2.314646,,,1.392,324.913,26.12,82.404,0.98,1.1789380238549807,0.05308164438921053,0.549143654461954,0.2561679650174605
-0.1935,0.1916,-0.099,14,259.352732709,0.0443,-35.59712537853,0.0323,5975518768356153984,0.6425,0.0473,-0.304,0.06,-1.35,0.045,0.958,15.916965,0.002814,16.694923,0.005896,15.02361,0.003842,1.671313,,,1.313,1899.527,209.048,411.184,1.0,1.6328886897301365,0.002277469077022549,0.0,0.07205792559949402
-0.0707,0.0885,-0.0038,15,259.38672663658,0.0675,-35.57801636223,0.0506,5975539315479094144,0.7002,0.0715,-0.194,0.087,-1.593,0.066,0.984,16.771605,0.003125,17.911366,0.010537,15.715672,0.006061,2.195694,,,1.367,736.133,106.849,201.779,0.98,1.3932195701563952,0.03827311436547546,1.1870991395645698,0.16070095101539256
0.1942,-0.0278,0.0217,16,259.25491588092,0.1563,-35.57083711439,0.1127,5975519588687991552,0.4558,0.1612,-0.672,0.218,-1.112,0.152,1.034,18.115788,0.003351,19.732092,0.051783,16.950315,0.013276,2.781776,,,1.395,569.186,20.998,83.65,0.94,0.9877252233465087,0.06045316444664037,0.7987203233374693,0.08534381229286293
0.0277,-0.0778,-0.215,13,259.35028232399,0.1489,-35.47136421121,0.1048,5975544155899059200,0.4382,0.1476,-0.25,0.2,-1.26,0.144,0.927,17.820749,0.003721,18.988525,0.037661,16.768131,0.01144,2.220394,,,1.357,434.065,28.909,97.863,0.99,1.241651077567721,0.0069811845474328895,0.10313341248517795,0.1723916949579539
0.0284,-0.0134,-0.3061,13,259.40596678825,0.1483,-35.52673034027,0.104,5975542850230949376,0.6486,0.1525,0.147,0.192,-1.52,0.145,0.906,17.806707,0.003185,19.272709,0.034449,16.634504,0.006473,2.638205,,,1.427,679.911,31.621,185.891,0.94,1.0704308727321041,0.04140236881975636,0.9334455080585662,0.0684274786835364
-0.1077,0.229,-0.2333,14,259.40036471527,0.126,-35.56285066831,0.0883,5975539418550975488,0.6723,0.1427,-0.536,0.192,-1.19,0.138,0.977,17.71517,0.003752,19.078094,0.033429,16.583206,0.009099,2.494888,,,1.401,426.339,32.592,125.363,0.99,1.1217749124192864,0.042312712647047605,0.9366172283135589,0.08100344455716442
0.0878,-0.0206,-0.2802,13,259.40934159319,0.1534,-35.52770033063,0.1078,5975542781511469952,0.4784,0.1606,-0.266,0.196,-1.462,0.154,0.947,17.849291,0.00358,19.318813,0.043647,16.672691,0.008942,2.646122,,,1.431,475.069,24.926,127.803,0.98,1.0620322536628142,0.0440700053480802,0.9133388946475804,0.07079142981854088
-0.2624,0.2035,-0.1983,13,259.41419095546,0.0183,-35.52807267354,0.0138,5975542820173295616,0.6706,0.0197,-0.391,0.024,-1.04,0.018,0.996,13.628872,0.002773,14.24188,0.003137,12.853948,0.002926,1.387933,,,1.272,3474.38,756.851,1230.089,0.99,3.3095340757252325,0.07089145981574654,1.7570010950366488,0.06998044268083485
0.1043,0.0016,0.0557,14,259.24968274044,0.0792,-35.490766003,0.0564,5975532031214613376,0.5335,0.0841,-0.584,0.099,-1.163,0.071,1.088,16.894829,0.003439,17.97484,0.015039,15.797526,0.008558,2.177314,,,1.425,527.503,73.469,134.206,0.97,1.3789321343289769,0.042919649298954435,1.1343668429486724,0.17893537721803504
-0.1052,0.0466,0.0084,15,259.23155993673,0.0938,-35.53894979355,0.0662,5975531786395170304,0.4996,0.1004,-0.502,0.128,-0.95,0.087,1.035,16.851904,0.002992,18.838591,0.019397,15.500699,0.00396,3.337892,,,1.578,931.066,56.563,386.305,0.96,1.2932405008513777,0.03597553582411346,1.1716161245170058,0.06542359376216181
-0.1432,0.0875,-0.0229,15,259.35265071778,0.0294,-35.45995312191,0.0216,5975544194562827392,0.6362,0.0312,-0.333,0.041,-1.267,0.03,1.0,15.13365,0.002956,16.095407,0.004722,14.160624,0.003827,1.934784,,,1.33,1013.029,285.041,414.419,1.0,1.6884254465577617,0.030562801971263407,1.4611588132958613,0.1911493930408348
0.0968,-0.0373,0.0709,17,259.2378130327,0.0603,-35.57736787909,0.0454,5975519558629563136,0.6098,0.0643,-0.431,0.082,-1.157,0.059,0.965,16.708143,0.003152,17.698608,0.009556,15.719735,0.005189,1.978873,,,1.337,708.872,118.8,248.185,1.0,1.5076394568596627,0.0035350855337826738,0.11784607702322601,0.20934481139242705
0.2045,0.0252,0.032,16,259.29382707881,0.2533,-35.61541926539,0.1671,5975518489176284544,0.5601,0.2613,-0.646,0.336,-1.529,0.227,0.96,18.826475,0.003774,19.819656,0.058189,17.856209,0.017872,1.963448,,,1.319,421.014,18.68,61.504,0.96,0.9472806142991058,0.020980363402307554,0.0,0.08188341325457582
0.1568,-0.1389,0.0385,16,259.23264780694,0.1875,-35.57624888502,0.1348,5975519554334453632,0.6029,0.204,-0.626,0.271,-1.518,0.192,0.973,18.508751,0.003858,19.918995,0.070818,17.353228,0.010359,2.565767,,,1.418,402.15,15.343,108.829,0.97,0.946334445623008,0.06708569960388554,0.5978311686605611,0.15536084165687544
0.0026,0.0968,-0.1959,15,259.31001724843,0.2727,-35.62041397774,0.1883,5975518660974967040,0.625,0.303,-0.386,0.411,-1.439,0.269,1.075,18.852171,0.004723,20.286924,0.092948,17.663172,0.014788,2.623753,,,1.452,283.072,11.686,74.761,0.97,0.8760091401126929,0.04258974002942644,0.406662429640284,0.21229960639791096
0.0394,0.039,0.0466,17,259.27850859632,0.0348,-35.6129174363,0.0248,5975518557895765760,0.5595,0.0383,-0.343,0.048,-1.416,0.033,0.946,15.558584,0.002793,16.401979,0.004412,14.647362,0.003187,1.754618,,,1.308,2367.829,317.732,704.952,1.0,1.6792806783741134,0.0034692054147816434,0.16629817521786133,0.3115064094405093
-0.0849,0.0852,-0.0501,15,259.32913185095,0.0669,-35.44829806054,0.05,5975544224618574208,0.6543,0.0692,-0.137,0.092,-1.163,0.069,1.011,16.724184,0.003224,17.85331,0.010034,15.682796,0.005857,2.170513,,,1.355,648.944,112.643,210.82,1.0,1.4091292680367413,0.04360618286387921,1.161426683842226,0.20302170903032518
0.0266,0.0064,0.0384,16,259.32028271464,0.0278,-35.6224865539,0.0193,5975518592255487488,0.5646,0.0298,-0.277,0.036,-1.113,0.025,0.939,14.894361,0.002776,15.423759,0.003233,14.17875,0.003166,1.245008,,,1.259,3201.802,664.5,725.623,1.0,2.205788634790378,0.01005467727655859,0.2649956448108394,0.2807164310748296
-0.1488,0.0841,-0.0425,15,259.42779826868,0.0198,-35.56637230388,0.0148,5975539757854421760,0.5823,0.0216,-0.267,0.026,-1.268,0.019,0.942,14.043501,0.002776,14.806686,0.003175,13.168783,0.002853,1.637903,,,1.301,3176.334,716.379,1827.425,1.0,2.579702578093349,0.09091839369827799,1.740828787010729,0.029835501590646515
0.2399,-0.0771,-0.1997,14,259.21557969809,0.2443,-35.51636780575,0.1646,5975532061273122560,0.4387,0.245,0.088,0.344,-1.497,0.239,0.996,18.611021,0.00389,20.080601,0.052093,17.412361,0.012797,2.66824,,,1.457,395.365,20.872,86.937,0.93,0.8979417212736951,0.057791597184709394,0.6422414837129539,0.11657255894388603
-0.1768,0.1297,-0.1413,13,259.31690795072,0.0396,-35.44205033484,0.0288,5975555975649105024,0.5647,0.042,-0.068,0.052,-1.199,0.039,1.042,15.598454,0.002787,16.42453,0.004975,14.692437,0.003243,1.732093,,,1.309,2582.082,263.62,656.902,0.99,1.6744843301533894,0.0021858151641311577,0.0,0.1505097629540834
0.2493,-0.4146,-0.2086,15,259.28903474678,0.1619,-35.4461893988,0.1196,5975555632053757952,0.5505,0.185,-0.395,0.245,-1.046,0.147,1.031,18.376451,0.027108,19.463657,0.133163,17.342113,0.069237,2.121544,,,1.358,40.26,8.155,15.694,0.98,1.0861602252674247,0.011026930656599664,0.0,0.07242745978455385
0.0726,0.1845,0.1109,15,259.23091111776,0.0134,-35.47885131466,0.0097,5975532267430361600,0.6215,0.0152,-0.255,0.019,-1.229,0.013,0.929,12.369564,0.002774,12.757222,0.003119,11.791718,0.002891,0.965505,,,1.224,3383.51,778.371,1433.213,1.0,6.199549223682925,0.005019938601282172,0.0,0.06337951430341673
