pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass,q,e_q,r,mass_system,e_mass_system,r/rh
0.0503,0.2613,0.3039,17,78.45524308876,0.1259,35.46015002992,0.0756,185388999156718336,1.1499,0.1425,0.61,0.162,-5.071,0.113,1.03,18.062389,0.003042,18.984077,0.026102,17.101007,0.008644,1.88307,,,1.331,841.873,41.836,132.714,0.98,0.6686543803870478,0.0017430507825256,0.0,0.0445823159388555,0.0,0.0666746786479574,0.4159308939913695,0.6686543803870478,0.04461637726779699,0.0946039382972805
0.0678,0.1679,0.2961,17,78.43009663891,0.0388,35.45108244366,0.0222,185388281901722496,1.0705,0.0428,0.652,0.051,-4.932,0.035,1.05,15.657797,0.00284,16.173952,0.004214,14.966959,0.003862,1.206993,,,1.246,1581.224,343.738,406.509,1.0,1.0172395290219318,0.0010102467790177,0.0,0.0500087483295977,0.0,0.0491612318464272,0.5231122690961918,1.0172395290219318,0.05001895148888626,0.11898245968993446
0.0865,0.1947,0.3342,17,78.44227340835,0.0157,35.445912276,0.0093,185387525987477376,1.0036,0.0177,0.655,0.021,-4.989,0.015,0.973,13.607078,0.002765,13.9293,0.002896,13.116235,0.00284,0.813066,,,1.201,4806.176,1401.155,2047.771,1.0,1.5281995299682496,0.0101437721587926,0.7642197212713101,0.1983690057797498,0.5000784951734594,0.1298481320522395,0.5971025788986258,2.2924192512395596,0.19862819177462174,0.135811636854378
0.0578,0.222,0.3099,16,78.42612532928,0.0185,35.43990560334,0.011,185388247541986560,0.9969,0.0219,0.683,0.025,-4.984,0.017,0.966,10.25106,0.002772,10.348646,0.002845,10.044072,0.002801,0.304574,,,1.172,3532.609,1959.498,4392.574,1.0,3.6010434356267007,0.0219420511950424,0.0,0.21257042783593,0.0,0.0590302315525765,0.7232020294891798,3.6010434356267007,0.21369988395176115,0.1644930952777027
0.0353,0.0797,0.2601,17,78.39559258062,0.0318,35.51014684511,0.0188,185393057905348608,0.8929,0.0345,0.681,0.042,-4.909,0.029,1.102,15.224688,0.002773,15.739063,0.003435,14.530299,0.003014,1.208764,,,1.249,3435.852,541.693,951.751,0.98,1.079925862901867,0.0119279683628751,0.7001034751362768,0.0571978484829525,0.6482884605199007,0.0534464378319304,0.799608098712991,1.780029338038144,0.058428334738759594,0.181871739573688
0.0421,0.0529,0.2761,17,78.40040915739,0.0231,35.43767873104,0.0136,185388208884512256,0.9777,0.0254,0.791,0.031,-4.952,0.021,1.499,11.787802,0.002782,11.952067,0.002854,11.495802,0.00281,0.456265,,,1.174,2803.915,1804.73,3260.392,1.0,2.48462844254287,0.0664174681238564,1.422517173047464,0.1448366939694584,0.572527122643578,0.0602686553948099,0.9176516910921036,3.907145615590334,0.15933909749959685,0.20872088420600432
0.1101,0.1889,0.2085,17,78.42552730985,0.0222,35.533403731,0.0134,185393195344291200,0.9594,0.0237,0.798,0.029,-5.071,0.021,1.099,14.41118,0.002776,14.906192,0.003261,13.745827,0.002922,1.160365,,,1.237,3190.357,643.426,1251.703,1.0,1.1549953855878088,0.0238718255173841,1.0735333284314073,0.0326264713507553,0.9294697986044824,0.0341614419595909,0.933241594177604,2.228528714019216,0.04042710336314101,0.21226682477177497
0.0514,0.0205,0.2748,17,78.38284039989,0.0209,35.44899482716,0.0123,185388380683203200,1.0373,0.0231,0.703,0.028,-4.922,0.019,1.01,11.069361,0.002773,11.179953,0.002846,10.849974,0.002803,0.329979,,,1.17,3442.356,1944.223,4005.882,1.0,3.123725374409132,0.001002882381437,0.0,0.0,0.0,0.0,0.960674931702204,3.123725374409132,0.001002882381437,0.21850656749817024
0.0126,0.2201,0.2998,16,78.41922869009,0.0658,35.42373659355,0.0371,185387388548531328,1.0682,0.0724,1.101,0.08,-4.643,0.056,1.147,16.501362,0.002873,17.077715,0.006985,15.661957,0.005001,1.415758,,,1.338,1331.666,169.557,261.601,0.82,0.8726330332708155,0.0013121812615762,0.0,0.0733945006219842,0.0,0.0841069473921768,1.0172732601284404,0.8726330332708155,0.07340622958042234,0.23137991941195232
0.1797,0.1648,0.1924,17,78.43455238562,0.0139,35.54264431742,0.0086,185393229704025984,1.0129,0.0147,0.767,0.018,-4.906,0.013,1.042,13.174799,0.002772,13.419842,0.002892,12.775634,0.002899,0.644208,,,1.187,3548.216,1429.679,1376.922,1.0,1.7106112025166058,0.0105183118197849,0.6081289920854445,0.3504360614418956,0.3555039223353508,0.2048718085800443,1.0741107117814543,2.31874019460205,0.35059387907156375,0.24430766016608818
