pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass,q,e_q
-0.1364,0.2185,0.3579,19,87.49006878461,0.1233,27.00298601411,0.1009,3430970032400234624,1.1469,0.1452,-0.181,0.162,-1.116,0.103,0.991,18.002789,0.003623,19.140558,0.035674,16.991947,0.010337,2.148611,,,1.322,461.544,30.528,109.084,0.94,0.5938067837584147,0.0134158372194039,0.4690524996792202,0.0367016000464138,0.7899076139050144,0.0643322243509902
-0.1433,0.1359,0.3146,19,87.46160287302,0.0497,27.02825635217,0.0394,3430970302980060288,1.118,0.0565,-0.345,0.064,-1.037,0.041,1.007,16.424768,0.003257,17.044735,0.007819,15.654139,0.006689,1.390596,,,1.266,625.477,148.642,178.594,0.99,0.806035860095978,0.0011110147990302,0.0,0.0998477945406618,0.0,0.1238751270058537
-0.2648,0.16,0.2586,18,87.45820491948,0.1914,27.01400897527,0.1552,3429469091651892480,0.935,0.2062,-0.141,0.255,-0.985,0.161,0.915,18.633221,0.003362,20.180193,0.072605,17.431366,0.014515,2.748827,,,1.448,563.45,14.965,76.224,0.82,0.5307301253116873,0.0067315969629316,0.3909673866854957,0.0299694619371925,0.7366594961156356,0.05723615782786236
-0.136,0.1468,0.3204,19,87.51160005717,0.0302,27.03455343121,0.0243,3430970199900849408,1.1341,0.0344,-0.313,0.039,-1.074,0.025,1.001,15.427797,0.002885,15.87646,0.004631,14.804317,0.0039,1.072143,,,1.227,1269.637,293.79,398.435,0.99,0.9693291744462652,0.000884417881433,0.0,0.0144445491945527,0.0,0.014901593365127207
-0.1265,0.1422,0.2975,19,87.455797437,0.0217,27.03974175058,0.0173,3430973262215639168,1.1717,0.0246,-0.071,0.028,-0.892,0.018,0.951,14.651006,0.002826,15.039673,0.003556,14.088835,0.003265,0.950838,,,1.213,1724.711,492.582,640.138,0.78,1.1208757372987346,0.0005060180318208,0.0,0.0,0.0,0.0
-0.2369,0.1205,0.3245,19,87.47872752091,0.0323,27.05892571824,0.0263,3430973399654582528,1.1623,0.0374,-0.287,0.042,-1.001,0.027,2.758,13.22576,0.00277,13.510867,0.002892,12.775716,0.002856,0.735151,,,1.195,3824.556,1428.877,1781.827,0.99,1.454606553810873,0.0112286536373539,0.9456330434780894,0.0461309539638257,0.6500954096491992,0.032108290581380663
0.0477,0.1981,0.4564,18,87.51538068261,0.017,27.05104666604,0.0142,3430970788314460672,1.0847,0.0206,-0.332,0.022,-1.037,0.014,1.114,13.010672,0.002778,13.217399,0.002918,12.670165,0.002844,0.547234,,,1.175,3071.417,1273.257,1966.033,1.0,1.5715269758008232,0.0007429035127029,0.0,0.0,0.0,0.0
-0.1674,0.1374,0.3038,19,87.49759452567,0.0521,27.06070845344,0.0421,3430970474778766208,1.0935,0.059,-0.235,0.069,-0.95,0.045,0.999,16.529488,0.003035,17.178282,0.010636,15.748611,0.006333,1.42967,,,1.263,852.437,105.791,190.981,0.99,0.7897136407599693,0.0019527950847804,0.0,0.1572610492045901,0.0,0.1991368023645283
-0.0772,0.3217,0.3156,18,87.43365078551,0.087,27.02887942746,0.0693,3429472046589401472,1.1074,0.1061,-0.22,0.117,-1.044,0.067,1.015,17.402996,0.002966,18.237944,0.013996,16.50169,0.006573,1.736254,,,1.302,989.08,79.163,182.426,0.98,0.6872933285276873,0.0019693359649328,0.0,0.1204107771807046,0.0,0.17519561471467696
-0.1062,0.1436,0.2493,19,87.44699832146,0.0152,26.96556135284,0.0118,3429468649271501824,1.0739,0.0172,-0.099,0.02,-0.855,0.012,0.978,12.73836,0.002772,12.905267,0.002847,12.45771,0.002866,0.447556,,,1.167,3590.557,1918.426,1653.084,0.7,1.6765348337399797,0.000787088942715,0.0,0.0,0.0,0.0
-0.0959,0.1544,0.3061,19,87.42567025738,0.0604,26.98195395377,0.0481,3429468855429932416,1.1851,0.069,-0.403,0.078,-1.054,0.049,1.021,16.797741,0.003248,17.475122,0.011474,15.980866,0.006927,1.494256,,,1.282,631.042,97.555,171.236,0.97,0.7556423277745122,0.0010603405895941,0.0,0.0639388671047632,0.0,0.08461525347987507
-0.1061,0.2239,0.357,19,87.41099495781,0.1507,27.04654514959,0.121,3429472321467326976,1.017,0.1805,-0.407,0.202,-1.004,0.126,0.992,18.391418,0.003267,19.664127,0.047418,17.219913,0.01061,2.444214,,,1.463,618.243,22.937,106.06,0.94,0.5398742648661016,0.0114911682169723,0.4769733161952139,0.019869731694765,0.8834896331157992,0.041330244143526026
-0.1191,0.1959,0.3014,19,87.45045997137,0.0438,26.95360275442,0.0346,3429468580552027392,1.1646,0.0507,-0.217,0.058,-0.997,0.035,1.009,16.182066,0.003137,16.760853,0.00955,15.454709,0.005248,1.306144,,,1.248,724.208,118.875,244.264,0.99,0.8405797861409938,0.0007738208504517,0.0,0.0253595561978773,0.0,0.030169124473359198
