pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
0.4326,0.0109,-0.1263,13,39.09075107483,0.0178,50.01014425018,0.0221,450614190443838464,1.3585,0.0243,2.456,0.025,-2.657,0.038,1.599,12.386946,0.002767,12.707207,0.002895,11.900533,0.002888,0.806674,-9.41,6.48,1.199,4286.741,1407.015,1455.485,0.99,1.360424658883044,0.019551699787933793,1.298012266208406,0.024011538448557693
0.216,0.182,0.0884,16,39.12419092543,0.1104,49.97761497111,0.1285,450613365809583744,1.3593,0.1605,2.261,0.143,-2.738,0.167,1.02,18.194439,0.003241,19.43049,0.072578,17.12286,0.011519,2.307631,,,1.362,636.0,14.971,97.148,0.98,0.5487478559285777,0.007508729858386229,0.1981326500835883,0.12646326218837356
0.176,0.1667,0.3461,15,39.20952522467,0.0157,49.99475981082,0.0156,450613571968548736,1.4124,0.0211,2.311,0.02,-2.537,0.022,0.969,14.181204,0.002807,14.56139,0.005895,13.581398,0.00508,0.979992,,,1.242,2019.518,209.095,255.793,1.0,1.0927317294584686,0.001924504881051816,0.3157875299566539,0.21237038510806955
0.2508,0.0938,0.1197,16,39.1765680749,0.0195,50.06154048268,0.0215,450620585651420288,1.3941,0.0257,2.32,0.029,-2.733,0.031,1.062,14.799641,0.002847,15.262455,0.004794,14.167713,0.003274,1.094742,,,1.227,1516.255,278.466,633.769,1.0,0.9722720635237336,0.0004944850535611309,0.0,0.06135910411396095
0.2074,0.2384,0.2594,16,39.22080194587,0.0206,49.96523699079,0.0211,450610586967586432,1.4393,0.0269,2.413,0.028,-2.561,0.029,1.101,14.872298,0.002885,15.338204,0.004572,14.242919,0.003929,1.095285,,,1.224,1269.288,299.755,392.409,1.0,0.9595328259797746,0.0005620525248677496,0.0,0.03182737240019614
0.1906,0.3008,0.2516,16,39.22030708576,0.018,49.95736911893,0.0182,450610483888375296,1.4128,0.0247,2.307,0.025,-2.528,0.025,0.968,14.615587,0.002851,15.055088,0.00382,14.010448,0.003364,1.04464,,,1.219,1483.417,416.198,577.885,1.0,1.0058399144608041,0.0005570402069830949,0.0,0.049826475520991766
0.1019,0.1984,0.2157,17,39.23336188361,0.0346,50.06560129021,0.0349,450619898456647168,1.4829,0.0458,2.381,0.052,-2.533,0.05,1.421,15.57315,0.002922,16.136808,0.004863,14.829798,0.003892,1.307011,,,1.266,1115.4,272.593,400.055,1.0,0.849819676575749,0.0010020499568220965,0.0,0.1356967706191832
0.1282,0.2961,0.0182,16,39.0147071456,0.0182,49.96406035587,0.0186,450612785990856064,1.3688,0.0237,2.195,0.025,-2.481,0.027,1.008,14.43106,0.002836,14.943804,0.003943,13.757927,0.003413,1.185877,,,1.235,1619.065,389.738,552.576,0.99,0.9452470128699468,0.020392752769797084,0.8607443531833325,0.031186983775718644
0.1317,0.181,0.2824,16,39.26921852376,0.0797,49.95040229034,0.0827,450610277729944448,1.4765,0.108,2.476,0.105,-2.356,0.114,0.985,17.64732,0.003143,18.878376,0.017553,16.558538,0.006007,2.319838,,,1.381,718.394,62.653,204.096,1.0,0.5549859003647262,0.011975667896002481,0.5127945490542178,0.020265599603801893
0.2377,0.2809,0.3004,15,39.2978751902,0.012,49.97242817636,0.0122,450616187604933120,1.3793,0.0159,2.232,0.016,-2.633,0.017,1.003,13.595578,0.002778,13.951569,0.00314,13.072898,0.002943,0.878671,,,1.204,3096.257,753.339,1160.453,1.0,1.213091075539698,0.003448242509356101,0.5378801692538037,0.14417409582625096
