pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
0.1685,0.1773,0.0414,26,156.42560954961,0.0241,-57.92510679821,0.0217,5255625762152457344,0.469,0.0253,-7.313,0.034,2.728,0.028,1.855,14.040853,0.002775,14.287542,0.002864,13.634249,0.002855,0.653294,,,1.19,3278.74,1677.837,1801.29,0.97,1.9786865853958482,0.06194880323353625,1.7239762050789933,0.06489352212990943
0.2246,0.2234,0.022,27,156.4295283001,0.065,-57.93320024399,0.0557,5255625555994015232,0.3209,0.0666,-7.372,0.092,2.631,0.072,0.991,17.396927,0.002891,18.223598,0.012555,16.489975,0.005608,1.733624,,,1.309,1240.155,88.7,223.187,0.98,0.9423860609478014,0.025550200822676793,0.8495855397815835,0.045104537954231756
0.2365,0.285,0.0333,26,156.43380051118,0.0184,-57.93344954408,0.0165,5255625551674103552,0.4435,0.0198,-7.404,0.028,2.8,0.021,1.188,12.719049,0.002776,12.785967,0.002996,12.57713,0.002924,0.208837,,,1.162,3175.852,995.069,1243.568,0.96,3.721111704362491,0.0029653255064403037,0.0,0.08190964136101914
0.2434,0.2302,0.0548,26,156.43622137807,0.0476,-57.91986990646,0.0403,5255625659073263488,0.3475,0.0488,-7.417,0.064,2.662,0.052,1.212,16.492994,0.002825,16.924751,0.009288,15.860296,0.004424,1.064455,,,1.241,1745.847,122.557,316.198,0.99,1.253201439040685,0.0024541428609160475,0.17846577621057577,0.23058674207189267
0.2398,0.2385,0.0339,27,156.44671071782,0.0323,-57.93076009928,0.0286,5255625654754658304,0.4444,0.0344,-7.342,0.047,2.69,0.037,1.026,16.075684,0.002795,16.453041,0.004124,15.518474,0.003389,0.934567,,,1.216,2316.302,357.463,564.493,0.99,1.364599731882842,0.0015383736784324196,0.0,0.09051815574903975
0.1898,0.1649,0.0391,27,156.43181525259,0.0173,-57.93715144088,0.0163,5255625551674104320,0.4743,0.0191,-7.347,0.025,2.867,0.02,1.162,11.966687,0.00276,12.064504,0.002836,11.771414,0.002816,0.29309,,,1.167,6786.134,2139.438,2877.063,0.8,4.546454864718287,0.06580192795406019,1.8053600293904615,0.3393365927491251
0.2852,0.223,0.05,26,156.42276378975,0.0139,-57.9182860736,0.0128,5255625865231683584,0.4285,0.015,-7.412,0.019,2.649,0.016,1.034,13.969187,0.002776,14.119353,0.002899,13.703544,0.002834,0.41581,,,1.169,3181.563,1381.248,2197.934,0.99,2.4417487026571605,0.005522168976603658,0.2628632577264193,0.33533249611662497
0.2741,0.1511,0.0166,27,156.4390831973,0.0119,-57.9374650844,0.0112,5255625551674104448,0.4595,0.013,-7.413,0.017,2.779,0.014,0.941,12.465616,0.00276,12.595166,0.002845,12.222368,0.002821,0.372798,,,1.17,6738.951,1955.587,2626.281,0.92,3.30481597951809,0.11384538681453181,2.998688042379909,0.17597303557766944
0.253,0.2046,0.0271,27,156.45378945007,0.0314,-57.91947639442,0.0285,5255625659073278848,0.4039,0.0338,-7.355,0.045,2.673,0.036,0.977,16.086744,0.002791,16.489481,0.003969,15.506496,0.003074,0.982985,,,1.219,2457.546,384.648,841.467,0.99,1.3590289696203788,0.003054759922912744,0.25858597824676577,0.26931801713467607
0.2529,0.2366,0.0472,26,156.43108394045,0.0245,-57.91216427207,0.0222,5255625865231699840,0.3991,0.0262,-7.338,0.034,2.668,0.028,0.955,15.506416,0.002793,15.811893,0.003683,15.014314,0.003387,0.79758,,,1.21,2383.94,451.644,565.471,0.99,1.5459589159122569,0.0015336818315715962,0.0,0.1447556964242226
0.2008,0.156,0.0218,27,156.42114852876,0.0395,-57.94248071846,0.0348,5255625521634251776,0.3192,0.0418,-7.302,0.057,2.707,0.045,1.02,16.554251,0.002805,17.033098,0.005017,15.900103,0.00362,1.132996,,,1.235,2069.564,260.422,470.825,0.98,1.208772886317063,0.016288104856542304,0.7360698527178932,0.11224673114344838
0.2516,0.1997,-0.005,26,156.4082029392,0.0369,-57.91536819021,0.0329,5255625762152459648,0.3831,0.0394,-7.443,0.052,2.758,0.043,0.944,16.385002,0.002812,16.81521,0.004957,15.795199,0.003952,1.020011,,,1.213,1926.794,265.022,387.933,0.99,1.2788968725485033,0.0016308705011310693,0.0,0.1457849401916594
0.2234,0.223,-0.0336,26,156.41972501379,0.0728,-57.91086054714,0.0626,5255625860913543296,0.3241,0.0754,-7.379,0.102,2.708,0.081,1.019,17.588541,0.003008,18.118523,0.009165,16.917505,0.005727,1.201017,,,1.226,900.134,124.368,217.079,0.98,1.0142329525310787,0.0024308310149282627,0.0,0.088000602945821
0.2319,0.1999,0.0062,27,156.45536961768,0.0191,-57.94045397287,0.0177,5255625487274550656,0.4378,0.0209,-7.342,0.027,2.707,0.023,0.962,15.052217,0.002776,15.296425,0.003059,14.656136,0.003093,0.640289,,,1.185,3229.67,865.932,812.949,0.99,1.7231278608351084,0.0015268798165635356,0.0,0.0620076951343127
0.3122,0.1418,-0.0485,26,156.4682802154,0.0128,-57.92875917943,0.0117,5255625590353798784,0.4167,0.0135,-7.36,0.018,2.844,0.015,0.96,12.596131,0.00276,12.733215,0.002827,12.339236,0.002832,0.393979,,,1.172,6975.071,2396.951,2235.552,0.98,3.192893638197875,0.09599710162739489,2.8405164227769513,0.12419512496760265
0.1956,0.2194,0.0548,26,156.39822076429,0.0303,-57.93316951422,0.0283,5255625723480671232,0.4254,0.0325,-7.227,0.044,2.71,0.036,1.049,16.020346,0.002786,16.383392,0.003914,15.466433,0.003272,0.91696,,,1.22,2612.716,395.462,635.552,0.99,1.3823835298792424,0.0014744454070698167,0.0,0.10514472581544702
0.2341,0.2936,0.049,26,156.4644877294,0.1219,-57.91740080813,0.112,5255625693417325696,0.389,0.1327,-7.225,0.175,2.855,0.14,1.02,18.35618,0.003206,18.998848,0.032616,17.60169,0.010456,1.397158,,,1.245,662.167,33.411,107.745,0.92,0.8675108736769681,0.002648729339232233,0.0,0.09719519572068971
0.2204,0.2732,0.0778,24,156.39296079076,0.0224,-57.92644931282,0.0188,5255625796512160768,0.4154,0.023,-7.384,0.033,2.711,0.025,1.099,14.975441,0.002779,15.240557,0.003113,14.543796,0.003012,0.696761,,,1.195,2985.168,786.57,955.912,0.99,1.7293009301431448,0.013173398155053143,0.9121654289392852,0.08158981551057323
0.3093,0.2418,0.0515,26,156.46927713619,0.0124,-57.93783375645,0.0117,5255625590353785088,0.4602,0.0138,-7.39,0.018,2.793,0.014,0.88,11.86031,0.002764,11.969548,0.002862,11.64598,0.002822,0.323568,,,1.169,5052.338,1703.132,2558.957,0.91,4.048235414473452,0.12692396722096128,3.6258762785738115,0.18350472626652417
0.2989,0.148,-0.0446,26,156.41166298495,0.0116,-57.90781887211,0.0109,5255625865231692544,0.4039,0.0127,-7.458,0.017,2.835,0.014,0.829,11.81093,0.00276,11.916196,0.002843,11.602304,0.002807,0.313892,,,1.168,6760.834,1998.144,3589.991,0.96,4.131158716799073,0.13451998013420052,3.647838263782362,0.2028897646809049
0.1171,0.1899,0.0523,25,156.41261003931,0.1045,-57.94693022435,0.0929,5255625517317327104,0.3067,0.1057,-7.243,0.152,2.677,0.122,1.144,18.057508,0.00323,18.57815,0.016764,17.285978,0.008197,1.292171,,,1.306,644.333,65.683,140.877,0.94,0.9293966594861007,0.0032363351481017994,0.0,0.08922999693404698
0.2508,0.1982,-0.0367,26,156.41341179027,0.0197,-57.90544383872,0.0174,5255625865231697280,0.4258,0.0208,-7.25,0.028,2.636,0.022,1.033,14.970503,0.002775,15.309875,0.003463,14.448635,0.003024,0.861239,,,1.211,3290.371,529.49,932.128,0.99,1.545621183146535,0.037617355013721744,1.385559824407887,0.04860782436958322
0.0551,0.2682,-0.0272,25,156.38859230108,0.0379,-57.93482599653,0.0329,5255625727792664704,0.4735,0.0385,-7.41,0.054,2.663,0.042,0.978,16.280415,0.002801,16.680166,0.004522,15.71373,0.004219,0.966436,,,1.211,2161.578,305.132,343.141,0.96,1.307295661642832,0.0016285727294497127,0.0,0.08876725176238943
0.1314,0.0022,0.1141,24,156.47932552032,0.0226,-57.92271514519,0.0195,5255625624713560576,0.4677,0.0238,-7.253,0.034,2.674,0.026,1.04,15.159937,0.002779,15.432834,0.003295,14.731693,0.002968,0.70114,,,1.189,2987.041,619.159,1074.232,0.94,1.6765359703858673,0.0018328266368138767,0.16406198668578076,0.24425053792103804
0.2504,0.1619,0.0652,26,156.38452854338,0.0139,-57.92191768413,0.0134,5255625796512161024,0.4252,0.0151,-7.305,0.02,2.676,0.018,0.931,14.059204,0.002782,14.21712,0.002949,13.784511,0.002934,0.43261,,,1.169,2820.896,1137.91,1198.086,0.99,2.3627742390753568,0.008019125407943811,0.46746912075645847,0.3706035630865934
0.2139,0.1948,-0.0242,25,156.38554284024,0.0359,-57.91687839623,0.0327,5255625830871909632,0.439,0.0384,-7.451,0.05,2.776,0.046,1.05,16.203009,0.002798,16.585138,0.004454,15.648343,0.004048,0.936795,,,1.212,2241.493,312.743,370.235,0.97,1.3289968373987242,0.0016756328138540066,0.0,0.08868829094020031
0.2781,0.1511,-0.0551,27,156.38536734141,0.0601,-57.91149211577,0.0537,5255625830871919872,0.397,0.0631,-7.551,0.089,2.77,0.073,1.051,17.320858,0.00305,17.871157,0.009019,16.643953,0.006414,1.227203,,,1.222,830.674,126.595,187.991,0.93,1.0645939538049745,0.002307934877329448,0.11070039700769675,0.1892460068315061
0.2927,0.1679,-0.001,26,156.44294860453,0.0165,-57.89815380845,0.0145,5255625899591773568,0.417,0.0173,-7.277,0.025,2.601,0.02,0.937,14.55714,0.00277,14.829608,0.002999,14.10302,0.002975,0.726588,,,1.204,3809.311,987.845,1050.722,0.99,1.7003694178139854,0.04253703794753617,1.5281220996214457,0.05274826984831951
0.2721,0.2371,0.0666,27,156.48180526602,0.0485,-57.94102970784,0.0434,5255624834423801344,0.3744,0.052,-7.621,0.072,2.449,0.057,0.924,16.83853,0.002836,17.411835,0.017069,16.075453,0.00675,1.336382,,,1.278,1619.008,64.477,176.642,0.71,1.0542858367064627,0.026590140218506753,0.9663738939867583,0.04392945300746127
0.2323,0.213,0.016,27,156.45263874456,0.0886,-57.95891385391,0.079,5255625452898916224,0.4722,0.0917,-7.313,0.124,2.62,0.103,1.016,17.900331,0.003012,18.463854,0.016037,17.160913,0.008619,1.30294,,,1.263,891.768,68.75,133.139,0.96,0.9536563402671896,0.002307864937182099,0.0,0.11010654144353707
0.2818,0.1685,-0.0231,27,156.39325532006,0.012,-57.89956074137,0.0112,5255625933951166208,0.44,0.013,-7.319,0.017,2.786,0.014,0.922,12.854077,0.002763,12.974703,0.002828,12.630831,0.002832,0.343872,,,1.166,5204.773,2353.306,2241.043,0.98,3.5174229170677354,0.03186003217509709,1.2350133422694505,0.208263852006273
