pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
0.1394,-0.1415,0.27,14,264.4847647329,0.0174,-37.65791049161,0.0151,5962318684649431296,1.568,0.0213,2.431,0.021,-1.901,0.016,0.827,9.428705,0.002772,9.488332,0.002861,9.280783,0.002819,0.207549,,,1.169,3572.328,1711.899,2708.228,1.0,3.215386501416092,0.04173985585419206,1.7451385376500186,0.20860841663411642
0.1609,-0.086,0.1414,16,264.50603706916,0.034,-37.63694106791,0.0277,5962318822088391680,1.4726,0.0373,2.708,0.042,-2.237,0.032,1.974,11.981252,0.002819,12.179218,0.00289,11.60641,0.002855,0.572808,,,1.199,1816.271,1438.746,1791.695,0.89,1.6761139129446507,0.009610760582798285,0.9227599485216527,0.06140163599250302
0.3135,-0.0889,0.2126,16,264.43829903167,0.0152,-37.6251819114,0.0117,5962315901509864960,1.5292,0.017,2.604,0.019,-1.931,0.014,0.945,13.365101,0.002766,13.733096,0.002921,12.818563,0.002925,0.914534,,,1.213,4516.06,1257.622,1236.021,1.0,1.2574983053673952,0.006350588028303963,0.554618666478716,0.24455601838238408
0.2875,-0.1061,0.3204,15,264.41070753424,0.1557,-37.6660374616,0.1178,5962315729685594112,1.4648,0.1752,2.504,0.199,-1.879,0.156,1.018,18.381367,0.00358,19.838612,0.046785,17.309124,0.017222,2.529488,,,1.32,474.859,23.248,63.886,0.99,0.5246591792061129,0.0070651126097255575,0.0,0.11219936543413547
0.4795,-0.3764,0.0397,14,264.49490881093,0.029,-37.71849304804,0.0219,5962311739620818304,1.5645,0.0292,2.41,0.034,-1.852,0.024,0.886,9.345351,0.002776,9.372172,0.002851,9.250125,0.002847,0.122047,,,1.167,3239.123,1850.777,1910.199,1.0,3.3417586550975433,0.0008493464239407412,0.0,0.0
0.2351,0.1927,0.2027,16,264.46136637238,0.0535,-37.59671499853,0.0421,5962321811359715712,1.5158,0.0587,2.388,0.074,-1.891,0.052,0.964,16.531258,0.003446,17.266811,0.018866,15.540459,0.021221,1.726353,,,1.417,524.775,58.191,51.611,1.0,0.7239533748612645,0.0019365017178130622,0.1037073433932263,0.16046792043227787
0.259,0.0088,0.0802,15,264.55324255435,0.0176,-37.62268618875,0.0146,5962318959527311104,1.5262,0.0185,2.44,0.023,-1.933,0.018,0.793,10.293025,0.002797,10.372535,0.003145,10.129479,0.003024,0.243055,,,1.163,2247.146,748.649,931.351,1.0,2.6500288122238693,0.052350474362717926,1.307869923759524,0.15520810041657568
0.3444,-0.2687,0.1701,16,264.46079355202,0.0212,-37.74061080154,0.0165,5962311228585215488,1.5946,0.0225,2.707,0.026,-1.898,0.019,0.85,14.037371,0.00278,14.462677,0.003265,13.430162,0.003081,1.032515,,,1.227,2919.088,640.475,830.316,1.0,1.113347067675127,0.001907823594237361,0.13145214509340397,0.2196370655178376
0.2336,-0.2434,-0.0309,14,264.57554796865,0.0314,-37.62894217928,0.027,5962318237972764672,1.6174,0.0299,2.507,0.04,-2.046,0.032,0.996,14.85076,0.003025,15.362553,0.005287,14.162663,0.004814,1.19989,,,1.246,870.308,241.751,276.808,1.0,0.9585441252018359,0.0007027657745238351,0.0,0.0509174358457808
0.472,-0.2601,0.0034,15,264.43512150826,0.0405,-37.758244757,0.0312,5962311847060511616,1.5913,0.0387,2.85,0.049,-1.623,0.036,1.042,15.474958,0.002816,16.083448,0.006387,14.675081,0.004911,1.408367,,,1.293,1872.461,188.96,268.654,0.92,0.8504155632356231,0.0035553816407865265,0.45630801170482344,0.1031106152937787
0.0198,-0.0048,0.2248,15,264.50773899171,0.021,-37.56530571809,0.0181,5962322361141556096,1.5785,0.0238,2.433,0.027,-1.949,0.021,0.929,14.437949,0.002783,14.980385,0.003202,13.740145,0.00304,1.24024,,,1.24,2775.54,691.487,900.254,1.0,0.9801830065638291,0.01697862554441697,0.7723180915408979,0.03758014366981641
0.2548,-0.0088,0.0104,15,264.48318512396,0.0238,-37.56083282446,0.0194,5962322532940283520,1.5456,0.0244,2.573,0.031,-1.973,0.024,0.97,14.596649,0.002838,15.16921,0.003833,13.874519,0.003226,1.294691,,,1.247,1595.228,413.064,670.738,1.0,0.9362562679733999,0.020701028412964877,0.7857408504720211,0.03797873431611231
0.3483,-0.041,0.2649,16,264.33888806072,0.0164,-37.67885267411,0.0128,5962315454833303552,1.5495,0.018,2.561,0.021,-2.086,0.016,0.677,11.443261,0.002783,11.576102,0.002903,11.200786,0.002823,0.375317,,,1.168,2764.096,1351.941,2540.972,1.0,1.9498481635955127,0.007947416478938466,0.47184743097631104,0.40410933724155335
0.1023,-0.1354,0.2358,14,264.61725664209,0.0257,-37.68446053225,0.0228,5962270958965602048,1.5147,0.0297,2.417,0.029,-1.859,0.024,0.998,9.884539,0.002861,9.927526,0.003623,9.7671,0.003291,0.160426,,,1.166,1409.617,469.728,622.233,1.0,2.998435376793792,0.000904563358680209,0.0,0.0
0.2372,0.0128,-0.0052,15,264.61463269934,0.015,-37.71362461518,0.0124,5962270267416607872,1.5483,0.015,2.431,0.018,-1.982,0.014,0.788,12.593153,0.002769,12.880962,0.002866,12.141512,0.00283,0.73945,,,1.194,4015.31,1654.322,2300.766,1.0,1.4764943170873628,0.0051808722812254,0.3510375463146624,0.3430457975385733
0.2988,0.057,0.4169,15,264.35919710312,0.0234,-37.58322962059,0.0189,5962317138460611712,1.5079,0.0276,2.353,0.027,-2.202,0.025,1.738,13.093732,0.002824,13.283115,0.012791,12.408042,0.014762,0.875073,-25.34,8.31,1.401,1755.324,86.977,74.9,1.0,1.3303394477906796,0.012147456998470812,0.8609625720204356,0.056199768612699735
0.3123,-0.0605,0.0388,15,264.63590812795,0.0165,-37.64134612868,0.0136,5962318031814254592,1.5478,0.0164,2.472,0.02,-2.327,0.015,0.798,11.882087,0.002771,12.077879,0.002927,11.54525,0.002854,0.532629,,,1.18,3690.957,1225.381,1806.406,0.96,1.7177961105401922,0.009367222194702868,0.8988231493929171,0.09443305095872075
0.4614,-0.1035,0.166,15,264.39260972308,0.0308,-37.77862475073,0.0246,5962310369591783680,1.5353,0.0302,2.579,0.038,-2.188,0.03,1.395,12.960131,0.002814,13.287793,0.002884,12.441697,0.002883,0.846096,,,1.215,1898.014,1487.802,1497.083,0.99,1.3550237937455822,0.009015700837031869,0.7538328656372308,0.11838378943703744
0.2906,-0.0233,0.1728,15,264.64256377646,0.0701,-37.65563222885,0.0585,5962271092050326400,1.5104,0.0758,2.664,0.087,-2.248,0.067,3.556,11.738227,0.00278,11.919827,0.002961,11.417276,0.002849,0.50255,,,1.179,2957.945,1095.655,1879.158,0.95,1.7710650571174043,0.010952221846604574,0.9924855237324077,0.06056344048800556
0.1881,-0.0857,0.0218,15,264.63001585978,0.0201,-37.72605587666,0.0162,5962270198697131776,1.5396,0.0213,2.331,0.023,-1.926,0.019,0.696,11.374891,0.002828,11.493612,0.002921,11.158155,0.002831,0.335457,,,1.164,1699.131,1255.764,2263.479,1.0,1.9938513156200341,0.0008258064733515064,0.0,0.059959386817051576
0.313,-0.0581,0.0414,16,264.63193628416,0.0157,-37.59791663592,0.0128,5962319814155549824,1.5343,0.0154,2.33,0.019,-1.986,0.015,0.895,12.108666,0.002773,12.3156,0.002894,11.763285,0.00283,0.552316,,,1.178,3479.5,1410.821,2305.746,1.0,1.6483556416101088,0.0006748279203538092,0.0,0.0
0.2687,0.1289,0.2215,16,264.44961020152,0.0131,-37.52433693339,0.0105,5962323421934819968,1.5271,0.0145,2.399,0.017,-1.999,0.013,0.792,12.475373,0.002998,12.747145,0.00476,12.031041,0.005315,0.716104,-37.36,8.12,1.198,919.141,281.553,239.979,1.0,1.5086882689921879,0.007401660515106992,0.6618531669595429,0.25048575778867704
0.3759,-0.1203,0.0457,15,264.63208056432,0.0524,-37.57480135023,0.042,5962319985954363776,1.5037,0.0548,2.927,0.068,-1.577,0.05,2.785,12.197409,0.00277,12.416944,0.003033,11.830414,0.002869,0.58653,-27.04,3.49,1.183,3811.627,912.931,1625.321,0.64,1.615722916636598,0.00062608187866406,0.0,0.0
0.1909,-0.2705,0.264,16,264.58425072371,0.0198,-37.7949664304,0.0168,5962263365463168128,1.621,0.0245,2.648,0.024,-1.841,0.017,0.919,14.006092,0.002849,14.409415,0.003525,13.25312,0.009195,1.156295,,,1.342,1497.399,504.101,123.921,1.0,1.0356559499220028,0.026216682987731044,0.9149337649610149,0.04145931224290772
0.3971,0.0918,0.3922,15,264.33954151873,0.0213,-37.54741322903,0.0168,5962329061291238400,1.5866,0.025,2.374,0.029,-1.829,0.022,1.02,14.460823,0.002778,14.924423,0.003375,13.813845,0.003149,1.110579,,,1.237,3063.118,571.591,744.092,1.0,1.0286878329456037,0.0007552800862106594,0.0,0.09073430559832701
0.0761,0.0385,0.0031,15,264.61127410168,0.0399,-37.54469359632,0.0319,5962320814953558016,1.4869,0.0426,2.488,0.052,-1.986,0.04,1.335,15.291934,0.002883,15.850237,0.00449,14.564051,0.003419,1.286186,,,1.257,1279.987,308.667,549.527,1.0,0.8840985008701915,0.0006722945972814128,0.0,0.021908923758169885
0.3539,0.1313,0.2987,16,264.37045012874,0.1275,-37.52220135956,0.1118,5962334966806907264,1.6692,0.1469,2.698,0.161,-1.64,0.126,1.242,17.636578,0.003418,18.85932,0.043998,16.503126,0.006764,2.356194,,,1.431,536.886,24.727,176.211,0.99,0.5737415714413371,0.011889787153695612,0.4597984787122511,0.028480783509442616
0.2377,0.0927,0.2336,16,264.41232118301,0.0164,-37.50147645289,0.0136,5962335069883164416,1.6203,0.0185,2.648,0.021,-1.818,0.016,1.139,12.440484,0.002794,12.671361,0.00439,11.770858,0.008104,0.900503,,,1.366,2347.604,320.337,142.69,1.0,1.3677714368980631,0.022480166894888742,1.2905530751958951,0.028742593002578393
0.1829,-0.0862,0.0079,16,264.69354030344,0.0517,-37.67768088103,0.042,5962271470010075776,1.5561,0.0531,2.639,0.063,-1.947,0.049,0.959,16.345346,0.002963,17.087526,0.005993,15.491565,0.004768,1.595962,,,1.29,995.838,204.711,280.813,1.0,0.7389408897452305,0.0006396864846740082,0.0,0.01346370572800445
0.5268,-0.1024,-0.0702,15,264.66615286842,0.1465,-37.58055987628,0.1161,5962319749773250560,1.5928,0.131,2.353,0.189,-1.963,0.142,1.271,17.684164,0.003531,18.739159,0.018108,16.584896,0.013509,2.154263,,,1.433,491.767,60.683,82.141,1.0,0.6074872686665852,0.0012737191442544517,0.0,0.030107578806766705
0.4466,-0.0537,0.0086,15,264.7189193314,0.1327,-37.68272321986,0.1056,5962271439952636288,1.5259,0.1297,2.427,0.175,-1.838,0.131,1.064,17.775648,0.003437,18.885136,0.026776,16.7978,0.010209,2.087336,,,1.297,528.252,40.771,110.561,1.0,0.5938838699709913,0.0015825585519255087,0.0,0.00986591790708264
0.4046,-0.3702,0.0719,14,264.35331346459,0.0858,-37.83844564959,0.0657,5962309746757991552,1.4859,0.0858,2.409,0.109,-2.118,0.078,0.954,17.115343,0.003351,18.078867,0.015364,16.16827,0.007744,1.910597,,,1.306,569.366,71.862,150.308,1.0,0.6599663901902566,0.0008184743871398547,0.0,0.0
0.2367,-0.1545,0.2868,15,264.21909750358,0.1401,-37.70191891683,0.1058,5962326243792615424,1.5622,0.1569,2.426,0.178,-2.131,0.13,1.262,17.876167,0.003915,18.923401,0.021025,16.630398,0.012695,2.293003,,,1.602,390.289,52.1,87.669,1.0,0.5888813099497062,0.008245928822085198,0.13814465988056868,0.16386997354388755
0.1619,-0.3841,0.2537,15,264.43918081486,0.0795,-37.87375260611,0.0619,5962262124160466944,1.5135,0.0943,2.496,0.098,-1.802,0.071,1.09,16.983231,0.003276,17.865635,0.011802,16.045336,0.009105,1.820299,,,1.32,612.594,94.68,125.278,1.0,0.6751537286061949,0.0009627554479862911,0.0,0.009738642647051484
0.1965,-0.2988,0.2031,15,264.48304136437,0.0433,-37.87649496509,0.0321,5962261922354148608,1.5565,0.048,2.461,0.052,-1.863,0.036,0.983,15.931236,0.002996,16.598509,0.005459,15.136533,0.005624,1.461976,,,1.267,922.252,231.392,222.365,1.0,0.7900406551796085,0.0006574797009808632,0.0,0.022773294479269048
0.13,-0.3134,0.191,15,264.47563711054,0.0712,-37.88458560533,0.0506,5962261918023482112,1.5648,0.0773,2.486,0.083,-1.984,0.058,0.996,16.736259,0.003126,17.497227,0.019765,15.729447,0.026937,1.767779,,,1.424,735.028,55.489,40.525,1.0,0.7049397999341661,0.0008870096561267276,0.0,0.031286821611423925
0.2446,-0.088,-0.0712,15,264.75225036082,0.0169,-37.69507785468,0.0139,5962271263849019904,1.5663,0.0177,2.605,0.021,-1.972,0.015,0.889,12.263585,0.002774,12.508931,0.002934,11.86217,0.002926,0.646761,,,1.188,3361.586,1195.335,1230.487,1.0,1.5820344521472522,0.007625450601459321,0.6062428922708782,0.3200510959639085
0.2691,0.0385,0.3192,16,264.19516174135,0.0769,-37.60228053676,0.0613,5962327854357229568,1.5179,0.0849,2.614,0.1,-1.525,0.076,1.002,17.272778,0.003438,18.224888,0.013103,16.275242,0.008057,1.949646,,,1.357,528.223,84.809,143.648,0.77,0.6467853603439276,0.0011087204354430797,0.0,0.0
0.1098,-0.2325,0.2063,15,264.49909632701,0.0259,-37.90729473499,0.0191,5962261097720295296,1.5784,0.0278,2.463,0.031,-1.864,0.022,0.879,14.639907,0.002845,15.101771,0.004784,13.978373,0.004367,1.123399,,,1.248,1528.545,279.384,323.208,1.0,0.9971511561044355,0.0007845124154538375,0.0,0.015296179869955876
0.3081,-0.1774,0.0026,15,264.78682757704,0.018,-37.6730893129,0.014,5962268755584335616,1.5076,0.0187,2.367,0.021,-1.618,0.015,0.866,11.901771,0.002779,12.110491,0.002918,11.554739,0.00282,0.555752,,,1.178,3009.616,1268.511,2658.268,0.68,1.7009288384657182,0.010600718432607457,0.9506285328372915,0.06171385052402683
0.2128,0.0978,0.2015,16,264.5772349202,0.0329,-37.43083231814,0.0262,5962324933756861056,1.5977,0.0361,2.559,0.04,-2.066,0.03,1.184,15.156374,0.00298,15.676407,0.006244,14.327093,0.010386,1.349314,,,1.353,956.002,194.369,108.534,1.0,0.8999220512182284,0.0049995334975317385,0.5727272608755639,0.039819204455423446
0.1149,-0.0697,0.0411,15,264.77792802592,0.0266,-37.57996196171,0.0209,5962366783923672448,1.58,0.0278,2.57,0.031,-2.046,0.024,0.951,14.761908,0.002885,15.289987,0.004468,14.073177,0.003689,1.216809,,,1.24,1270.279,311.089,449.925,1.0,0.968630055510739,0.0034446742698992293,0.39109804449232327,0.21432404365027716
0.2797,0.034,0.1712,16,264.35687398434,0.0707,-37.4268922929,0.0585,5962336620434547456,1.4799,0.0766,2.868,0.091,-1.835,0.069,0.981,16.983873,0.002947,17.89971,0.012179,16.056244,0.004926,1.843466,,,1.301,1038.911,91.583,267.452,0.96,0.6737918485453822,0.0007515161042212983,0.0,0.0
0.4049,0.1132,0.2067,16,264.29499156673,0.2179,-37.44943260957,0.1751,5962336345532491008,1.4347,0.23,2.558,0.296,-2.068,0.209,0.954,18.822813,0.00402,20.396885,0.058029,17.810562,0.0222,2.586323,,,1.239,370.902,18.732,49.297,0.99,0.47630859860110997,0.0024841682902289157,0.0,0.02834955892089218
0.179,-0.1554,0.3791,15,264.5652037549,0.023,-37.93598325587,0.0192,5962259306689090944,1.6134,0.0293,2.429,0.029,-1.886,0.022,1.467,13.507643,0.002778,13.885464,0.003025,12.946103,0.003087,0.939361,,,1.218,3037.833,929.044,822.456,1.0,1.2255420023523271,0.005155202203249014,0.4750141109801475,0.26842388253395927
0.3696,-0.1443,0.2398,16,264.19530716784,0.0489,-37.49412209352,0.0382,5962333012661422592,1.5765,0.0548,2.695,0.062,-1.887,0.044,0.989,16.215931,0.003362,16.940462,0.009862,15.367211,0.005531,1.573251,,,1.292,563.804,114.785,227.345,1.0,0.7539702170644387,0.0007355888962974423,0.0,0.01895902616648805
0.1188,-0.244,0.2181,15,264.26822283492,0.0405,-37.90409787428,0.0298,5962285664936292352,1.5794,0.0428,2.489,0.049,-1.926,0.035,0.9,15.597088,0.002919,16.193691,0.004655,14.861125,0.003666,1.332566,,,1.248,1127.076,291.425,456.479,1.0,0.8369535911639271,0.0007935448239651837,0.0,0.0
0.1824,-0.0823,0.0677,15,264.77811365289,0.0577,-37.5027718018,0.0465,5962367677277144576,1.3656,0.0579,2.708,0.072,-1.819,0.056,1.03,16.465786,0.003093,17.207527,0.014242,15.570996,0.005682,1.636531,,,1.326,772.828,77.739,219.331,0.8,0.7285515631050599,0.0007371470581861955,0.0,0.0
-0.0017,-0.1902,0.3232,15,264.21665604495,0.0292,-37.87937600992,0.0218,5962288860392028288,1.5314,0.0341,2.456,0.034,-1.96,0.025,1.008,15.1275,0.002826,15.654554,0.003903,14.442142,0.003884,1.212413,,,1.238,1724.558,397.746,401.927,1.0,0.9107772150666037,0.0008378282289538903,0.0,0.0
0.3926,-0.1285,0.1531,15,264.20312334052,0.0346,-37.463872643,0.0276,5962333218819887104,1.6304,0.0366,2.484,0.044,-1.922,0.032,1.039,15.359399,0.003334,15.978212,0.009366,14.586164,0.005695,1.392049,,,1.268,578.502,121.43,218.68,1.0,0.8634782684430183,0.003965596725918453,0.5113564728466605,0.07011486260309766
0.1877,-0.1819,0.257,15,264.09799253682,0.02,-37.62904514813,0.0144,5962307105415582976,1.4946,0.0221,2.508,0.024,-1.766,0.017,1.018,13.784512,0.002813,14.162585,0.00412,13.228269,0.003533,0.934317,,,1.215,1913.454,358.219,500.833,0.98,1.168976888246336,0.0007637499683255382,0.0,0.0
0.1496,-0.104,0.0141,13,264.80557806258,0.0566,-37.49994293837,0.0446,5962367642932620160,1.6758,0.0559,2.5,0.065,-1.72,0.051,1.036,16.229799,0.002882,16.968237,0.005713,15.38072,0.00435,1.587517,,,1.287,1285.415,217.768,325.373,0.99,0.751510697325831,0.0008630534700018426,0.0,0.05457444984636855
0.1825,0.0613,0.0695,14,264.63509929855,0.1742,-37.37481236268,0.133,5962418980697915904,1.5272,0.1789,2.686,0.206,-1.742,0.154,1.053,18.141272,0.003397,19.307013,0.043774,17.05122,0.014145,2.255793,,,1.397,546.243,24.853,78.296,0.99,0.5557877653778606,0.0014026737787129534,0.0,0.018270248714888505
0.0432,-0.1474,0.3505,15,264.07493530161,0.0239,-37.68558252651,0.0193,5962303909959851008,1.566,0.029,2.635,0.03,-1.816,0.023,0.972,14.570196,0.002875,15.025925,0.004132,13.931565,0.003746,1.094359,,,1.235,1321.781,356.267,434.41,1.0,1.0089923632541509,0.0007192297164741669,0.0,0.0
-0.2742,-0.412,0.2114,13,264.36121196699,0.3821,-37.97243772869,0.2814,5962237904842995968,1.5795,0.4474,2.465,0.518,-2.123,0.378,1.379,18.826363,0.005375,20.709227,0.098856,17.523026,0.017329,3.186201,,,1.526,235.276,10.987,63.483,0.97,0.4509783290198851,0.007352474339848199,0.30674354894115813,0.03647000388541557
0.2172,-0.1974,0.211,15,264.25176505903,0.0159,-37.93991872295,0.0115,5962285454420974208,1.5202,0.0169,2.633,0.019,-1.973,0.013,0.862,12.522065,0.002767,12.817403,0.002901,12.064701,0.002849,0.752702,-11.81,18.2,1.194,4251.653,1365.82,1891.474,1.0,1.479997112843524,0.009636141543250301,0.8354111556688728,0.08915654904847897
0.1149,-0.3136,0.2672,15,264.32224591093,0.0378,-37.97735249926,0.0279,5962284496705090176,1.6397,0.0438,2.415,0.045,-2.131,0.033,0.996,15.477282,0.003022,16.059376,0.005436,14.755395,0.003786,1.303981,,,1.243,874.586,232.748,424.386,0.99,0.8547694601491959,0.0007741702247406429,0.0,0.0
-0.1939,-0.2897,0.377,12,264.19284958341,0.2816,-37.92839045329,0.2061,5962287245450501504,1.3856,0.3374,2.783,0.346,-2.5,0.24,1.106,18.92753,0.00426,20.311035,0.09126,17.790417,0.017885,2.520618,,,1.402,334.155,11.903,61.457,0.89,0.46986553689406163,0.004030968544376019,0.0,0.05049142370583936
