pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass,q,e_q,r,mass_system,e_mass_system,r/rh
0.042,-0.0349,0.0626,15,283.11470626236,0.0233,-20.21868757243,0.0207,4085930035118044928,1.4115,0.0248,-1.393,0.027,-5.906,0.022,0.975,14.693796,0.003302,15.19232,0.007572,14.036123,0.005666,1.156197,,,1.23,596.811,154.248,220.167,1.0,1.0509686902951498,0.0011670116910124,0.0,0.1122989803285117,0.0,0.1068528314549257,0.11945785943671591,1.0509686902951498,0.11230504396112588,0.048091274397697
0.0257,0.0266,0.0338,14,283.09907627807,0.0188,-20.22298042744,0.0167,4085930005087928960,1.3447,0.02,-1.63,0.021,-5.965,0.018,0.821,11.499352,0.002775,11.621642,0.002997,11.269633,0.00287,0.352009,,,1.168,3284.157,991.784,1613.231,1.0,2.1749173449199795,0.0015880977908698,0.0,0.1331142907019166,0.0,0.0612042986428131,0.23413570932544597,2.1749173449199795,0.1331237636324474,0.09425821537874192
0.273,-0.137,0.0101,16,283.11781831484,0.0941,-20.1844454518,0.0904,4085936219871046656,1.458,0.1096,-1.323,0.107,-5.994,0.09,1.034,17.581442,0.003635,18.68112,0.024311,16.564762,0.009408,2.116358,,,1.337,457.813,44.957,120.845,0.99,0.6290227821844272,0.0063516664327948,0.1629856177762453,0.1653929109302526,0.2591092443587496,0.262949298058024,0.30893874037441876,0.7920083999606725,0.16551482910137075,0.12437237537556779
0.3236,-0.1422,0.1681,15,283.14128477324,0.1409,-20.18493285876,0.1351,4085936048072353408,1.3139,0.1599,-1.428,0.17,-5.993,0.156,0.929,18.238071,0.003458,19.57033,0.048438,17.162804,0.012136,2.407526,,,1.346,519.666,22.452,91.927,0.99,0.5573402247797983,0.0053046202889659,0.0,0.1208527029467924,0.0,0.216838292973633,0.4422771093641712,0.5573402247797983,0.12096906549178493,0.1780516570993844
0.0385,0.0186,-0.004,14,283.12502417738,0.0344,-20.24605266812,0.0303,4085929180454189568,1.4264,0.0359,-1.468,0.039,-5.859,0.032,1.011,15.542307,0.002864,16.136469,0.005373,14.794673,0.003908,1.341796,,,1.258,1386.1,236.449,396.8,1.0,0.8980400190864316,0.0008863069071082,0.0,0.0333369915972721,0.0,0.0371219443329324,0.47517655999191394,0.8980400190864316,0.03334877132204691,0.19129629847444968
0.1227,-0.1238,0.1889,16,283.13651101067,0.028,-20.17740079824,0.0263,4085936254230116608,1.3313,0.0327,-1.737,0.032,-5.987,0.028,1.33,10.265813,0.002782,10.371851,0.002895,10.0519,0.002849,0.319951,,,1.17,2847.844,1405.576,1886.711,0.99,3.005321300097724,0.0603124290363432,1.7485784446955157,0.1492591370972068,0.581827455400079,0.0510190794405039,0.47579677178831126,4.753899744793239,0.16098409580845777,0.19154598297261394
0.034,-0.0503,0.0209,14,283.100783553,0.0236,-20.25010586486,0.0205,4085929794599792384,1.4617,0.0258,-1.461,0.025,-5.936,0.02,1.096,14.353064,0.003584,14.822423,0.009897,13.711711,0.007289,1.110712,,,1.231,473.817,114.345,161.234,1.0,1.1162311620651122,0.0050150013452033,0.3597720282238391,0.2763451465994831,0.322309607947366,0.24757405381716,0.5234754420454104,1.4760031902889512,0.2763906479741712,0.2107404338447742
0.0521,-0.0702,-0.0241,14,283.06490408588,0.0285,-20.21479100161,0.0246,4085930176886634496,1.4126,0.0313,-1.439,0.031,-5.645,0.025,0.944,15.009962,0.002868,15.537192,0.005699,14.31794,0.003623,1.219253,,,1.242,1361.429,218.505,469.893,0.99,0.9912927322294286,0.000999619558218,0.0,0.065755999960021,0.0,0.066333584240182,0.5594090613442538,0.9912927322294286,0.06576359760538845,0.2252065690488671
-0.0096,0.0083,0.0624,14,283.08231873831,0.0143,-20.25079303427,0.0124,4085929863318785024,1.3882,0.0149,-1.579,0.016,-5.978,0.013,0.956,12.33511,0.002762,12.588352,0.002954,11.922543,0.002858,0.66581,,,1.19,5738.563,1119.658,1753.02,1.0,1.660841892829659,0.0125656633775151,1.016909434515521,0.055937971552916,0.6122855155001911,0.0339975756474629,0.6229491759788177,2.67775132734518,0.05733195058230501,0.25078651081712505
0.2256,0.0189,0.0589,15,283.15325244561,0.02,-20.24420030345,0.0186,4085929141764781184,1.4108,0.0207,-1.536,0.024,-5.676,0.02,0.96,14.202291,0.002872,14.646426,0.005623,13.571942,0.004097,1.074484,,,1.234,1340.601,222.42,361.891,1.0,1.1505509211273732,0.0045523147000616,0.3346514079119543,0.2902565853218802,0.2908618834393217,0.2522787997553189,0.6344570328705832,1.4852023290393275,0.2902922818330627,0.25541933703819514
