pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass,q,e_q
-0.0289,0.1884,0.2578,16,97.78567802315,0.0916,9.90676660952,0.0969,3327295225591358464,1.3469,0.1226,-2.264,0.101,-5.137,0.085,1.007,17.525873,0.004864,19.451223,0.04072,16.257521,0.011731,3.193703,,,1.477,270.867,26.727,95.285,0.99,0.3826641201894961,0.0210927196009812,0.2992349290299293,0.0280701028842486,0.7819780147711459,0.08508087316847657
-0.1255,0.1913,0.3014,16,97.79020596292,0.0942,9.90357540877,0.0989,3327295019432927872,1.6371,0.1278,-2.478,0.103,-5.014,0.093,0.99,17.650749,0.007692,19.420822,0.063337,16.334663,0.0225,3.086159,,,1.557,151.179,17.159,48.63,1.0,0.4211290092133517,0.0366551207372056,0.1742879708186438,0.1112300490079226,0.41385885798797184,0.2665685794699174
-0.0835,0.145,0.2462,15,97.7744408597,0.0733,9.90845394549,0.0783,3327295225591360384,1.5394,0.0968,-2.249,0.08,-5.221,0.068,1.162,17.039679,0.003249,18.53804,0.027205,15.861061,0.00575,2.676979,,,1.429,630.844,40.121,215.949,1.0,0.5991956049324784,0.0045981889943173,0.0,0.0325729116867666,0.0,0.05436106576655739
-0.0894,0.1752,0.2434,16,97.77711050539,0.0238,9.92065641926,0.0261,3327295328670571904,1.5894,0.0321,-2.262,0.026,-5.11,0.022,1.052,14.831293,0.003495,15.761847,0.008205,13.8726,0.006419,1.889247,,,1.326,504.962,140.716,187.807,1.0,0.946201563762462,0.0410008796584448,0.8082114795809219,0.0632171975051839,0.8541641765705413,0.07637882182847561
-0.0505,0.1451,0.244,16,97.80346053314,0.1725,9.92204187099,0.1787,3327295633611245056,1.6372,0.2247,-2.3,0.183,-5.238,0.155,0.953,18.553602,0.00366,20.583008,0.162052,17.168425,0.017765,3.414583,,,1.619,450.797,6.701,61.885,0.99,0.2973461884400538,0.0234869889174605,0.0,0.0739116211153436,0.0,0.24857093848453515
-0.0394,0.1639,0.2041,16,97.77661711482,0.0729,9.89281216443,0.0775,3327294916354281856,1.4548,0.0941,-2.423,0.081,-5.044,0.069,1.009,17.102264,0.00326,18.922089,0.052608,15.828179,0.005266,3.093909,,,1.497,622.907,20.668,243.139,1.0,0.4494879687371775,0.0196072664074592,0.3847765352669626,0.0251074692064817,0.8560330020578311,0.0671898935399156
-0.1011,0.1744,0.212,16,97.76573134017,0.104,9.90969256598,0.1111,3327295290013850624,1.5822,0.1363,-2.567,0.113,-5.209,0.096,1.037,17.748495,0.003326,19.604841,0.064644,16.472292,0.005867,3.132549,,,1.495,582.623,16.811,210.353,1.0,0.3973325472095509,0.0362594131131676,0.1577388933137391,0.112519600257594,0.39699464446477506,0.28549545539437315
-0.0527,0.1563,0.2307,15,97.77754932848,0.1476,9.93153722741,0.1529,3327295328670570112,1.5994,0.1889,-2.434,0.153,-5.229,0.13,0.967,18.286736,0.00356,20.017328,0.137597,16.931406,0.012318,3.085922,,,1.614,481.694,7.892,90.491,1.0,0.3520605645378662,0.0072901058394815,0.0,0.019851647823341,0.0,0.0563870249126009
-0.1443,0.1981,0.2359,16,97.80526552481,0.0416,9.92801216849,0.0439,3327295637908211328,1.5909,0.0531,-2.184,0.046,-4.923,0.04,0.991,16.015154,0.00404,17.263391,0.014839,14.906138,0.008294,2.357253,,,1.399,367.478,74.499,139.005,1.0,0.7117664921513885,0.0149243435302765,0.553758058260918,0.0714346430651383,0.7780052367836626,0.10167962988106001
-0.041,0.1276,0.2352,16,97.79900526308,0.083,9.88646955167,0.0889,3327294950713453184,1.5187,0.112,-2.519,0.095,-5.013,0.079,1.038,17.372261,0.003582,18.956556,0.037392,16.138702,0.010502,2.817854,,,1.48,474.326,29.118,107.242,1.0,0.5249365590763965,0.0041496679218935,0.0,0.0156880743434815,0.0,0.029885657747069472
-0.1766,0.0776,-0.1038,11,97.78665191707,0.0931,9.94025345287,0.1144,3327295706627689856,1.6535,0.1202,-2.776,0.103,-4.501,0.098,0.982,16.521267,0.007971,17.423885,0.064107,15.220664,0.031316,2.203221,,,1.71,145.166,16.952,34.808,0.91,0.7210640409369237,0.003528102678891,0.0,0.049056987673237,0.0,0.06803416186098281
-0.2528,0.222,0.1726,15,97.76327344419,0.1731,9.8898824775,0.1927,3327295083855406208,1.7847,0.2207,-2.243,0.168,-5.159,0.143,1.086,17.911547,0.003647,19.714178,0.068539,16.525438,0.009029,3.18874,,,1.647,454.508,15.854,126.441,1.0,0.391911338215351,0.0353238094561518,0.0,0.1125321602451371,0.0,0.28713678138932
