pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
0.254,0.054,0.116,20,49.25661262342,0.0294,58.61279511792,0.0367,461751349879556096,0.3452,0.0486,-0.686,0.05,-0.624,0.052,1.02,16.429251,0.002787,17.137014,0.00654,15.577117,0.003383,1.559897,,,1.301,2601.701,183.545,567.716,0.93,2.131060654399834,0.05970986373833699,1.2717416677632203,0.12249997740332046
0.2652,0.0868,0.1079,19,49.26063105176,0.1208,58.61536546096,0.1481,461751349879556224,0.2546,0.2019,-0.687,0.196,-0.599,0.207,0.971,18.832512,0.003252,19.815542,0.047725,17.819305,0.012903,1.996237,,,1.364,628.779,22.789,86.184,0.87,1.2003828174544302,0.014507460169988136,0.21223601078363274,0.3010497398812604
0.2503,0.068,0.0919,19,49.26736082486,0.0763,58.60957439229,0.0955,461751349879551360,0.3467,0.1303,-0.517,0.127,-0.603,0.134,1.066,18.064671,0.002922,18.950035,0.022232,17.126312,0.008,1.823723,,,1.32,1115.359,49.226,144.814,0.95,1.4225685260369487,0.003544479242945765,0.0,0.19897425633646315
0.3011,0.0614,0.1508,20,49.26991196912,0.0212,58.61050642246,0.0269,461751354176887424,0.3142,0.0345,-0.483,0.036,-0.434,0.038,1.009,15.721685,0.002772,16.384346,0.004141,14.870087,0.004916,1.514259,,,1.316,3628.883,354.758,268.227,1.0,2.4973823853561883,0.06686966874857087,1.673482205769643,0.18768654260208262
0.2433,0.0504,0.1166,20,49.27244420105,0.0381,58.61419835609,0.0462,461751354178139392,0.2859,0.0617,-0.612,0.063,-0.404,0.065,0.979,16.898306,0.002803,17.638515,0.005586,16.041258,0.004457,1.597258,,,1.294,2099.677,224.341,312.35,0.98,1.9020644345878346,0.023827459713543924,1.0133272034718015,0.14050539958388952
0.2546,0.0408,0.0938,20,49.24308620648,0.0653,58.60945375618,0.0807,461751319817152384,0.3422,0.1095,-0.534,0.11,-0.45,0.113,0.951,17.87569,0.002901,18.689644,0.018856,16.977631,0.007644,1.712013,,,1.305,1195.782,58.222,152.576,0.98,1.4874329843714094,0.0031759798012335624,0.0,0.12177049943038626
0.258,0.0487,0.1226,20,49.27256406642,0.0172,58.60675569817,0.0215,461751148018458624,0.3537,0.0281,-0.522,0.029,-0.501,0.031,1.021,15.281896,0.002769,16.000107,0.003408,14.425961,0.002959,1.574145,,,1.3,3993.021,554.944,1102.495,1.0,2.7788040371260774,0.01725127148328413,1.5487826690372268,0.12229535621052187
0.1899,0.165,0.1149,19,49.25443990461,0.0652,58.62304932943,0.0764,461751418599838464,0.3223,0.1073,-0.552,0.113,-0.53,0.108,0.988,17.784237,0.002879,18.533106,0.013908,16.890799,0.007478,1.642307,,,1.322,1298.705,79.686,156.482,0.98,1.5261938513624338,0.004267441266114565,0.0,0.0766728853767628
0.2421,0.0802,0.1086,20,49.26745337491,0.0361,58.60284373149,0.0419,461751148019711744,0.3001,0.0562,-0.584,0.059,-0.395,0.059,1.001,16.717459,0.002802,17.40122,0.007056,15.896585,0.004291,1.504636,,,1.283,2138.526,167.528,333.112,0.99,2.0637618268702074,0.002337283888527611,0.0,0.12824825494144232
0.2511,0.0305,0.1412,20,49.26290349688,0.0232,58.60155484222,0.0297,461751148018462464,0.3512,0.0391,-0.556,0.04,-0.456,0.041,1.029,15.912726,0.002775,16.568958,0.004043,15.097991,0.003406,1.470967,,,1.288,3331.368,371.09,555.896,0.99,2.5312583004588394,0.003081587466585125,0.13136367122202613,0.2859067121743465
