pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
-0.2839,-0.2342,0.0747,27,351.4362477664,0.0537,61.32445681875,0.0513,2015459209489262720,0.3493,0.0634,-3.899,0.071,-2.109,0.064,1.006,17.250134,0.002844,17.902872,0.007677,16.468756,0.004689,1.434116,,,1.262,1541.358,151.819,288.128,0.95,1.2256061038834585,0.0069593301505161,0.1353482226141681,0.2561553993697928
-0.2861,-0.1797,0.0289,25,351.46249884074,0.0091,61.32402740419,0.0092,2015459583140661248,0.3737,0.0111,-3.872,0.012,-2.023,0.011,1.005,12.27465,0.002764,12.570312,0.002881,11.793297,0.002827,0.777015,,,1.208,5023.733,1511.276,2388.264,0.94,4.681941209992242,0.1196677324197315,2.893184995657796,0.6823826767416483
-0.2529,-0.3387,0.0755,25,351.46554420349,0.1491,61.33900135966,0.1444,2015462538080582144,0.1998,0.1856,-3.921,0.197,-1.99,0.169,1.068,18.840357,0.004204,19.554209,0.037876,17.747133,0.013368,1.807076,,,1.528,341.955,28.744,83.049,0.71,0.8713922876035034,0.030679594877223,0.515767914669807,0.2641247463694225
-0.2533,-0.2593,0.1113,26,351.45632239599,0.011,61.34563233587,0.0111,2015462542383870464,0.3889,0.0137,-3.976,0.014,-2.209,0.014,0.945,13.965803,0.002856,14.248718,0.003727,13.507277,0.003418,0.741442,,,1.201,1446.403,439.398,550.083,0.99,3.2445936298403693,0.002739165055758,0.0,0.0
-0.2689,-0.3,0.1589,26,351.48257402541,0.0115,61.34021192462,0.0112,2015459587446382208,0.3995,0.0142,-3.978,0.015,-2.141,0.013,0.986,14.081087,0.00277,14.344304,0.003152,13.641839,0.003006,0.702465,,,1.2,3863.319,740.176,971.823,0.99,3.1276751306928,0.0038664015652907,0.0,0.0
-0.1655,-0.2409,0.1568,26,351.42511534996,0.0227,61.34591592151,0.0223,2015462233146217472,0.4191,0.0281,-4.054,0.029,-2.217,0.027,0.993,15.620472,0.002773,16.035334,0.003691,15.020014,0.003356,1.01532,,,1.227,3499.229,449.414,581.959,0.98,1.8218217309342424,0.0186991025409543,0.6866237589450717,0.3603797159815443
-0.2594,-0.269,0.0636,23,351.46307286939,0.1362,61.34820239825,0.1235,2015462538076734208,0.5108,0.1666,-3.986,0.17,-2.374,0.149,0.989,18.683681,0.003516,19.639046,0.038569,17.777266,0.012313,1.86178,,,1.271,497.053,28.224,90.534,0.81,0.8534028591768346,0.0280379894480118,0.6937592191001756,0.0804701527217622
-0.3084,-0.3039,0.1386,25,351.41929829022,0.0417,61.31411170378,0.0404,2015459209489268224,0.4067,0.0505,-3.838,0.055,-1.954,0.048,1.021,16.766863,0.002824,17.403122,0.005451,15.968142,0.003612,1.43498,,,1.282,1750.524,231.882,473.289,0.79,1.2642404861505625,0.0370211015187325,1.0167936589096798,0.0758889066677408
-0.2234,-0.3082,0.0771,25,351.47484746395,0.1087,61.34884273756,0.1007,2015462538076678912,0.5843,0.1354,-4.139,0.143,-2.149,0.123,0.991,18.439068,0.003209,19.282867,0.02722,17.618488,0.008907,1.664379,,,1.23,660.354,40.099,128.358,0.85,0.9567894338022896,0.0121142093907382,0.1352181904984576,0.2344978819349477
-0.2073,-0.297,0.0344,26,351.40151650525,0.0695,61.33694301445,0.0683,2015462194483196160,0.425,0.0868,-3.736,0.093,-2.215,0.083,1.002,17.699944,0.002916,18.420654,0.01309,16.785389,0.008436,1.635265,,,1.351,1137.173,84.894,136.374,0.86,1.0427722323978197,0.034997098946345,0.859973241088356,0.0716132755194017
-0.2161,-0.3072,0.0873,25,351.40247878875,0.0207,61.34053846486,0.0214,2015462404944908672,0.4113,0.0261,-4.082,0.027,-2.12,0.025,0.971,15.487282,0.002772,15.969387,0.003962,14.822235,0.002944,1.147152,,,1.242,3529.255,386.078,1154.508,0.99,1.6596406109610344,0.0400720254760536,1.4171702757493407,0.0476012452740136
-0.2406,-0.3604,0.1063,25,351.48661858699,0.0297,61.3466618901,0.028,2015462576743615360,0.3607,0.0378,-4.006,0.04,-2.105,0.033,1.051,16.109999,0.002785,16.623169,0.004491,15.42274,0.003202,1.200429,,,1.245,2670.017,308.486,690.993,0.97,1.559462344263136,0.0148168217536141,0.8832110460117306,0.11436160816455
-0.2277,-0.2681,0.1072,26,351.468037239,0.0347,61.35339711159,0.0312,2015462611103342592,0.4755,0.0416,-4.138,0.045,-2.066,0.038,0.992,16.452635,0.002802,16.99966,0.004642,15.746149,0.004583,1.253511,,,1.245,2120.389,292.711,298.672,0.94,1.462192247665099,0.0024417376152662,0.0,0.1278135155719515
-0.2464,-0.3324,0.143,26,351.42465698605,0.0253,61.35343812599,0.0249,2015462439304639232,0.3914,0.0318,-4.133,0.034,-2.175,0.03,0.972,15.901121,0.002777,16.333311,0.004137,15.2929,0.003265,1.040411,,,1.224,3105.918,355.467,640.657,0.98,1.6924864457058058,0.0020879639030242,0.0,0.0297793493373788
-0.2303,-0.2863,0.0799,25,351.50522244313,0.0284,61.33806847825,0.0284,2015459553086651008,0.411,0.0363,-4.035,0.037,-2.087,0.034,1.024,16.140707,0.002791,16.63139,0.004356,15.473603,0.003473,1.157786,,,1.24,2432.638,324.556,524.875,0.98,1.583102065460267,0.0040317366317909,0.1080156652664115,0.2379666031463018
-0.2081,-0.3467,0.081,25,351.50798980514,0.1323,61.32858834683,0.1238,2015459548779295616,0.3017,0.1676,-4.22,0.176,-2.167,0.154,1.019,18.727497,0.003733,19.609858,0.028956,17.854069,0.01419,1.755789,,,1.263,431.128,37.671,78.035,0.78,0.8892204210060052,0.0264749950205035,0.3542191489392767,0.296498940211211
-0.2416,-0.2481,0.1144,26,351.5078954733,0.0167,61.33177209928,0.0159,2015459553086657280,0.4031,0.0203,-3.964,0.022,-2.182,0.019,0.958,15.024273,0.002767,15.349854,0.003467,14.503622,0.003392,0.846232,,,1.217,4196.421,527.787,562.762,0.99,2.2766378028759484,0.0024881724191807,0.0,0.0
-0.4001,-0.3084,0.1548,24,351.38622254256,0.09,61.33202370016,0.09,2015462194479178880,0.4721,0.1096,-4.019,0.121,-2.251,0.11,1.004,17.975033,0.00299,18.78624,0.01709,17.112139,0.007327,1.674101,,,1.275,934.773,64.393,160.25,0.93,0.982458190857134,0.0323954896554561,0.8015813169050007,0.0695572920837347
-0.0845,-0.1332,0.1339,27,351.50980443299,0.0442,61.32206352748,0.0388,2015459346928234752,0.3807,0.0503,-3.893,0.059,-2.409,0.048,3.035,14.923765,0.002804,15.472866,0.003367,14.126659,0.002995,1.346207,,,1.314,2081.703,576.23,998.309,0.88,1.997936392208534,0.0540025539651834,1.6243501064211248,0.0618350135954073
-0.0974,-0.3833,0.0256,23,351.46443466893,0.13,61.2997828048,0.1262,2015459312561120512,0.4269,0.1641,-3.815,0.174,-2.266,0.152,1.004,18.619955,0.003329,19.323277,0.035975,17.692822,0.014219,1.630455,,,1.368,581.245,30.271,77.872,0.82,0.9354770009880216,0.0121651752416859,0.0,0.1921805226080109
-0.2121,-0.3143,0.0866,26,351.43935680561,0.0349,61.35973025242,0.0337,2015462439304637440,0.3956,0.0433,-4.021,0.046,-2.187,0.041,1.016,16.461287,0.002806,17.008053,0.004765,15.75265,0.003372,1.255403,,,1.247,2035.208,281.064,573.537,0.98,1.4591197582052151,0.0027115931122081,0.0,0.1372712890500344
-0.2212,-0.2746,0.0978,27,351.39778598705,0.0862,61.30966401934,0.0825,2015459170822042624,0.5034,0.1049,-3.821,0.114,-2.125,0.1,0.962,18.09852,0.003069,18.831116,0.025762,17.25436,0.008241,1.576756,,,1.285,802.922,42.395,140.023,0.83,1.0323508175602965,0.0094051290883782,0.120696791029102,0.2271253245475185
-0.2261,-0.2642,0.0553,25,351.42881362434,0.0243,61.35961299796,0.0239,2015462439304903552,0.3813,0.0299,-4.062,0.032,-2.279,0.029,1.014,15.807993,0.002781,16.251356,0.003747,15.173784,0.003205,1.077572,,,1.237,2889.521,434.12,688.588,0.97,1.7115825837796603,0.017006849355772,0.7952184854198954,0.2642110521242005
-0.2701,-0.2314,0.0162,27,351.38561883231,0.0202,61.31857407812,0.0211,2015462130067017472,0.3864,0.0251,-4.073,0.027,-2.168,0.025,0.988,15.429824,0.002771,15.865973,0.003605,14.801264,0.003071,1.06471,,,1.236,3740.904,475.482,846.826,0.98,1.816931587332821,0.0258392077684588,1.251270036923973,0.0463159020592378
-0.2073,-0.2765,0.0929,27,351.45951530816,0.0266,61.29768583966,0.0259,2015459312568502272,0.4352,0.0323,-3.986,0.035,-2.082,0.031,1.21,15.627572,0.00278,15.990587,0.003959,15.00941,0.003753,0.981177,,,1.263,2949.323,386.514,432.675,0.98,1.8560475413267603,0.0046556113428336,0.0,0.1862715375423304
-0.2032,-0.3539,0.1545,25,351.40628925968,0.1092,61.35455848947,0.0992,2015462434997528832,0.1701,0.133,-3.982,0.148,-2.047,0.122,1.004,18.327185,0.003223,19.145739,0.022651,17.468855,0.013226,1.676884,,,1.269,649.345,48.302,83.982,0.63,0.9562269957066222,0.029418989710991,0.4938381596189337,0.2874420726056211
-0.2825,-0.3106,0.1262,26,351.41089219518,0.0406,61.302509136,0.0409,2015459106410060672,0.3597,0.0512,-3.919,0.054,-2.072,0.049,1.069,16.638729,0.002813,17.208006,0.005281,15.908927,0.003821,1.299079,,,1.254,1923.456,242.18,415.788,0.96,1.400228860828604,0.0019740970077454,0.0,0.0778104563905962
-0.1882,-0.2663,0.1002,27,351.37927717563,0.0555,61.32724471977,0.0548,2015462198788201984,0.3942,0.0685,-3.937,0.072,-2.251,0.065,0.993,17.304903,0.00287,18.041594,0.009305,16.474895,0.005617,1.566698,,,1.272,1354.289,122.312,222.714,0.96,1.100788542561321,0.0342812246260796,0.9608822644307178,0.0628150241561534
-0.2167,-0.2629,0.0885,27,351.38710363891,0.0184,61.31030018376,0.0189,2015462130067025024,0.3704,0.0229,-3.961,0.024,-2.079,0.022,0.979,15.217895,0.002771,15.580152,0.003125,14.674333,0.002994,0.905819,,,1.214,3694.723,771.945,999.197,0.97,2.121445926518565,0.0038344684968141,0.0,0.1781883305458748
-0.2509,-0.2931,0.1118,27,351.39449164865,0.0631,61.30488731027,0.0695,2015459175129532544,0.3859,0.0836,-4.153,0.084,-2.032,0.08,3.503,15.686177,0.002994,16.192202,0.004188,14.955835,0.003097,1.236366,,,1.28,926.115,347.686,807.318,0.93,1.5308547653959863,0.0343109706604614,1.416905993048197,0.039143356350985
-0.2442,-0.2909,0.1118,26,351.38690262267,0.0483,61.34942755924,0.0459,2015462469357208064,0.4271,0.0591,-3.95,0.064,-2.179,0.054,0.981,17.072443,0.00284,17.712934,0.008707,16.295002,0.004328,1.417933,,,1.263,1578.588,131.64,328.125,0.97,1.2668717796210551,0.0121515966227364,0.3352608783365784,0.3432085013770901
-0.2358,-0.352,0.0807,25,351.39414236797,0.1281,61.3027598625,0.123,2015459170822023808,0.4211,0.1621,-3.714,0.172,-2.036,0.144,1.012,18.646009,0.003649,19.501101,0.029494,17.716885,0.015747,1.784216,,,1.32,453.773,36.978,70.055,0.65,0.8800084497198501,0.0297812658099717,0.626411208024851,0.174151062547273
-0.186,-0.2833,0.1427,26,351.46029747441,0.1311,61.36675411764,0.1204,2015462812962158720,0.3439,0.1578,-3.862,0.17,-2.221,0.147,1.019,18.662659,0.003325,19.335096,0.028994,17.744555,0.014631,1.590542,,,1.371,583.366,37.622,75.595,0.87,0.9302564011659707,0.0061182065654096,0.0,0.1400784491947846
-0.2177,-0.3173,0.1234,26,351.50743792669,0.0134,61.35668348003,0.0129,2015462576743610752,0.418,0.0167,-4.015,0.018,-2.14,0.015,0.959,14.419984,0.002763,14.735729,0.002914,13.92778,0.00287,0.807949,,,1.205,5175.653,1290.505,1615.792,0.99,2.7987036800448006,0.0024662292307688,0.0,0.0
-0.2235,-0.2715,0.1334,26,351.40132343438,0.0451,61.36216172288,0.0444,2015462473664364288,0.4462,0.056,-4.0,0.059,-2.153,0.053,1.13,16.829191,0.002819,17.446127,0.006192,16.067757,0.004529,1.37837,,,1.26,1829.352,196.404,304.372,0.97,1.3299584868094074,0.0144885878993115,0.5565122836333011,0.3153190903127701
-0.1143,-0.2009,0.159,16,351.41347821773,0.2688,61.36572222953,0.1477,2015462508016560640,0.4427,0.2195,-4.206,0.323,-2.268,0.172,0.963,18.853474,0.003785,,,,,,,,,418.38,,,0.76,2.686863583533445,1.6300635584848835,0.9430210281906763,1.4017262007820002
-0.2641,-0.2813,0.1221,26,351.51933089963,0.0207,61.35168661285,0.0203,2015459724885334144,0.3716,0.0258,-3.974,0.028,-2.196,0.025,0.987,15.532149,0.002774,15.907411,0.003438,14.964928,0.003137,0.942483,,,1.223,3400.354,540.5,757.137,0.98,1.90465610583604,0.0026173456606756,0.0,0.0414376382469783
-0.238,-0.3188,0.1702,26,351.39856850033,0.0411,61.36245567252,0.0402,2015462473664363136,0.4547,0.0517,-4.226,0.055,-2.219,0.048,0.959,16.788166,0.002813,17.395958,0.007346,16.028875,0.004003,1.367083,,,1.261,1914.394,159.761,378.265,0.93,1.343578850976477,0.0149708318759343,0.5298302645869848,0.3392140610490802
-0.2432,-0.3266,0.1358,26,351.52990643949,0.0533,61.34118304323,0.0514,2015459656165869952,0.3701,0.0682,-3.949,0.071,-2.221,0.062,1.169,17.126072,0.002846,17.790257,0.006689,16.320704,0.003703,1.469553,,,1.277,1527.519,178.588,445.844,0.97,1.2042612278698916,0.0327271953278452,0.85665479768906,0.0969874418387089
-0.2322,-0.2683,0.1195,25,351.40449055823,0.0926,61.36526983254,0.085,2015462503717083264,0.3738,0.1127,-4.015,0.117,-2.122,0.102,1.069,18.018145,0.003145,18.761604,0.022511,17.166304,0.008055,1.595301,,,1.288,716.456,48.607,143.684,0.94,1.0372503789351064,0.0203324985437373,0.3789100291002951,0.3093665599685349
-0.2335,-0.2759,0.1044,27,351.41250477273,0.0603,61.36799436265,0.0565,2015462508016552576,0.3562,0.072,-4.175,0.078,-2.195,0.068,0.988,17.468451,0.002886,18.189415,0.011896,16.605574,0.007439,1.583841,,,1.305,1265.758,93.885,157.445,0.93,1.0783609462187789,0.0347316627932189,0.916610402091151,0.0641077642418644
-0.2248,-0.2504,-0.0356,24,351.42860010423,0.1498,61.37201315317,0.1478,2015462503717101568,0.6713,0.1844,-4.052,0.184,-2.052,0.182,1.052,18.679234,0.003565,19.483828,0.02886,17.789478,0.017901,1.694349,,,1.301,480.007,37.798,61.403,0.68,0.9134438758497512,0.0173636978539337,0.1559896305306497,0.2559828182002152
-0.1619,-0.2681,0.0485,25,351.44313293039,0.0785,61.28576689203,0.074,2015458861584212608,0.3175,0.0929,-3.972,0.102,-2.056,0.091,1.008,17.877958,0.003,18.560379,0.0121,17.087502,0.007349,1.472878,,,1.259,915.322,92.214,159.687,0.91,1.080705743347194,0.0029524062521854,0.0,0.0772523940984423
-0.2217,-0.2884,0.0495,26,351.49733528663,0.0856,61.29241777904,0.0791,2015458517986872576,0.3607,0.1037,-4.184,0.109,-2.027,0.096,1.071,17.919538,0.003025,18.67168,0.013292,17.094534,0.006249,1.577147,,,1.263,869.697,83.546,194.169,0.88,1.0588274134740432,0.0168518038113123,0.3266904192523425,0.3187077042493426
-0.2603,-0.2125,0.1102,26,351.36647623011,0.0095,61.34963016849,0.0093,2015462366279438336,0.3931,0.0115,-4.07,0.012,-2.225,0.011,1.052,12.502929,0.002766,12.821074,0.002987,12.001917,0.002831,0.819158,,,1.209,4435.12,1016.951,2275.55,0.99,4.327202146382112,0.1447785893732402,3.368311760203755,0.3915774666433202
-0.2174,-0.2635,0.1359,26,351.35288351764,0.046,61.32460175474,0.0448,2015462301865695232,0.3615,0.0568,-3.907,0.059,-2.157,0.053,0.964,17.00292,0.00283,17.67864,0.006762,16.20895,0.00415,1.46969,,,1.264,1682.772,176.281,353.436,0.97,1.2066366008795064,0.0361854473671657,0.951715748763848,0.0811437530062676
-0.1735,-0.2597,0.1315,27,351.39319573314,0.0249,61.36811013912,0.0242,2015463229578600320,0.4536,0.0302,-4.089,0.032,-2.111,0.029,1.012,15.776556,0.002793,16.318619,0.004968,15.049811,0.003778,1.268807,,,1.262,2376.732,264.127,426.352,0.97,1.494156460360207,0.032868612538117,1.3817683738552236,0.0374828198815642
-0.195,-0.2339,0.1274,27,351.46296750954,0.0164,61.3774729065,0.0149,2015462885981225984,0.3925,0.0191,-4.015,0.021,-2.025,0.018,1.015,14.876559,0.002829,15.209894,0.00353,14.355798,0.004268,0.854096,,,1.214,1687.966,502.068,336.234,0.98,2.395794216523893,0.0028282958271382,0.0,0.0562213063014322
