pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
-0.0828,0.1926,0.1063,23,150.98235132242,0.0362,-59.24035796106,0.0311,5258258474001456768,0.2209,0.0373,-4.936,0.043,3.094,0.038,2.314,13.500948,0.003069,13.659245,0.017175,12.640447,0.015234,1.018799,,,1.557,802.997,64.069,72.498,0.99,7.938845215350683,0.14547371451129082,7.476862896406133,0.19219023459722445
-0.0232,0.1619,0.0722,23,150.95785567758,0.0352,-59.23627331341,0.0344,5258258645821912064,0.1786,0.0391,-4.972,0.044,3.137,0.042,0.984,16.381527,0.002802,16.893143,0.004553,15.681346,0.003549,1.211797,,,1.255,2132.488,301.776,494.883,0.99,2.658715924824354,0.26294330861769133,1.570850227217226,0.18315136264364082
-0.2309,0.2263,0.0881,23,150.9728883483,0.1022,-59.24932555451,0.0959,5258258435348860288,0.1849,0.1138,-5.285,0.143,3.01,0.126,0.902,18.210567,0.003114,18.911552,0.017164,17.432726,0.007973,1.478827,,,1.242,748.144,64.108,145.379,0.76,1.4357889007578137,0.007224024269798732,0.0,0.16500283990175343
-0.1131,0.2202,0.0498,25,150.9780407581,0.0646,-59.2489765902,0.0616,5258258439663481600,0.235,0.0709,-4.972,0.088,3.125,0.079,1.039,17.423801,0.002889,17.992325,0.009002,16.720003,0.004161,1.272322,,,1.234,1251.441,126.851,351.698,0.99,1.8557565000161274,0.025911421410426575,0.9177856729771665,0.2757752777005318
-0.255,0.1262,0.1832,23,150.95498338788,0.1104,-59.24865395374,0.1023,5258258538428075776,0.1681,0.1199,-5.024,0.15,3.15,0.142,0.947,18.340286,0.003216,19.091564,0.016751,17.537138,0.008583,1.554426,,,1.245,654.599,65.736,133.763,0.96,1.3770328882649658,0.0087874771146908,0.0,0.14663743599858522
-0.1946,0.0432,0.3864,19,150.9633641347,0.1368,-59.25190924516,0.1528,5258258542720900352,0.2196,0.1798,-5.272,0.187,3.066,0.244,1.018,18.49431,0.004061,19.103342,0.06432,16.822849,0.083476,2.280493,,,2.376,363.911,16.896,13.014,0.79,1.3165703792825318,0.03511601348684161,1.1885818241721884,0.06798791747565977
0.0147,0.1887,0.1149,25,150.96403116999,0.0238,-59.23082016681,0.0247,5258258680181654016,0.2437,0.0273,-5.012,0.031,3.195,0.031,1.041,15.673367,0.002814,16.071297,0.003552,15.082747,0.003133,0.98855,,,1.228,1898.499,494.116,762.31,1.0,3.8199169201212944,0.0056985376921733465,0.11066651445407662,0.2628636983509999
-0.0127,0.2047,0.0449,24,150.99078205561,0.0214,-59.23821798288,0.0232,5258258474023229440,0.2288,0.0241,-5.061,0.028,3.171,0.027,0.978,15.373862,0.002788,15.811166,0.003401,14.741119,0.003042,1.070046,,,1.239,2535.037,558.465,896.477,1.0,3.4949807807337505,0.15926584702925076,3.0981715746176004,0.3534848681643311
0.0869,0.139,0.0039,22,150.94475839664,0.048,-59.23869760759,0.0488,5258258607146556672,0.2611,0.0523,-5.104,0.063,3.235,0.062,1.017,16.943153,0.002857,17.447367,0.006339,16.254042,0.004535,1.193325,,,1.25,1437.976,190.746,303.716,0.98,2.2242105014117057,0.06725070974594329,1.1496190138778748,0.13275612195175018
-0.2053,0.0802,0.2109,23,150.96041693053,0.1309,-59.25399738521,0.1321,5258258542720895488,0.1982,0.1505,-5.341,0.175,3.422,0.176,1.308,18.379063,0.003577,19.004118,0.025993,17.35063,0.011413,1.653488,,,1.493,475.899,42.013,98.107,0.69,1.3927248541802149,0.022298825657193596,0.4482437943018642,0.37177495196936877
