pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
-0.2069,0.228,-0.2001,21,113.85669098715,0.0189,-18.70800566682,0.0218,5716726544728638464,0.4987,0.0329,-1.833,0.031,2.173,0.032,0.997,15.631779,0.002775,16.107992,0.004193,14.946016,0.003238,1.161976,,,1.259,3276.365,346.956,660.468,0.9,1.665243108658182,0.022675676450353646,1.1713825616862297,0.07051278323811143
-0.2243,0.1296,-0.1574,22,113.86399103923,0.0396,-18.68735704775,0.047,5716726647807843200,0.3457,0.0674,-1.907,0.066,2.418,0.07,0.963,17.159296,0.002813,17.770885,0.006438,16.403959,0.003999,1.366926,,,1.257,1916.214,187.123,379.022,0.95,1.2439200825547172,0.00282374142403844,0.0,0.02656156312827713
-0.1713,0.1557,-0.0741,21,113.83672424825,0.0527,-18.68463326636,0.0642,5716726888326027392,0.4084,0.0925,-1.727,0.088,2.465,0.091,1.01,17.685776,0.002917,18.371983,0.009014,16.896473,0.004851,1.47551,,,1.256,1132.813,126.673,273.623,0.95,1.0315431401033004,0.003027241942667161,0.0,0.0
-0.2069,0.175,-0.1849,22,113.86205654643,0.0147,-18.68026677466,0.017,5716726957045487488,0.4326,0.0244,-1.72,0.024,2.392,0.025,1.112,14.962817,0.002765,15.323776,0.003054,14.414141,0.00289,0.909636,,,1.218,4710.28,874.354,1439.555,0.99,2.2534863381699966,0.040602480742718945,0.6357433368269408,0.4793882813764477
-0.0397,0.0628,-0.1793,20,113.82750463299,0.0379,-18.70611223531,0.045,5716726441649506048,0.3819,0.0669,-1.591,0.066,2.369,0.066,1.016,17.13143,0.002827,17.707193,0.00532,16.401241,0.004852,1.305952,,,1.251,1714.635,239.672,273.558,0.93,1.2519459805629187,0.0033199975144571642,0.0,0.03716213541005728
-0.0816,0.1141,-0.1622,20,113.85088128041,0.0323,-18.72262926731,0.0398,5716726166771527680,0.3199,0.0577,-1.825,0.052,2.401,0.057,1.074,16.677288,0.002799,17.233454,0.00521,15.964478,0.003331,1.268976,,,1.246,2203.871,246.795,596.747,0.95,1.363758309827248,0.0024821085772358557,0.0,0.0
-0.2595,0.1102,-0.0246,21,113.88080470266,0.0973,-18.70847016115,0.1202,5716723624150865024,0.4702,0.1653,-1.407,0.163,2.454,0.185,1.03,18.678047,0.003147,19.579834,0.029951,17.816053,0.009656,1.763781,,,1.247,714.396,36.408,117.447,0.53,0.9038048803102319,0.003345872808794667,0.0,0.09597116253819968
-0.1463,0.0502,-0.0403,21,113.84125494497,0.0233,-18.66550213761,0.0281,5716726922685754112,0.4218,0.0397,-1.773,0.038,2.196,0.04,0.977,16.191875,0.002783,16.696726,0.004053,15.516018,0.003258,1.180708,,,1.24,2770.453,369.4,645.701,0.97,1.5258706650735592,0.002451517742177738,0.0,0.03624808657185349
-0.2276,0.0194,0.0142,20,113.83427762626,0.0957,-18.66798682335,0.123,5716726918383806976,0.4959,0.1693,-1.697,0.16,2.175,0.182,1.042,18.70929,0.003091,19.482801,0.024431,17.828564,0.010896,1.654238,,,1.303,775.455,44.734,103.082,0.85,0.9052021831681306,0.004156503413471024,0.0,0.08996577398531624
-0.1807,0.1033,-0.1673,22,113.8668119403,0.0075,-18.66715037656,0.009,5716726957045480960,0.4191,0.0127,-1.759,0.012,2.412,0.013,1.081,13.223691,0.002774,13.486352,0.002964,12.792824,0.002867,0.693528,,,1.195,3416.116,1085.019,1650.478,0.99,4.447734472952706,0.0039584041738243885,0.0,0.0
