pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
-0.029,0.0455,-0.1254,28,111.74934786411,0.089,-37.5166501925,0.0985,5586454719142235648,0.411,0.1052,-1.153,0.122,2.771,0.134,1.024,18.291033,0.003113,18.705462,0.018357,17.630251,0.011528,1.075211,,,1.269,749.627,59.842,97.068,0.84,1.2535858019467063,0.04114275870346311,0.5723758397847099,0.42158376895863037
-0.092,0.1245,-0.0654,28,111.75304202846,0.0907,-37.52276682113,0.1075,5586454616063009408,0.0897,0.1091,-1.04,0.128,2.703,0.145,1.0,18.401188,0.003141,18.816792,0.01748,17.814852,0.015167,1.00194,,,1.217,720.472,62.919,72.826,0.92,1.238981899508605,0.028050861408894574,0.3369684446867267,0.40909638737587917
-0.1021,0.1037,-0.0974,28,111.75553253184,0.1208,-37.51903356208,0.1395,5586454650422757120,0.1291,0.146,-1.196,0.172,2.635,0.188,1.004,18.877342,0.003375,19.297379,0.032388,18.278036,0.018185,1.019342,,,1.224,556.917,33.648,60.419,0.92,1.1563280891322532,0.003847293481737569,0.19272289609233384,0.2521611099095347
-0.0373,0.0556,-0.1303,27,111.75201326054,0.0572,-37.51547934263,0.0659,5586454719142236672,0.1652,0.0716,-1.223,0.076,2.761,0.085,0.997,17.526852,0.002933,18.196201,0.010717,16.733776,0.004934,1.462425,,,1.265,1079.997,104.926,266.8,0.95,1.4033610116880328,0.00013332549074276977,0.12334825934812146,0.23668858640349685
-0.084,0.082,-0.0782,28,111.74580967522,0.0751,-37.51773964385,0.0862,5586454684782496384,0.1864,0.0916,-1.294,0.105,2.707,0.117,1.051,18.095036,0.003014,18.528206,0.018111,17.504669,0.009346,1.023537,,,1.212,888.442,60.672,121.72,0.94,1.29816225612129,0.03419718525295472,0.4100001912987446,0.4351515949351149
-0.0817,0.0747,-0.0915,27,111.75089333199,0.0756,-37.51488291954,0.088,5586454719142437760,0.1284,0.0952,-1.345,0.101,2.683,0.114,1.004,18.022818,0.003,18.472788,0.016299,17.406939,0.01279,1.065849,,,1.221,915.262,67.61,86.982,0.93,1.3233132565624206,0.020188066167319545,0.37613110117263127,0.38913852225492573
-0.0891,0.1093,-0.1029,28,111.74593518606,0.0943,-37.51650474089,0.1083,5586454684782496512,-0.014,0.1143,-1.282,0.133,2.703,0.145,1.018,18.490757,0.003166,18.957903,0.023537,17.907515,0.017041,1.050388,,,1.192,696.523,46.457,64.583,0.93,1.206690959702443,0.029281307401160993,0.5896757180687874,0.39127950617117135
-0.0794,0.0771,-0.0642,28,111.75648883151,0.0824,-37.51740241867,0.095,5586454654716749952,0.0128,0.0996,-1.234,0.116,2.9,0.129,1.019,18.286917,0.003061,18.69429,0.018463,17.693258,0.011821,1.001032,,,1.226,813.902,59.49,94.516,0.93,1.2633969484761591,0.029776000601624157,0.35390816192052227,0.41059547646173195
-0.0627,0.1377,-0.0958,28,111.74660155516,0.0202,-37.52408220684,0.0235,5586454689080019968,0.1279,0.0254,-1.265,0.027,2.783,0.032,0.999,15.645855,0.002771,16.344254,0.003256,14.83261,0.00319,1.511643,,,1.271,3682.723,646.896,702.322,0.96,1.4202269050448535,0.0026424100351532453,0.30199830237742203,0.4290109554047482
-0.0178,0.0398,-0.1,27,111.75559962824,0.0502,-37.51536033143,0.0579,5586454719142239104,0.0795,0.0631,-1.223,0.068,2.697,0.076,0.978,17.320366,0.002883,18.000862,0.009159,16.51177,0.004444,1.489092,,,1.274,1277.71,124.457,313.862,0.96,1.4056028311524469,6.81393728447859e-05,0.13944544972563586,0.22841911075155613
-0.0615,0.1008,-0.141,28,111.74305567819,0.0977,-37.52203547598,0.1124,5586454684782487808,0.0411,0.1214,-1.531,0.142,2.895,0.164,1.004,18.570547,0.003192,19.034096,0.018252,17.962988,0.012059,1.071108,,,1.21,673.867,60.193,92.546,0.82,1.1944658956863068,0.024695709174358565,0.6107960667360772,0.35345495276936295
-0.1172,0.0644,-0.0256,27,111.75843456375,0.0876,-37.52303466136,0.1052,5586454650422747520,0.1009,0.1041,-1.39,0.123,2.841,0.142,1.054,18.267954,0.003065,18.70607,0.01599,17.658556,0.013656,1.047514,,,1.222,808.303,68.96,81.221,0.92,1.2527872025003222,0.04209915861307365,0.5406041309053141,0.4401574174241675
-0.0779,0.1302,-0.1162,27,111.74542516619,0.0686,-37.52541547295,0.0821,5586454684782484736,0.0036,0.088,-1.09,0.096,2.778,0.108,0.992,17.995413,0.002975,18.433859,0.013232,17.403383,0.008169,1.030476,,,1.21,967.678,83.939,141.413,0.93,1.3252633528358835,0.022567389866791628,0.3505107092894786,0.4133791289269079
-0.0915,0.0991,-0.0429,26,111.75728341986,0.057,-37.52468201146,0.0712,5586454654720286592,-0.0114,0.0709,-1.169,0.077,2.652,0.094,1.092,17.445005,0.002883,18.138962,0.007826,16.662514,0.005675,1.476448,,,1.248,1278.691,148.486,219.73,0.94,1.4042033925758415,0.00017174862973904655,0.22829269645051195,0.3014151073688348
-0.1171,0.0846,-0.0681,27,111.75822401238,0.1103,-37.51434116419,0.1265,5586454719142239232,0.1064,0.1338,-1.127,0.155,3.276,0.169,1.001,18.670742,0.003244,19.087173,0.02191,17.994318,0.011927,1.092855,,,1.279,634.372,49.961,93.63,0.67,1.182308075997479,0.02058527994666293,0.5986658136047511,0.3593750768435902
-0.0362,0.0508,0.0198,25,111.7600144153,0.0709,-37.51582060231,0.092,5586454650422759680,-0.0334,0.0903,-1.237,0.096,2.853,0.122,1.145,17.830814,0.002977,18.422537,0.017594,17.094273,0.008987,1.328264,,,1.25,962.853,62.502,127.094,0.93,1.3983094122188988,0.00048072069694953825,0.0,0.08320025663951325
-0.1177,0.0903,-0.0148,27,111.76168512394,0.133,-37.51998818229,0.163,5586454650422752128,0.2638,0.1656,-1.238,0.189,2.485,0.228,1.061,18.969822,0.003436,19.394432,0.023771,18.384743,0.016241,1.009689,,,1.212,529.054,45.993,67.858,0.85,1.141842915570963,0.0008280503519734939,0.0,0.11761903611975649
