pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
-0.2179,-0.2379,0.1434,26,10.65069349734,0.0135,64.06406196919,0.0144,523960931809136640,0.4279,0.0192,-2.784,0.018,-0.602,0.02,0.99,14.817509,0.002786,15.399119,0.003423,14.070519,0.003,1.3286,,,1.262,2620.162,547.332,985.016,0.99,3.8752859717068593,0.403457628287073,2.7130859147633988,0.4772432252112657
-0.2567,-0.1958,0.1255,26,10.63059836058,0.0355,64.06911400901,0.0384,523961137967565312,0.401,0.0504,-2.747,0.046,-0.728,0.053,1.004,16.892437,0.002813,17.703814,0.006423,16.003208,0.004326,1.700605,,,1.298,1919.017,187.68,328.468,0.97,1.6215051917214007,0.05736051745121963,1.223295376430535,0.043470197374950316
-0.1949,-0.2656,0.1429,26,10.6341640164,0.0213,64.0606742478,0.0223,523960931809137536,0.4124,0.0301,-2.742,0.028,-0.579,0.032,0.989,15.706664,0.002774,16.293465,0.003744,14.960538,0.002968,1.332927,,,1.259,3371.826,435.013,1074.476,0.99,3.00819022642429,0.006196017668272502,0.13094137922065544,0.26820015577866485
-0.2362,-0.2074,0.0956,26,10.63951562949,0.0524,64.07434398945,0.0591,523960961865214720,0.4196,0.0758,-2.711,0.07,-0.614,0.084,1.038,17.557362,0.002871,18.494921,0.016036,16.58176,0.005766,1.91316,,,1.34,1343.996,68.756,215.163,0.98,1.3671196247155009,0.007161640422427114,0.29405111853856863,0.3356802655746743
-0.2839,-0.2468,0.1523,26,10.63764803275,0.0392,64.05716509078,0.0416,523960931809138688,0.4579,0.0556,-2.562,0.051,-0.442,0.058,1.008,16.986446,0.002823,17.885616,0.006692,16.053606,0.003904,1.83201,,,1.311,1769.84,178.507,397.573,0.84,1.4714153102776286,0.054913435797400476,1.2280779678082687,0.034913378051744104
-0.2263,-0.2336,0.0737,25,10.65460996654,0.0788,64.05781367613,0.0862,523960927505462656,0.4104,0.113,-2.912,0.1,-0.612,0.125,1.044,18.146694,0.002988,19.268217,0.034843,17.134193,0.011409,2.134024,,,1.328,938.732,31.261,98.147,0.93,1.2309638333913058,0.03419831766427425,0.8223065210482455,0.3579811467669816
-0.2836,-0.2317,0.1544,26,10.63528925059,0.0305,64.07692944223,0.0319,523961172327300224,0.3722,0.0431,-2.773,0.04,-0.561,0.044,1.044,16.498535,0.002793,17.192202,0.005265,15.680316,0.003507,1.511886,,,1.277,2381.172,243.152,510.89,0.99,2.060904128286252,0.06192332280394707,1.1639562840105633,0.08197151588913854
-0.2796,-0.2487,0.1517,25,10.61555528336,0.0223,64.06984478569,0.0247,523961137967564416,0.4324,0.0323,-2.81,0.03,-0.695,0.034,1.008,15.95786,0.002777,16.585966,0.003907,15.172994,0.003343,1.412972,,,1.274,3125.485,396.953,589.585,0.97,2.3018763655997865,0.27631844506437064,1.626038421970765,0.3686765425476052
-0.2322,-0.2115,0.1432,26,10.66989449765,0.0193,64.07068962729,0.0216,523960966168873856,0.3818,0.028,-2.746,0.026,-0.624,0.03,0.969,15.685493,0.002773,16.40605,0.003715,14.840047,0.00303,1.566003,,,1.291,3463.074,442.627,919.071,0.99,2.7210288519083816,0.041206980438846304,1.4635596986342299,0.08507262547426535
-0.1865,-0.2015,0.0561,24,10.62025653945,0.0828,64.07537868914,0.0943,523961168023646080,0.4101,0.1218,-2.63,0.107,-0.501,0.138,1.048,18.301594,0.003203,19.459581,0.032992,17.27747,0.009524,2.182112,,,1.331,664.996,33.027,119.236,0.95,1.2087182781765897,0.037298241801591976,0.7950416892776623,0.31881346970310853
-0.2976,-0.2967,0.1826,23,10.63335388769,0.1169,64.05317188798,0.1331,523960828729925120,0.4785,0.1682,-2.889,0.154,-0.562,0.198,1.33,18.485197,0.003718,19.414713,0.053413,17.252323,0.014894,2.16239,,,1.618,434.87,20.355,74.212,0.91,1.2208912934837515,0.031021505130777994,0.47864297092468777,0.404242885459967
