pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass,q,e_q,r,mass_system,e_mass_system,r/rh
0.3253,-0.1508,0.2033,15,274.3421237964,0.1026,-19.70636869779,0.0948,4094457370581945472,0.7893,0.1281,1.949,0.123,-0.906,0.092,1.021,17.497242,0.00522,18.476456,0.026904,16.242559,0.022518,2.233896,,,1.631,244.874,40.575,48.59,0.97,0.9167584497871576,0.0082951592512179,0.0,0.048694885044288,0.0,0.0531163743902152,0.17142423105223614,0.9167584497871576,0.04939637128858241,0.08013601343225661
0.6296,0.0704,0.342,13,274.34250221352,0.2705,-19.70643497407,0.2487,4094457370581945600,0.7914,0.2966,1.972,0.37,-1.279,0.344,1.139,18.802885,0.008938,,,,,,,,,127.698,,,0.69,18.42789578644553,10.947327485568971,6.385383487557924,9.395483634498206,0.3465063814966131,0.5498372361817461,0.17411107708785764,24.813279274003452,14.42633327642258,0.08139203849172069
0.3316,-0.0184,0.2044,15,274.33902853987,0.0413,-19.70341619926,0.0373,4094457370590934016,0.7857,0.0469,1.715,0.052,-0.771,0.042,1.008,16.018602,0.003347,16.782715,0.008435,15.130064,0.005989,1.652651,,,1.313,571.505,136.405,204.87,0.99,1.4161808536862146,0.0055763834368691,0.0,0.0,0.0,0.0,0.21597503754769523,1.4161808536862146,0.0055763834368691,0.10096226422436365
0.4845,-0.0296,0.1387,17,274.33000367669,0.1947,-19.70432167838,0.1753,4094457439301467520,0.8276,0.1947,1.336,0.244,-0.806,0.191,0.955,18.591536,0.004837,20.016853,0.069484,17.371485,0.022718,2.645369,,,1.49,273.118,15.638,48.156,0.79,0.6447071309543871,0.0122690906717764,0.0,0.0442249749575197,0.0,0.0685969998378203,0.25806451823053356,0.6447071309543871,0.04589530472614291,0.12063791432734622
0.1203,0.0294,0.139,16,274.35139854656,0.0174,-19.71073208475,0.0149,4094457164432485888,0.7921,0.0195,1.847,0.022,-1.272,0.017,0.857,10.507371,0.002904,10.574028,0.003905,10.341091,0.004046,0.232937,,,1.173,1184.785,397.342,370.633,0.97,7.152806553285816,0.0079801955205534,0.0,0.0,0.0,0.0,0.2807340443864699,7.152806553285816,0.0079801955205534,0.13123528111373386
0.199,-0.053,0.1673,16,274.35750334481,0.0315,-19.71166089337,0.0268,4094457267511696000,0.8337,0.0347,1.697,0.039,-1.331,0.03,0.956,15.404126,0.00478,16.112421,0.015818,14.485228,0.015619,1.627193,,,1.359,278.004,69.734,70.65,0.92,1.6249578078018805,0.0116590075011085,0.0,0.1972148979227891,0.0,0.1213661653095882,0.4036928282061139,1.6249578078018805,0.19755922762201472,0.18871505915504475
0.2636,-0.0426,0.2241,16,274.35758808321,0.0711,-19.70666391587,0.0618,4094457267511699712,0.7544,0.08,1.631,0.092,-1.077,0.071,0.966,17.143616,0.007424,18.250891,0.042087,16.04221,0.022959,2.208681,,,1.422,157.49,25.854,47.644,0.98,0.9352869165422965,0.0591203396381202,0.4532587219905734,0.2399138627229913,0.4846199748695786,0.2583363137483342,0.4288127396209022,1.3885456385328698,0.24709082557956902,0.20045791222894402
0.4919,-0.2122,0.0681,16,274.35635254245,0.2401,-19.72532225911,0.2159,4094457095703931648,0.9492,0.2686,1.671,0.32,-1.122,0.239,1.001,18.984892,0.004652,20.492708,0.110193,17.698135,0.019937,2.794573,,,1.558,289.662,9.856,55.0,0.91,0.5535659376577546,0.0285007280660145,0.0,0.087689050166937,0.0,0.1584075973640402,0.4637587792035527,0.5535659376577546,0.09220445227575781,0.2167942042467633
0.2148,-0.001,0.1645,17,274.33674624784,0.0517,-19.73605200137,0.0435,4094455652603989120,0.6919,0.057,2.035,0.068,-0.764,0.051,0.96,16.558043,0.004162,17.641975,0.015554,15.516879,0.01056,2.125096,,,1.365,348.08,70.957,106.601,0.96,1.0194521037007231,0.0439312283203372,0.8121973831743955,0.0854492065342515,0.7966998942137936,0.0905774905374494,0.5056424693869868,1.8316494868751185,0.09608079786859998,0.23637365307106276
0.2352,0.0065,0.2246,16,274.31980529921,0.0478,-19.72855412576,0.0418,4094455854433554176,0.7361,0.0539,1.691,0.062,-0.569,0.048,1.032,16.3449,0.003596,17.475245,0.014985,15.26792,0.00701,2.207325,,,1.391,469.934,73.744,168.837,0.93,1.0639261652431704,0.0390227189765814,0.9070401756470404,0.0615925613340759,0.8525405289188727,0.0657969486230977,0.5099483984326979,1.970966340890211,0.07291375870175085,0.23838655396452108
