pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass,q,e_q,r,mass_system,e_mass_system,r/rh
0.0118,-0.2105,-0.0819,26,303.80527687824,0.0314,36.85612132025,0.0372,2060529359353145344,0.5373,0.0435,-2.764,0.043,-5.58,0.044,1.004,16.568186,0.004225,17.413944,0.012747,15.657569,0.009211,1.756375,,,1.307,338.955,87.292,123.686,0.99,1.427490511820356,0.0157853167042024,0.6882602279954412,0.4123068495198824,0.4821469721138545,0.2888825425076294,0.6867779716301717,2.1157507398157973,0.4126089121486143,0.20419166104821407
-0.0023,-0.131,-0.0813,29,303.8455891166,0.0137,36.83346825785,0.015,2060517333444634496,0.5212,0.018,-2.949,0.018,-5.596,0.018,0.931,14.870168,0.002764,15.291813,0.003049,14.276149,0.00296,1.015664,,,1.219,4988.78,883.381,1097.579,1.0,2.2819143623331994,0.0153150521722958,0.2725186350948519,0.4451563126640434,0.1194254436508338,0.1950818476813001,0.7548752761390732,2.5544329974280515,0.4454196824655234,0.2244382360622222
-0.0276,-0.1769,-0.137,26,303.83106375996,0.0081,36.85819217899,0.0095,2060517711401801472,0.5242,0.0112,-2.653,0.011,-5.734,0.011,0.922,13.400215,0.002763,13.680703,0.0031,12.941419,0.00295,0.739285,,,1.202,5273.466,804.018,1134.545,0.97,4.139579398820253,0.0059435541551477,0.0,0.0,0.0,0.0,0.7618201142060835,4.139579398820253,0.0059435541551477,0.22650306353076735
-0.0671,-0.1409,-0.0994,28,303.80754158053,0.0084,36.87030588026,0.0096,2060529359353159168,0.5176,0.0113,-2.778,0.011,-5.575,0.012,0.905,13.500655,0.002788,13.824347,0.003311,13.007526,0.003072,0.81682,,,1.201,2555.644,609.173,843.937,1.0,3.9670494902720033,0.0047908408839763,0.0,0.0,0.0,0.0,1.1059837926537501,3.9670494902720033,0.0047908408839763,0.32882922435372336
-0.0578,-0.1082,-0.0127,27,303.79745280193,0.0172,36.86746612589,0.0197,2060529359353171200,0.5219,0.0231,-2.658,0.022,-5.582,0.025,1.009,15.298507,0.002778,15.967486,0.003715,14.496156,0.003091,1.471331,,,1.273,3078.247,442.713,816.851,0.96,1.648420869231532,0.0546510786132391,1.3502264901937224,0.0725489675129578,0.8191030066388184,0.0517150341229686,1.1150828640950676,2.9986473594252545,0.09083002301434612,0.33153454483333755
-0.0064,-0.13,-0.121,27,303.78486863424,0.0094,36.8156390736,0.0103,2060517161646007808,0.5538,0.0126,-2.809,0.012,-5.434,0.012,0.966,13.725916,0.002762,14.056578,0.002901,13.214398,0.002821,0.842179,,,1.209,5544.797,1364.36,2608.416,0.8,3.624858435846534,0.0040820456466248,0.0,0.0,0.0,0.0,1.1345776050613476,3.624858435846534,0.0040820456466248,0.3373306881344406
-0.0129,-0.1392,-0.0796,28,303.78667602586,0.0215,36.86854385334,0.0234,2060529393712934016,0.546,0.0278,-2.825,0.028,-5.775,0.029,1.037,15.823014,0.002897,16.599611,0.005213,14.954165,0.004038,1.645446,,,1.292,1212.141,246.577,371.885,0.99,1.5172550341369728,0.021523649501987,1.0577987431596394,0.3585159958792007,0.6971792608098506,0.2364993942292753,1.3035685514210804,2.5750537772966124,0.3591615051604771,0.3875747895248754
-0.0416,-0.1008,-0.0641,28,303.86931644234,0.0095,36.83948061837,0.0108,2060517402164083456,0.5137,0.0127,-2.805,0.013,-5.705,0.013,0.978,13.89754,0.00276,14.248775,0.002968,13.370684,0.002874,0.878091,,,1.209,6713.207,1072.923,1573.737,1.0,3.379072898380482,0.0038299993537638,0.0,0.0,0.0,0.0,1.3697804303876815,3.379072898380482,0.0038299993537638,0.4072607930162541
0.0453,-0.1887,-0.0956,26,303.77515621505,0.0957,36.8624003387,0.1084,2060529393712946304,0.4147,0.1296,-2.761,0.124,-5.621,0.137,1.019,18.517815,0.003512,19.672106,0.043266,17.222824,0.013051,2.449282,,,1.638,498.717,25.147,85.164,0.96,0.9447506875696754,0.0512760688785236,0.7652869152927897,0.0697501727708569,0.8100411308103438,0.0859281527918248,1.3853780403955904,1.710037602862465,0.08656975130609701,0.4118982479543287
0.0573,-0.221,-0.1038,28,303.86132867523,0.0215,36.81379068839,0.0235,2060516504496370816,0.5583,0.0287,-2.935,0.03,-5.71,0.028,2.292,14.394388,0.002789,14.753665,0.003712,13.749414,0.004673,1.004251,,,1.283,2506.162,443.414,289.594,0.99,2.4464996415716205,0.2916734030463043,1.6287840519175214,0.3778216286166319,0.6657610016534471,0.1736367316734856,1.4040296514584878,4.075283693489142,0.4773076126515646,0.4174437133033675
0.0862,-0.1866,-0.0601,27,303.78688325237,0.068,36.87336400311,0.0733,2060529423758134528,0.5359,0.089,-2.866,0.091,-5.771,0.094,0.989,17.951572,0.003226,18.971193,0.017986,16.989275,0.008872,1.981918,,,1.305,646.779,61.105,128.917,0.98,1.1833276569727158,0.0046776336032431,0.0,0.0885230339176828,0.0,0.07480855652791,1.428033237348318,1.1833276569727158,0.08864653287138426,0.4245804187255345
-0.0161,-0.1315,0.0073,29,303.87135695712,0.0157,36.83321670214,0.0189,2060517402164072704,0.492,0.0215,-2.842,0.021,-5.626,0.023,0.96,15.224532,0.00278,15.729749,0.003554,14.545624,0.003128,1.184125,,,1.242,2957.6,493.099,767.374,1.0,1.876261264074925,0.0139593596705449,0.8808830440407823,0.4075998647424604,0.4694884773816904,0.217268542374797,1.4308733655860364,2.7571443081157074,0.40783883270292404,0.4254248408334147
-0.0243,-0.1279,-0.0708,29,303.86602983022,0.0136,36.85979832805,0.0144,2060518948352337152,0.5415,0.0173,-2.882,0.018,-5.695,0.018,0.992,14.743915,0.002764,15.11416,0.003057,14.193875,0.002911,0.920284,,,1.214,4851.163,869.3,1306.571,1.0,2.41129999538712,0.0040097809208833,0.0,0.0,0.0,0.0,1.4730565830791855,2.41129999538712,0.0040097809208833,0.4379666834726579
0.0266,-0.1322,-0.0479,27,303.78103406647,0.0983,36.87332653252,0.1136,2060529389399640704,0.4703,0.1351,-3.028,0.128,-5.498,0.139,1.044,18.525785,0.003407,19.670155,0.033713,17.448408,0.009438,2.221746,,,1.388,541.946,32.316,120.417,0.9,1.0133337587232163,0.0550544330011407,0.3149950933593414,0.3224523277999823,0.3108502905856309,0.3186572514977371,1.5203798899564063,1.3283288520825578,0.3271184713474681,0.4520367687647318
-0.0193,-0.1273,-0.0727,29,303.86952070846,0.0204,36.85791481805,0.0225,2060518944037895040,0.5218,0.0267,-2.885,0.027,-5.567,0.028,1.031,15.767853,0.00289,16.527863,0.005831,14.889689,0.003658,1.638173,,,1.305,1246.668,212.059,458.949,1.0,1.525473926862423,0.0202549697155598,1.072577908490051,0.3820436532295752,0.7031112689655188,0.2506165431909069,1.525972631522243,2.598051835352474,0.38258020959163336,0.45369959319608466
