pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
0.1784,-0.0795,0.0521,17,280.2637945534,0.0252,-4.05377581761,0.0236,4256950964255107968,0.4973,0.0283,-0.481,0.031,-2.042,0.027,1.026,15.084387,0.003116,15.796084,0.004621,14.246518,0.00627,1.549566,,,1.287,745.6,294.767,193.364,1.0,2.6387016321847914,0.09017027241031896,1.6222071018501716,0.14316742589274611
0.2479,-0.0486,0.0606,17,280.26158837734,0.0289,-4.05543088701,0.0278,4256950964255108480,0.5545,0.0336,-0.465,0.036,-2.217,0.032,1.115,15.355323,0.002792,15.871251,0.00889,14.603188,0.004538,1.268064,,,1.292,2418.314,128.631,303.395,0.98,2.7110895855565618,0.007575385199309662,0.0,0.06075721326309033
0.2488,-0.0518,0.0305,17,280.26042792991,0.0456,-4.05568455852,0.0437,4256950964255109248,0.4786,0.0524,-0.652,0.057,-2.09,0.05,1.016,16.424047,0.002836,17.164366,0.005912,15.56731,0.003793,1.597055,,,1.293,1616.382,208.33,422.579,1.0,1.7420761742379012,0.0028590224113089666,0.0,0.0677086357238696
0.2688,-0.0542,0.0572,17,280.25808903317,0.0423,-4.05271267552,0.0408,4256951715830219520,0.517,0.0493,-0.634,0.053,-2.081,0.047,1.192,16.006172,0.002838,16.670582,0.008599,15.126445,0.013169,1.544137,,,1.34,1598.949,133.477,84.361,1.0,2.059321924088833,0.011805487177508607,0.48150731770968336,0.38442945104412257
0.2556,-0.0416,0.009,17,280.26414396996,0.079,-4.06760346074,0.0742,4256950891196470528,0.472,0.0893,-0.71,0.096,-2.182,0.084,0.959,17.391123,0.002969,18.278374,0.013295,16.462917,0.005528,1.815456,,,1.31,982.507,83.524,227.495,1.0,1.3561924074715341,0.003147876423027512,0.0,0.1308728374271247
0.3872,0.0473,0.1433,16,280.27711488838,0.0205,-4.06865647695,0.019,4256950895535597056,0.4894,0.023,-0.612,0.027,-2.191,0.024,1.029,14.520899,0.002777,15.07578,0.002983,13.78945,0.00379,1.28633,,,1.261,3148.052,1027.892,423.415,1.0,3.6607196460995914,0.004969949081837542,0.0,0.07569274731350242
0.2216,-0.0792,0.0455,17,280.28278575594,0.0571,-4.04240240443,0.054,4256951101694054656,0.4701,0.0652,-0.611,0.071,-2.027,0.062,0.955,16.808447,0.002895,17.663015,0.015226,15.885582,0.006368,1.777433,,,1.315,1224.136,72.536,189.681,1.0,1.6294156187862976,0.0025650219949853023,0.0,0.10371692498827648
0.1107,-0.105,-0.0586,17,280.24348274532,0.0176,-4.05263780587,0.0168,4256951720169680256,0.4957,0.0201,-0.707,0.021,-2.229,0.019,0.994,14.203381,0.002772,14.786235,0.003028,13.456478,0.002973,1.329757,,,1.261,3566.522,922.065,1056.735,1.0,4.162478418910269,0.0034845361547935407,0.0,0.08946497307593072
0.1441,-0.1139,0.0019,17,280.27026090051,0.0269,-4.03163376161,0.0266,4256951857579457280,0.4857,0.0319,-0.677,0.032,-2.166,0.029,0.916,15.393879,0.00282,16.036182,0.005253,14.539441,0.003819,1.496741,,,1.326,1814.566,243.938,416.441,1.0,2.578754938636773,0.1097634574411044,1.1757177023800311,0.18446242448874284
0.2335,-0.1819,-0.1248,16,280.24325583725,0.1648,-4.06176420442,0.1685,4256951685809624960,0.5646,0.2023,-0.573,0.195,-2.126,0.172,1.107,18.42127,0.003619,19.493061,0.050298,17.35911,0.010859,2.133951,,,1.39,462.619,21.619,103.463,0.99,1.206909174816391,0.0050391103436649015,0.0,0.14000697668742498
0.2515,-0.0492,0.0615,17,280.24661853404,0.0206,-4.06921437535,0.0197,4256950929895369216,0.5308,0.0238,-0.701,0.026,-2.176,0.023,0.963,14.682089,0.002772,15.251266,0.003174,13.945086,0.002935,1.306181,,,1.259,3581.022,717.556,1192.093,1.0,3.4294831029121484,0.004639849104182258,0.0,0.04857271946472505
0.1736,-0.0954,-0.0239,16,280.24693718158,0.1082,-4.03855174025,0.0979,4256951788860063104,0.4259,0.1111,-0.849,0.124,-2.236,0.107,0.986,17.83976,0.003174,18.654203,0.025229,16.757992,0.009064,1.896212,,,1.483,688.82,43.301,125.895,0.99,1.3079227675033323,0.004287129192391464,0.0,0.12819871642652964
0.4135,0.0673,0.1601,15,280.2615105663,0.0403,-4.08271274275,0.037,4256950856836708992,0.424,0.0443,-0.481,0.052,-2.211,0.046,1.098,15.951312,0.00281,16.657808,0.00602,15.049782,0.00751,1.608027,,,1.344,1966.467,203.534,155.721,0.98,2.020408495064852,0.03722943415917252,1.1739756574192006,0.09448535542650356
0.1281,-0.0352,-0.011,17,280.26118605399,0.0514,-4.02652512561,0.0515,4256951926327817984,0.4496,0.0618,-0.79,0.06,-2.054,0.052,0.993,16.566538,0.002884,17.424162,0.006522,15.63833,0.003213,1.785831,,,1.319,1274.514,184.161,681.675,1.0,1.6931181690223707,0.002527565177644339,0.1758350351902163,0.2650819143918668
0.2917,-0.0644,0.0598,17,280.24626976955,0.0254,-4.07489631738,0.0245,4256950929895362176,0.5052,0.0292,-0.74,0.032,-2.165,0.029,1.714,13.835671,0.003072,14.272749,0.004979,13.150591,0.004637,1.122158,,,1.276,798.66,263.321,293.153,1.0,4.884756823292009,0.008522309490777818,0.0,0.043944337830240314
0.2535,-0.0544,0.0305,17,280.24900729888,0.0355,-4.0775047234,0.0344,4256950929895355264,0.5649,0.0413,-0.612,0.044,-2.165,0.039,0.992,15.915435,0.002824,16.566376,0.006753,15.106685,0.003558,1.459691,,,1.285,1752.09,176.538,491.772,1.0,2.130670640620393,0.003698069465331065,0.0,0.05980538274935994
0.1821,-0.09,0.0358,17,280.29614280134,0.0409,-4.05551095474,0.0384,4256951032974545536,0.5488,0.0474,-0.549,0.05,-2.144,0.042,0.993,16.165869,0.002829,16.91127,0.006092,15.306231,0.003493,1.605039,,,1.294,1698.26,200.468,516.491,1.0,1.881265526915328,0.01792671566851532,0.8547028475572318,0.2027844504911828
0.2477,-0.0561,0.0599,17,280.25444636814,0.0317,-4.08285503569,0.0304,4256949383707116544,0.53,0.0366,-0.62,0.039,-2.065,0.035,0.917,15.66764,0.002794,16.307102,0.004155,14.882329,0.003398,1.424773,,,1.27,2333.68,352.604,559.938,1.0,2.357834286109465,0.0038779737120771705,0.0,0.04715722626425692
0.2342,-0.0684,0.0054,17,280.28538787418,0.0725,-4.07909626236,0.0673,4256950689377143424,0.5602,0.082,-0.656,0.089,-2.162,0.072,0.999,17.211016,0.002924,18.020199,0.019826,16.087946,0.006509,1.932253,,,1.528,1107.729,55.315,184.641,1.0,1.3926610490559108,0.0027930025768483193,0.0,0.164961932902655
0.2426,-0.0248,0.025,17,280.23488015643,0.1443,-4.05710917406,0.1407,4256951681469808512,0.5268,0.1582,-0.614,0.165,-2.183,0.147,0.987,18.335878,0.003387,19.389511,0.038828,17.30702,0.010739,2.082491,,,1.361,551.305,28.035,104.695,0.99,1.219587172493827,0.005016107609733698,0.0,0.1478000827342793
0.2122,-0.0201,0.0437,17,280.23907171955,0.0855,-4.03825441033,0.08,4256951784549712000,0.4774,0.0953,-0.509,0.104,-2.193,0.092,0.947,17.584009,0.003005,18.56809,0.009886,16.628111,0.005353,1.93998,,,1.308,905.857,114.482,237.669,1.0,1.32840504584165,0.00272049464350097,0.0,0.08791890547152956
0.1231,-0.0665,0.0312,17,280.27592449743,0.0156,-4.08588877477,0.0145,4256950650677710336,0.4785,0.0177,-0.526,0.019,-2.126,0.016,1.161,11.654587,0.005126,12.305021,0.013888,10.83141,0.011214,1.473611,,,1.297,251.192,79.805,99.965,1.0,9.490879649270438,0.16403168603587956,5.761834725664184,0.41787116693954063
0.2216,-0.0766,-0.0149,16,280.23394504153,0.1079,-4.04944696062,0.102,4256951754500328704,0.3966,0.1166,-0.558,0.126,-2.028,0.112,0.998,17.912071,0.003097,18.961006,0.021214,16.914833,0.007907,2.046173,,,1.331,767.297,51.629,146.752,1.0,1.2831570997689519,0.0032993775632552003,0.0,0.1391737434382533
0.2546,-0.1116,-0.0694,16,280.29919572539,0.0671,-4.0485935774,0.0665,4256951032974551552,0.4548,0.0808,-1.048,0.083,-2.15,0.069,1.007,17.064434,0.002922,17.980011,0.010188,16.127184,0.005051,1.852827,,,1.31,1115.398,110.811,257.904,0.59,1.400643336568021,0.0023822027996744264,0.0,0.10050687704355436
0.1874,0.0547,-0.0322,16,280.25061215467,0.041,-4.08430948132,0.039,4256949383707118976,0.5027,0.0474,-0.515,0.052,-2.068,0.044,0.958,16.12957,0.002822,16.808109,0.005338,15.310675,0.003724,1.497435,,,1.283,1776.506,238.594,440.132,1.0,1.95530467038674,0.0038526344416213395,0.0,0.035681185997015454
0.1529,-0.0622,0.0193,17,280.23870403939,0.0757,-4.03433596345,0.0716,4256951784549717248,0.3685,0.0847,-0.521,0.09,-2.022,0.08,0.94,17.391464,0.00303,18.42185,0.014777,16.386082,0.006643,2.035769,,,1.343,861.994,74.819,180.091,0.99,1.3531715090938479,0.002636555084233879,0.0,0.2105282639810507
0.1649,-0.1135,-0.0051,17,280.23350750649,0.0466,-4.0649786841,0.046,4256950208340883328,0.4425,0.055,-0.65,0.056,-2.141,0.05,0.997,16.529543,0.002836,17.307674,0.007167,15.601696,0.011475,1.705978,,,1.344,1615.283,164.469,97.543,1.0,1.713158266888034,0.0022396743272168414,0.0,0.05429613519646098
0.1997,-0.0889,0.0509,16,280.28855697498,0.0183,-4.08205837559,0.0166,4256950689377135616,0.5349,0.0203,-0.626,0.022,-2.197,0.018,1.493,12.703639,0.003895,13.391306,0.010486,11.873861,0.007876,1.517445,,,1.289,394.332,107.415,147.412,1.0,6.1756193392753085,0.1494151976709316,5.841266462708563,0.190569268067034
0.1899,-0.0531,-0.0255,17,280.24158228254,0.1655,-4.02947589863,0.1553,4256952098097786496,0.5612,0.1801,-0.703,0.195,-2.23,0.171,1.047,18.569878,0.003707,19.641136,0.028601,17.590454,0.014292,2.050682,,,1.308,437.702,38.143,77.458,0.99,1.1754850841835462,0.0067070050415940835,0.0,0.15112146462926912
0.1102,0.0006,0.0637,16,280.24237990191,0.0152,-4.08103704463,0.0149,4256949448100008192,0.5166,0.0186,-0.639,0.019,-2.039,0.016,0.9,13.621536,0.00277,14.114132,0.003079,12.946316,0.002878,1.167816,,,1.245,3811.127,833.149,1539.663,1.0,5.40053113457403,0.03498481137575035,0.0,0.06086502043147179
0.2403,-0.0555,0.0556,17,280.27317295466,0.0332,-4.09060218167,0.0318,4256950655017404032,0.4321,0.0386,-0.712,0.041,-2.141,0.036,1.087,15.6112,0.002804,16.415497,0.003869,14.713659,0.003168,1.701838,,,1.308,2079.968,405.019,724.139,1.0,1.8607915564453643,0.09038697277289294,1.6703928944297883,0.10175031333825477
0.1091,-0.0627,0.0544,17,280.25455619301,0.0196,-4.01910495084,0.0186,4256951926327831424,0.5223,0.0221,-0.462,0.023,-2.065,0.021,1.002,14.659052,0.002785,15.200283,0.003507,13.892202,0.008557,1.308081,,,1.294,2665.272,511.218,134.217,1.0,3.4875726143695442,0.004700812767811588,0.0,0.06259099553451751
0.3337,-0.145,-0.1253,16,280.30415268043,0.073,-4.05230664554,0.0715,4256950826816109056,0.5678,0.0867,-0.8,0.09,-2.207,0.075,1.03,17.123819,0.002966,18.127247,0.007949,16.096691,0.009731,2.030556,,,1.372,989.435,145.876,116.469,1.0,1.3896504047934093,0.004353945264112758,0.2879421907780623,0.341348086320112
0.1983,-0.0434,-0.0028,16,280.30073912876,0.0367,-4.03812747369,0.035,4256951410931684864,0.4583,0.0436,-0.713,0.044,-2.157,0.037,1.074,15.789228,0.002809,16.509232,0.003972,14.945984,0.003229,1.563248,,,1.289,1980.726,384.106,668.433,1.0,2.1486928153083262,0.037731593908628354,1.167491111296432,0.1035402864587598
0.1522,-0.0659,0.0292,17,280.29478626447,0.0151,-4.02891767525,0.0144,4256951479651180800,0.5089,0.0177,-0.645,0.018,-2.103,0.015,0.929,13.826719,0.003118,14.42012,0.005387,13.060103,0.005529,1.360017,,,1.273,744.015,235.626,227.433,1.0,4.202472372051139,0.5032141550612343,2.6804746993492334,0.9294663607279614
0.2028,-0.0613,-0.0097,16,280.22933148918,0.0546,-4.03848512595,0.051,4256951990708143744,0.3578,0.0613,-0.48,0.063,-1.829,0.057,0.999,16.716898,0.00287,17.629629,0.007165,15.779061,0.005284,1.850568,,,1.311,1350.208,164.525,241.961,0.76,1.6409245331480895,0.012470929429932474,0.5324549064854988,0.4199821959101882
0.2173,-0.1327,-0.0399,16,280.2505088587,0.1097,-4.01672987107,0.1101,4256952132492834560,0.3911,0.1281,-0.583,0.132,-1.92,0.122,0.994,17.956539,0.003845,18.77393,0.029797,16.69269,0.013043,2.08124,,,1.69,404.843,36.598,85.218,0.99,1.299438020597634,0.0033675325003094795,0.0,0.1804015464733883
0.2189,-0.0789,0.0097,17,280.29792786476,0.0378,-4.02768199363,0.0356,4256951479651178752,0.5168,0.0433,-0.743,0.047,-2.151,0.039,1.073,15.931195,0.00281,16.620859,0.004922,15.114997,0.003543,1.505862,,,1.277,1962.84,267.793,497.183,1.0,2.109429681200775,0.0036595680300890465,0.0,0.15269613203093801
0.2585,-0.0588,0.0207,17,280.30817381178,0.0262,-4.04839803154,0.0249,4256951204773231616,0.5217,0.0302,-0.741,0.032,-2.098,0.028,1.154,15.116386,0.002789,15.767178,0.003742,14.320082,0.003005,1.447096,,,1.275,2523.733,435.421,973.379,1.0,2.8897254921250193,0.028442351246437424,0.9440435950430559,0.4102216785594663
