pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass,q,e_q
0.4514,0.0242,0.1035,26,181.96654453323,0.009,-59.30459079542,0.0101,6070970155932115072,1.2257,0.0129,-11.274,0.012,-0.798,0.013,0.956,12.167521,0.002762,12.316796,0.002846,11.908448,0.002835,0.408348,,,1.166,5480.248,1942.264,2152.384,1.0,1.7224274974778573,0.0086148486658248,0.6836348947807602,0.30294367334972,0.39690198616882494,0.17589301686008457
0.5135,0.0097,0.0353,26,181.9697680074,0.0126,-59.30103103292,0.0149,6070970151602434048,1.2923,0.0179,-10.862,0.018,-0.94,0.021,1.573,13.421254,0.002762,13.749929,0.002856,12.916607,0.002841,0.833323,,,1.206,5461.575,1776.974,2026.741,0.99,1.2750511728899314,0.0123448875103599,0.8935793733449422,0.0470698391925442,0.7008184395608413,0.03753442955714575
0.4474,0.0433,0.1095,26,181.97176352657,0.017,-59.29974684611,0.0196,6070970155932120960,1.2533,0.0239,-11.315,0.023,-0.67,0.026,1.588,14.244784,0.002781,14.622537,0.003731,13.666969,0.003186,0.955567,,,1.229,2862.966,438.424,706.326,1.0,1.1140790857931853,0.0065156859682886,0.6115932124560456,0.1350314572118724,0.54896750172867,0.12124706904554224
0.4199,0.0655,0.1134,26,181.96130074568,0.0105,-59.2996653654,0.0116,6070970254681044096,1.2879,0.0148,-11.317,0.014,-0.702,0.015,0.891,11.561183,0.002768,11.741886,0.002833,11.248109,0.002814,0.493777,,,1.176,4185.563,2223.74,2941.291,1.0,1.714486352769546,0.027634995614466,1.6314262641888784,0.0304084900385633,0.9515539517439179,0.02344816862761588
0.5156,0.0941,0.0634,26,181.9591440873,0.0096,-59.31716560131,0.0114,6070969984133409408,1.2639,0.0132,-11.293,0.013,-0.75,0.015,1.019,13.491107,0.00276,13.799373,0.002845,13.017982,0.002836,0.78139,,,1.197,6711.54,1949.49,2147.277,1.0,1.296855999237544,0.0035790514344616,0.2750789307359109,0.3082917298613652,0.21211216272094752,0.23772312789351008
0.3668,0.0515,0.187,27,181.96365104039,0.0176,-59.29322016618,0.0191,6070970254681043712,1.2651,0.0244,-11.323,0.023,-0.749,0.025,0.904,8.114459,0.002778,8.113473,0.002826,8.061997,0.002806,0.051476,,,1.168,3054.076,2405.937,3686.388,1.0,3.936462239299252,0.0735855594931596,3.597713190768064,0.2546505470882977,0.9139458153188101,0.0669082131438596
0.5055,0.0498,0.1391,26,181.98790568964,0.0573,-59.32316043179,0.064,6070969326979268992,1.3299,0.0802,-11.161,0.077,-0.893,0.089,1.495,16.782495,0.003036,17.389883,0.007594,15.725877,0.006799,1.664006,,,1.528,852.057,153.721,175.12,1.0,0.7227934870726067,0.0042133398580458,0.4296610905146194,0.0665773814465566,0.5944451606153706,0.09217636394880525
-0.0457,-0.1319,0.3309,24,181.96395719436,0.0732,-59.28977424736,0.0677,6070970259018664320,1.2373,0.1002,-11.155,0.117,-0.87,0.098,1.063,17.700848,0.003457,18.343542,0.059664,16.699875,0.011009,1.643667,,,1.46,520.068,18.217,101.952,1.0,0.6389166414640369,0.0022852430488276,0.0,0.0,0.0,0.0
0.3356,0.118,0.225,27,181.93913619411,0.0189,-59.28397919407,0.0198,6070973282668321024,1.2956,0.0264,-11.322,0.024,-0.786,0.026,1.0,15.531446,0.002836,16.015223,0.006142,14.826923,0.006263,1.188299,,,1.27,1617.78,198.43,193.649,1.0,0.8913125920154737,0.0007698006166073,0.0,0.0261594440754959,0.0,0.02934934871316365
0.3631,0.0905,0.2114,27,181.95404050635,0.0078,-59.27946061836,0.009,6070970327730826880,1.2334,0.0114,-11.217,0.01,-0.754,0.011,0.957,13.069042,0.002764,13.339055,0.002816,12.640815,0.002805,0.69824,,,1.19,5012.173,2872.836,3743.058,1.0,1.4088912132869813,0.0063186597109896,0.5207869610308076,0.3151794675769562,0.3696431322158632,0.22371359739714342
0.415,0.0851,0.1577,27,181.97867861267,0.0145,-59.27533134476,0.0158,6070970430810049536,1.2878,0.02,-11.306,0.019,-0.947,0.021,1.028,14.860039,0.002804,15.275483,0.003852,14.27386,0.003088,1.001623,,,1.217,2090.985,408.751,820.074,1.0,1.0049825811726611,0.0007729584375913,0.0,0.0,0.0,0.0
0.3683,0.0609,0.1463,27,181.92900472763,0.0208,-59.3322424665,0.0226,6070969949773653760,1.3343,0.029,-11.305,0.027,-0.788,0.029,1.072,15.638137,0.002784,16.161129,0.003659,14.956237,0.003149,1.204892,,,1.237,2724.28,458.82,743.366,1.0,0.8721774678788817,0.0006956399554742,0.0,0.0,0.0,0.0
0.4368,0.1711,0.1933,27,182.04534378111,0.0409,-59.31487198792,0.0409,6070969670567108608,1.1901,0.0555,-11.237,0.056,-0.874,0.058,1.128,16.817434,0.00286,17.531225,0.007941,15.98054,0.004929,1.550685,,,1.286,1416.946,146.042,267.194,1.0,0.7165801092328095,0.0009075167930867,0.0,0.0,0.0,0.0
0.4108,0.0642,0.1124,27,181.99940576044,0.0202,-59.2673333241,0.0225,6070970465169795712,1.2543,0.0284,-11.328,0.027,-0.713,0.031,0.969,15.62167,0.00278,16.252031,0.00353,14.862719,0.00301,1.389313,,,1.253,2946.017,502.058,960.499,1.0,0.8362915249965949,0.0119407952776345,0.659127570605382,0.0301811643813799,0.7881552675163912,0.037803143996991216
0.488,0.1604,0.1266,28,182.05920947546,0.0102,-59.31563859334,0.0107,6070969468737353344,1.2689,0.0137,-11.147,0.013,-0.821,0.014,0.983,13.70688,0.002764,14.030422,0.002888,13.216458,0.002869,0.813964,,,1.2,4989.062,1455.354,1626.753,1.0,1.244732530932253,0.0020303187021946,0.1542783530100273,0.2451713868238767,0.12394498350137857,0.19696722780104778
0.3936,0.1267,0.205,26,181.96953520434,0.0552,-59.35538869639,0.0538,6070969056420441344,1.2396,0.0742,-11.221,0.07,-0.631,0.072,0.996,17.403492,0.003132,18.262623,0.013442,16.4858,0.006095,1.776823,,,1.309,728.867,82.57,200.375,1.0,0.6571715675365372,0.0010515118448605,0.0,0.022595149715119,0.0,0.0343824213208414
0.3789,0.0895,0.1742,27,181.87510410411,0.0096,-59.30713759783,0.0104,6070968815902299776,1.2366,0.0137,-11.317,0.012,-1.348,0.013,0.952,11.858425,0.002762,11.974998,0.002836,11.647091,0.002812,0.327908,,,1.163,5530.047,2142.0,3131.928,1.0,1.8556538943012364,0.0120188643284548,0.9347788964980254,0.1376763996829976,0.5037463609829165,0.07426463592914771
0.4168,0.2153,0.257,28,181.87502355009,0.011,-59.31153555602,0.0117,6070968815902296576,1.2844,0.0157,-11.225,0.015,-1.097,0.015,1.04,12.932146,0.002765,13.192149,0.002828,12.517353,0.002807,0.674796,,,1.188,4757.547,2354.622,3507.212,1.0,1.4444874316012233,0.008751857873014,0.6960404174691377,0.215077112285163,0.48185979485994734,0.14892372761574352
0.4107,0.1657,0.1576,27,182.0399438162,0.0117,-59.26766453793,0.0133,6070970774407446912,1.2582,0.0171,-11.27,0.018,-0.717,0.018,1.018,14.299059,0.002788,14.663426,0.003556,13.761512,0.003071,0.901915,,,1.209,2545.285,492.55,845.782,1.0,1.112765869283463,0.0006565883680154,0.0,0.0,0.0,0.0
0.3489,0.0757,0.0891,28,182.03908599368,0.0124,-59.26240295869,0.0141,6070970774407451008,1.2206,0.0175,-11.388,0.016,-0.802,0.018,0.907,10.069724,0.002765,10.07955,0.00282,10.019653,0.002806,0.059896,,,1.159,4663.216,2672.976,3694.063,1.0,3.1214624711379533,0.0008445226389595,0.0,0.0,0.0,0.0
0.2896,-0.0008,0.1844,27,182.0812969527,0.0809,-59.3276904401,0.0825,6070969434377607040,1.171,0.1067,-11.058,0.106,-0.778,0.108,1.028,18.060257,0.003056,19.265417,0.034742,16.946835,0.01523,2.318583,,,1.413,820.779,31.352,72.515,1.0,0.5415241230907377,0.0132352067822555,0.4574977261021602,0.0281209842792633,0.8448335108157351,0.055883870718172884
0.4013,0.159,0.176,26,182.05156247776,0.0252,-59.35281218176,0.0254,6070922464614383744,1.289,0.0345,-11.234,0.031,-0.902,0.033,1.026,15.924551,0.002881,16.473211,0.004908,15.191916,0.005398,1.281296,,,1.264,1289.572,268.916,234.963,1.0,0.8312022799993563,0.0007792151067461,0.0,0.0,0.0,0.0
0.4305,0.1586,0.253,25,182.05256758969,0.1108,-59.35312228736,0.1106,6070922395870400640,1.1184,0.1512,-11.138,0.144,-0.739,0.151,1.057,18.486092,0.003298,19.263687,0.075725,17.319265,0.025257,1.944422,,,1.587,599.166,14.348,43.251,1.0,0.5567114262023577,0.0039656710382496,0.0,0.0,0.0,0.0
0.3177,0.1446,0.2321,26,181.91322137086,0.036,-59.25560891527,0.0373,6070973591913305984,1.246,0.0512,-11.317,0.045,-0.516,0.049,1.057,16.782501,0.002804,17.525587,0.005827,15.95155,0.004555,1.574037,,,1.271,2095.994,212.241,301.543,1.0,0.7190573771019092,0.0006663665232491,0.0,0.0242581360870957,0.0,0.033736022825974966
0.2708,0.0914,0.2628,27,181.84274350831,0.0584,-59.31210850337,0.0571,6070971736480052608,1.3297,0.0795,-11.063,0.074,-0.874,0.075,1.014,17.626862,0.003084,18.537062,0.014778,16.656275,0.008465,1.880787,,,1.343,783.522,74.817,135.852,1.0,0.6355345872346362,0.0010580642118519,0.0,0.009245157491687,0.0,0.014547056411067892
0.4073,0.1207,0.1524,27,182.10962994983,0.0239,-59.30407140384,0.0242,6070969606176322944,1.2298,0.0329,-11.088,0.032,-0.804,0.033,1.058,15.845088,0.00319,16.482828,0.007102,15.06054,0.005524,1.422288,,,1.27,675.321,166.24,227.712,1.0,0.8188022568835513,0.005789753086574,0.5923819356742025,0.0304118722130087,0.7234737455767053,0.037492546303741034
0.3553,0.1304,0.1567,27,182.00229966167,0.0212,-59.37688231253,0.0222,6070921983578033792,1.2693,0.0297,-11.441,0.028,-1.159,0.029,1.046,15.68632,0.002875,16.276478,0.004467,14.941133,0.00374,1.335345,,,1.257,1320.282,311.231,435.916,1.0,0.8511539522870311,0.0046017537126825,0.546166278355846,0.0370879788761504,0.6416774273188884,0.04371164768213854
0.2779,0.1983,0.2529,25,181.93526864849,0.1146,-59.24021898453,0.1073,6070973626265738496,1.1521,0.1538,-11.52,0.14,-0.734,0.135,4.606,15.641872,0.003015,16.03618,0.005526,14.605084,0.006475,1.431096,,,1.598,887.629,227.638,185.803,1.0,0.8228715900510757,0.0187318137582135,0.7414146614826298,0.0282034152991074,0.9010089428857425,0.039942647301684
0.2565,0.0926,0.2259,27,181.83505245201,0.0323,-59.31901827614,0.032,6070971736480044544,1.311,0.0445,-11.454,0.042,-0.723,0.043,0.983,16.525536,0.003206,17.188391,0.007107,15.722867,0.005725,1.465524,,,1.275,662.698,166.108,217.183,1.0,0.7495444110071753,0.0008135147598859,0.0,0.0,0.0,0.0
0.382,0.1828,0.1648,28,181.83897749751,0.0097,-59.28683062709,0.0112,6070972011357981312,1.2462,0.0143,-11.185,0.013,-0.921,0.015,0.944,13.91799,0.00277,14.257041,0.003023,13.412995,0.002877,0.844046,,,1.201,3825.004,932.921,1547.851,1.0,1.1961679543643324,0.0007501929907275,0.0,0.1023089669220078,0.0,0.08553060341461567
0.3172,0.141,0.2062,27,182.00293261593,0.0128,-59.23214860913,0.014,6070973694985229696,1.2488,0.0181,-11.14,0.016,-0.829,0.017,0.981,14.609583,0.002809,15.003489,0.00343,14.044239,0.003331,0.95925,,,1.213,1986.752,544.354,596.912,1.0,1.0516735270796247,0.0007530325681444,0.0,0.0,0.0,0.0
0.4265,0.1317,0.1546,27,182.11693842531,0.0121,-59.34007028056,0.0129,6070922533333867904,1.2131,0.0164,-11.38,0.015,-0.696,0.017,1.008,11.48255,0.002778,11.630381,0.002874,11.224551,0.002828,0.405829,,,1.167,3058.585,1578.94,2352.118,1.0,1.765076628208402,0.0370524573815477,1.6428135505207109,0.0410398678413253,0.9307321417474145,0.030370065972583477
0.4132,0.1684,0.1464,28,181.89496903572,0.0092,-59.37589420529,0.0097,6070967441512713216,1.2687,0.0126,-11.235,0.012,-0.821,0.013,0.996,13.467287,0.002761,13.764908,0.002863,13.00405,0.002834,0.760858,,,1.196,5997.641,1693.699,2187.582,1.0,1.3056654327020347,0.0009763143996314,0.0,0.1466424187723483,0.0,0.11231240032821907
0.3951,0.0864,0.1234,28,182.0240710099,0.008,-59.23107437446,0.0094,6070973488826801152,1.234,0.0114,-11.267,0.01,-0.612,0.012,0.836,12.09739,0.002763,12.228776,0.002835,11.866286,0.002818,0.36249,,,1.163,5424.078,2161.597,2758.091,1.0,1.7658587050937944,0.0020452467221364,0.1138269635312003,0.2527186305017789,0.0644598365672492,0.14311375205753388
0.4173,0.2476,0.2219,28,181.81731812318,0.0084,-59.31662808209,0.0087,6070971629071164544,1.2807,0.0118,-11.243,0.012,-0.815,0.012,0.988,13.149515,0.002763,13.422066,0.002842,12.715729,0.002818,0.706337,,,1.192,5113.551,2012.94,2755.906,1.0,1.3913328931055735,0.0033903560405371,0.2550669598464665,0.3069728092951431,0.18332561611271572,0.2206326322349985
0.3978,0.1344,0.1687,27,181.82354006963,0.0085,-59.33200250454,0.0093,6070968674133080704,1.1956,0.012,-11.032,0.011,-0.726,0.012,0.904,12.245695,0.002763,12.386909,0.00284,11.998023,0.002814,0.388886,,,1.166,5322.449,2048.596,2957.06,1.0,1.7012139759282443,0.0006626301082481,0.0,0.0257110428492941,0.0,0.015113350356333169
0.3956,0.0563,0.1164,28,182.11901533446,0.0116,-59.26864257456,0.0133,6070969881054259712,1.285,0.0162,-11.155,0.015,-0.864,0.017,0.871,14.38039,0.0028,14.758994,0.003506,13.832368,0.003067,0.926626,,,1.209,2181.588,511.323,852.046,1.0,1.0963730645479712,0.0005599168321181,0.0,0.0249047701331273,0.0,0.02271559831086821
0.3517,0.1728,0.1867,28,181.82422759267,0.0131,-59.3463815908,0.014,6070968605414126080,1.2472,0.0185,-11.407,0.017,-0.937,0.018,1.016,14.704626,0.002771,15.110604,0.003207,14.125998,0.002981,0.984607,,,1.216,3664.059,686.841,1033.303,1.0,1.0334017409138736,0.0006877398234796,0.0,0.0,0.0,0.0
