pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass,q,e_q,r,mass_system,e_mass_system,r/rh
0.2981,0.1835,0.1783,27,185.78445275704,0.0188,-59.65288116121,0.0199,6059089791023990784,0.4474,0.0272,-4.491,0.023,-0.412,0.025,0.971,15.378318,0.00277,15.723961,0.003131,14.845686,0.003012,0.878275,,,1.215,3815.902,764.655,957.566,1.0,1.750105387822852,0.0032334838756917,0.0,0.1779678115763791,0.0,0.1016897684074744,0.15843614366979608,1.750105387822852,0.17799718361608963,0.06450499037233544
0.3624,0.2422,0.2163,27,185.78241438147,0.0235,-59.65597472031,0.0246,6059089795352215296,0.4706,0.0342,-4.433,0.03,-0.324,0.031,1.054,15.832289,0.002787,16.222857,0.005339,15.152593,0.006914,1.070264,,,1.293,2576.279,238.523,171.624,1.0,1.5474542349359854,0.0144094018881738,0.8021901915822971,0.2224337113962588,0.5183934836143841,0.1438227347540778,0.28356916121141534,2.3496444265182825,0.2228999480221767,0.1154510933562987
0.3486,0.1994,0.204,28,185.77712523849,0.0895,-59.64263310687,0.0949,6059089997183232768,0.3851,0.1297,-4.489,0.118,-0.382,0.124,1.024,18.371254,0.003311,19.158466,0.019668,17.523916,0.010382,1.63455,,,1.27,591.325,55.766,108.575,0.99,0.9151651749258528,0.0121619779859866,0.3978297972867444,0.2547625497589217,0.4347081905940933,0.2784387000822872,0.31732552040845236,1.3129949722125973,0.25505268175065066,0.12919450805053728
0.3449,0.1881,0.2022,26,185.77221661007,0.0772,-59.65404499768,0.0765,6059089795358945024,0.4064,0.1097,-4.308,0.096,-0.434,0.1,1.014,17.973293,0.003008,18.657516,0.015257,17.208647,0.009169,1.44887,,,1.237,900.019,72.386,124.31,0.99,1.0046248920893182,0.002468616513295,0.0,0.0667749542219811,0.0,0.0664675489805047,0.35221542752584317,1.0046248920893182,0.0668205700277795,0.14339943042853642
0.298,0.1398,0.1489,28,185.78893207628,0.0181,-59.65821860634,0.0196,6059089726632736512,0.4378,0.0262,-4.29,0.023,-0.331,0.024,1.063,15.345332,0.002775,15.847365,0.003293,14.668918,0.003018,1.178448,,,1.242,3285.128,620.776,944.291,0.99,1.5087088977686234,0.0281575119841025,1.4194432457603603,0.0331924819317654,0.9408330844072792,0.028148652501278,0.35388834377591993,2.9281521435289837,0.04352684617480858,0.14408053414707825
0.3095,0.0673,0.1018,26,185.80422586444,0.0399,-59.65404736368,0.0424,6059089760992483328,0.3822,0.0572,-4.307,0.051,-0.473,0.054,1.012,16.841396,0.002823,17.392776,0.006488,16.136707,0.004145,1.256069,,,1.242,1770.629,185.374,354.155,0.98,1.2530344684461634,0.002165361429822,0.0,0.1411247881034535,0.0,0.1126264214251476,0.3789724545523111,1.2530344684461634,0.1411413993389835,0.1542931679984926
0.3395,0.1747,0.1521,28,185.76715702222,0.0103,-59.64200623148,0.0112,6059090001510660480,0.4149,0.0152,-4.387,0.013,-0.371,0.014,0.988,13.924057,0.002764,14.164429,0.00287,13.518578,0.002832,0.645851,,,1.193,4869.703,1610.139,2244.379,1.0,2.730133046042585,0.1348320167025213,1.3513320157057471,0.2508609819075115,0.494969290110072,0.0950819982621967,0.4774809592197813,4.081465061748332,0.2847997629417373,0.19439948463803153
0.3254,0.1703,0.1518,28,185.77273899509,0.0103,-59.65992954628,0.0118,6059089795352208128,0.4351,0.0156,-4.364,0.013,-0.267,0.014,0.941,13.956077,0.002768,14.191817,0.002859,13.551892,0.002919,0.639925,,,1.194,4074.978,1738.83,1267.824,1.0,2.7690287350162617,0.0431724748225163,1.0197807192965949,0.4655187841687556,0.3682810172392833,0.1682142988784784,0.5061862881715841,3.7888094543128563,0.4675164178895296,0.20608644523163092
0.294,0.1317,0.1835,28,185.76134800814,0.0207,-59.65262556745,0.0222,6059090001510646144,0.4168,0.0299,-4.351,0.026,-0.329,0.028,0.935,15.669908,0.002773,16.062849,0.00362,15.102623,0.003117,0.960226,,,1.215,3467.582,470.806,781.267,1.0,1.6226593565933924,0.0018368136353157,0.0,0.0919412530797293,0.0,0.0566608467181618,0.5245613918439884,1.6226593565933924,0.09195959929339466,0.21356760362153354
-0.3126,0.0433,0.4057,14,185.80399758094,0.0615,-59.66020702177,0.0349,6059089760966776960,0.5002,0.0623,-4.297,0.08,-0.412,0.047,1.774,14.558217,0.003535,13.952816,1.098254,13.157692,0.909428,0.795124,,,2.796,490.296,0.989,1.194,0.99,2.5937110587626666,0.0538558109557196,1.6225467184451332,0.0851840293554474,0.6255695725873072,0.0353179026747615,0.5364637323376551,4.2162577772078,0.10078078800509516,0.21841346985614948
