pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
-0.146,0.0651,0.1406,20,254.17196107108,0.0138,-40.5850545925,0.0091,5969697335340307968,0.6314,0.0162,-0.19,0.02,-1.169,0.015,0.936,13.59847,0.002766,13.873183,0.002894,13.153346,0.002853,0.719837,,,1.197,4541.51,1411.949,1830.737,0.99,2.237404437693509,0.0504194701812107,0.0,0.1827943220880536
0.2553,-0.0934,0.0935,18,254.163339636,0.137,-40.58922283058,0.0843,5969697507119444864,0.5355,0.1344,-0.399,0.197,-1.097,0.14,1.026,17.997784,0.004381,19.207943,0.041633,16.892866,0.012822,2.315077,,,1.403,318.76,26.138,86.756,0.76,0.7931225709515204,0.0226371706296651,0.4127942637628189,0.1440300649797585
-0.0735,0.0405,0.173,20,254.16811613995,0.0154,-40.5800889146,0.0103,5969697541498740992,0.6488,0.018,-0.053,0.023,-1.09,0.017,0.825,10.092942,0.002813,10.182054,0.003158,9.880547,0.002998,0.301507,,,1.18,1911.194,734.52,989.74,0.99,8.342639659070981,0.3967841974136106,4.814037237126435,0.8046316329965172
0.375,-0.2456,-0.0166,18,254.17328930002,0.1156,-40.60060444219,0.0698,5969697296659810944,0.5228,0.101,-0.279,0.152,-1.052,0.106,1.076,17.545034,0.002993,18.310299,0.018155,16.577232,0.012039,1.733067,,,1.385,929.545,60.523,92.707,0.81,1.0319173268829007,0.0091927952104265,0.0,0.0
-0.0152,0.0492,0.2248,19,254.15619639267,0.0919,-40.58234520554,0.0639,5969697502819109504,0.5542,0.1002,0.149,0.125,-1.169,0.102,1.021,17.585001,0.010768,18.607389,0.044109,16.486311,0.032603,2.121078,,,1.441,104.306,24.664,33.425,0.89,0.9689665746010384,0.0325681483170273,0.3328368509716783,0.2499517189026569
-0.1174,0.1438,0.1874,19,254.15111881077,0.0176,-40.57668488334,0.0119,5969697575858486144,0.6645,0.0218,-0.074,0.027,-0.971,0.019,0.898,14.177095,0.002773,14.515381,0.003044,13.660077,0.002907,0.855304,,,1.209,3512.817,891.823,1330.784,0.99,1.9383272894752783,0.0040228000158334,0.0,0.1548934111855187
0.0668,0.0245,0.1292,20,254.15356486734,0.0769,-40.60372471676,0.0491,5969673833276867584,0.5129,0.0792,0.061,0.104,-1.087,0.079,0.948,17.278345,0.004462,18.35952,0.029203,16.229815,0.01243,2.129705,,,1.374,309.404,37.35,89.633,0.9,0.958021823641802,0.0697915053460333,0.7144583570595706,0.0758301103303454
-0.0034,-0.0216,0.2209,20,254.18051763916,0.024,-40.60686080373,0.0154,5969697232270665088,0.6142,0.0282,-0.052,0.033,-1.119,0.025,0.898,10.710155,0.002998,10.807323,0.003531,10.498874,0.006132,0.308449,,,1.174,918.062,501.826,198.832,0.99,7.32256971578562,0.0054465453335388,0.0,0.0
0.1107,-0.055,0.0937,19,254.1864171189,0.1247,-40.60531402444,0.0804,5969697227941178368,0.7123,0.1247,-0.043,0.165,-1.131,0.124,1.014,17.926971,0.004809,19.095114,0.043777,16.796705,0.018078,2.298409,,,1.439,275.446,24.852,60.787,0.93,0.8084258540819776,0.0248835397690271,0.483997341155046,0.1084075341222031
0.1275,-0.1505,0.146,19,254.15092036519,0.1713,-40.57282990946,0.1091,5969697575839618304,0.5971,0.1897,-0.394,0.238,-1.134,0.181,1.025,18.490065,0.00717,19.492134,0.101392,17.207727,0.041157,2.284407,,,1.66,164.03,10.712,26.441,0.78,0.7507808842200716,0.0045743000361377,0.0,0.0471731294222232
