pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
0.0706,-0.0133,-0.0353,28,133.25062531372,0.0952,-35.4722203432,0.1227,5625908567893889024,0.0001,0.1512,-2.449,0.133,1.907,0.158,1.028,18.637606,0.003354,18.92001,0.036495,17.643732,0.029128,1.276278,,,1.611,567.732,29.838,37.447,0.88,1.120248062924113,0.030303252997346816,0.4563554398050651,0.38142716931167403
0.0993,0.0104,-0.0538,28,133.24787774103,0.0389,-35.47474437271,0.0486,5625908567900361088,0.2889,0.0598,-2.409,0.054,1.74,0.064,1.036,17.191866,0.002847,17.635681,0.00972,16.422766,0.007691,1.212915,,,1.337,1517.975,116.615,151.493,0.96,1.3383002067571048,0.028855787438047984,0.7100748350308906,0.5501221314543496
0.0809,0.0071,-0.0362,28,133.25053276014,0.0697,-35.47488252331,0.088,5625908567893893632,0.1255,0.1083,-2.22,0.097,1.924,0.115,0.95,18.21195,0.003006,18.731884,0.013161,17.553686,0.011931,1.178198,,,1.221,904.182,84.419,93.593,0.9,1.1845084143870996,0.017559041667529394,0.1906285353031811,0.30246069342622967
0.1323,0.0076,-0.1178,28,133.24791668784,0.0334,-35.47561892811,0.0472,5625908567900360960,0.224,0.0533,-2.31,0.046,1.903,0.058,2.355,15.430448,0.002893,15.983082,0.01091,14.44296,0.006456,1.540122,,,1.481,1229.251,102.939,186.504,0.98,1.407739286300879,0.0018765449398432143,1.3381934700944356,0.040764290033378704
0.0853,0.0106,-0.0476,28,133.24511557632,0.0319,-35.47472876185,0.0396,5625908636619839488,0.1865,0.0487,-2.275,0.044,1.74,0.051,1.073,16.723652,0.002804,16.98473,0.005512,16.302824,0.004111,0.681906,,,1.19,2093.344,228.378,359.631,0.98,1.3613194998451712,0.0012680770477696952,1.2544738825747586,0.030093966248271316
0.0944,-0.0032,-0.0571,28,133.24950236791,0.053,-35.47625350732,0.0661,5625908567893900032,0.1973,0.0828,-2.521,0.073,1.733,0.086,1.048,17.722078,0.00289,18.189131,0.011627,17.03664,0.008194,1.152491,,,1.263,1243.806,96.191,140.92,0.96,1.2760818858934937,0.04651913663141301,0.33900412384004797,0.45265638961065624
0.1142,0.0033,-0.0652,28,133.24827194732,0.0482,-35.47656918101,0.0599,5625908563603233024,0.1979,0.0747,-2.179,0.067,1.93,0.079,1.019,17.592842,0.002885,18.008841,0.01492,16.816782,0.008368,1.192059,,,1.355,1269.122,74.077,137.62,0.8,1.3018814410540371,0.04620031812318907,0.5350629691905586,0.49424955023569866
0.0874,-0.0297,-0.0398,27,133.24723685447,0.0617,-35.47647171801,0.0775,5625908567893904768,0.2536,0.0971,-2.273,0.085,1.813,0.099,1.026,17.958027,0.002963,18.405979,0.027773,17.203722,0.010192,1.202257,,,1.323,995.609,39.292,110.762,0.96,1.2377182151285266,0.03399365095573159,0.4027329109584153,0.4084485446748567
0.0765,-0.0207,-0.0286,28,133.25489881349,0.054,-35.47444147769,0.0678,5625908563601531392,0.1619,0.0844,-2.297,0.075,1.789,0.09,0.997,17.740297,0.002906,18.261768,0.01205,17.067055,0.008562,1.194714,,,1.231,1177.08,92.621,134.125,0.98,1.2743157079655132,0.03485386616273686,0.38147534562753443,0.43220917132850223
0.0787,0.0046,-0.0605,28,133.24974288771,0.025,-35.4772557328,0.0309,5625908567900361600,0.213,0.0383,-2.374,0.035,1.774,0.041,1.099,16.292934,0.002793,16.543753,0.004119,15.869538,0.003564,0.674214,,,1.197,2370.649,358.335,489.729,0.99,1.369583730219351,0.004894792903665159,1.364077076688178,0.003926395048649832
