pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass,q,e_q,r,mass_system,e_mass_system,r/rh
0.1883,0.1494,0.2835,19,73.48949055326,0.022,40.8668068205,0.0143,200311437829194496,0.3907,0.0268,0.368,0.032,-2.131,0.027,1.007,14.885423,0.002772,15.150529,0.003151,14.455402,0.002961,0.695127,,,1.194,3600.386,741.039,1095.249,0.98,2.025687427669024,0.0014427563407579,0.0,0.0,0.0,0.0,0.09474750326274055,2.025687427669024,0.0014427563407579,0.03904312968525167
0.141,0.0161,0.2483,19,73.4821258224,0.1355,40.87171209421,0.0928,200311433531726848,0.516,0.1634,0.317,0.215,-1.967,0.165,1.036,18.360815,0.003128,19.035395,0.023921,17.524895,0.017955,1.5105,,,1.299,733.293,45.7,61.214,0.66,0.9279440443647214,0.0207914958139132,0.501187800484016,0.2561103368880293,0.5401056276266459,0.2762627886927213,0.2380491834483923,1.4291318448487376,0.25695289638196306,0.09809424861645705
0.1805,0.0338,0.2236,20,73.49511048819,0.0347,40.86679743827,0.0234,200311433531705856,0.3322,0.0399,0.285,0.05,-2.088,0.041,0.996,15.954673,0.002784,16.325363,0.004107,15.410279,0.003291,0.915084,,,1.21,2708.513,360.304,621.925,0.95,1.5558743756078957,0.0015425966722487,0.0,0.0504026263321149,0.0,0.0323950488049024,0.27072408519164465,1.5558743756078957,0.05042622676413569,0.11155877678114103
0.1799,-0.0033,0.1738,19,73.4750966698,0.0421,40.86834005445,0.0298,200311643987628800,0.3773,0.0499,0.412,0.06,-2.021,0.05,0.941,16.416719,0.002806,16.841908,0.005142,15.809893,0.004162,1.032015,,,1.226,2035.978,251.401,351.535,0.96,1.4041216730456432,0.0016620354092341,0.0,0.0395903593634123,0.0,0.0281958181569392,0.41452258750804605,1.4041216730456432,0.03962523080343729,0.1708146239660036
0.1473,0.2054,0.1702,20,73.50061351133,0.1392,40.86622257215,0.0918,200311399171972608,0.4602,0.1549,0.454,0.202,-1.961,0.159,1.017,18.326685,0.00309,19.001093,0.023738,17.511898,0.0111,1.489195,,,1.281,776.304,46.057,101.063,0.73,0.9385708322836872,0.0184083787065674,0.4279910873429478,0.2799986743950272,0.4560029702836382,0.2984585344168681,0.4585899602492569,1.366561919626635,0.2806031469345575,0.18897371090312629
0.2017,0.0206,0.3276,20,73.48321483609,0.052,40.85813102015,0.0339,200311330456939264,0.3714,0.0622,0.519,0.071,-2.216,0.062,0.992,16.701962,0.002817,17.214531,0.005515,16.035053,0.00397,1.179478,,,1.23,1845.136,228.237,384.514,0.88,1.3000426599562829,0.0108817838928286,0.729769270663968,0.121014652927582,0.5613425567807969,0.0932036497209283,0.46976064814856955,2.0298119306202507,0.12150291948703683,0.19357687828281858
0.1613,0.0047,0.3441,20,73.49187413604,0.0244,40.85614896838,0.0167,200311369109722624,0.3864,0.0295,0.43,0.034,-2.107,0.03,1.063,15.188111,0.002771,15.488454,0.003231,14.714385,0.002998,0.774069,,,1.201,3632.392,666.707,989.815,0.98,1.8732092868956915,0.0091138464227892,0.5056068141465049,0.4058093953396156,0.2699147488129335,0.2166425578214482,0.5591702640898321,2.3788161010421964,0.4059117238298527,0.23042039510481832
0.2327,0.0127,0.2573,19,73.47911778089,0.0126,40.85730321035,0.0082,200311334749988992,0.3532,0.0152,0.334,0.018,-2.087,0.015,0.999,13.43593,0.002785,13.724972,0.003075,12.973432,0.003075,0.75154,,,1.2,2659.112,839.945,840.741,0.98,2.5694319748345498,0.0082106782606902,1.3564828998301977,0.2214769687280865,0.5279310420029875,0.08621336746759,0.5597429526758103,3.9259148746647474,0.22162911116205464,0.23065638606987424
0.2255,0.0922,0.3065,19,73.4982067734,0.028,40.87775553092,0.0188,200311472188923392,0.3317,0.0348,0.353,0.041,-2.129,0.034,1.037,15.413623,0.002775,15.723872,0.003253,14.933988,0.003026,0.789885,,,1.2,3271.536,649.099,927.105,0.98,1.7762229548027602,0.001857478008748,0.0,0.083166738693508,0.0,0.0468222406813469,0.5672428016365401,1.7762229548027602,0.0831874789224149,0.23374689046851332
0.1831,0.0816,0.2073,20,73.50362575067,0.0794,40.87423619065,0.0533,200311467891478400,0.4152,0.092,0.437,0.114,-2.03,0.093,1.042,17.484655,0.002887,18.071951,0.011454,16.763157,0.007923,1.308794,,,1.24,1260.118,97.735,146.409,0.91,1.1158348966610687,0.0098355932079779,0.3086715311789004,0.3147447298409133,0.2766283184927657,0.2820815969507073,0.6163774237995405,1.424506427839969,0.31489837067914833,0.2539940670070456
0.177,-0.0309,0.2024,20,73.46903200558,0.0167,40.86209980591,0.011,200311540908420352,0.349,0.0195,0.399,0.024,-2.157,0.02,0.952,14.327925,0.002768,14.596282,0.003033,13.895123,0.002894,0.701159,,,1.193,4137.11,913.511,1415.79,0.98,2.2724887400125504,0.0094878494548836,0.4387738191179069,0.4929251647538628,0.1930807450845647,0.2169113360891753,0.6765441264198507,2.711262559130457,0.4930164676102628,0.27878729418712817
0.0798,0.0374,0.1224,19,73.4735259439,0.0207,40.85550528135,0.0143,200311334749992576,0.3185,0.0242,0.425,0.03,-2.172,0.024,1.044,14.777224,0.002771,15.052504,0.003122,14.331394,0.002906,0.721109,,,1.197,3636.53,775.594,1335.056,0.96,2.074735918276423,0.0056725884454966,0.2156797836917138,0.3706704430651542,0.1039552946434208,0.178659321829726,0.7344827129029411,2.290415701968137,0.37071384600765817,0.3026623691805717
0.1177,0.0767,0.1501,20,73.46748067138,0.0669,40.85888746624,0.0437,200311536610888320,0.3483,0.0755,0.316,0.096,-1.996,0.077,0.998,17.19475,0.002867,17.742363,0.010309,16.498726,0.004633,1.243637,,,1.237,1368.025,109.399,293.57,0.89,1.1893339125906968,0.005445246125598,0.1607353080072742,0.2652938680291984,0.1351473344076672,0.2230617372515982,0.7901862356873702,1.350069220597971,0.26534974490144525,0.3256164290671618
0.2419,-0.0796,0.1715,19,73.46365969557,0.0339,40.86727490499,0.022,200311536610922496,0.346,0.0396,0.381,0.05,-1.989,0.04,0.952,15.915234,0.002781,16.33317,0.004257,15.312551,0.003813,1.020618,,,1.227,2903.779,337.656,417.793,0.92,1.5103943616853022,0.0117887904800267,1.0221473050106482,0.04053398841002,0.6767420025788056,0.0273515636160354,0.8030060724024718,2.53254166669595,0.04221350254842168,0.3308991703550612
0.2122,0.0592,0.2336,19,73.47045297012,0.0261,40.85170252459,0.0173,200311334751817728,0.4119,0.0315,0.396,0.037,-2.116,0.031,1.004,15.311386,0.002783,15.609229,0.00304,14.841869,0.00305,0.76736,,,1.2,2761.106,899.39,881.445,0.97,1.82418958977807,0.0015645703763593,0.0,0.0445691345054821,0.0,0.0244322929783325,0.9326650164344513,1.82418958977807,0.04459658766128117,0.38432845125817194
0.1418,0.0135,0.1899,20,73.45886324163,0.0411,40.88013184194,0.0272,200311605330453248,0.3356,0.0463,0.476,0.058,-2.134,0.047,0.926,16.289036,0.002792,16.702934,0.006665,15.650761,0.005233,1.052174,,,1.253,2395.47,179.375,245.224,0.97,1.440909657319153,0.0082046995978986,0.431649772998181,0.3505545236632326,0.2995675480455004,0.2432929352965288,1.1041713262908412,1.872559430317334,0.3506505256751338,0.45500200852324496
0.2294,0.0564,0.2281,20,73.50654967012,0.0643,40.88803826745,0.0434,200311850142757632,0.2186,0.0752,0.318,0.093,-2.083,0.077,0.974,17.196447,0.00285,17.738367,0.008594,16.492378,0.005005,1.245989,,,1.245,1493.954,133.572,261.301,0.69,1.189500737558915,0.0061338149256606,0.1809899692132451,0.278646807556208,0.1521562479941554,0.2342565765162991,1.104467862465443,1.3704907067721601,0.2787143108037488,0.45512420383101193
0.173,0.0001,0.2088,20,73.46060605252,0.0555,40.85317470199,0.0371,200311502251125120,0.3856,0.0649,0.442,0.079,-2.145,0.065,1.002,16.918253,0.002833,17.423346,0.007342,16.243229,0.005498,1.180117,,,1.239,1645.131,159.866,229.156,0.96,1.262633633428135,0.0028466157985804,0.0,0.1499839986083253,0.0,0.1187866334600233,1.1270151476950712,1.262633633428135,0.15001100979610413,0.46441538883279043
0.2569,-0.0403,0.2725,20,73.50559523314,0.012,40.84701397978,0.008,200308409876361344,0.3588,0.0144,0.42,0.018,-2.137,0.015,1.022,13.232829,0.002762,13.534944,0.002904,12.754839,0.002834,0.780105,,,1.203,5788.367,1349.711,2196.687,0.99,2.629339185154217,0.0061629366526106,1.146911676120277,0.4707800573918195,0.4361976889843551,0.1790517310450912,1.1314893239924257,3.776250861274494,0.47082039487051636,0.4662590874992121
0.2166,0.0067,0.1366,19,73.4863996866,0.0818,40.89363704966,0.0535,200311674049984512,0.4487,0.0937,0.371,0.116,-2.118,0.092,1.018,17.550701,0.002913,18.122608,0.010741,16.823242,0.008784,1.299366,,,1.251,1147.91,104.674,130.347,0.9,1.1084564656400733,0.0042430008912366,0.0,0.2064129039456714,0.0,0.1862165185048374,1.143183364479133,1.1084564656400733,0.20645650866913354,0.47107791568512203
0.1696,0.1916,0.1651,20,73.51876156095,0.1766,40.88081150986,0.1175,200311777129153536,0.3704,0.2005,0.33,0.259,-2.018,0.199,1.074,18.633551,0.003245,19.386814,0.02913,17.826385,0.011216,1.560429,,,1.248,633.316,37.444,99.942,0.66,0.8880344860862383,0.0105098668080472,0.3424003161247257,0.2728435202828248,0.3855709676701392,0.3072781693500803,1.207354820157254,1.230434802210964,0.27304586402406306,0.4975214036911804
0.0751,-0.0934,0.2728,19,73.46768646213,0.0283,40.84300543907,0.0182,200311300390262016,0.3756,0.0346,0.418,0.043,-2.186,0.033,1.044,15.521354,0.002778,15.859076,0.004785,14.962358,0.003845,0.896718,,,1.236,3092.791,279.27,410.327,0.97,1.6726954730560868,0.0127313715146611,1.0671648270001792,0.0443487011565671,0.637991101303349,0.026954330973698,1.3085503725437746,2.7398603000562662,0.046139951397014066,0.5392216167769149
0.0879,-0.108,0.2806,19,73.46697356805,0.0225,40.84243381602,0.0146,200311296094385024,0.2685,0.0279,0.476,0.034,-2.168,0.027,0.952,15.031369,0.002772,15.299545,0.003745,14.567719,0.003344,0.731827,,,1.212,3591.49,434.61,589.272,0.73,1.9604041359600464,0.0026536510498085,0.0,0.1842651290283949,0.0,0.0939934402546834,1.342925977749609,1.9604041359600464,0.18428423600445365,0.5533869632593293
0.0863,-0.0401,0.2672,20,73.44860428136,0.0195,40.87902810681,0.0125,200311609627894016,0.3655,0.0227,0.405,0.026,-2.124,0.022,1.007,14.627121,0.002764,14.937677,0.002923,14.139535,0.002879,0.798142,,,1.204,5084.687,1246.115,1530.873,0.99,1.984126475127606,0.0432135792243888,1.5221418388086867,0.0787218374424947,0.7671596835634142,0.0430504742413989,1.4000306759056027,3.5062683139362925,0.08980279015545724,0.5769184132602749
0.2604,0.0221,0.2653,20,73.48807117508,0.0343,40.83677220671,0.0236,200311266030520192,0.3932,0.0411,0.467,0.051,-2.173,0.044,1.036,15.944562,0.002783,16.384083,0.003577,15.325233,0.003667,1.058849,,,1.228,2778.493,484.906,456.398,0.95,1.4714917357791115,0.0158007707641846,1.0965225728279004,0.0372404877021012,0.7451775271081111,0.0265428067724303,1.4061648422888415,2.5680143086070117,0.04045390316190344,0.57944615325726
0.2377,0.0542,0.1853,20,73.52017955472,0.0168,40.88850574414,0.0115,200311781426555520,0.3631,0.0196,0.393,0.025,-2.127,0.019,1.038,14.296799,0.002769,14.580851,0.00292,13.841384,0.002902,0.739467,,,1.199,3943.97,1262.44,1361.737,0.99,2.1873984052686164,0.0557591099324223,1.4954815512453852,0.1531964609507169,0.6836804615214745,0.0721717142906015,1.4397546215618071,3.6828799565140016,0.16302832265677178,0.593287680084797
0.2654,0.0333,0.2165,20,73.49114843967,0.0758,40.8349001765,0.0533,200311261732882560,0.2811,0.0889,0.279,0.116,-2.26,0.096,0.962,17.489807,0.002877,18.265827,0.01139,16.640532,0.005171,1.625296,,,1.275,1311.879,98.318,249.386,0.81,1.004221681541105,0.0238363038293618,0.9212168508307736,0.0344928007325091,0.9173441161089552,0.0406679910512426,1.4954730546397008,1.9254385323718786,0.04192758856192696,0.6162478841387935
0.2222,0.0586,0.2024,20,73.51410746068,0.0161,40.89745683148,0.0107,200311850146028416,0.3667,0.019,0.415,0.024,-2.112,0.018,0.982,14.201859,0.002768,14.478686,0.00291,13.757355,0.002909,0.721332,,,1.196,4094.971,1312.928,1321.358,0.99,2.225893404662036,0.0872196539635643,1.4860230388314075,0.261128916367163,0.6676074585238437,0.1201954563884199,1.5969422539659803,3.7119164434934433,0.2753099689452104,0.6580608604382177
0.0777,-0.1249,0.2596,19,73.46415502051,0.0237,40.83648236248,0.0154,200311296092634496,0.343,0.0294,0.405,0.036,-2.183,0.028,1.002,15.179536,0.002775,15.479321,0.003275,14.708435,0.003009,0.770886,,,1.2,3289.855,633.434,963.303,0.98,1.877997201858547,0.0090041669600572,0.4330087466675112,0.4169899320352115,0.2305694312211898,0.2220424501904704,1.6218188592668539,2.3110059485260583,0.4170871353103269,0.6683119012935895
0.1144,0.1383,0.091,19,73.49488799961,0.1181,40.90391588897,0.0755,200312056301181056,0.4309,0.1336,0.194,0.169,-2.161,0.128,0.961,18.087788,0.003076,18.707241,0.013702,17.326729,0.010245,1.380512,,,1.258,793.338,80.937,110.14,0.74,0.9967661784308522,0.0038080418238306,0.0,0.1724522676127788,0.0,0.1730117567635168,1.6238084228791596,0.9967661784308522,0.17249430653595937,0.6691317518168999
