pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
-0.1341,0.1475,0.0499,17,92.85745822468,0.0154,11.84543461399,0.0136,3330406431182079872,0.4486,0.0176,-0.424,0.019,-1.2,0.015,1.137,12.68996,0.002939,12.846437,0.003918,12.402906,0.005426,0.44353,,,1.176,1062.546,394.751,233.306,1.0,4.424168049011814,0.0024354392495142306,0.0,0.0
0.0512,0.1884,0.1115,17,92.83841787205,0.0369,11.85998724916,0.0333,3330406706055574528,0.4251,0.0424,-0.473,0.047,-1.205,0.037,1.098,15.831151,0.002871,16.128429,0.009584,15.176343,0.011498,0.952086,,,1.321,1347.785,118.414,97.335,1.0,1.5269736121983413,0.012640891755747079,0.39538896142821217,0.37521249135860085
-0.0926,0.2805,0.0196,17,92.85857523263,0.1484,11.86075832024,0.1371,3330406529963561856,0.4722,0.1789,-0.159,0.185,-1.06,0.153,1.007,18.559465,0.004296,19.38327,0.044502,17.713184,0.017266,1.670086,,,1.257,329.449,24.446,63.719,0.81,0.8280347640960152,0.005619615666781521,0.29908129155253155,0.21222471203595897
-0.1484,0.221,0.0744,16,92.83121377058,0.0794,11.86017511157,0.0703,3330406706055582336,0.3225,0.0856,-0.484,0.098,-1.321,0.085,1.047,17.319714,0.003163,17.74614,0.032715,16.448399,0.038087,1.297741,,,1.429,699.003,33.309,28.583,0.96,1.115758047341723,0.009109427513460633,0.15814056069289706,0.2683497719425036
-0.1645,0.2034,0.0622,17,92.82993894755,0.0438,11.85990262511,0.039,3330406706059992448,0.3149,0.0477,-0.477,0.056,-1.206,0.047,0.985,16.283754,0.002846,16.75444,0.005114,15.638357,0.005295,1.116083,,,1.233,1521.79,253.329,241.255,0.98,1.3484537297794308,0.014863035901757042,0.4653811558489583,0.34772027405691197
-0.031,0.2058,0.1257,16,92.82894785175,0.0988,11.85874668947,0.0862,3330406706061263232,0.3198,0.1074,-0.166,0.116,-1.229,0.101,1.044,17.752829,0.003815,18.347715,0.020737,17.032581,0.01882,1.315134,,,1.236,411.509,52.837,58.335,0.75,1.0082729635923995,0.002454324335554539,0.0,0.048430575851959534
-0.142,0.2099,0.061,16,92.83210087851,0.0737,11.83975340437,0.0677,3330405018135055872,0.4083,0.0849,-0.362,0.093,-1.315,0.08,0.991,17.369873,0.003138,17.987381,0.011592,16.639755,0.006172,1.347626,,,1.235,722.666,96.495,197.197,0.98,1.0707511142678627,0.019756149032226146,0.5160449921901894,0.2523624768828073
-0.0545,0.2859,0.093,17,92.851924351,0.0541,11.87364078864,0.0502,3330406736122003200,0.2976,0.0659,-0.55,0.069,-1.251,0.054,0.887,16.744812,0.002887,17.247709,0.00914,16.08354,0.005421,1.164169,,,1.23,1260.156,124.738,233.572,0.96,1.232747461524195,0.0018973034674556416,0.0,0.09869161194826702
-0.098,0.1565,0.0679,17,92.85198218655,0.0444,11.83082998092,0.0388,3330404953713342208,0.3737,0.049,-0.573,0.052,-1.103,0.043,1.027,16.294889,0.002845,16.755531,0.011905,15.659595,0.004029,1.095937,,,1.23,1531.792,93.812,373.54,0.97,1.3572900945192488,0.0033967020514004635,0.0,0.22479129119424318
-0.1969,0.1266,0.0251,16,92.85712420901,0.0235,11.87420794073,0.0212,3330406843499763456,0.4223,0.0266,-0.385,0.029,-1.181,0.023,0.992,14.732304,0.002789,14.976975,0.003225,14.316105,0.003104,0.660871,,,1.196,2498.447,670.929,798.475,1.0,2.104004375491721,0.023467774097053556,0.7602438560288738,0.36950806188205126
