pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass,q,e_q,r,mass_system,e_mass_system,r/rh
-0.2933,-0.1621,0.0389,23,302.9219140977,0.0101,26.52028870621,0.0165,1836387488754747776,0.6166,0.0237,-2.948,0.015,-5.573,0.021,1.068,14.789477,0.002762,15.261544,0.002982,14.135366,0.002867,1.126178,,,1.238,5744.495,1030.71,1641.906,0.81,1.7713513692294236,0.0183567093825935,1.0713929164275615,0.0656146499293448,0.6048449421379569,0.0375687248410083,0.06783644702882459,2.842744285656985,0.06813406684403527,0.016479474268995077
-0.2686,-0.1591,0.1057,23,302.92043848346,0.0416,26.52144921129,0.0669,1836387385675534592,0.5922,0.0989,-3.204,0.064,-5.313,0.086,0.965,17.701826,0.002897,18.51273,0.008877,16.809229,0.004553,1.703501,,,1.301,1213.297,128.837,301.733,0.65,0.9818817023189308,0.003372738908395,0.0,0.1225013008293802,0.0,0.1247617717491488,0.07323320952916608,0.9818817023189308,0.12254772161339642,0.017790507093613163
-0.2547,-0.1661,0.0533,22,302.92383022925,0.0185,26.51707287778,0.0292,1836387385675529216,0.586,0.0435,-3.312,0.027,-5.857,0.036,1.014,16.14513,0.002777,16.771452,0.003671,15.377421,0.003115,1.394031,,,1.261,3107.807,455.024,783.916,0.78,1.3268062245870724,0.0016040428400732,0.0,0.059370869463669,0.0,0.0447472045001494,0.14457845963948837,1.3268062245870724,0.059392533994642914,0.03512237314651081
-0.2848,-0.123,0.0354,22,302.92283690184,0.007,26.51464051838,0.0115,1836387385675528832,0.6531,0.0169,-3.078,0.01,-5.601,0.014,0.954,13.888932,0.002758,14.291587,0.002841,13.310917,0.002825,0.98067,,,1.217,8816.091,2037.83,2463.826,0.99,2.2523177648248773,0.0603402411891663,1.496141195139573,0.0924691735911025,0.66426736871025,0.0447461433125652,0.20792634103643967,3.7484589599644504,0.11041509304161369,0.05051144240352581
-0.2559,-0.2538,0.1049,22,302.92704119462,0.0495,26.52984614522,0.0813,1836387484443587968,0.4993,0.1203,-3.35,0.075,-5.656,0.1,1.043,17.987846,0.002977,18.91408,0.01287,17.054296,0.00547,1.859783,,,1.304,964.18,86.414,230.779,0.88,0.9111518824724932,0.0151209731642848,0.4720548962022366,0.2186489138328111,0.518085848564866,0.2401237536494744,0.2160950890146148,1.38320677867473,0.21917114625265588,0.05249587227879687
-0.2354,-0.2079,0.0266,23,302.91657516899,0.0066,26.53572230188,0.0112,1836387694913187840,0.6508,0.0155,-3.22,0.01,-5.605,0.013,0.952,13.675345,0.002759,13.992683,0.002837,13.181093,0.002816,0.81159,,,1.205,7389.776,2121.472,2830.391,1.0,2.6327624544842747,0.0021650483948198,0.0,0.0,0.0,0.0,0.38451097093088143,2.6327624544842747,0.0021650483948198,0.09340905853912568
-0.2891,-0.163,0.0512,24,302.92493871388,0.0791,26.50739399203,0.1325,1836387316956048384,0.5469,0.1938,-3.493,0.123,-5.449,0.172,0.985,18.856642,0.003238,19.93137,0.025451,17.890299,0.008206,2.041071,,,1.295,638.582,42.918,140.696,0.68,0.7821775234998622,0.0111250302644059,0.1345475116348905,0.2111773153022652,0.1720165916208588,0.2699975129840941,0.4010416534837621,0.9167250351347528,0.21147015107730044,0.09742484901328434
-0.2637,-0.1516,0.0443,23,302.90564353348,0.0148,26.51875256327,0.0235,1836387587522755072,0.6425,0.0342,-3.188,0.022,-5.584,0.029,1.017,15.70446,0.002767,16.285246,0.003559,14.963687,0.002985,1.321559,,,1.258,4307.444,491.342,1024.77,0.99,1.453094003009677,0.0015281491129592,0.0,0.1226259304004816,0.0,0.0843895371851348,0.42733332525897516,1.453094003009677,0.12263545183304539,0.10381187173463036
-0.2588,-0.1807,0.0738,23,302.90535240013,0.0241,26.51745230555,0.0398,1836387385675541376,0.7495,0.0578,-3.129,0.036,-5.72,0.05,1.033,16.765915,0.002816,17.462061,0.005681,15.947419,0.003431,1.514642,,,1.277,1860.778,219.395,543.995,0.98,1.1680228820747085,0.0016769389253993,0.0,0.0557532619233531,0.0,0.0477330219972411,0.4430774091185503,1.1680228820747085,0.05577847559097984,0.10763657418024229
-0.2412,-0.1913,0.0783,23,302.94264317523,0.0352,26.51928515904,0.0553,1836387420035258624,0.5394,0.0826,-3.394,0.053,-5.783,0.069,1.028,17.465687,0.00286,18.249077,0.007707,16.590319,0.004332,1.658758,,,1.295,1419.543,151.129,327.582,0.66,1.0281144768927135,0.0024362483883748,0.0,0.124704847281224,0.0,0.121294709960822,0.46791026117617684,1.0281144768927135,0.12472864242684299,0.11366920655462844
