pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass,q,e_q
0.0438,0.1597,-0.0657,28,127.21992784912,0.0211,-38.09565447221,0.0245,5529713223300102272,0.8651,0.0282,-0.748,0.029,2.216,0.029,1.07,15.790105,0.002781,16.42243,0.003479,15.019298,0.003282,1.403132,,,1.261,2891.323,522.367,628.263,0.99,1.0619760644468283,0.0210122486792736,0.8550700531641888,0.0462022608990095,0.8051688562393216,0.04633103827886176
0.0194,0.0979,0.0286,28,127.21703519131,0.0104,-38.1159248744,0.013,5529713120220894976,0.8253,0.0146,-0.652,0.015,2.174,0.016,1.228,13.812899,0.002763,14.19521,0.002871,13.241581,0.002874,0.953629,,,1.222,5135.984,1601.099,1576.62,0.99,1.626465134910868,0.0133294686842561,1.114743713423438,0.0465513421331903,0.6853781796463329,0.029167129202624778
0.1017,0.1101,-0.0632,29,127.25616717094,0.0254,-38.10507666067,0.0304,5529712982782100352,0.8637,0.0341,-0.665,0.035,2.356,0.037,1.01,16.204233,0.002809,16.859587,0.004822,15.415599,0.003762,1.443988,,,1.267,1983.023,276.092,430.167,1.0,1.022163138033796,0.0095208706683564,0.6774157795641921,0.0460456653687619,0.6627276550661471,0.04546825493008004
0.0678,0.0802,-0.0713,28,127.22549555347,0.0169,-38.11942665294,0.0188,5529712914062633728,0.8617,0.0221,-0.807,0.023,2.283,0.023,0.943,15.26952,0.002776,15.819987,0.003178,14.550947,0.003084,1.26904,,,1.253,3224.984,713.671,826.188,0.99,1.204994685393944,0.0143481510379708,0.854430069852807,0.0489660467293267,0.7090737247305549,0.04150376621061064
0.1762,0.0769,-0.1602,29,127.25936329731,0.0076,-38.09300323972,0.0087,5529714528970144384,0.839,0.0103,-0.726,0.01,2.429,0.011,0.933,10.65381,0.002759,11.539471,0.002821,9.729794,0.002797,1.809677,15.04,0.23,1.307,8155.762,2630.756,5595.212,1.0,2.599745720537375,0.0795440577961693,0.5572138036403674,0.8665139587505063,0.21433396321744486,0.3333717057024047
0.0406,0.1483,-0.0172,28,127.22756110847,0.008,-38.12577613077,0.0098,5529712914062464000,0.8457,0.0112,-0.661,0.011,2.373,0.012,0.999,13.420768,0.002761,13.75506,0.002878,12.910951,0.002827,0.84411,,,1.206,6095.387,1541.067,2387.895,1.0,1.7981489700400677,0.0119593485674999,1.098683271442752,0.0570901329873975,0.611007925232285,0.03200840455355339
0.1266,0.2,-0.0452,27,127.23290404256,0.0099,-38.12629448705,0.0114,5529712845342984960,0.8373,0.0136,-0.709,0.014,2.451,0.014,0.996,11.453598,0.002774,12.244338,0.002912,10.582344,0.002832,1.661994,14.04,0.42,1.289,3377.51,1302.123,2230.41,1.0,2.606635374152304,0.0136261901108982,0.0,0.2738410538984687,0.0,0.10505537391762118
0.0016,0.1643,-0.017,27,127.19535763764,0.0475,-38.09915270179,0.0566,5529713184636750848,0.8308,0.065,-0.613,0.066,2.295,0.07,1.073,17.321991,0.002885,18.109726,0.014285,16.448614,0.004986,1.661112,,,1.292,1269.441,77.501,262.714,0.99,0.8463924637775135,0.0041888204428601,0.2855736844741716,0.221132601146288,0.3374010245786389,0.2612701872660831
0.0942,0.1663,-0.0745,27,127.24959119414,0.0081,-38.07366318448,0.01,5529714735128572160,0.8257,0.0113,-0.758,0.011,2.024,0.012,1.07,13.030946,0.002762,13.402796,0.002858,12.477728,0.002821,0.925068,,,1.216,5724.51,1756.949,2609.75,0.6,1.7553742667826555,0.0332615797897264,1.6394195522420685,0.0423945396784709,0.9339430247242287,0.029940932201218927
0.0905,0.1233,-0.0002,27,127.2690546037,0.0376,-38.09800566031,0.0439,5529714460250845824,0.8062,0.0503,-0.695,0.052,2.254,0.055,1.014,16.874838,0.002844,17.636129,0.007117,16.027061,0.00477,1.609068,,,1.279,1537.042,165.837,280.673,0.99,0.9012465837399856,0.0078163377118091,0.6122823771468849,0.0402287441989281,0.6793727579038809,0.045023976685833675
