pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
0.2026,0.2314,0.0991,28,161.85428610605,0.0236,-59.50821247243,0.025,5350340614351661312,0.3628,0.0293,-4.721,0.032,1.658,0.029,1.043,15.652841,0.002787,16.802282,0.005295,14.59171,0.003082,2.210572,,,1.37,2580.294,241.238,829.95,0.92,1.4364066106263278,0.024441517405144417,1.3734829442279055,0.037255798035619486
0.1539,0.1714,0.1736,27,161.84686854598,0.1214,-59.54116479036,0.1323,5350338999422252672,0.3311,0.1576,-4.795,0.159,1.578,0.152,1.011,18.728331,0.003342,19.626732,0.042996,17.861753,0.020541,1.764978,,,1.252,574.287,25.306,53.351,0.95,0.9329358592542346,0.0035817381716566213,0.0,0.09222214822316942
0.2224,0.26,0.1043,28,161.8186582569,0.0195,-59.48907811107,0.0213,5350341438985390720,0.4638,0.0248,-4.811,0.026,1.517,0.024,1.042,15.330594,0.002771,15.682905,0.003672,14.789473,0.003037,0.893433,,,1.217,3632.257,454.798,904.452,0.99,1.89821747105755,0.010705282175191733,0.6056183005438683,0.33941106868611975
0.0971,0.1255,0.1585,28,161.89164948489,0.0568,-59.52769090455,0.0606,5350340545610646656,0.4178,0.072,-4.782,0.076,1.439,0.07,0.973,17.450991,0.002907,18.052317,0.012262,16.732988,0.007227,1.319328,,,1.232,1171.626,90.933,162.863,0.99,1.0966813618572118,0.0024500262956649115,0.0,0.07655941368930679
0.1706,0.2007,0.1894,26,161.80224773471,0.0843,-59.49034968889,0.0925,5350341434663809920,0.3545,0.1111,-4.673,0.117,1.409,0.105,1.075,18.066553,0.00301,18.772898,0.019458,17.233486,0.012257,1.539412,,,1.285,896.878,56.381,90.97,0.97,1.021422283592231,0.002892016767541746,0.0,0.0905961426121567
0.2504,0.1584,0.0617,27,161.77599249216,0.025,-59.53516839391,0.0281,5350339789718247040,0.4514,0.0313,-4.805,0.032,1.431,0.031,1.123,15.697081,0.002779,16.108042,0.003835,15.098813,0.003863,1.009229,,,1.227,2992.344,412.708,406.331,1.0,1.6994134708863842,0.006801730356736589,0.5636381101591371,0.3162591239642833
0.1851,0.178,0.1171,27,161.81883932017,0.0321,-59.55203502218,0.0335,5350339720998380416,0.4427,0.0406,-4.719,0.044,1.561,0.039,1.07,16.265684,0.002802,16.760151,0.005576,15.598053,0.003883,1.162098,,,1.238,2123.377,224.906,402.129,1.0,1.4785740414860604,0.0020520111081345324,0.0,0.10923715858873881
0.2218,0.1917,0.0997,28,161.76303289841,0.0213,-59.5280539068,0.0238,5350339995876289536,0.4185,0.0274,-4.716,0.029,1.462,0.027,0.995,15.707016,0.002779,16.159668,0.003689,15.071032,0.003333,1.088636,,,1.234,2979.831,449.949,595.282,1.0,1.6556711221021567,0.021950615928903735,0.9757778095813106,0.0771675283858937
0.1486,0.2412,0.0956,28,161.74753907438,0.0693,-59.5133185497,0.0728,5350339991554275840,0.3877,0.0877,-4.636,0.092,1.493,0.082,1.094,17.713511,0.002932,18.375492,0.015009,16.927277,0.008031,1.448215,,,1.263,1082.049,73.621,144.183,0.98,1.062479032444578,0.0022391720644356666,0.0,0.08733377116776893
0.1948,0.1991,0.1125,28,161.93098924368,0.0263,-59.51308414169,0.0279,5350340751790656640,0.3991,0.0332,-4.779,0.035,1.468,0.033,1.022,16.066006,0.002785,16.515188,0.003909,15.444601,0.003536,1.070587,,,1.226,2679.355,396.528,499.763,1.0,1.549684297345665,0.0026499625480014243,0.0,0.04453460810552182
