pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
-0.1994,0.0137,-0.1467,22,107.37817294324,0.0685,-16.91679058419,0.0824,2935025687669690752,0.4677,0.1175,-0.519,0.09,-0.126,0.095,1.062,17.904175,0.002996,18.496431,0.0148,17.207777,0.006849,1.288654,,,1.22,923.43,74.699,173.567,0.98,0.8483057942921525,0.001856068320122,0.0,0.0327285898384126
-0.0767,-0.0205,-0.175,20,107.40569160313,0.0118,-16.88537705307,0.0137,2935025863770775168,0.4867,0.0206,-0.493,0.015,-0.055,0.016,1.065,14.444747,0.002768,14.728993,0.002957,13.994385,0.002952,0.734609,,,1.195,4176.179,1107.616,1125.364,1.0,1.533392804544483,0.0230082490896555,1.2713230420002737,0.0379495316809739
-0.0244,-0.0544,-0.1029,22,107.40478405442,0.0097,-16.88063846144,0.0111,2935026237423017344,0.5279,0.0165,-0.535,0.013,0.063,0.013,1.087,12.124655,0.002765,12.236892,0.003007,11.885015,0.003151,0.351876,,,1.179,4810.149,968.83,741.393,0.98,2.4929388653676403,0.0330698173690288,2.090834633891772,0.0922234187980956
-0.1906,0.057,-0.2034,23,107.4184465549,0.056,-16.89918619586,0.0661,2935025795051296256,0.3864,0.0936,-0.617,0.073,-0.079,0.078,1.036,17.53533,0.002907,18.170904,0.012337,16.795956,0.005867,1.374949,,,1.236,1172.43,90.346,210.349,0.95,0.8837419796935674,0.0101442741465181,0.6219669678879586,0.045171815742375
-0.0638,-0.0322,-0.0441,22,107.3860775733,0.0143,-16.869434728,0.016,2935026688404499456,0.5234,0.0231,-0.471,0.019,0.066,0.02,1.046,14.856279,0.002768,15.142789,0.002996,14.401329,0.002941,0.74146,,,1.197,4132.557,995.993,1168.75,0.98,1.5014562563978238,0.0093037333069858,0.8610162669738464,0.0862474588945186
-0.1759,0.0121,-0.1671,22,107.36557912955,0.043,-16.86532777265,0.0485,2935026894562936064,0.4972,0.0724,-0.407,0.057,-0.075,0.057,1.014,17.080631,0.002867,17.568026,0.008348,16.430607,0.004625,1.137419,,,1.229,1371.926,137.997,294.321,0.98,0.9883499307986802,0.0014302197584621,0.0,0.0839657497698426
-0.1125,-0.008,-0.1476,22,107.38086547765,0.0452,-16.86129747952,0.0512,2935026688404499968,0.4679,0.0761,-0.511,0.06,0.047,0.06,1.0,17.264156,0.002862,17.764215,0.007678,16.605879,0.006118,1.158337,,,1.229,1405.268,151.791,199.393,0.99,0.9549356812465902,0.0013968403613476,0.0,0.0472284121799822
-0.0347,-0.0278,-0.1207,21,107.3703729813,0.0098,-16.86328657568,0.011,2935026894562934912,0.4729,0.016,-0.523,0.013,-0.052,0.013,0.97,13.854025,0.002772,14.016195,0.002913,13.574803,0.002858,0.441392,,,1.169,3565.121,1299.346,1753.72,1.0,1.9141032799213933,0.0046181342284904,0.2627936226278361,0.363104549812493
-0.0916,-0.0505,-0.07,22,107.38459995912,0.0184,-16.86012334502,0.0208,2935027066361619584,0.463,0.0309,-0.423,0.024,0.038,0.025,1.019,15.433797,0.002771,15.8082,0.003268,14.889451,0.003092,0.918749,,,1.209,3732.262,637.875,815.236,0.98,1.3045610948676316,0.0144234640191564,0.9213235311192718,0.0482532528139232
-0.1678,0.0276,-0.1239,23,107.43248087523,0.0307,-16.9084585489,0.0359,2935025588892627200,0.5491,0.0495,-0.561,0.04,-0.095,0.041,0.99,16.482576,0.002839,16.917498,0.005178,15.876723,0.004678,1.040774,,,1.221,1588.003,248.928,289.143,0.99,1.1048125604945802,0.0017285137017804,0.0,0.1636120508193142
-0.2406,0.0356,-0.1944,22,107.34469832416,0.0582,-16.87733578335,0.0644,2935026752821783424,0.4898,0.0926,-0.579,0.078,-0.105,0.075,1.019,17.559305,0.002941,18.08419,0.009442,16.886072,0.006786,1.198118,,,1.23,1054.289,120.367,175.513,0.98,0.9041621807350508,0.0018340772183795,0.0,0.0300460646025978
