pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass,q,e_q
-0.5434,0.1795,-0.4067,17,106.50977091985,0.073,-15.00151946807,0.0809,2936304694568913664,0.157,0.1187,-0.423,0.088,1.173,0.089,1.068,17.672197,0.002898,18.209311,0.008467,16.954782,0.006474,1.254528,,,1.257,1207.013,135.814,185.842,0.77,1.140829538588898,0.0299131722768714,1.0310196450725482,0.0485359918861224,0.9037455730220882,0.04869872557593613
-0.5857,0.0973,-0.3543,16,106.51195808235,0.0617,-14.99860763076,0.07,2936304698871711744,0.3437,0.099,-0.342,0.069,0.9,0.07,0.951,17.252274,0.002845,17.721861,0.007895,16.638186,0.005691,1.083675,,,1.212,1530.94,147.004,218.901,0.98,1.2758585778046083,0.0357505445284184,1.044164163112749,0.0681868010763824,0.8184011780596091,0.05815610909212318
-0.6027,0.1079,-0.3503,16,106.512295005,0.0788,-14.99712566495,0.0899,2936304698871710720,0.1864,0.1258,-0.526,0.089,1.048,0.09,1.037,17.628426,0.002903,18.154959,0.011354,16.986187,0.006439,1.168772,,,1.207,1187.22,98.65,187.111,0.95,1.1705063917970175,0.0354804282261917,0.9878086045435052,0.0668100442137597,0.8439156005179724,0.06254809041844188
-0.5547,0.1769,-0.3976,17,106.51020842125,0.0614,-15.00358239548,0.0683,2936304698871716352,0.2396,0.099,-0.463,0.074,0.911,0.076,0.998,17.447248,0.002869,17.837555,0.020403,16.706512,0.012385,1.131042,,,1.339,1359.042,53.718,89.981,0.97,1.2287219950815444,0.0363386345114692,1.0443242198773064,0.0691613859673377,0.8499271796693112,0.06164474736874835
-0.5689,0.182,-0.4164,16,106.51323918981,0.1408,-15.00333350562,0.1592,2936304694568907776,0.0704,0.2331,-0.447,0.165,1.128,0.169,0.968,18.760836,0.003153,19.457615,0.029586,17.971325,0.011799,1.48629,,,1.253,708.758,36.861,94.702,0.85,0.9819146492974684,0.0129958826781386,0.7043103564817131,0.0691524971889534,0.7172826650316572,0.0710631523943175
-0.5707,0.144,-0.3057,17,106.51535288722,0.0188,-14.99789846424,0.0217,2936304694576053120,0.1872,0.0294,-0.412,0.023,0.997,0.024,1.134,14.732195,0.002771,15.010583,0.004942,14.152215,0.005936,0.858368,,,1.279,3711.525,266.151,207.217,0.99,2.196458420655063,0.00386986524025,0.5145912099771843,0.5259732747397978,0.23428224506235573,0.23946460866233668
-0.5684,0.0826,-0.3569,16,106.51587155292,0.0122,-14.9973646618,0.0142,2936304698871708672,0.2537,0.0193,-0.465,0.014,0.896,0.014,1.052,13.649799,0.002763,14.390471,0.007238,12.741478,0.003481,1.648993,,,1.338,5235.24,162.581,521.583,0.96,2.3708776863199814,0.0737010423274096,0.4965291530416019,0.7113465840376445,0.2094284137501426,0.3001057485783361
-0.5566,0.1781,-0.4086,17,106.51138468877,0.0483,-15.00594453848,0.0535,2936304698871716992,0.3944,0.0775,-0.282,0.059,0.785,0.06,1.056,16.940166,0.002819,17.327267,0.00665,16.363682,0.004266,0.963585,,,1.224,1821.614,179.875,336.482,0.89,1.41662982745983,0.0153107065932226,0.9994994443228596,0.0481981135961031,0.7055473666787533,0.03486714090600161
-0.5929,0.1625,-0.3704,17,106.51226680156,0.0121,-14.99340473153,0.0139,2936304698871708032,0.2718,0.0195,-0.432,0.015,0.929,0.016,1.097,13.884424,0.002761,14.646734,0.003004,13.028751,0.002827,1.617983,,,1.285,6377.246,975.328,2377.152,0.99,2.310898323299347,0.0730989820686271,0.4653956646187614,0.66256080795381,0.20139166657678836,0.28678212747462384
-0.5331,0.1654,-0.4168,17,106.51281682604,0.0354,-15.00684415948,0.0394,2936304694568908032,0.2119,0.058,-0.374,0.043,0.978,0.044,1.006,16.391844,0.002795,16.737354,0.004059,15.872635,0.003318,0.864719,,,1.207,2312.443,368.349,604.654,0.99,1.5592669509879011,0.0205241047419847,1.2103565564972414,0.0400282287679151,0.7762343425097278,0.027629750728860612
