pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
0.0811,-0.051,-0.0266,22,244.88835153762,0.0147,-54.96375911574,0.0121,5932089845868761088,1.5048,0.0201,-1.938,0.022,-10.513,0.018,0.945,14.149886,0.002818,14.541025,0.00383,13.587217,0.003435,0.953808,,,1.213,1843.806,413.702,541.881,1.0,1.0695301516656923,0.0008131818473359,0.0,0.0
0.1226,0.0488,0.1343,21,244.80773603992,0.1315,-54.955156611,0.0997,5931715393360285568,1.4917,0.1834,-1.717,0.207,-10.254,0.156,1.023,18.488081,0.003705,19.4238,0.07518,16.933493,0.046211,2.490307,,,2.068,438.454,14.452,23.538,1.0,0.4976110491167819,0.0172528441488078,0.3230857650241903,0.1082507698883054
-0.0037,0.0053,0.005,22,244.80930086662,0.0213,-54.96174789846,0.0162,5931715359091355776,1.4192,0.0298,-1.866,0.033,-10.681,0.026,0.698,8.011889,0.002855,7.994732,0.003233,7.980536,0.004799,0.014196,,,1.17,1448.24,664.671,278.099,1.0,3.76039784674919,0.0763329844132186,3.457952826179185,0.37800171860115
0.083,-0.041,0.057,22,244.88222670411,0.0163,-54.97298783386,0.0126,5932089811509007104,1.4734,0.0224,-1.968,0.024,-10.543,0.019,0.878,11.369574,0.002795,11.499691,0.002838,11.134512,0.002814,0.365179,,,1.166,2315.055,2081.798,2974.969,1.0,1.8870631039797767,0.0196904903772951,1.2028413283441914,0.0494333152204555
-0.0376,0.0106,-0.0455,22,244.91046489105,0.0108,-54.93734482302,0.0083,5932089983307756672,1.4682,0.0149,-2.253,0.017,-10.711,0.012,0.783,12.504982,0.002762,12.75595,0.002878,12.10136,0.002805,0.65459,-25.67,10.27,1.186,5716.042,1539.873,3801.781,1.0,1.4708952712232126,0.0086922181235903,0.6550500481258659,0.2708373963382486
-0.0083,-0.0019,0.0583,22,244.90709073397,0.044,-54.912343391,0.0365,5932090464344158592,1.4297,0.0619,-1.855,0.065,-10.614,0.053,1.014,16.731096,0.002866,17.539864,0.005355,15.855707,0.003498,1.684156,,,1.287,1378.285,237.562,514.438,1.0,0.6852964607650143,0.0007789234417486,0.0,0.0
0.0311,0.0282,-0.0598,20,244.76921381863,0.0122,-54.95135780284,0.0086,5931715560837501824,1.4838,0.0165,-2.054,0.018,-10.848,0.014,0.859,13.053244,0.002765,13.346578,0.00305,12.531057,0.008215,0.81552,-16.71,7.75,1.234,4721.521,881.529,140.518,1.0,1.296607613142058,0.0126833035382355,0.8291243425127963,0.061478789214434
-0.0192,-0.0029,0.0412,21,244.85691571385,0.017,-54.99648232146,0.013,5931714465738750336,1.5124,0.0238,-1.803,0.026,-10.48,0.02,1.486,13.479192,0.002784,13.846393,0.003232,12.930038,0.003016,0.916354,,,1.215,2706.273,665.733,947.419,1.0,1.1819831710114308,0.0138134193474826,0.7975072091818676,0.0546325534004988
-0.0066,0.0405,0.0364,22,244.94228131633,0.0151,-54.95172318893,0.013,5932089777149262208,1.4667,0.0214,-2.161,0.023,-10.57,0.019,1.009,14.171085,0.002807,14.555178,0.003596,13.612864,0.003218,0.942314,,,1.213,2016.217,478.713,677.121,1.0,1.0653234826777065,0.0007621064676123,0.0,0.0
0.0874,-0.0428,0.0623,22,244.76956567292,0.0164,-54.92520286625,0.0113,5931715668329014400,1.5026,0.0212,-2.001,0.024,-10.503,0.018,0.809,9.762041,0.002768,9.786239,0.002825,9.688556,0.00281,0.097683,,,1.16,4160.685,2468.858,3277.591,1.0,3.098315593732976,0.0008696872587655,0.0,0.0
