pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
0.0112,-0.1236,0.0138,20,256.01402342585,0.0342,-48.08623175618,0.0243,5938785218787758080,0.8832,0.0376,-3.065,0.052,-7.264,0.04,1.027,15.864354,0.002789,16.509676,0.003529,15.078249,0.003116,1.431427,,,1.269,2531.379,502.458,782.342,0.69,1.1792374707734032,0.004080207355087269,0.5485284328272632,0.16837968119834834
-0.1408,-0.0694,0.0476,20,256.0358885245,0.0287,-48.08966030518,0.0216,5938785180086094976,0.8867,0.0337,-2.963,0.043,-7.277,0.035,0.997,15.678052,0.002781,16.268379,0.00461,14.91083,0.004065,1.35755,,,1.274,2894.162,295.881,367.22,0.63,1.2303846654847648,0.0011921078063444708,0.0,0.15893040818443369
0.0182,-0.0472,0.086,20,256.04633296132,0.0724,-48.09389712283,0.052,5938785184428000896,0.8985,0.078,-3.08,0.104,-7.138,0.083,0.982,17.38225,0.002869,18.177032,0.0092,16.516953,0.005255,1.66008,,,1.283,1355.242,123.849,243.845,0.85,0.8941911465861255,0.0014241317898760872,0.0,0.0592998162376159
-0.0259,-0.1065,0.1017,20,255.95307094456,0.0528,-48.06875044341,0.0383,5938797141589803776,0.8358,0.0595,-3.07,0.073,-7.297,0.06,0.988,16.893591,0.00285,17.614996,0.00797,16.063194,0.004857,1.551802,,,1.278,1487.062,145.439,273.071,0.92,0.9773691385112528,0.0012909120595565756,0.0,0.06107583455168568
-0.0096,-0.1088,0.062,20,256.04909400175,0.011,-48.08323116358,0.0082,5938786657554761984,0.8383,0.0121,-2.973,0.016,-7.195,0.013,0.867,12.572455,0.002987,13.060807,0.005406,11.903885,0.003993,1.156922,,,1.242,942.228,234.457,380.13,0.8,2.209150962023289,0.007400991595715773,1.1754477124328233,0.10741465126849545
-0.0886,-0.0163,0.0388,20,255.99885051379,0.0421,-48.04362426952,0.0296,5938786971134446848,0.8434,0.0459,-2.907,0.057,-7.269,0.046,1.026,16.310904,0.00282,16.961424,0.00441,15.53188,0.003785,1.429543,,,1.261,1805.268,317.941,424.56,0.97,1.0895436619744294,0.0011739085197347344,0.0,0.07296383975528109
-0.0539,-0.0536,0.1328,20,255.9839659391,0.0155,-48.13062946725,0.0115,5938784870848374656,0.834,0.0182,-2.71,0.021,-7.199,0.018,0.956,14.055475,0.00276,14.528526,0.003108,13.396449,0.003296,1.132077,,,1.241,6759.486,792.995,618.714,0.86,1.6574500881553325,0.012537782615748961,1.0681730679026364,0.052144819171784894
-0.0704,-0.2316,0.2846,20,255.92787604198,0.0953,-48.05749458117,0.0751,5938797205996236160,0.8326,0.114,-2.865,0.14,-7.089,0.124,1.039,17.757156,0.003012,18.591024,0.010466,16.827787,0.007691,1.763237,,,1.327,891.486,107.638,151.499,0.93,0.8381482926192837,0.0016930240428881657,0.0,0.10338790483508743
-0.0255,-0.1025,0.0521,20,255.96611868438,0.048,-48.03435670863,0.0353,5938798752182839936,0.8809,0.0546,-2.94,0.07,-7.216,0.056,1.017,16.710667,0.002836,17.410734,0.005657,15.903668,0.003985,1.507066,,,1.266,1620.701,220.611,381.568,0.94,1.0105410450334358,0.0013716054736702048,0.0,0.07444298398636257
-0.0924,-0.0251,0.0932,20,255.96032876195,0.019,-48.13668429244,0.0136,5938784836490206592,0.8563,0.0222,-2.99,0.026,-7.049,0.022,0.978,14.604561,0.002764,15.113495,0.003038,13.920045,0.002928,1.19345,,,1.245,5060.784,903.35,1224.706,0.61,1.515321629827242,0.002586377142129062,0.4398803137513474,0.2718884030710042
-0.0577,-0.0983,0.1002,20,255.91291057944,0.0516,-48.1014680176,0.037,5938796660553417472,0.8392,0.0613,-2.826,0.075,-7.285,0.062,1.003,16.816494,0.002835,17.747105,0.008502,15.868261,0.003252,1.878843,,,1.316,1625.337,135.187,649.732,0.97,0.8882278356431267,0.01692143896903322,0.8341632820460327,0.023623871504361675
0.2989,-0.2372,0.0311,19,255.93358506634,0.0149,-48.04323640169,0.0106,5938797313417272192,0.8438,0.016,-3.044,0.022,-7.119,0.017,0.893,12.895682,0.002763,13.328785,0.002839,12.291533,0.002813,1.037252,,,1.221,5442.506,2066.587,3051.798,0.68,2.0151020173317833,0.027191724796626005,1.566683981491002,0.06802449679740458
0.0123,-0.0978,0.0471,20,255.99338665081,0.0194,-48.14558241604,0.014,5938784565952506112,0.8482,0.0222,-2.986,0.027,-7.368,0.022,0.993,14.550976,0.002766,15.047599,0.002971,13.866508,0.002988,1.181091,,,1.25,4415.375,1062.463,1014.423,0.67,1.5327736143999064,0.0028338821597949744,0.4791653202624156,0.26385225773991483
0.022,-0.1248,0.1615,20,255.99836541788,0.0264,-48.1487335831,0.02,5938784561612249856,0.8804,0.031,-2.879,0.037,-7.233,0.033,0.97,15.33921,0.002775,15.897758,0.003454,14.613019,0.003071,1.284739,,,1.255,3263.345,533.342,845.747,0.7,1.31273347782786,0.001037750890206144,0.0,0.057050057171328786
-0.078,-0.1111,0.1362,20,256.08902326219,0.0261,-48.05007458703,0.0196,5938786455738333056,0.8582,0.0305,-2.86,0.038,-7.185,0.032,1.092,15.378379,0.002773,15.942419,0.003714,14.64137,0.003258,1.301049,,,1.261,3481.761,442.799,645.793,0.93,1.3030760486141317,0.0010694716329334019,0.0,0.13605512791249916
0.0224,-0.0982,0.0531,20,255.95499181853,0.044,-48.01986293551,0.0316,5938798786542606976,0.8955,0.0494,-2.873,0.062,-7.266,0.049,0.951,16.387714,0.002825,17.034496,0.00492,15.603373,0.003713,1.431124,,,1.267,1745.352,267.922,443.087,0.87,1.0751115985997017,0.0014970210441501443,0.0,0.05862919302333852
0.1234,-0.2501,-0.0603,19,255.97608824689,0.033,-48.01452199328,0.024,5938798893939618176,0.8366,0.037,-2.886,0.05,-7.259,0.039,0.95,15.815753,0.002787,16.398481,0.005357,14.962524,0.013357,1.435957,,,1.348,2588.918,237.429,83.117,0.98,1.194797370200557,0.007319701169614378,0.6417215634193424,0.11006513444346228
0.0096,-0.0639,0.0029,20,255.88966444049,0.0788,-48.0990279756,0.0564,5938796862413551616,0.8076,0.0873,-2.73,0.115,-7.019,0.09,0.954,17.542519,0.00293,18.377302,0.010018,16.67494,0.005565,1.702362,,,1.272,1088.31,112.841,225.51,0.86,0.8677920916283292,0.0014630898686533369,0.0,0.09160173677056091
0.1133,-0.1766,0.061,19,256.10861848369,0.0173,-48.09289572651,0.0128,5938785768543529344,0.8306,0.0193,-2.912,0.025,-7.282,0.021,0.986,14.081995,0.002777,14.546471,0.0032,13.441496,0.002918,1.104975,,,1.232,3169.507,692.569,1271.016,0.96,1.6751392953118895,0.007571507489367056,0.8838947923113036,0.07532312705529055
-0.0124,-0.1624,0.069,20,255.89694278391,0.0388,-48.04538360746,0.029,5938797382136756864,0.8162,0.0469,-2.809,0.055,-7.186,0.046,0.966,16.298309,0.002836,16.933004,0.005705,15.522326,0.004626,1.410678,,,1.264,1617.734,218.196,294.246,0.98,1.0929322736412097,0.0014117218552749348,0.0,0.06034926457001892
-0.1057,-0.0994,0.1446,20,256.05036220017,0.0138,-48.01300558749,0.01,5938787314731830656,0.8466,0.0158,-3.026,0.019,-7.262,0.016,0.862,11.235801,0.002793,11.994659,0.003056,10.384944,0.002958,1.609715,,,1.282,2363.705,870.622,1104.945,0.56,2.5273857579281978,0.03803021422187908,2.1862304629378757,0.04761208265282617
0.0027,-0.1608,0.0883,20,255.88479936997,0.0104,-48.05614099948,0.0075,5938797068555468928,0.8043,0.0119,-2.966,0.015,-7.213,0.012,0.811,12.205168,0.003227,12.698671,0.007455,11.54133,0.004843,1.157341,4.11,4.85,1.236,646.14,157.046,274.248,0.99,2.3351559121258605,0.002274235961810312,0.39228032976887994,0.4373751318595022
-0.0267,-0.2219,0.0458,20,255.99855649544,0.0255,-48.00413972075,0.0186,5938787177292897920,0.7751,0.0297,-2.699,0.037,-7.156,0.029,0.961,15.283484,0.002771,15.812218,0.003053,14.582116,0.003012,1.230102,,,1.249,3739.203,875.804,957.132,0.97,1.3274968304796517,0.001207322118051466,0.0,0.055812735103784754
-0.0401,0.0434,0.1459,19,255.94643402331,0.0157,-48.15910776001,0.011,5938778930954599040,0.8511,0.0178,-2.875,0.021,-7.09,0.017,0.95,13.723922,0.002762,14.19231,0.002867,13.080496,0.002848,1.111814,,,1.232,5806.218,1646.345,1900.9,0.73,1.707527736143212,0.024175206085585318,1.3416629045242134,0.0524574085444776
-0.2146,-0.2454,0.3489,19,255.90571542081,0.1884,-48.02756248386,0.155,5938797515236396544,0.7211,0.2487,-2.73,0.293,-6.967,0.254,1.051,18.942135,0.003572,20.158417,0.054936,17.927198,0.016984,2.231218,,,1.309,477.681,19.789,64.808,0.56,0.6992726014550322,0.000791675418622311,0.0,0.03919044957932039
-0.0222,-0.1299,0.0827,20,256.07002223103,0.0701,-48.01232340578,0.051,5938787349091559936,0.772,0.0769,-2.715,0.1,-7.349,0.079,0.973,17.321915,0.002901,18.092054,0.011238,16.442833,0.004824,1.649221,,,1.303,1194.064,99.732,275.915,0.92,0.9052500644940723,0.0016022271760221596,0.0,0.08415381715960878
0.1213,-0.0939,0.136,20,256.07334632675,0.0327,-48.15732676163,0.0239,5938784183655083520,0.8871,0.0367,-2.85,0.046,-7.326,0.039,0.92,15.845193,0.002787,16.465483,0.004274,15.065473,0.003423,1.40001,,,1.273,2574.318,335.288,547.654,0.54,1.1903316787883398,0.0013790845235203218,0.10779088326124513,0.19502998735796556
-0.204,0.089,-0.0236,19,255.88233636289,0.032,-48.13610364706,0.0241,5938790918163910016,0.835,0.037,-2.822,0.051,-7.483,0.04,1.008,15.847671,0.002796,16.381062,0.007732,15.017512,0.007527,1.363549,,,1.348,2284.219,150.569,155.301,0.66,1.200631849532966,0.0014189814238414705,0.0,0.10697084499855117
0.1614,-0.0517,0.1108,19,256.13837039475,0.1474,-48.09741590481,0.1008,5938785729835605632,0.8021,0.1661,-3.073,0.217,-7.041,0.171,0.971,18.405464,0.003151,19.406828,0.029496,17.367664,0.010558,2.039164,,,1.383,710.489,36.975,106.622,0.75,0.7487351955914404,0.006062929168047191,0.21961468960844407,0.20372790833283233
0.0292,-0.109,0.1024,20,256.12765941073,0.0149,-48.12772540566,0.0109,5938785562385073792,0.8499,0.0166,-2.88,0.021,-7.083,0.018,0.907,13.701431,0.002762,14.171381,0.00289,13.056172,0.002842,1.115209,,,1.233,5878.232,1439.734,2008.721,0.65,1.7006086655608816,0.02805113598981498,1.37852199074581,0.0501763118267681
-0.0878,-0.0428,0.0617,20,255.88530644756,0.041,-48.14791549217,0.031,5938790608926210176,0.8496,0.0472,-2.905,0.059,-7.172,0.048,1.087,16.32966,0.00283,16.984056,0.005655,15.507353,0.004462,1.476704,,,1.295,1681.221,220.75,311.806,0.97,1.0879079519068404,0.0011876178534219785,0.0,0.12624721255590432
0.1738,-0.108,0.0294,20,256.13111836905,0.0857,-48.13299892309,0.0584,5938785558040244224,0.8775,0.0869,-2.882,0.121,-7.333,0.096,1.009,17.457027,0.002898,18.293491,0.012454,16.585251,0.005255,1.708241,,,1.275,1210.526,89.457,243.794,0.91,0.8804147618772687,0.0013408227364008008,0.0,0.10471293146282296
-0.0754,-0.0193,0.0509,20,255.85896734555,0.0633,-48.12827061194,0.0462,5938790888145358208,0.8847,0.0712,-2.93,0.091,-7.217,0.074,0.994,17.20899,0.002919,17.952272,0.008758,16.300533,0.004293,1.651739,,,1.338,1125.166,130.779,332.716,0.94,0.9267879954402979,0.0013974032339162902,0.0,0.10033290438829119
0.0785,-0.0705,0.0857,20,256.11826443039,0.0609,-48.14885702587,0.0444,5938784046211681280,0.8959,0.067,-2.834,0.088,-7.28,0.075,0.988,17.035446,0.00291,17.766014,0.010141,16.120363,0.011845,1.645651,,,1.348,1159.541,111.362,94.319,0.9,0.9561224937569858,0.002273255475149724,0.13749187878659305,0.2025954716366134
-0.0429,-0.1203,0.1061,20,255.91365896251,0.0388,-47.9978446058,0.0283,5938799031404430464,0.8502,0.0465,-2.776,0.059,-7.16,0.046,0.907,16.276361,0.002828,16.911057,0.004557,15.502716,0.003823,1.40834,,,1.263,1707.813,301.329,415.538,0.95,1.0974738492017004,0.0012626757624811438,0.0,0.054052377224799796
-0.0293,-0.0291,0.0469,20,256.12056289965,0.0151,-48.15242524271,0.0113,5938784046211661696,0.8548,0.017,-2.854,0.022,-7.23,0.019,0.894,13.827354,0.002777,14.282322,0.003132,13.193832,0.002887,1.08849,,,1.231,3164.496,762.685,1464.449,0.59,1.7400080145331578,0.01195658635066181,1.1065378680753362,0.054452396428232165
0.0573,0.057,-0.0005,20,255.94853880274,0.0684,-48.18738005813,0.0478,5938778720456570496,0.8038,0.0756,-2.821,0.105,-7.024,0.079,1.022,17.154512,0.002862,17.905954,0.008418,16.271996,0.004444,1.633959,,,1.312,1404.344,136.713,313.942,0.92,0.9336464075516724,0.0015910304942101435,0.0,0.08693064316439766
-0.1633,-0.1446,0.0443,19,255.98959823724,0.0194,-47.96786329343,0.0143,5938799443721485568,0.8578,0.0232,-2.771,0.028,-7.186,0.023,0.922,14.599463,0.002764,15.085346,0.003046,13.939454,0.002849,1.145892,,,1.237,5031.25,889.273,1878.944,0.66,1.5196150668948059,0.0010504900925990984,0.0,0.07431713021447897
-0.1047,-0.0746,-0.0188,19,255.81816216946,0.0288,-48.05837199318,0.0212,5938797725734161024,0.8621,0.0344,-2.967,0.04,-7.117,0.033,1.011,15.555921,0.002778,16.176567,0.003318,14.786639,0.003093,1.389928,,,1.264,3096.124,604.695,813.088,0.9,1.2450175075619514,0.006262484530762418,0.6858539224043214,0.06815228603872754
-0.0665,-0.0611,0.0264,20,255.83804994577,0.0236,-48.02098130365,0.018,5938798275489990656,0.8524,0.0283,-2.804,0.035,-7.14,0.028,1.003,15.151018,0.002771,15.704715,0.003415,14.424638,0.003016,1.280077,,,1.257,3737.766,551.473,947.525,0.9,1.3607814042028685,0.001386644555840207,0.1529228147872355,0.22057168937833718
0.0319,-0.1604,0.0333,20,255.80912532094,0.0234,-48.09223590131,0.0171,5938791815858357248,0.8042,0.0274,-3.129,0.033,-7.06,0.027,1.738,13.713732,0.002762,14.218788,0.002894,13.038687,0.002831,1.180101,,,1.239,5663.809,1411.869,2275.178,0.81,1.5946627521724286,0.024631749342250608,1.522906733657054,0.028683937481125233
-0.0488,-0.1291,-0.0043,19,255.85247755346,0.1403,-48.16658143896,0.1002,5938790437127431424,0.7876,0.1537,-3.102,0.205,-7.198,0.165,0.992,18.23423,0.003173,19.412533,0.02139,17.2045,0.008193,2.208033,,,1.332,689.727,51.196,140.945,0.83,0.7246202256357853,0.014078726650276544,0.6263934268030584,0.028935826590707838
0.0605,-0.0804,0.1488,20,256.1772545736,0.0413,-48.12765813633,0.0299,5938782676167029504,0.8397,0.0479,-2.946,0.059,-7.344,0.05,1.095,16.08746,0.002838,16.768366,0.004272,15.224315,0.007225,1.544051,,,1.319,1597.47,335.562,162.918,0.94,1.0985301730142696,0.017169901737511224,0.7948992217385883,0.05334504641593022
0.0452,-0.0707,0.0764,20,256.14826605266,0.0186,-48.16413076415,0.0136,5938781095619055488,0.8534,0.0209,-2.85,0.026,-7.125,0.022,1.007,14.438805,0.002768,14.955319,0.003049,13.734406,0.002967,1.220914,,,1.256,4101.867,883.16,1077.164,0.8,1.5240498970184808,0.010649826471919296,1.0211402284336466,0.043053820460215254
-0.0221,-0.0228,0.1384,19,255.84408557515,0.0417,-47.99649924601,0.0306,5938798412900888064,0.8018,0.0496,-2.8,0.061,-6.973,0.05,1.047,16.2939,0.002879,16.90012,0.004797,15.459113,0.004641,1.441007,,,1.323,1299.988,278.287,292.809,0.87,1.0995312399551573,0.0012677118015362553,0.0,0.09132668188891956
0.0048,-0.1093,0.1192,20,256.18054301876,0.0206,-48.14494368919,0.0146,5938782573087805440,0.853,0.0235,-2.803,0.028,-7.168,0.024,0.971,14.624009,0.002788,15.164132,0.003602,13.797967,0.009999,1.366165,,,1.342,2540.193,476.455,113.071,0.85,1.3442674975189908,0.02141770217845978,1.2763860763562205,0.028521900076213937
-0.0523,-0.1007,0.0681,20,255.78668566787,0.018,-48.09620905581,0.0131,5938791914594787584,0.7698,0.0214,-2.78,0.026,-7.252,0.021,1.325,13.869412,0.002768,14.377546,0.002973,13.189814,0.002874,1.187733,,,1.241,4168.922,1056.918,1573.99,0.99,1.5520938928246755,0.02548176504044456,1.46694728248878,0.031355029811659746
-0.0083,-0.1842,0.2417,20,256.06232791437,0.0526,-48.22019908375,0.0372,5938777758383784704,0.8134,0.0668,-3.015,0.072,-7.449,0.062,0.972,16.520416,0.002835,17.313351,0.00588,15.657248,0.003383,1.656102,,,1.282,1622.909,209.768,567.715,0.76,0.9880642234787166,0.021153025186352988,0.7904851767417053,0.04561187860106834
0.0094,0.0902,0.106,18,255.82709663144,0.0496,-47.99924535345,0.0356,5938798511664730112,0.779,0.0592,-2.697,0.077,-7.29,0.058,0.998,16.677074,0.002819,17.332676,0.006304,15.880994,0.003575,1.451682,,,1.273,1820.11,192.068,485.75,0.94,1.0193206176479972,0.001480143836202649,0.0,0.05591807468503053
-0.0974,-0.0838,0.0659,20,255.78162322922,0.0837,-48.07951705606,0.0614,5938792090708771840,0.7988,0.1014,-2.835,0.124,-7.158,0.099,1.015,17.686377,0.002928,18.53969,0.014714,16.781511,0.006764,1.758179,,,1.299,1096.76,75.151,176.194,0.95,0.8468649772010979,0.0014392774503544314,0.0,0.08901036769851603
-0.0243,-0.0278,0.0266,19,256.14170481502,0.0544,-48.19413275947,0.039,5938780958179930112,0.792,0.0602,-3.04,0.079,-7.076,0.066,1.01,16.787573,0.002834,17.51195,0.007446,15.928565,0.005783,1.583385,,,1.301,1636.459,157.285,214.365,0.93,0.9973794261817107,0.0015389598988066722,0.0,0.15480725969602982
0.1091,-0.1755,0.099,18,256.19960723937,0.0289,-48.02982002197,0.0206,5938806865425569664,0.8778,0.0321,-2.807,0.042,-7.156,0.036,0.972,15.418371,0.002781,16.077507,0.003727,14.59901,0.00305,1.478497,,,1.29,2903.679,439.325,880.915,0.7,1.1594455905048584,0.025128152196375052,1.0720380022112606,0.0355030148957312
-0.0623,-0.0553,0.0266,20,255.80419789329,0.0619,-48.15279117726,0.0465,5938791158697286272,0.8607,0.0703,-2.94,0.089,-7.335,0.073,0.985,17.145088,0.002863,17.938995,0.007986,16.260839,0.003689,1.678156,,,1.299,1393.696,145.093,449.965,0.93,0.9324214683079394,0.0016944392935785261,0.12618631277358877,0.1747199445795365
-0.0087,-0.0597,0.0907,20,255.78470074558,0.0706,-48.0465144211,0.0505,5938797996268564352,0.7897,0.0852,-2.875,0.103,-7.319,0.08,1.095,17.192432,0.002929,17.948547,0.011876,16.266087,0.00576,1.682461,,,1.349,1093.219,94.056,215.456,0.96,0.9290621324453728,0.0020948172854122118,0.1276183603386999,0.1776928029858917
0.0944,-0.1653,0.0993,20,256.20574508919,0.0355,-48.03365757507,0.025,5938806865425567232,0.7926,0.0382,-2.839,0.051,-7.018,0.041,1.028,15.825291,0.002783,16.477755,0.003763,15.030334,0.003069,1.44742,,,1.273,2771.855,429.995,849.498,0.95,1.1797126079623164,0.007788367013396086,0.6872369362165414,0.06265731753062911
-0.0131,-0.0469,0.0671,20,255.97654092036,0.013,-48.23521867974,0.0094,5938778106320838400,0.8489,0.0147,-2.926,0.018,-7.111,0.015,0.907,13.192106,0.002761,13.542652,0.002844,12.660604,0.002822,0.882049,,,1.212,6179.198,1971.603,2569.019,0.58,2.0193509769330116,0.0009461174718192752,0.0,0.07962353175262782
0.2274,-0.1419,-0.0365,19,256.13189776297,0.1648,-48.20852349598,0.1091,5938780580194562432,0.7776,0.1682,-2.933,0.222,-7.112,0.179,1.06,18.425283,0.003261,19.277502,0.031173,17.34119,0.014601,1.936312,,,1.473,622.678,34.97,75.755,0.83,0.756666372708125,0.002269176447909696,0.0,0.10395783772916199
0.1525,-0.1272,0.0589,20,256.13331878302,0.0202,-48.20784313557,0.0143,5938780580222804096,0.837,0.0218,-2.928,0.028,-7.108,0.023,0.925,14.481549,0.002766,15.033282,0.003118,13.769878,0.002876,1.263404,,,1.247,4447.779,779.995,1553.104,0.95,1.4498098570685836,0.027424877083884785,1.1738267291897106,0.05401751806034693
-0.0993,0.0116,0.112,18,255.76928668188,0.1157,-48.0611596501,0.0835,5938792086395210496,0.9054,0.1428,-2.847,0.184,-7.26,0.139,1.045,18.151707,0.003067,19.154795,0.015845,17.191183,0.007517,1.963612,,,1.307,805.932,69.61,155.547,0.89,0.776421248847258,0.004098182288664447,0.1962907022140992,0.1981940075396587
0.0436,-0.1255,0.1479,19,256.20643876923,0.0391,-48.01743603074,0.028,5938806899785310976,0.8912,0.0444,-2.762,0.056,-7.124,0.049,1.01,16.095793,0.002809,16.77598,0.004808,15.288091,0.003666,1.487889,,,1.273,1991.998,277.261,456.698,0.76,1.124394073122494,0.005090573620387329,0.622008226726543,0.05352096895435971
-0.0626,-0.0228,0.0362,19,255.77256836487,0.1281,-48.13236326608,0.0909,5938791467919720704,0.7371,0.148,-2.66,0.185,-7.102,0.149,1.053,18.29335,0.003149,19.248671,0.022979,17.240282,0.010541,2.008389,,,1.411,712.117,47.602,106.809,0.8,0.7637831904234088,0.004450588781910467,0.2195228648250957,0.2054971125681779
-0.0468,-0.0107,0.081,20,255.84360161396,0.0324,-48.20715976399,0.0233,5938788753500105472,0.847,0.0356,-3.043,0.044,-7.297,0.036,1.029,15.709051,0.002789,16.326483,0.003704,14.937666,0.003201,1.388817,,,1.267,2499.822,445.802,692.158,0.88,1.220094614056987,0.0022571360618881607,0.24484682383697398,0.2544133881714913
