pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass,q,e_q,r,mass_system,e_mass_system,r/rh
-0.0022,-0.0936,-0.2793,21,298.3201523219,0.0098,18.35199072848,0.0095,1821386370600318336,0.4994,0.0151,-1.775,0.014,-4.472,0.012,0.965,13.375107,0.002769,13.534294,0.00288,13.098647,0.002834,0.435647,,,1.169,3884.282,1523.364,2192.582,1.0,2.4716938735754392,0.0376070426159349,1.6685544756962647,0.0630162829643294,0.6750651824380703,0.027486384547277,0.04309929108738383,4.140248349271704,0.07338488654319208,0.012247883379465443
-0.065,-0.1154,-0.2865,21,298.31871700204,0.0147,18.35356776385,0.0141,1821386366265590400,0.4166,0.0226,-1.795,0.021,-4.531,0.019,1.285,12.268565,0.002762,12.369323,0.002849,12.075858,0.002825,0.293465,,,1.164,5595.017,1884.114,2442.281,0.95,3.3067399267436586,0.2056989779169906,2.5290942679956943,0.4776342403683271,0.7648301118395611,0.1520764511235983,0.12130140975792465,5.835834194739353,0.5200447452751767,0.034471228713891945
-0.0395,-0.1489,-0.2416,21,298.32955489018,0.0166,18.35791239219,0.0167,1821386370600320512,0.4339,0.0256,-1.766,0.024,-4.536,0.022,1.067,15.016642,0.002768,15.412583,0.003039,14.444237,0.002946,0.968347,,,1.217,4170.853,901.187,1146.943,0.99,1.4423069291654322,0.0282054758931443,1.3429427565984349,0.0391395191848102,0.9311074705683534,0.0326795755253531,0.396139234554961,2.7852496857638673,0.0482436610590124,0.11257417522303806
0.0632,-0.1502,-0.242,21,298.3323191302,0.0579,18.35405786158,0.0583,1821386164441889024,0.46,0.0876,-1.862,0.083,-4.442,0.078,1.026,17.580919,0.002938,18.161524,0.007514,16.894176,0.006629,1.267347,,,1.217,1064.071,155.621,180.561,0.98,0.9779750614894386,0.003626926168672,0.1127073220135161,0.2062200678501495,0.1152455992506239,0.2108647751658154,0.4226555432490228,1.0906823835029547,0.20625195993627132,0.12010953481585146
0.1713,-0.1967,-0.152,22,298.32869334934,0.0221,18.36488263495,0.0233,1821386400636480128,0.45,0.0329,-1.792,0.032,-4.517,0.031,1.038,15.607478,0.00278,15.95721,0.004129,15.057791,0.003329,0.899419,,,1.224,2918.259,356.802,598.147,0.99,1.3985841013925395,0.0165570253885343,0.9333904179082522,0.0770899909386619,0.6673824026591578,0.0556833824074656,0.5889741376713789,2.3319745193007915,0.07884796631898341,0.1673736706502787
0.0469,-0.1581,-0.2107,20,298.33431700113,0.0756,18.34283609607,0.0761,1821386160107603456,0.4106,0.1144,-1.84,0.102,-4.612,0.101,0.971,17.947859,0.003008,18.684177,0.015439,17.172234,0.00898,1.511944,,,1.228,898.88,71.503,127.195,0.93,0.8557983403873669,0.0216049198682671,0.7151437304004525,0.0477931785329426,0.8356451475200937,0.0596980534652139,0.5923542964075387,1.5709420707878194,0.05244959939595314,0.1683342384220462
0.0523,-0.1934,-0.222,22,298.33026466608,0.0094,18.36426655045,0.0093,1821386400625328384,0.4429,0.014,-1.847,0.013,-4.451,0.012,0.838,12.743052,0.002763,12.846615,0.002838,12.547359,0.002813,0.299255,,,1.163,5233.709,2087.536,3035.03,0.99,3.089845603761337,0.1002228344756857,1.7734876313422137,0.2369063120331438,0.5739728966338344,0.0789005047230278,0.598406832258341,4.863333235103551,0.2572337793360079,0.1700542377858492
-0.0898,-0.1262,-0.2724,21,298.33997565583,0.0104,18.35280004928,0.0104,1821386194466898688,0.4289,0.0162,-1.719,0.015,-4.521,0.014,0.889,12.595892,0.002789,12.672024,0.003087,12.446583,0.00311,0.225441,,,1.159,2511.455,822.473,790.445,0.98,3.4124560670687947,0.0016006627688918,0.0,0.0,0.0,0.0,0.6962456829871255,3.4124560670687947,0.0016006627688918,0.1978579163029155
0.0564,-0.1846,-0.2941,21,298.30197906998,0.0344,18.35170224319,0.0336,1821380563803863424,0.4412,0.053,-1.732,0.049,-4.501,0.045,1.005,16.583509,0.002813,17.054119,0.004555,15.961794,0.003936,1.092325,,,1.216,1921.093,301.596,391.079,0.99,1.1581236416568328,0.0136412261184396,0.7265873635499882,0.0909501136612255,0.6273832408001956,0.0788792179007435,0.7116935358105558,1.884711005206821,0.0919674193668836,0.2022478608952966
0.055,-0.1574,-0.2386,21,298.34224665118,0.0644,18.34804740782,0.0654,1821386164441886208,0.4455,0.0977,-1.729,0.092,-4.662,0.088,1.023,17.772995,0.002995,18.422585,0.012254,17.020893,0.007168,1.401691,,,1.24,925.09,90.992,164.441,0.92,0.9137803320668622,0.0173353456970569,0.6615130002699678,0.0550336516639721,0.7239300048992128,0.0617723820700209,0.7905003094069981,1.5752933323368299,0.05769936763871757,0.2246430360401542
