pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
0.285,0.2682,-0.0802,22,167.68003281488,0.0455,-60.38269684662,0.0465,5337669189507281152,0.3683,0.0594,-6.066,0.064,1.787,0.064,1.217,16.048695,0.003695,16.70376,0.016304,15.14085,0.007095,1.56291,,,1.368,441.02,67.591,166.43,0.93,1.440883400430436,0.026518287508850574,1.211941661764976,0.19858154632891814
0.3128,0.0748,0.0444,23,167.68483312547,0.1187,-60.38174407661,0.1322,5337669120786380416,0.3994,0.1509,-6.08,0.165,1.882,0.163,1.169,18.208122,0.003333,19.136681,0.047313,17.012918,0.044744,2.123762,,,1.574,578.914,22.988,24.313,0.89,0.9833566599856763,0.040552075691691745,0.8415938951343642,0.07312981948712063
0.346,0.2177,-0.0047,22,167.67796236422,0.0517,-60.38133786205,0.0586,5337669189544294784,0.4523,0.0674,-6.335,0.074,1.798,0.076,1.031,16.810301,0.003478,17.547495,0.037971,15.794566,0.01392,1.752929,,,1.441,511.602,28.671,79.613,0.96,1.3074829179656537,0.03445179099859828,1.136202840284839,0.10600977128333619
0.0995,0.047,0.1404,24,167.67043145697,0.0137,-60.38644986274,0.0171,5337669150842544384,0.4236,0.0174,-6.253,0.019,1.669,0.022,0.971,14.143272,0.002784,14.384152,0.003266,13.714935,0.00301,0.669217,,,1.205,2729.149,639.548,960.723,0.97,2.4276688425020483,0.1131144331623478,1.6625502713054652,0.13177350317639244
0.31,0.1666,-0.042,23,167.6710271683,0.0316,-60.39239422372,0.0394,5337669155176820992,0.4237,0.0423,-6.358,0.045,1.659,0.05,1.008,16.22621,0.003317,16.990318,0.010185,15.344416,0.006255,1.645903,,,1.307,587.854,110.844,193.942,0.94,1.4035913279436505,0.027561862017535906,1.222499023559343,0.11420914368341459
0.3099,0.1288,0.1483,25,167.69784731676,0.0208,-60.37926518675,0.0245,5337669223896336768,0.3693,0.0275,-6.332,0.028,1.858,0.03,1.508,14.399773,0.002769,14.687868,0.002983,13.937534,0.002972,0.750334,,,1.201,4002.804,1029.804,1062.173,0.96,2.053030795525682,0.1220879589930517,1.6782302388956691,0.11357542870725296
0.277,0.1349,0.0718,26,167.66544999088,0.0106,-60.38621768448,0.0125,5337669150834028544,0.3985,0.0139,-6.188,0.014,1.899,0.015,0.919,12.812197,0.002959,12.965206,0.004423,12.529428,0.004085,0.435779,,,1.176,1005.243,316.426,363.948,0.99,4.721144261370115,0.07035270824728156,0.8673090588545199,0.602399374661162
0.2701,0.1624,0.0812,26,167.69925603332,0.0127,-60.39961039265,0.0141,5337669086457347328,0.4214,0.0163,-6.321,0.017,1.818,0.017,0.955,14.202477,0.002773,14.429916,0.002889,13.820205,0.002983,0.609712,,,1.187,3496.899,1449.343,1028.94,0.99,2.4319795718517585,0.28334422053154834,1.5497536889218952,0.32825114831279567
0.2775,0.109,0.1122,25,167.6588248305,0.0483,-60.38641254639,0.0547,5337669150834992000,0.3279,0.0636,-6.178,0.064,1.809,0.067,0.999,17.08902,0.003289,17.928349,0.011158,16.16806,0.010266,1.760288,,,1.318,604.702,100.495,109.897,0.97,1.2429383465847743,0.036185765658400225,1.0598893227441248,0.10982784365225554
0.3406,0.1065,0.0874,26,167.65919200993,0.012,-60.38436727515,0.0141,5337669155176827904,0.4457,0.0156,-6.243,0.016,1.748,0.017,0.866,13.946445,0.002788,14.147474,0.003057,13.600906,0.00297,0.546568,,,1.181,2532.877,870.013,1066.327,0.99,2.9884157215248406,0.026056880829379528,1.0030037443859974,0.2924509492189789
0.2309,0.0659,0.138,24,167.66324580959,0.0106,-60.39799994436,0.0125,5337668772877422464,0.4369,0.0133,-6.157,0.014,1.768,0.016,0.919,13.360199,0.003304,13.661762,0.007984,12.870851,0.005264,0.790912,,,1.21,595.404,145.149,243.215,0.99,3.564003310659353,0.08055936474226551,1.620529833936765,0.1294422111695654
0.2367,0.127,0.0655,26,167.70293433717,0.0138,-60.37436269655,0.0166,5337669223896347904,0.4339,0.0186,-6.213,0.019,1.932,0.021,1.455,13.066162,0.002778,13.392266,0.002891,12.552791,0.002829,0.839476,,,1.212,3085.698,1434.111,2339.202,0.97,4.044371920717851,0.17770468012908228,1.6686031203472498,0.32775809331448097
0.2356,0.1322,0.2122,25,167.71947396022,0.0546,-60.39107438229,0.0639,5337668914627960448,0.3114,0.074,-6.387,0.071,1.682,0.078,1.034,17.307446,0.002944,17.814026,0.012544,16.402796,0.018458,1.41123,,,1.423,1048.079,88.779,59.505,0.89,1.3104160248166605,0.004125714442884675,0.0,0.07284518452683593
0.2559,0.1255,0.3255,22,167.66479758835,0.1529,-60.37443706425,0.1891,5337669185202281216,0.3939,0.2275,-6.05,0.209,1.832,0.226,1.132,18.760536,0.005609,19.459764,0.066394,17.610849,0.025661,1.848915,,,1.595,222.22,16.367,42.562,0.78,0.9896798541465036,0.008549652751310664,0.0,0.053875138011557196
0.2237,0.1577,0.0506,26,167.71991124181,0.0116,-60.38013433188,0.0135,5337669017737916288,0.4455,0.0152,-6.256,0.016,1.862,0.017,1.011,13.872702,0.002768,14.139941,0.002894,13.405354,0.005154,0.734588,,,1.214,4111.612,1414.452,250.566,0.98,2.7585203140327588,0.05939210413838175,1.6061630681034933,0.06220351906355838
0.2016,0.1179,0.1487,25,167.68876358758,0.03,-60.40587449732,0.032,5337668704159423104,0.443,0.0373,-6.199,0.039,1.788,0.039,1.03,16.141554,0.003361,16.826809,0.011031,15.314056,0.006108,1.512753,,,1.288,564.261,101.732,199.826,0.99,1.4278871424177024,0.027047485664526798,1.1605445193595654,0.23466864093219872
0.2836,0.0431,0.1306,24,167.70326643384,0.0843,-60.37076375678,0.0945,5337669223865698944,0.4264,0.1105,-6.311,0.117,1.729,0.116,1.08,17.851521,0.00331,18.762169,0.023669,16.649561,0.027254,2.112608,,,1.587,592.019,46.194,40.048,0.95,1.0656785500691246,0.03133867847164767,0.9500026411652687,0.06066172507856191
0.292,0.1538,0.0333,24,167.6501026732,0.0501,-60.37993503657,0.0569,5337669155176830720,0.3728,0.0609,-6.17,0.067,1.84,0.071,0.956,16.982437,0.003069,17.866734,0.009336,16.067596,0.004939,1.799137,,,1.299,802.877,121.872,266.417,0.98,1.2551703346012155,0.032271888775651056,1.1019310215246478,0.08594577560437834
0.357,0.0512,0.0464,25,167.65034856231,0.0282,-60.37661733243,0.0331,5337669155177162368,0.3883,0.0352,-6.186,0.038,1.907,0.039,0.972,15.962936,0.003644,16.759586,0.010976,15.073928,0.007082,1.685658,,,1.303,455.175,102.283,166.799,0.98,1.4376267504456703,0.024810688751363615,1.2767626146255397,0.11507617781933199
