pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass,q,e_q,r,mass_system,e_mass_system,r/rh
-0.3151,-0.119,0.2322,20,251.64907763953,0.0127,-47.082325887,0.0109,5939657608203061120,0.4184,0.0156,-0.731,0.018,-2.106,0.017,0.867,12.972269,0.002776,13.245768,0.003023,12.523473,0.0029,0.722295,,,1.2,3193.147,932.767,1372.459,0.97,5.830529726735668,0.0051463450002322,0.0,0.0,0.0,0.0,0.22931561787878268,5.830529726735668,0.0051463450002322,0.16535615693033104
-0.298,-0.1408,0.2298,20,251.65005486524,0.0127,-47.08647983458,0.0108,5939657509457702144,0.395,0.0156,-0.668,0.018,-2.026,0.017,0.955,9.082027,0.002779,9.303951,0.002996,8.68049,0.002881,0.623462,,,1.2,3007.17,995.881,1508.864,0.97,16.52182722735447,0.3500198442178264,14.81735149155014,0.6914569939122958,0.8968349134542271,0.0459620009930768,0.30819309502891307,31.339178718904613,0.775001074693771,0.22223355852449583
-0.2467,-0.236,0.0791,20,251.64554170658,0.0143,-47.08311362916,0.0123,5939657505123846400,0.4215,0.0179,-0.798,0.022,-1.878,0.02,0.984,13.591922,0.002795,13.882997,0.004017,13.101563,0.003933,0.781433,,,1.216,2307.354,375.71,391.693,0.96,4.559603083066656,0.018552552278867,0.0,0.0,0.0,0.0,0.3361207246588793,4.559603083066656,0.018552552278867,0.24237176607661276
0.3475,-0.0865,0.2557,17,251.66035915197,0.0365,-47.08869904858,0.0238,5939656749229954432,0.3278,0.0394,-0.683,0.058,-2.135,0.041,1.558,14.023642,0.003057,13.799644,0.104364,13.164294,0.074053,0.635349,,,1.82,819.699,10.407,14.672,0.68,4.5066946487012265,0.1298409349179814,0.0,0.0,0.0,0.0,0.3510023227932742,4.5066946487012265,0.1298409349179814,0.2531026700562357
-0.3469,-0.1449,0.238,20,251.65726938889,0.012,-47.0704324331,0.0104,5939657642562796544,0.3949,0.0145,-0.785,0.017,-1.976,0.017,0.915,13.218128,0.002773,13.489161,0.00301,12.770055,0.002972,0.719106,,,1.201,3498.171,961.682,1060.387,0.97,5.316966026400901,0.0328193450167465,0.0,0.1689512611835065,0.0,0.0317758775107071,0.43542931066913143,5.316966026400901,0.1721093781954536,0.3139817431237099
-0.2536,-0.1785,0.2591,20,251.63897521236,0.0324,-47.08083145443,0.0277,5939657509457721728,0.4088,0.0421,-0.798,0.046,-2.096,0.044,1.795,8.370846,0.002815,8.609493,0.00322,7.941939,0.003161,0.667554,,,1.207,1884.033,675.366,730.59,0.94,19.10418015410757,0.3510524381222025,13.12495576016148,5.409370223653252,0.6870201000140536,0.2834324263786137,0.5096001101416767,32.22913591426905,5.420749397533332,0.36746522789757924
-0.2001,-0.1698,0.1417,20,251.6741806287,0.0189,-47.08538597942,0.0162,5939656852309212288,0.3701,0.0233,-0.84,0.027,-1.969,0.025,1.033,14.528341,0.002768,14.943031,0.003971,13.926715,0.002982,1.016316,,,1.228,4040.743,384.331,1032.914,0.89,2.683978099732438,0.101863239654164,1.7716110038163508,0.1113698067571539,0.6600690981766805,0.0484699722958139,0.538031303828311,4.455589103548789,0.1509283056618852,0.3879665481672211
-0.2063,-0.1694,0.2055,18,251.63950249552,0.0766,-47.0859579844,0.0678,5939657505125810560,0.4644,0.1023,-0.946,0.114,-1.993,0.104,1.14,17.271147,0.003019,17.94556,0.025095,16.320646,0.009645,1.624914,,,1.4,879.073,43.535,117.595,0.75,1.487317758021072,0.0040436525197435,0.0,0.103126492050835,0.0,0.069337229045156,0.5409679285758111,1.487317758021072,0.10320573864088839,0.3900841055629402
-0.1493,-0.3299,0.1573,19,251.65522171177,0.0151,-47.09359186634,0.0121,5939656753526102784,0.4175,0.0192,-0.708,0.022,-1.896,0.019,0.938,12.903972,0.00281,12.91783,0.032494,12.171082,0.014541,0.746749,,,1.543,1972.186,33.537,76.078,0.95,6.335072060387002,0.2579340344759686,0.5589818354380427,1.2172626197927283,0.0882360658426188,0.1921801918271469,0.543133750084037,6.894053895825045,1.244290260222954,0.39164584795323215
-0.2928,-0.0317,0.1861,17,251.64879437882,0.0846,-47.09590373961,0.0688,5939657509440357120,0.3603,0.1132,-0.725,0.136,-1.808,0.129,1.045,17.522133,0.003053,18.358295,0.033742,16.563393,0.011331,1.794903,,,1.354,825.3,32.288,98.861,0.66,1.4299339869773846,0.008129225094672,0.0,0.2414902478628814,0.0,0.1688820953010194,0.6782384107519109,1.4299339869773846,0.24162703514614364,0.4890678538247438
