pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass,q,e_q
0.0255,0.1525,-0.0488,23,149.42669474006,0.0454,-54.60561807566,0.0455,5308212929418647936,0.318,0.0521,-5.035,0.06,4.367,0.053,1.03,16.827475,0.002884,17.408789,0.008364,16.09988,0.005115,1.308908,,,1.247,1275.54,137.695,253.268,0.99,1.3856309491926178,0.0320015719909174,1.2470792775293813,0.0470501520468022,0.9000082440826195,0.039812687029730225
0.0114,0.2888,-0.0653,24,149.42129893824,0.0357,-54.61200351098,0.0351,5308212929418959488,0.2037,0.0425,-4.983,0.049,4.461,0.042,1.007,16.432083,0.002799,16.974716,0.004842,15.731732,0.003548,1.242984,,,1.242,2214.056,274.346,495.548,1.0,1.4842619411343532,0.0309220588942423,1.371504439063873,0.041520158016699,0.9240312650041376,0.03395745319904641
0.1022,0.2119,-0.0511,25,149.4305498092,0.0266,-54.60706379845,0.0248,5308212173504792448,0.256,0.0305,-5.076,0.036,4.482,0.031,1.012,15.808597,0.002784,16.269249,0.005049,15.15252,0.003737,1.116729,,,1.245,2721.564,258.053,436.706,1.0,1.7381583112021664,0.0482372554641871,1.4623202262957975,0.0965097184313961,0.8413043949284514,0.06023329065310178
-0.0419,0.3355,-0.0385,25,149.42925955978,0.0251,-54.61226404617,0.0246,5308212173504401792,0.1864,0.0296,-5.047,0.035,4.44,0.031,1.053,15.568688,0.002772,16.043673,0.003334,14.907622,0.003058,1.13605,,,1.242,3547.88,594.895,867.216,1.0,1.871398402896193,0.025889273342489,1.3847395623602434,0.0879060797225982,0.739949099142763,0.04807592825530286
0.0999,0.1915,-0.055,26,149.4091905647,0.0221,-54.6124184802,0.0223,5308212895058901888,0.2717,0.0258,-5.053,0.03,4.55,0.028,1.112,15.439647,0.002768,15.817657,0.004356,14.829165,0.003302,0.988491,,,1.251,4037.889,324.612,614.752,1.0,1.8011101989102754,0.0306154506321994,1.692084487647505,0.1267605669500127,0.9394674954765487,0.07216810881945629
0.0073,0.2721,-0.0691,24,149.4336738618,0.0564,-54.61586295502,0.0546,5308212173471278336,0.2467,0.067,-4.993,0.078,4.552,0.069,1.078,17.194115,0.002848,17.840509,0.008345,16.438812,0.005147,1.401697,,,1.244,1508.59,138.05,251.012,1.0,1.2815726261106155,0.0309744661472563,1.170324961698174,0.0465550038161486,0.91319441275048,0.042505826321835874
-0.0052,0.1951,-0.0186,26,149.40944498695,0.0847,-54.61445630697,0.089,5308212890728622336,0.2726,0.1037,-5.017,0.117,4.631,0.11,0.977,18.121267,0.002986,18.744526,0.012931,17.394697,0.007489,1.349829,,,1.23,944.184,85.991,156.232,0.99,1.1895808271560084,0.0029257291982301,0.0,0.1252998117673213,0.0,0.10533106192277994
0.0578,0.1858,-0.0156,24,149.42680977082,0.0711,-54.61866362304,0.0741,5308212173504397568,0.2758,0.086,-5.064,0.095,4.457,0.09,1.052,17.743504,0.002918,18.392914,0.014019,16.989376,0.00671,1.403538,,,1.242,1129.749,79.028,177.934,1.0,1.218469502413439,0.0352343599840705,0.9080968169579324,0.0975816327917546,0.7452766073826654,0.0829344483739831
0.0544,0.2021,-0.0028,25,149.41157132076,0.0487,-54.61660098447,0.0503,5308212895058900992,0.244,0.0588,-5.016,0.067,4.411,0.062,1.019,17.172665,0.002843,17.731354,0.005752,16.492968,0.004541,1.238386,,,1.221,1552.329,215.852,303.071,1.0,1.430620825211605,0.0038045391206237,0.1026629679763905,0.2387883696916959,0.07176113066941095,0.1669125190691485
-0.052,0.266,-0.0145,25,149.4431597066,0.1439,-54.60491247133,0.1413,5308212276550520704,0.2873,0.1721,-4.825,0.193,4.641,0.182,1.033,18.82864,0.003424,19.596729,0.031962,18.086674,0.018002,1.510056,,,1.191,533.997,34.1,61.051,0.95,1.0360834055833228,0.0039006730588901,0.0,0.1753152023306567,0.0,0.16920954566582688
