pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
-0.0698,-0.0636,0.052,26,333.97054480556,0.07,53.99354229994,0.0725,2004641664347060224,0.1869,0.0842,-3.306,0.086,-3.221,0.087,1.008,17.911802,0.002944,18.510157,0.014669,17.18786,0.006818,1.322296,,,1.238,1045.918,75.39,174.54,0.93,1.0772844509318609,0.009030582372160633,0.12000016310311859,0.22247392021754978
-0.0022,-0.1935,-0.0199,26,333.95595171198,0.0239,53.98964763858,0.0254,2004642381589543168,0.2714,0.0296,-3.36,0.031,-3.318,0.032,1.027,15.791626,0.002789,16.088377,0.003456,15.302479,0.003481,0.785898,,,1.212,2521.025,532.288,521.59,0.99,1.7588103988858104,0.004868451061788408,0.13186218247023093,0.2738930732820592
-0.0684,-0.2042,0.0028,26,333.97634727145,0.0116,53.99003194522,0.0118,2004641664347062400,0.2822,0.0141,-3.334,0.015,-3.325,0.014,1.014,14.060016,0.002767,14.281181,0.002857,13.685576,0.002907,0.595605,,,1.186,4227.141,1763.042,1328.726,1.0,3.030286297815773,0.1266837308134683,1.729033271787562,0.22150303844189922
-0.0726,-0.1391,0.0414,26,333.97836172428,0.0222,53.99511842159,0.0233,2004641664347061248,0.297,0.0272,-3.32,0.028,-3.355,0.028,1.032,15.745251,0.002782,16.037876,0.003207,15.285332,0.003104,0.752544,,,1.197,2817.23,686.684,797.883,1.0,1.7820151615752888,0.0026669908044950554,0.0,0.09269518236250911
-0.04,-0.1352,0.0483,25,333.97963828998,0.0348,53.99169051703,0.0353,2004641664347062528,0.3107,0.0424,-3.315,0.044,-3.24,0.043,0.968,16.609461,0.002807,17.038713,0.004378,16.011517,0.003346,1.027197,,,1.219,2034.832,321.864,588.039,0.99,1.4225940057212605,0.0024638109653075907,0.0,0.07340964548484354
-0.0301,-0.084,0.0584,26,333.96973845262,0.0413,53.98309435051,0.043,2004641629987324672,0.2132,0.0493,-3.356,0.05,-3.356,0.051,0.981,16.92803,0.002818,17.39765,0.006664,16.281116,0.004758,1.116533,,,1.234,1831.009,179.399,281.689,0.96,1.33020402962062,0.0021247522428882305,0.0,0.11565779421436376
-0.0866,-0.1617,0.0125,26,333.97318154147,0.0193,53.98144801377,0.0186,2004641629987325824,0.3085,0.0227,-3.364,0.023,-3.306,0.022,0.857,15.215849,0.002779,15.436623,0.003065,14.847682,0.002941,0.588941,,,1.183,3012.848,856.243,1167.049,1.0,2.1450306494116447,0.003494133133268162,0.0,0.0
-0.0787,-0.1751,0.0271,26,333.98939965702,0.0088,53.99080396138,0.0092,2004641664347063680,0.2991,0.0108,-3.297,0.011,-3.37,0.011,0.899,12.472878,0.002762,12.625713,0.002855,12.190805,0.002826,0.434908,,,1.176,5543.999,1801.508,2405.543,1.0,5.5683607459608035,0.16449437978664236,2.2092354264147325,1.0454204037613135
-0.0341,-0.1393,0.0668,25,333.99081736328,0.0129,53.98581348304,0.0133,2004641595627589248,0.2723,0.0157,-3.299,0.016,-3.333,0.016,0.951,14.256161,0.002769,14.500896,0.002872,13.85,0.002875,0.650896,,,1.191,3925.916,1594.997,1565.537,0.99,2.7960150907490715,0.08860086624275026,1.6794733328454692,0.14664354707798813
-0.0513,-0.1249,0.0653,26,333.99338807661,0.0146,54.00353697046,0.0153,2005016975766409216,0.2564,0.0179,-3.281,0.018,-3.289,0.019,0.955,14.731062,0.002773,15.017703,0.002977,14.272182,0.002935,0.745521,,,1.199,3433.64,1045.08,1193.128,0.97,2.2353521753223657,0.07705794332513796,1.627583491667866,0.09188827883772117
-0.0715,-0.1087,-0.001,26,333.98460367185,0.0181,54.00990380861,0.0187,2005017731680652416,0.2749,0.0217,-3.34,0.023,-3.308,0.023,0.948,15.225635,0.002771,15.492151,0.003004,14.789606,0.003037,0.702545,,,1.196,3634.83,975.944,905.877,0.99,2.0538714905718156,0.031396240405810634,1.0899986777087016,0.16759208364459188
