pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
-0.2611,0.1524,-0.046,21,38.26595500569,0.0887,61.48589708545,0.1152,465534567525807744,0.4643,0.1557,-0.627,0.16,-0.934,0.167,0.953,18.494778,0.003163,20.038761,0.050132,17.248428,0.009774,2.790333,,,1.502,698.773,21.691,115.911,0.67,0.90537071601921,0.030987798652766498,0.795038603771759,0.05475783901230188
-0.1343,0.0598,-0.0306,22,38.26321802106,0.0074,61.47965959664,0.0092,465534567534897152,0.4788,0.0125,-0.745,0.012,-0.808,0.013,0.989,13.21297,0.002761,13.546616,0.00287,12.691822,0.002814,0.854794,,,1.214,6210.304,1612.73,2994.089,0.92,4.709517872473393,0.0038585600950236452,0.0,0.03249909418417116
-0.2598,0.0769,-0.0694,21,38.26235619457,0.0119,61.47846264502,0.015,465534567534898560,0.4834,0.0197,-0.623,0.021,-0.696,0.022,1.039,14.514944,0.002765,14.905405,0.003324,13.912238,0.002921,0.993167,,,1.239,4731.23,601.255,1254.997,0.94,2.79651611511154,0.006244447411074428,0.19398293343126824,0.31575009299731366
-0.2584,0.1178,-0.0176,21,38.25839724754,0.1083,61.49599350745,0.1445,465534769391213568,0.4365,0.1863,-0.985,0.197,-0.672,0.207,1.046,18.798771,0.003214,19.864363,0.045833,17.805439,0.014079,2.058924,,,1.323,655.899,23.733,78.679,0.73,0.9598282891474905,0.005341136679689957,0.0,0.09167703304649863
-0.1794,0.1167,-0.0654,21,38.23990398719,0.0063,61.49515613264,0.0084,465534773693316864,0.4941,0.0115,-0.812,0.01,-0.725,0.011,0.897,12.628222,0.002762,12.951014,0.002855,12.124789,0.00281,0.826224,,,1.208,5873.875,1798.406,3259.2,0.92,5.917329471901086,0.003761545836504649,0.0,0.04397049024512726
-0.1351,0.0042,-0.0225,22,38.26968354004,0.0137,61.47250988095,0.0176,465534498815425664,0.5316,0.0234,-0.748,0.023,-0.75,0.024,1.21,11.452291,0.002776,11.759901,0.002873,10.958689,0.002802,0.801212,,,1.21,3186.597,1583.055,4225.329,0.81,8.921434075276633,0.0056875184415041725,0.0,0.2316753998407095
-0.2145,0.0606,-0.1443,21,38.2863312782,0.1125,61.48046657747,0.1373,465534494515335424,0.5295,0.1853,-0.348,0.197,-0.579,0.2,0.999,18.719538,0.006674,19.810509,0.043254,17.471378,0.015919,2.33913,,,1.594,178.62,25.154,69.274,0.59,0.915643337754219,0.04309005096667088,0.7120419234521329,0.11494719747054488
-0.2324,0.058,-0.1332,21,38.2870474843,0.0145,61.47931840611,0.0183,465534498815419392,0.4841,0.0245,-0.778,0.025,-0.626,0.027,1.174,14.582879,0.002771,15.00813,0.003103,13.954669,0.002961,1.053461,,,1.241,3748.194,798.981,1094.27,0.96,2.4257094877514818,0.2542941259385774,1.4741250826693462,0.36829492890348964
-0.2099,0.0918,-0.016,22,38.22086437013,0.0154,61.48800029496,0.0195,465534739333586944,0.4762,0.027,-0.854,0.026,-0.657,0.027,1.029,15.320706,0.002766,15.819014,0.003286,14.637344,0.002964,1.181669,,,1.248,4436.963,625.659,1084.705,0.95,1.9497884473254,0.04047203891213142,1.082709571786265,0.09446226603124741
-0.1804,0.1307,-0.0493,22,38.22888434511,0.0065,61.49740948057,0.0082,465534769391474048,0.5155,0.0112,-0.809,0.011,-0.831,0.011,0.908,12.346672,0.00277,12.63791,0.002903,11.879677,0.002822,0.758233,,,1.202,3815.007,1353.548,2576.531,0.78,6.574472110639865,0.005722793353607108,0.0,0.06878751925091751
