pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass,q,e_q,r,mass_system,e_mass_system,r/rh
0.2952,0.1118,-0.0252,28,174.79244860826,0.0106,-63.44120959708,0.0118,5333576120039868416,0.4384,0.0134,-5.919,0.014,0.779,0.015,0.99,13.881551,0.002768,14.107349,0.002877,13.502787,0.002892,0.604563,,,1.186,4106.543,1552.011,1428.266,0.99,2.618682599221742,0.0761827229429367,1.6029959336218715,0.0942828545260152,0.6121383072917173,0.040167390925353,0.30084789712965376,4.2216785328436135,0.12121494929493638,0.0811164144850407
0.1301,0.1276,-0.1401,25,174.77341240816,0.0696,-63.42496639418,0.0748,5333576497997217792,0.3564,0.0865,-6.082,0.092,0.578,0.11,1.105,17.689457,0.006224,18.52479,0.031454,16.59156,0.019085,1.933229,,,1.493,194.536,34.655,57.507,0.98,1.0590214076724198,0.0550539197868888,0.81738905023506,0.0908523588430276,0.7718343031719881,0.0947085432598906,0.417764000047446,1.8764104579074798,0.10623128160407104,0.11264003540690526
0.2242,0.1197,-0.0165,28,174.76359057717,0.0164,-63.42973342374,0.0178,5333576326198296064,0.4406,0.021,-6.036,0.022,0.776,0.023,0.829,8.006602,0.002782,8.044785,0.00288,7.861351,0.002879,0.183434,,,1.181,2809.521,1521.717,1526.354,0.99,22.131073377516927,0.0312039658820702,0.1218863009725281,0.994191640731866,0.0055074735370202,0.0449228846078119,0.4198988749344185,22.252959678489454,0.9946812082209502,0.11321565317873478
0.1717,0.1207,0.0307,28,174.7923806462,0.0104,-63.42085538671,0.0117,5333576497997161728,0.4312,0.0133,-5.995,0.014,0.684,0.015,0.875,10.634773,0.014255,10.721422,0.043386,10.438262,0.041975,0.28316,,,1.174,77.631,25.077,25.923,1.0,9.035727502173565,0.9618740020283704,6.609513685127824,0.8361218129736571,0.7314866106285177,0.1209389723419968,0.5360904333103286,15.645241187301387,1.2744807891484393,0.1445439180554585
0.2295,0.2179,-0.0395,27,174.81699278179,0.0664,-63.44316183227,0.0718,5333576051320396544,0.4246,0.0864,-6.104,0.093,0.794,0.092,0.999,17.827019,0.006475,18.504814,0.035499,16.732391,0.016504,1.772423,,,1.542,185.297,30.68,66.748,0.96,1.1737829886339732,0.0086018796885813,0.0,0.1051815152754602,0.0,0.0896089961210534,0.6545994348794624,1.1737829886339732,0.10553266551082037,0.17649702586577287
0.1865,0.1179,-0.0406,27,174.8208484001,0.0432,-63.44026221738,0.0443,5333576047003186944,0.3603,0.053,-6.124,0.054,0.651,0.056,1.095,16.773119,0.003303,17.477648,0.016957,15.817111,0.009171,1.660537,,,1.394,596.104,64.913,124.286,0.99,1.353209718907159,0.0488734148170336,1.067351706780395,0.1368180389645747,0.7887555726708639,0.1050428820723522,0.6640113702261605,2.420561425687554,0.14528519009861163,0.17903472832596373
0.2816,0.1536,0.0222,27,174.73941491443,0.0103,-63.43774010878,0.0119,5333576291838553472,0.4337,0.0136,-5.886,0.014,0.602,0.015,0.857,13.791645,0.00277,13.991896,0.002928,13.447156,0.002858,0.54474,,,1.181,3829.552,1222.498,1757.31,1.0,2.792363723583116,0.0540554616795919,1.46000185086666,0.2419020490024936,0.5228551848514953,0.0872191351086965,0.8167243017228498,4.252365574449776,0.24786809848989974,0.2202101048757042
0.2231,0.0631,0.0172,28,174.83599499655,0.0099,-63.43018986365,0.0105,5333576463637263872,0.4042,0.0122,-6.018,0.013,0.733,0.013,0.857,12.561254,0.002804,12.667927,0.003351,12.344466,0.003187,0.323461,,,1.171,2079.032,585.006,704.567,1.0,4.771515138331353,0.0050864066080355,0.0,0.0,0.0,0.0,0.8990879147545136,4.771515138331353,0.0050864066080355,0.24241747623147825
0.0417,0.177,-0.0259,26,174.83839580783,0.0559,-63.43150879894,0.0527,5333576463637264256,0.3994,0.064,-5.777,0.08,0.736,0.071,1.014,17.278439,0.0029,17.695545,0.017672,16.535517,0.011617,1.160028,,,1.328,1201.368,62.218,96.278,0.96,1.3407007555515502,0.0077366154807993,0.0,0.0,0.0,0.0,0.9332555052087872,1.3407007555515502,0.0077366154807993,0.2516299469041569
0.1845,0.1676,0.0152,27,174.83178405555,0.0329,-63.42114495234,0.0318,5333576463637264512,0.3948,0.0385,-6.013,0.042,0.606,0.041,1.029,16.29714,0.003335,17.068451,0.009122,15.413793,0.008502,1.654658,,,1.306,577.799,125.016,135.195,1.0,1.4565634709347557,0.0391501111166388,1.2551521499683829,0.0990437742351675,0.8617215624409994,0.0718347221133633,0.9590254354658776,2.7117156209031386,0.10650070617226909,0.2585781900659958
0.3169,0.0909,-0.0581,26,174.72837062713,0.1459,-63.42505385226,0.15,5333576356244591104,0.338,0.1879,-5.984,0.191,0.85,0.202,1.094,18.77496,0.004474,20.044075,0.065116,17.692169,0.021836,2.351906,,,1.366,307.995,16.689,50.134,0.91,0.7555329147378942,0.023393450256823,0.51042354147952,0.1138961846361991,0.6755808139167486,0.1521938262518191,1.0604979462485011,1.2659564562174141,0.11627379063917032,0.28593781704698074
0.2147,0.1177,0.0051,28,174.74279376113,0.1381,-63.41377926367,0.1366,5333576699841980032,0.4068,0.1736,-5.781,0.19,0.689,0.171,1.021,18.936319,0.003484,20.012505,0.06025,17.981718,0.016374,2.030787,,,1.283,509.004,18.04,67.295,0.93,0.7790822561542896,0.0079936466256772,0.0,0.0297180515669959,0.0,0.0381449472533109,1.0930803405239644,0.7790822561542896,0.0307743558066587,0.29472287761805227
0.1887,0.1145,-0.0185,26,174.82426458418,0.0911,-63.41217402644,0.0885,5333576566716580096,0.368,0.1112,-5.952,0.12,0.436,0.112,0.919,18.319281,0.003577,19.173349,0.03296,17.290398,0.014799,1.882952,,,1.416,476.06,33.059,74.705,0.94,0.9900968980237416,0.0079149803191179,0.0,0.0325160471971678,0.0,0.0328412777194541,1.0978474695074285,0.9900968980237416,0.033465508195461006,0.2960082195274214
0.2218,0.1955,0.0048,26,174.75840110278,0.0678,-63.45965820727,0.0701,5333576154399599616,0.4766,0.0848,-5.712,0.089,0.685,0.089,1.011,17.757971,0.005245,18.898355,0.042174,16.606667,0.020094,2.291689,,,1.469,243.289,25.801,54.562,0.93,0.9741685127372558,0.042190992101438,0.8293484202143526,0.0549968244875882,0.851339793239691,0.0674290514259362,1.1026934883822648,1.8035169329516085,0.06931616347016174,0.2973148322024774
0.2069,0.223,-0.0232,28,174.74783998208,0.0575,-63.45694103647,0.0578,5333576154399598208,0.3871,0.0718,-6.122,0.077,0.471,0.074,0.997,17.56617,0.004327,18.51387,0.021251,16.617607,0.013378,1.896263,,,1.311,325.489,51.537,82.986,0.97,1.0705668116599736,0.0531124217269102,0.8300440324149063,0.0901332072680641,0.7753313696768507,0.0925628611282253,1.1063849635985232,1.90061084407488,0.1046179926882798,0.29831014989144977
0.1886,0.2626,0.0264,27,174.83646342652,0.0855,-63.41678945698,0.0762,5333576562403053184,0.452,0.0979,-6.235,0.111,0.522,0.097,0.953,18.033888,0.003773,18.99387,0.033742,17.042387,0.012004,1.951483,,,1.349,421.189,32.288,92.999,0.93,1.01015580478877,0.0616417639108565,0.4507029991523081,0.2759795275236708,0.4461717657966169,0.2745581828121833,1.123678881180196,1.4608588039410781,0.2827797847623311,0.3029730396773157
0.187,0.1201,0.0044,26,174.7785893832,0.0727,-63.40476143306,0.0742,5333576532356733184,0.3896,0.0887,-6.004,0.094,0.611,0.097,0.988,17.914146,0.002999,18.809925,0.031465,16.970106,0.011258,1.839819,,,1.322,916.79,34.643,99.548,0.99,1.1055810787649272,0.0116432790714301,0.0,0.1374999543104624,0.0,0.1243689467479555,1.1579460057071356,1.1055810787649272,0.13799204101293108,0.3122123473236637
0.1315,0.1268,0.0241,28,174.75283392454,0.0809,-63.46033938408,0.0778,5333576150082340736,0.3474,0.0944,-5.817,0.107,0.72,0.099,1.029,18.033621,0.011743,19.155125,0.057823,16.8242,0.051629,2.330925,,,1.54,95.116,18.799,21.06,0.96,0.914429738658298,0.0456856095769767,0.7528566873382634,0.046305077884199,0.8233073089277438,0.0652392244059446,1.1710029711744845,1.6672864259965614,0.06504871374809558,0.3157328446675753
0.4339,0.0925,-0.0514,26,174.72233852801,0.021,-63.44477800529,0.0188,5333576257461600640,0.4419,0.0232,-6.054,0.028,0.829,0.027,0.909,11.81316,0.002979,11.19771,0.112724,10.770853,0.058669,0.426857,,,2.378,958.905,9.635,18.527,0.95,6.269877396438532,0.3020217196376546,5.443533073517417,0.5635752627378963,0.868204069924796,0.0991391553686679,1.1786764994583707,11.71341046995595,0.6394014356435047,0.31780182738866825
0.1939,0.1323,-0.003,27,174.84896219734,0.0109,-63.42413957954,0.012,5333575810802238080,0.4296,0.0138,-5.86,0.015,0.678,0.015,0.949,14.017989,0.002774,14.203986,0.002908,13.685821,0.002909,0.518166,,,1.183,3408.558,1327.569,1319.1,1.0,2.616548611487425,0.0336631948683612,0.7968867265938073,0.6096839406016281,0.3045564386211813,0.2330436868890531,1.1799248515231857,3.413435338081232,0.6106125761203047,0.3181384155598967
0.2468,0.1422,0.0326,28,174.72192132734,0.0137,-63.44449263793,0.0147,5333576257478809600,0.4328,0.0172,-6.21,0.018,0.711,0.019,0.934,11.254531,0.002845,11.026726,0.018364,10.751284,0.018319,0.275442,,,1.564,1533.916,59.818,59.967,0.96,7.664466735940143,0.5421847001674576,5.005938330235781,0.9322110014368208,0.6531358935595589,0.1301075983959828,1.1816647683268278,12.670405066175924,1.0784162463054403,0.3186075423643725
0.1295,0.0374,-0.043,26,174.85409962921,0.1085,-63.43413531282,0.1326,5333575703409600128,0.3679,0.1477,-5.805,0.151,0.811,0.171,1.001,18.849154,0.024862,19.636702,0.147431,17.685186,0.083379,1.951515,,,1.581,43.94,7.366,13.029,0.93,0.8358173165589377,0.0109969018492581,0.0,0.0378479870377642,0.0,0.0452826069619907,1.2020907186631167,0.8358173165589377,0.03941322079065581,0.3241149096072129
0.2129,0.1116,0.0558,26,174.79582223935,0.0494,-63.40284529082,0.0536,5333576635435952640,0.475,0.0617,-5.896,0.067,0.72,0.071,1.067,17.119221,0.012363,17.92211,0.041579,16.181126,0.037076,1.740984,,,1.345,90.09,26.172,29.367,0.99,1.2409097273784528,0.0517383115107476,0.9435053832309984,0.1226821378629731,0.7603336184850842,0.103822891310697,1.2402264160014869,2.1844151106094514,0.13314563390743497,0.3343972850583604
0.2141,0.1284,-0.0157,27,174.77878649057,0.0104,-63.40234634317,0.0121,5333576631118811648,0.4352,0.0132,-6.044,0.014,0.496,0.016,1.023,13.745897,0.002779,13.885268,0.00287,13.482164,0.002853,0.403104,,,1.175,3017.523,1618.611,1822.178,0.99,2.9488571820615426,0.0054184076536202,0.0,0.0,0.0,0.0,1.2516588256140764,2.9488571820615426,0.0054184076536202,0.3374797599087594
0.1495,0.2067,-0.0292,28,174.84938411956,0.0622,-63.45119827125,0.0587,5333575291089516160,0.429,0.0729,-6.027,0.082,0.796,0.074,0.987,17.608397,0.003248,18.750992,0.039829,16.487761,0.012432,2.263231,,,1.435,631.001,27.327,89.618,0.98,1.01587898063518,0.0397591495794455,0.8726569195519714,0.0593567059188663,0.8590166114140301,0.0674109563931844,1.3020487814025359,1.8885359001871516,0.07144234397624072,0.3510662020232543
0.1484,0.1219,-0.0261,27,174.8605622277,0.0712,-63.43025740225,0.0739,5333575707723024000,0.333,0.0877,-5.863,0.093,0.564,0.09,1.064,17.782547,0.003102,18.838301,0.035113,16.69964,0.011267,2.13866,,,1.415,761.946,31.02,99.462,0.96,0.9706183848614308,0.0422094846890618,0.8241617749957109,0.0531296820447851,0.8491099981723211,0.0660282706815138,1.324269898254724,1.7947801598571416,0.06785575665996292,0.35705759282937255
0.208,0.2346,-0.0088,27,174.82371471371,0.042,-63.46409461909,0.0388,5333576016960655232,0.4077,0.0498,-6.073,0.053,0.735,0.049,0.932,16.840139,0.003163,17.848984,0.013716,15.790985,0.006978,2.057999,,,1.393,699.432,80.848,169.761,0.99,1.2728074027830685,0.0405477023803807,1.1136169268568497,0.0727890042131828,0.8749296432609212,0.0636185419453631,1.3482206301591337,2.386424329639918,0.083320797539838,0.36351533281995957
0.214,0.3007,-0.0354,24,174.77261755242,0.0655,-63.46993214836,0.0657,5333575948241170176,0.4524,0.0835,-6.223,0.084,0.683,0.078,1.161,17.292248,0.003317,18.294516,0.022542,16.337673,0.008419,1.956842,,,1.302,587.618,48.537,136.692,0.92,1.1230834589182812,0.0405080906906676,0.9626193117993266,0.0684814891294585,0.8571217963858994,0.0683656447334658,1.4161650142202917,2.085702770717608,0.07956519191701542,0.38183490517535645
