pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
0.053,0.084,0.1572,27,180.42546664767,0.0522,-64.10006344896,0.0578,6054059662767102592,0.2765,0.0683,-8.178,0.068,0.279,0.073,1.004,17.421263,0.002873,18.197138,0.010637,16.600294,0.00559,1.596844,,,1.252,1336.665,105.778,224.145,0.99,1.3582498384167772,0.004822309090485394,0.2013237585105412,0.2722551642347094
0.0458,0.0696,0.1477,27,180.42261790641,0.0607,-64.0981065734,0.0676,6054059873240722944,0.3024,0.0792,-8.073,0.08,0.043,0.085,1.098,17.533173,0.002937,18.106173,0.035418,16.545322,0.016439,1.56085,,,1.473,1067.62,30.75,67.018,0.86,1.3582148150177469,0.005123461742757018,0.10167403051918647,0.2149745709547532
0.0544,0.0734,0.1464,27,180.42130140045,0.0591,-64.09817200413,0.0668,6054059868925533440,0.3272,0.0775,-8.214,0.077,0.059,0.084,1.002,17.638878,0.00291,18.471197,0.028109,16.755484,0.007805,1.715714,,,1.287,1159.38,38.818,148.95,0.93,1.1984587059781608,0.03511065308284483,1.037959800256803,0.0679225319620164
0.0758,0.0313,0.1108,27,180.42877017717,0.0142,-64.09754734374,0.0168,6054059667112819072,0.3629,0.0189,-8.095,0.019,0.154,0.021,1.03,14.795379,0.002767,15.766369,0.003386,13.824863,0.002919,1.941505,,,1.326,4252.627,565.755,1267.85,0.98,1.976208557692284,0.008639015681642244,1.5848204036518916,0.02570846975121609
0.0697,0.0326,0.1254,27,180.43070760599,0.0197,-64.10044387182,0.0227,6054059667112814976,0.3439,0.0261,-8.162,0.026,0.211,0.029,1.015,15.540595,0.002782,16.222597,0.008685,14.640523,0.007535,1.582074,,,1.351,2841.595,132.013,155.11,1.0,1.8957846285723816,0.013157812142438167,0.7397008567798212,0.5347203230314526
0.0362,0.0155,0.1666,27,180.43310537665,0.0493,-64.09848870776,0.0532,6054059667112818560,0.3696,0.0636,-8.282,0.063,0.154,0.067,1.578,16.519743,0.002932,17.131336,0.007355,15.555929,0.005595,1.575407,,,1.436,1081.646,159.551,223.872,0.96,1.5089001311834442,0.04894666073160878,1.306152765411123,0.09097456804836948
0.1326,0.0093,0.0565,27,180.41500196516,0.0296,-64.09856205388,0.0337,6054059873271351168,0.2938,0.0387,-8.194,0.038,0.218,0.045,1.053,16.293865,0.002788,16.977486,0.004581,15.488085,0.003531,1.489401,,,1.271,2561.548,298.785,501.914,0.99,1.6638550695359942,0.025134320080541873,0.91528039189459,0.2692901226414938
0.0531,0.0495,0.1337,27,180.42597530911,0.0711,-64.10379943487,0.0742,6054059662767100032,0.1707,0.0899,-8.122,0.088,0.3,0.094,1.007,17.850599,0.002963,18.688353,0.017075,16.931351,0.010769,1.757002,,,1.317,995.731,64.452,104.383,0.93,1.1501957899417823,0.0324766586976072,1.00722522451363,0.06433730754058373
0.0599,0.0396,0.1377,27,180.43280526839,0.039,-64.10349176674,0.0409,6054059667112811392,0.3305,0.049,-8.054,0.048,0.344,0.051,1.014,16.731432,0.002817,17.500305,0.007201,15.855906,0.006537,1.644399,,,1.3,1851.873,163.546,183.662,0.98,1.3846798471657882,0.027421028062163053,1.3064522423718536,0.0369287658161193
0.0532,0.0674,0.1071,26,180.43767994408,0.0288,-64.09765421804,0.0315,6054059667112820352,0.3669,0.037,-8.206,0.037,0.251,0.04,0.915,16.239515,0.002792,16.904209,0.004597,15.44767,0.003474,1.456539,,,1.266,2399.362,297.236,524.454,1.0,1.7057498099458943,0.001047330264994022,0.0,0.19410665576942546
0.0793,0.0462,0.0796,27,180.41192661383,0.063,-64.09969062965,0.0719,6054059873271350912,0.411,0.0817,-8.115,0.081,0.085,0.093,1.026,17.714357,0.002933,18.526936,0.013799,16.836174,0.006556,1.690762,,,1.288,1079.626,80.343,183.025,0.93,1.2228725786096222,0.037008805799249034,0.9226710898421935,0.10026762455228096
0.0165,0.0798,0.1482,26,180.43912880881,0.0672,-64.09961748715,0.0733,6054059662771281920,0.2841,0.0869,-8.161,0.087,0.248,0.092,1.023,17.804775,0.00296,18.565407,0.01031,16.980421,0.006968,1.584986,,,1.259,1003.869,109.39,170.043,0.99,1.2643487352885459,0.0015057685559020585,0.0,0.11477601918252435
0.0625,0.0438,0.1074,26,180.44114371855,0.0361,-64.09796213215,0.0379,6054059701472558976,0.3017,0.0454,-8.012,0.044,0.131,0.047,0.992,16.569174,0.003013,17.299656,0.009188,15.762507,0.006983,1.537148,,,1.255,890.735,124.029,169.623,0.86,1.5193742797847727,0.034179056506974635,1.1728560934178665,0.08374407344441998
0.0696,0.0482,0.132,27,180.40945183461,0.0357,-64.09685456842,0.0382,6054059873271245952,0.3093,0.0455,-8.235,0.044,0.21,0.048,1.081,16.57851,0.002808,17.356447,0.006377,15.72428,0.003529,1.632167,,,1.279,2001.495,189.331,502.583,0.99,1.4262093209915334,0.02809287201351798,1.338994394815164,0.03904741953367312
