pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass,q,e_q,r,mass_system,e_mass_system,r/rh
0.1484,-0.1386,0.05,19,62.69687604662,0.0932,46.86799050961,0.0684,234030259698868736,0.1872,0.1244,1.147,0.121,-1.675,0.102,0.947,17.845276,0.002969,18.601469,0.020301,16.992914,0.007667,1.608555,,,1.284,980.706,53.995,152.028,0.96,1.158860238442534,0.0396360113485052,0.6334690460318536,0.3298137530401244,0.5466310992628525,0.2852152756905102,0.21291800985480158,1.7923292844743877,0.3321868827784008,0.12736129409397093
0.1733,-0.126,0.0506,19,62.69668536761,0.0645,46.86634788675,0.0468,234030263999472512,0.3177,0.0866,1.245,0.084,-1.728,0.07,1.096,16.99913,0.002842,17.756645,0.00754,16.151329,0.005231,1.605316,,,1.28,1558.241,154.995,245.389,0.98,1.2689809047236609,0.0273969585805634,1.1731234825200978,0.0356965856180367,0.9244610995746722,0.0344914494823689,0.23816858604858834,2.4421043872437584,0.04499821734525637,0.1424654464522059
0.1853,-0.1117,0.0913,19,62.69537055465,0.0155,46.87455995868,0.0108,234030332718945408,0.4076,0.0211,0.919,0.021,-1.771,0.017,1.08,14.072965,0.002827,14.499364,0.003942,13.459361,0.003447,1.040003,,,1.23,1711.418,389.957,536.243,0.98,3.166869816519976,0.1167372957227513,2.777970469191052,0.2019548474385189,0.8771975578850035,0.0715005424171389,0.2906581224313103,5.944840285711027,0.2332667070470549,0.17386314401971056
0.1341,-0.1186,0.0439,19,62.69991576245,0.0783,46.86840971353,0.0562,234030263993506048,0.4109,0.1017,1.043,0.1,-1.617,0.082,0.942,17.515223,0.002974,18.189075,0.016512,16.635452,0.012773,1.553623,,,1.336,969.625,66.714,87.103,0.98,1.2467173753013754,0.0397448650974616,0.7520231778369861,0.2966121365484925,0.6032026125048555,0.2386903754100143,0.3022337402424724,1.9987405531383615,0.2992631180908817,0.18078733829229562
0.1306,0.0102,0.0112,18,62.68454947351,0.1585,46.87514891361,0.1068,234030294058615168,0.5894,0.2009,1.122,0.206,-1.498,0.164,1.036,18.53145,0.003509,19.48539,0.041744,17.593336,0.012199,1.892054,,,1.3,499.624,26.068,91.427,0.85,0.9528212449388854,0.0342078208367593,0.803426365274824,0.0666416089623049,0.8432078624845905,0.0762116711430948,0.3230717403262424,1.7562476102137095,0.07490847115970649,0.19325201734320857
0.1514,-0.1266,0.069,19,62.69993608899,0.0281,46.87382264277,0.0205,234030332718945152,0.4027,0.0377,1.144,0.037,-1.661,0.029,1.066,15.423107,0.002784,16.09263,0.003739,14.614133,0.002954,1.478498,,,1.278,2734.841,436.2,1117.485,0.99,2.1347020923411573,0.058819418046258,1.5526574077581878,0.0796251869568918,0.7273414933768895,0.0423434066021728,0.36669579580384326,3.687359500099345,0.09899441568704992,0.2193466448622396
0.1377,0.0455,-0.0221,18,62.67821593003,0.1521,46.86919942326,0.1038,234030294061413888,0.442,0.1931,1.2,0.197,-1.782,0.159,1.019,18.489965,0.003215,19.446339,0.034279,17.527243,0.0142,1.919096,,,1.322,655.04,31.779,77.982,0.93,0.953075092629546,0.0317177952366155,0.8282772870955636,0.0563537772499144,0.8690577410960728,0.065822728451004,0.37392978615287686,1.7813523797251096,0.064666581361665,0.22367380522290856
0.1856,-0.1493,0.0871,19,62.69689262044,0.0139,46.87706107332,0.01,234030332718944256,0.3262,0.0195,1.048,0.019,-1.632,0.015,1.044,13.815152,0.002767,14.298093,0.002997,13.144129,0.002884,1.153964,,,1.246,4282.805,993.237,1489.473,0.99,3.390749757660468,0.0985070433422752,3.0631242119760405,0.1433507148716936,0.9033766661947707,0.0497606761184297,0.4122576667445562,6.453873969636509,0.17393408246304828,0.24660041662306387
0.1521,-0.1519,0.1138,19,62.7002952301,0.0206,46.87805484486,0.0149,234030332718942976,0.3392,0.0284,1.177,0.027,-1.65,0.022,1.006,14.846684,0.00277,15.358453,0.003223,14.14815,0.00309,1.210302,,,1.254,3829.135,673.305,817.868,0.99,2.7498609316187315,0.074606498895175,1.6334942387679847,0.1472661202253194,0.5940279451900912,0.0559265376385823,0.5088880262284416,4.383355170386716,0.16508615884929292,0.30440185690998905
0.2307,-0.0478,0.0814,19,62.67381240763,0.0426,46.86825631424,0.03,234030298359213824,0.334,0.0562,1.219,0.057,-1.731,0.046,1.004,16.34881,0.0028,16.8283,0.004261,15.688479,0.003944,1.139821,,,1.24,2173.189,337.206,389.461,0.99,1.7746000676823817,0.0027933116545609,0.0,0.0,0.0,0.0,0.5125110696575137,1.7746000676823817,0.0027933116545609,0.3065690549783908
