pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
-0.2736,-0.1683,0.1547,27,4.0769174835,0.032,59.96741788024,0.0296,429116165443270528,0.1542,0.044,-1.548,0.04,-1.25,0.04,1.009,16.471502,0.002799,17.194931,0.00579,15.625255,0.004095,1.569676,,,1.29,2199.023,213.996,362.173,0.97,2.4751543948815695,0.0045017407892553795,0.3673519197080096,0.4975980603734444
-0.3182,-0.2153,0.161,26,4.06830609879,0.0733,59.96769062306,0.0686,429116165433718656,-0.0295,0.104,-1.612,0.092,-1.267,0.093,1.027,17.903976,0.002961,18.577734,0.018947,17.003563,0.013177,1.574171,,,1.355,1000.653,57.937,84.311,0.69,1.7891820985839706,0.07165967558035831,1.5123176803106666,0.12840208865017075
-0.3159,-0.2185,0.1605,27,4.06679137762,0.0734,59.96620972616,0.072,429116062364054912,0.3085,0.1051,-1.781,0.094,-1.347,0.095,1.028,17.968586,0.002977,18.684494,0.022673,17.071501,0.009089,1.612993,,,1.337,962.235,48.253,125.51,0.74,1.7288474604314437,0.054837255830259085,1.5389167281218679,0.0798078088476962
-0.2835,-0.1569,0.1042,27,4.07926379559,0.0226,59.96990349871,0.023,429116165443268608,0.174,0.0317,-1.648,0.029,-1.274,0.032,1.051,15.919521,0.002775,16.651587,0.005563,15.058404,0.003714,1.593183,,,1.3,3264.22,225.581,442.799,0.99,2.5166792749205955,0.012004766972555593,2.1710346373473133,0.22469641424049547
-0.2388,-0.1128,0.1073,27,4.08140443119,0.0204,59.96161926571,0.0203,429116062364059648,0.1887,0.0283,-1.647,0.027,-1.283,0.028,0.984,15.624298,0.002779,16.793787,0.005027,14.55437,0.002951,2.239417,,,1.375,2970.546,259.658,1131.707,0.99,2.6949124358199525,0.021520247096895345,0.49306485184376614,0.5923524637707552
-0.2538,-0.1304,0.1491,27,4.07108222102,0.0353,59.96016638726,0.0331,429116062364059520,0.1721,0.0475,-1.592,0.046,-1.384,0.045,1.086,16.59059,0.002801,17.303209,0.005715,15.752568,0.003528,1.550641,,,1.287,2145.727,217.684,503.025,0.96,2.4406907403793188,0.009011166864856238,0.5678295081809598,0.5856364421500742
-0.252,-0.1092,0.1727,26,4.06283612117,0.0448,59.96261318315,0.0429,429116062354514432,0.3064,0.0629,-1.686,0.059,-1.385,0.058,0.977,17.167841,0.002856,17.860443,0.010927,16.203438,0.020163,1.657005,,,1.406,1443.334,102.771,54.371,0.65,2.2001296154245096,0.054372094767900524,1.5503194030638634,0.1731003543810477
-0.347,-0.1947,0.1573,27,4.08827867961,0.1031,59.96633714732,0.0951,429115959275300224,0.0666,0.1443,-1.615,0.138,-1.24,0.133,1.012,18.525963,0.003165,19.258829,0.060213,17.529995,0.015611,1.728834,,,1.423,697.363,18.051,70.688,0.84,1.5490213659574112,0.04973438302252054,1.322700901322723,0.0814847254404941
-0.3041,-0.0925,0.1187,27,4.08880417673,0.0384,59.96714323604,0.0366,429115959284841472,0.2064,0.0528,-1.636,0.05,-1.291,0.05,1.009,16.885752,0.002814,17.520119,0.007234,16.085127,0.00408,1.434992,,,1.284,1895.604,162.678,364.716,0.98,2.2659663107850325,0.10566884354928308,1.018956279326307,0.9820676200962339
-0.2996,-0.2008,0.1339,27,4.05912732814,0.0393,59.97026766115,0.0375,429116062364050816,0.2184,0.0547,-1.713,0.05,-1.345,0.051,0.982,16.884598,0.00284,17.637604,0.009393,16.024532,0.004628,1.613071,,,1.292,1578.984,121.051,294.067,0.94,2.319132026400815,0.02154377582258459,1.4089502067344324,0.23757067793154354
-0.3022,-0.1767,0.1067,27,4.0860481407,0.0206,59.97338414123,0.0206,429116165443266560,0.1972,0.0286,-1.574,0.027,-1.28,0.029,1.003,15.6531,0.002778,16.86401,0.004564,14.569628,0.002958,2.294382,,,1.38,3078.237,300.579,1105.407,0.99,2.6040378252943306,0.0704891641782847,0.5472306354297104,0.642404432544072
-0.3145,-0.2071,0.1683,26,4.09275873212,0.1112,59.96568433127,0.1022,429115954984224896,0.2191,0.1578,-1.886,0.147,-1.252,0.144,1.033,18.639021,0.003115,19.390728,0.027096,17.775997,0.010351,1.614731,,,1.295,746.839,40.283,108.927,0.66,1.6714150413922388,0.010824388341690168,0.21088265195804323,0.3284138123520604
-0.3032,-0.1424,0.0966,27,4.0827282685,0.0403,59.97569590271,0.0388,429116199803003008,0.2794,0.0541,-1.64,0.05,-1.301,0.054,0.957,16.951565,0.002817,17.70039,0.00792,16.101507,0.004201,1.598883,,,1.285,1847.787,146.475,345.702,0.92,2.2908556870579138,0.02618937476208142,1.440199746293362,0.2324754224055903
-0.2946,-0.1719,0.1596,27,4.05646623603,0.0408,59.97216808181,0.0392,429116165443264384,0.1285,0.0564,-1.552,0.052,-1.235,0.053,1.044,16.922943,0.002822,17.60619,0.007632,16.093435,0.004148,1.512754,,,1.29,1775.418,152.832,353.795,0.95,2.3076356185260583,0.03127322051957856,1.3537542507374882,0.4249638401115444
-0.2695,-0.1437,0.1493,26,4.07737483214,0.0268,59.97750897823,0.0257,429116199803002112,0.148,0.0371,-1.57,0.034,-1.307,0.034,1.025,16.181332,0.002787,16.904682,0.004599,15.329301,0.003495,1.575381,,,1.295,2586.99,296.943,515.996,0.98,2.5178127861620596,0.0066979827287582715,1.6684333660062827,0.09830879815744065
-0.2867,-0.1784,0.0936,25,4.09658155292,0.0581,59.96526900388,0.0539,429115959284961664,0.1721,0.081,-1.582,0.077,-1.252,0.076,0.936,17.572025,0.002888,18.251047,0.011521,16.75913,0.00516,1.491917,,,1.278,1252.554,97.133,250.166,0.96,2.1180121573701927,0.02072434439416457,0.3908078611953554,0.475162502706553
-0.2488,-0.0795,0.1643,27,4.09225432591,0.0296,59.95526986272,0.028,429115856205635328,0.2638,0.0399,-1.715,0.038,-1.373,0.038,1.002,16.390797,0.002805,17.052431,0.004835,15.565608,0.003629,1.486823,,,1.294,2056.271,274.945,467.739,0.73,2.4048452306802,0.023163670139215182,2.0361433368099657,0.07896762531773269
-0.3102,-0.1352,0.0926,25,4.08911033907,0.0249,59.97998396943,0.0245,429115993644699520,0.1682,0.0347,-1.6,0.032,-1.328,0.034,1.123,15.917625,0.002785,17.189632,0.004774,14.805504,0.003006,2.384129,,,1.397,2688.344,280.304,971.664,0.98,2.5475131215477758,0.009895977300309496,0.18178759773313868,0.3385086454534051
-0.2798,-0.1746,0.091,27,4.10475456037,0.0964,59.96875351717,0.0955,429115989343966848,0.1484,0.1375,-1.809,0.13,-1.333,0.131,1.051,18.476711,0.003142,19.299446,0.032942,17.537497,0.010148,1.76195,,,1.34,718.578,33.077,111.275,0.75,1.5437549864562572,0.045573829470961384,1.3498458041001529,0.06681802102217332
-0.2521,-0.0938,0.167,26,4.05837526669,0.0609,59.98045997265,0.057,429116161142675456,0.1737,0.0837,-1.517,0.079,-1.208,0.077,1.022,17.636774,0.002872,18.328278,0.015351,16.816708,0.006064,1.51157,,,1.279,1338.731,71.926,201.643,0.91,2.059283802037883,0.05609972405914184,0.8045375191460509,0.5734760640365621
-0.2842,-0.1701,0.1397,28,4.06829528666,0.0901,59.95047670846,0.0866,429116023703684096,0.2212,0.1245,-1.693,0.124,-1.068,0.12,0.97,18.411921,0.00303,19.224342,0.023725,17.50157,0.012131,1.722773,,,1.317,861.066,46.083,91.968,0.79,1.5646058704365404,0.05482570763637526,1.3662069985767469,0.07975227140479066
-0.2892,-0.1198,0.1469,27,4.04951348445,0.057,59.9550872145,0.0539,429116023703690880,0.2245,0.0773,-1.694,0.076,-1.265,0.072,1.006,17.52487,0.002879,18.224314,0.01086,16.703362,0.00507,1.520952,,,1.278,1299.344,103.45,256.498,0.95,2.0064847857446626,0.08405651556636431,1.4854808937003323,0.22381336900424945
