pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
-0.6897,0.2677,0.016,12,92.19250158239,0.0431,24.28347957379,0.0362,3426267867842723712,0.3768,0.0435,0.707,0.072,-2.234,0.058,1.055,15.27845,0.003344,15.198043,0.086385,14.220176,0.049645,0.977867,,,1.897,572.832,12.575,21.905,0.95,1.620254155102843,0.037416928374650854,1.4837238874649024,0.04554813154718959
-0.4608,0.2139,0.1257,15,92.19054256734,0.0258,24.27403671367,0.0219,3426267833485900672,0.4701,0.0285,0.683,0.041,-2.075,0.029,0.981,14.918391,0.002789,15.265215,0.005376,14.388417,0.003146,0.876798,,,1.213,2526.593,236.247,747.32,0.85,1.6424242215243843,0.039285069285943046,1.4954391818892707,0.04943611723394094
-0.5087,0.1521,0.0999,16,92.20467425991,0.016,24.28251122609,0.0138,3426267799126155264,0.4421,0.0169,0.765,0.025,-2.265,0.02,0.959,12.874057,0.002766,13.176233,0.002936,12.394611,0.002862,0.781622,,,1.204,4439.605,1187.824,1704.73,0.97,2.6547013079867976,0.005827448889643566,1.0595263295925943,0.5624341415157382
-0.1208,0.026,0.1851,16,92.20178362994,0.0172,24.27421542359,0.0143,3426267799126159232,0.4475,0.0181,0.677,0.024,-2.336,0.017,1.037,13.918056,0.002778,14.169673,0.002971,13.502955,0.002947,0.666718,,,1.192,3097.935,1062.947,1143.198,0.94,2.238054910174712,0.09079937358980217,1.5145035378757001,0.30738814304038325
-0.2934,0.0263,0.3342,16,92.18724676313,0.0501,24.29037806448,0.041,3426268623759878400,0.428,0.0566,0.828,0.063,-2.246,0.049,1.002,16.309137,0.002834,16.749849,0.014206,15.652385,0.006728,1.097465,,,1.254,1636.816,77.944,177.358,0.93,1.3440210707844096,0.012404524205394243,0.6935175195929291,0.22625340834545976
-0.2504,0.0675,0.21,17,92.20154223169,0.0413,24.2916406656,0.0345,3426267867842714240,0.5112,0.045,0.84,0.058,-2.223,0.043,1.028,16.120661,0.002818,16.493237,0.018461,15.441292,0.011714,1.051945,,,1.302,1832.54,59.495,95.432,0.68,1.3998541919826946,0.013095905634811757,0.8378320083188514,0.07416600413394242
-0.266,0.0597,0.1927,17,92.18467552257,0.0189,24.29038300426,0.0156,3426268623759879808,0.3879,0.0206,0.846,0.026,-2.423,0.019,0.955,14.457137,0.002784,14.721548,0.003274,14.026368,0.003072,0.69518,,,1.194,2717.243,634.148,844.775,0.93,2.080644001028639,0.014903534030131312,1.1066082595194182,0.08964707114345284
-0.3358,0.2032,0.1561,17,92.21098145488,0.03,24.27835325268,0.0254,3426267799126154752,0.3324,0.0337,0.746,0.044,-2.165,0.033,0.857,15.41059,0.002789,15.751003,0.003855,14.889008,0.003168,0.861996,,,1.211,2525.665,408.093,723.606,0.57,1.6316022444961649,0.01187065898840751,0.9818413569955561,0.05241134498194481
-0.139,-0.018,0.1021,17,92.19002102392,0.1074,24.29604968959,0.0923,3426268619462919296,0.4286,0.1126,0.704,0.153,-2.296,0.112,0.976,17.86021,0.00315,18.495008,0.021697,17.128899,0.015571,1.36611,,,1.23,710.779,50.461,70.876,0.88,0.9920542987946925,0.004498442997543977,0.10288332063115592,0.2107573661379892
-0.1605,0.0722,0.175,17,92.19320856739,0.0742,24.29756642803,0.0628,3426268623760814208,0.4062,0.0794,0.973,0.103,-2.485,0.076,1.007,17.19626,0.003004,17.747059,0.016711,16.489981,0.00795,1.257078,,,1.243,907.821,65.895,145.849,0.56,1.126536223996479,0.009700849233094621,0.3471894383829303,0.3180005474242861
-0.3015,0.0558,0.2655,17,92.17496868461,0.0619,24.27976533169,0.0518,3426268585101372288,0.4388,0.07,0.751,0.078,-2.224,0.059,0.909,16.695963,0.002887,17.181885,0.009433,16.034239,0.00671,1.147646,,,1.238,1261.719,120.49,177.923,0.94,1.254131421957209,0.002888442758138401,0.0,0.203992651899758
-0.216,0.1194,0.2477,17,92.20421384326,0.0367,24.26436077942,0.031,3426267764766423424,0.4179,0.0411,0.889,0.051,-2.429,0.039,1.053,15.846757,0.002814,16.283096,0.004852,15.236647,0.004241,1.04645,,,1.224,1899.031,273.539,339.887,0.86,1.4257939137908429,0.016445606611428475,1.0515462830932956,0.04151097872630123
-0.1974,0.046,0.1823,16,92.20364171375,0.05,24.29808022255,0.0417,3426268241505795968,0.4075,0.0537,0.758,0.069,-2.301,0.051,1.019,16.478252,0.002881,16.86503,0.028686,15.729776,0.02923,1.135254,,,1.347,1291.743,38.029,37.315,0.96,1.303806125561402,0.01740465190469653,0.7362106775175196,0.19290949680465797
-0.3187,-0.0531,0.3174,17,92.19957076446,0.094,24.3010498461,0.0809,3426268997420040832,0.3142,0.1013,0.814,0.121,-2.363,0.095,0.981,17.508512,0.002993,18.148731,0.027494,16.80731,0.01312,1.341421,,,1.205,928.953,39.694,84.691,0.84,1.0400768972719368,0.015629644232919813,0.621390911591612,0.15704342451817485
-0.1926,0.1516,0.2365,17,92.19012217503,0.0499,24.25895492424,0.0423,3426267661687213184,0.4155,0.0549,0.804,0.068,-2.404,0.051,0.955,16.448271,0.002847,16.949593,0.008718,15.792617,0.005704,1.156976,,,1.227,1512.781,131.452,218.228,0.93,1.2796286393445027,0.015790054495472983,0.8440987260451286,0.06902363599026817
-0.2405,0.1543,0.1678,16,92.21815836781,0.1285,24.29037010914,0.1088,3426268172786308736,0.604,0.1342,0.545,0.18,-2.215,0.133,0.955,18.104605,0.003192,18.7395,0.026093,17.322321,0.014614,1.417179,,,1.269,673.859,41.85,75.684,0.56,0.9449395109092048,0.007359366136724481,0.21907903374359283,0.26530185187177785
-0.1979,0.0931,0.2113,15,92.19813982705,0.0354,24.25391941018,0.0297,3426267451231760640,0.4214,0.0382,0.718,0.047,-2.359,0.035,0.969,15.731334,0.002798,16.100613,0.004029,15.174451,0.004698,0.926162,,,1.219,2239.259,373.484,287.301,0.97,1.5274874220243821,0.010527238408126374,0.8146678648391625,0.13634083716869042
-0.3096,-0.0009,0.2434,17,92.20280354455,0.0444,24.30864466489,0.0372,3426269001716992128,0.4178,0.049,0.729,0.063,-2.257,0.046,1.01,16.235384,0.002821,16.704044,0.009042,15.62639,0.00582,1.077654,,,1.209,1789.284,126.231,212.571,0.97,1.361945401099031,0.010375105722290704,0.6488677181793328,0.2531578528163757
-0.2222,0.0251,0.1796,17,92.20882404413,0.0122,24.30816183167,0.0098,3426269031777766784,0.4058,0.0132,0.723,0.016,-2.28,0.012,1.087,12.316907,0.002763,13.065412,0.003203,11.470843,0.002849,1.594568,42.1,1.18,1.282,5371.345,690.216,1890.615,0.99,2.803064936922259,0.023060621337387746,0.4468026820964651,0.6751856482305522
-0.1237,0.2165,0.1745,16,92.18027167043,0.1678,24.25284075479,0.1438,3426267657388391296,0.3439,0.1761,0.468,0.231,-2.182,0.173,0.958,18.548231,0.003547,19.190802,0.05452,17.850382,0.028373,1.34042,,,1.202,486.161,19.941,38.452,0.66,0.8729736111842124,0.0018280757250586737,0.0,0.06630883217554401
-0.1852,0.1161,0.2238,17,92.20730506256,0.0432,24.24918727315,0.0365,3426267554310968960,0.4177,0.0474,0.726,0.059,-2.317,0.044,1.024,16.217911,0.00282,16.682205,0.00912,15.571498,0.004242,1.110707,,,1.236,1802.764,125.047,339.804,0.97,1.341770697748313,0.01607049829304549,0.8954252469879393,0.06118698779999286
-0.1857,0.0309,0.2396,17,92.22975478627,0.0983,24.29480358402,0.083,3426268207146050816,0.2764,0.1061,0.787,0.13,-2.437,0.098,1.002,17.533159,0.003011,18.167807,0.017785,16.790857,0.010048,1.376949,,,1.238,893.892,61.813,112.484,0.75,1.012723323146975,0.027741197689657795,0.7447749596591463,0.07160921163448304
-0.2541,0.1736,0.1959,17,92.23430182057,0.0699,24.27881744956,0.0593,3426267966627863552,0.4191,0.0758,0.839,0.099,-2.286,0.074,1.052,16.988981,0.002892,17.499651,0.008781,16.305838,0.006966,1.193813,,,1.243,1234.645,130.412,170.115,0.91,1.1824182748218557,0.002476516067217081,0.0,0.17215113562117296
-0.2841,0.0661,0.2624,16,92.23256641235,0.0139,24.29463518996,0.0112,3426268207146050688,0.397,0.0155,0.741,0.019,-2.317,0.015,0.975,13.397558,0.00278,13.671249,0.003082,12.949926,0.002962,0.721323,,,1.199,2910.899,828.773,1091.528,0.98,2.499208335848515,0.01214556839466746,1.4210691210173405,0.16227174078365414
-0.1574,-0.0161,0.1654,16,92.18603017477,0.012,24.31791954036,0.0098,3426269066137504000,0.4103,0.013,0.691,0.017,-2.29,0.012,1.05,12.114903,0.002761,12.884619,0.002844,11.255992,0.002822,1.628627,41.26,0.56,1.285,6361.667,1976.445,2577.359,0.99,2.844912556857837,0.04022660724203545,0.8372097313931617,0.7546774402990342
-0.2593,0.0362,0.348,17,92.22153452037,0.0336,24.25174733538,0.029,3426267485591495680,0.4281,0.0391,0.785,0.045,-2.296,0.035,1.076,15.418519,0.002795,15.75089,0.003401,14.90709,0.003363,0.8438,,,1.208,2305.365,558.524,578.297,0.96,1.6405961275247685,0.011362997691452124,0.9185061027016518,0.06109497522608035
-0.1661,0.0955,0.0865,16,92.15356075376,0.0781,24.26987817908,0.0656,3426268447662400384,0.2895,0.0812,0.778,0.107,-2.354,0.078,0.896,17.269348,0.002952,17.777874,0.014988,16.593304,0.009122,1.18457,,,1.239,1024.228,73.73,125.013,0.79,1.1193413926335993,0.002019110701473269,0.0,0.03937559951648777
-0.213,0.1343,0.1152,16,92.22951048785,0.1526,24.25564668082,0.1298,3426267519951241984,0.5967,0.1569,0.689,0.218,-2.152,0.163,1.029,18.349102,0.003356,18.967091,0.039786,17.61331,0.021332,1.353781,,,1.239,566.88,27.357,51.337,0.64,0.9045262333254166,0.0026548845753255217,0.0,0.07667317289580723
-0.2165,0.1569,0.1613,15,92.2420894471,0.1497,24.29535877585,0.1262,3426268000987619200,0.3031,0.1543,0.927,0.207,-2.466,0.156,1.082,18.284962,0.003487,18.946373,0.033972,17.512175,0.019104,1.434198,,,1.252,508.05,32.068,57.45,0.58,0.9134377027662763,0.0036953516068861706,0.10769073268633197,0.19778177926015592
-0.2997,0.1134,0.1721,17,92.14199156892,0.0753,24.28129733354,0.064,3426268516387796352,0.5161,0.0789,0.812,0.1,-2.258,0.076,1.051,17.154547,0.002988,17.487228,0.027999,16.39119,0.013608,1.096039,,,1.384,938.93,38.972,81.521,0.84,1.1646848271418786,0.0030692437305697125,0.0,0.044835684653108825
-0.3728,0.3732,-0.0765,15,92.23822298716,0.1727,24.30784737143,0.1477,3426268310225281408,0.4418,0.198,0.724,0.276,-2.306,0.183,1.059,18.294577,0.003525,18.983999,0.036292,17.528477,0.015879,1.455523,,,1.237,493.804,30.006,69.458,0.69,0.9093961858636722,0.005620440130926286,0.15661033492679996,0.22638131507434842
-0.2144,0.121,0.1605,16,92.17295459497,0.0333,24.32572850985,0.0274,3426269276594901376,0.4604,0.0375,0.789,0.048,-2.376,0.033,0.941,15.633911,0.002813,15.999366,0.003792,15.088073,0.003649,0.911293,,,1.214,1914.941,422.792,461.61,0.91,1.553834876007448,0.012153169348048318,0.8984565476100943,0.06149398178507093
-0.0915,0.2736,0.3548,16,92.22357020547,0.0203,24.2367588057,0.0178,3426264530652048128,0.4,0.0251,0.757,0.027,-2.278,0.02,1.471,13.121219,0.002783,13.372776,0.002847,12.705974,0.002875,0.666802,,,1.192,2787.869,1912.333,1567.53,0.98,2.5652966458097937,0.029305137635247638,1.2445818095651475,0.877745787419815
-0.1768,-0.0285,0.0802,16,92.16803331051,0.0481,24.32840856843,0.0399,3426269276594902144,0.4784,0.0519,0.791,0.066,-2.282,0.046,0.925,16.298244,0.002855,16.751333,0.006432,15.656841,0.00697,1.094492,,,1.238,1455.557,187.344,169.99,0.9,1.3458949204197383,0.010921810890919361,0.6766193175656818,0.23859960649106646
-0.0121,0.2398,0.3328,15,92.2352166063,0.0974,24.23968356292,0.0818,3426264530653985664,0.345,0.1117,0.568,0.133,-1.995,0.098,1.04,17.536436,0.003016,18.19195,0.018112,16.75561,0.008097,1.43634,,,1.261,884.878,60.669,142.835,0.54,0.9700014376106578,0.028502626601068955,0.8464342134613037,0.0463062362925139
