pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass,q,e_q
-0.4424,-0.1129,0.0006,21,358.26877165866,0.0447,61.95569455112,0.0406,2012771865632480384,0.3622,0.0512,-3.427,0.062,-1.452,0.056,1.156,16.159567,0.002808,16.590843,0.005857,15.539537,0.004196,1.051306,,,1.233,2007.44,210.831,346.478,0.87,1.5748841012428765,0.0030496000630103,0.0,0.118873073291738,0.0,0.07548052151769456
-0.5129,-0.2296,0.031,21,358.27089240382,0.0549,61.95816622147,0.055,2012771865632477440,0.2951,0.0636,-3.319,0.072,-1.491,0.073,0.983,16.89398,0.002862,17.625774,0.00975,16.08746,0.006436,1.538315,,,1.254,1405.865,116.22,187.2,0.91,1.1544109478497355,0.0244725936425317,1.022018256908579,0.0581279784987462,0.8853158044041787,0.05373690963772097
-0.4347,-0.3281,0.2144,21,358.283221763,0.0413,61.95569819649,0.0359,2012771865623527552,0.3211,0.0515,-3.438,0.057,-1.518,0.05,1.024,16.355988,0.003076,16.603508,0.022979,15.416029,0.017566,1.187479,,,1.578,793.705,47.602,62.605,0.95,1.5173341883477331,0.0272151238243187,0.9458429571075402,0.1171848488345813,0.6233583638799404,0.07803585523262292
-0.4215,-0.1639,0.2027,23,358.25761087935,0.0185,61.96541714276,0.0172,2012783582303246464,0.3317,0.0228,-3.457,0.025,-1.449,0.024,0.972,14.698362,0.002768,15.030966,0.003013,14.185092,0.002959,0.845874,,,1.209,4090.682,954.907,1101.929,0.88,2.3262002602477896,0.0869908474925428,1.5747473444361482,0.1109309175974171,0.6769612106691125,0.053990676754703745
-0.3836,-0.2972,0.1803,25,358.23929281301,0.029,61.95084445973,0.0283,2012783577998621952,0.3037,0.0375,-3.432,0.04,-1.581,0.039,1.049,15.885284,0.002793,16.254396,0.004549,15.335318,0.004728,0.919079,,,1.215,2372.46,302.227,284.465,0.93,1.7102283111530738,0.0028259195615807,0.0,0.0439176272243887,0.0,0.0256793943463481
-0.3957,-0.2596,0.2013,24,358.25033434385,0.0275,61.96579250229,0.0256,2012783651022720768,0.3516,0.0343,-3.468,0.036,-1.549,0.035,1.031,15.769417,0.002781,16.117386,0.005595,15.189375,0.005382,0.928011,,,1.245,2883.28,223.871,235.924,0.67,1.7712368057250183,0.0119727080197227,0.4270572486096678,0.4179918379351671,0.24110680583721325,0.23599430884506445
-0.487,-0.2068,0.149,23,358.28625863362,0.0214,61.94426526517,0.0213,2012771796913024384,0.3404,0.0264,-3.392,0.03,-1.436,0.031,1.082,15.109177,0.00278,15.443289,0.00323,14.597428,0.003059,0.84586,,,1.208,2921.926,667.392,866.619,0.74,2.1110459544119298,0.0409685592584184,1.208027096460504,0.0994685781643976,0.5722410229563297,0.04840917921587225
-0.3905,-0.3319,0.2022,24,358.29976279456,0.0267,61.95294329675,0.0256,2012771899992233600,0.3507,0.0353,-3.429,0.036,-1.436,0.034,1.007,15.670853,0.002778,16.034824,0.003641,15.117616,0.0032,0.917209,,,1.219,3034.927,464.187,692.54,0.82,1.8111019847124616,0.0176157024710943,0.6592777767544398,0.3918533234997247,0.3640202386830853,0.2163907895040324
-0.4955,-0.1865,0.0469,23,358.25261597786,0.0384,61.97358482596,0.0369,2012783651022709760,0.3706,0.0457,-3.381,0.051,-1.504,0.054,1.072,16.252432,0.002796,16.759737,0.004081,15.565149,0.003265,1.194588,,,1.247,2291.085,364.513,640.467,0.75,1.5026592204215423,0.0140610317506437,0.9099816070084724,0.1336722467321091,0.605580822745156,0.08913743141073095
-0.3995,-0.3278,0.1916,24,358.23771104489,0.0183,61.93937241956,0.0172,2012771831272757888,0.33,0.023,-3.413,0.025,-1.511,0.022,1.026,14.81229,0.00277,15.103397,0.003049,14.349085,0.002926,0.754313,,,1.2,3826.169,882.864,1233.38,0.82,2.516608353964127,0.0197701681865413,0.3042438990272457,0.4475033541127908,0.12089441670492941,0.17782255872234137
-0.3998,-0.3318,0.1786,24,358.30325697888,0.0293,61.94289512851,0.0266,2012771693833816960,0.3591,0.0365,-3.474,0.038,-1.494,0.036,0.915,15.805215,0.00278,16.205143,0.003858,15.220402,0.003381,0.984741,,,1.223,2964.898,407.432,568.65,0.78,1.7190082849111443,0.020299670921548,0.867828107055291,0.2551626529586596,0.5048423062720429,0.14855563574372177
-0.3977,-0.2945,0.2381,23,358.31216553269,0.05,61.95963501697,0.0487,2012771899992226176,0.295,0.0665,-3.366,0.068,-1.599,0.067,1.093,16.861994,0.002894,17.564814,0.006588,16.05197,0.004647,1.512844,,,1.267,1227.685,181.925,292.13,0.89,1.169437985359021,0.0271513468435188,1.012212824252353,0.0579907896906693,0.8655549391459184,0.053505857045014114
-0.368,-0.2476,0.1864,23,358.2899364278,0.0195,61.97400357539,0.0181,2012783616662982016,0.3424,0.0249,-3.399,0.026,-1.448,0.024,0.936,14.934593,0.002773,15.271111,0.003142,14.421858,0.002935,0.849254,,,1.207,3505.175,751.684,1194.06,0.7,2.1937358261118938,0.09874656496342,1.3692107899506822,0.1453260767504742,0.624145703257911,0.07195716164500776
-0.3583,-0.3096,0.1618,25,358.25165136534,0.021,61.93356630243,0.0183,2012771758247826048,0.3082,0.0249,-3.339,0.028,-1.38,0.025,1.088,14.967608,0.00277,15.28052,0.003099,14.477392,0.002923,0.803128,,,1.205,3805.671,805.053,1247.848,0.73,2.273411866534996,0.0526474134600349,1.1290151554760115,0.2196550795002916,0.4966170767801928,0.09730118377201262
-0.5015,-0.2451,0.121,23,358.29695948599,0.0308,61.93689220711,0.0307,2012771590754609408,0.2867,0.0376,-3.373,0.043,-1.425,0.045,1.023,15.935592,0.002792,16.524202,0.003922,15.182674,0.003381,1.341528,,,1.264,2420.925,393.932,568.681,0.96,1.4661029846687137,0.0214315265378099,1.263079080753836,0.078768402146988,0.8615213896718491,0.055182659281574044
-0.4176,-0.2518,0.1708,24,358.24203223,0.0551,61.97531439991,0.0522,2012783852875946880,0.2421,0.0693,-3.405,0.074,-1.415,0.072,0.976,17.225428,0.00302,18.031519,0.011405,16.343357,0.005955,1.688162,,,1.294,878.755,98.184,206.36,0.94,1.1081066147923675,0.0206126124588452,0.988125694415242,0.0627384112941596,0.8917243893543519,0.05899751597215313
-0.3649,-0.3147,0.1879,25,358.24612099297,0.019,61.93098363905,0.0167,2012771762553294848,0.3065,0.023,-3.461,0.026,-1.561,0.022,0.974,14.803803,0.002771,15.098117,0.002994,14.338431,0.002991,0.759686,,,1.199,3675.084,1000.315,1007.801,0.93,2.5162112454020886,0.026657405846561,0.448452603614454,0.4924489589172503,0.17822533955919573,0.19571960726242385
-0.3786,-0.3093,0.2336,23,358.32168914245,0.0985,61.9577425321,0.0959,2012771895686891008,0.3829,0.1277,-3.582,0.127,-1.52,0.131,1.004,18.084124,0.003032,18.889254,0.020639,17.225538,0.011287,1.663715,,,1.274,858.191,53.092,99.272,0.69,1.0514893817492548,0.004886448191263,0.1250913323299896,0.2404224711352792,0.11896585405540473,0.22865012057972087
-0.4264,-0.3012,0.2121,24,358.27523742124,0.0241,61.98054131358,0.022,2012783681077278720,0.3344,0.0297,-3.42,0.032,-1.423,0.03,1.056,15.437706,0.00278,15.794685,0.003417,14.881066,0.003217,0.913619,,,1.225,2920.216,550.382,678.177,0.88,1.8841081783187312,0.0454114263272341,1.1162840216073913,0.09098088352568,0.592473422945119,0.050355774786035666
-0.4207,-0.349,0.2485,24,358.31653484378,0.0699,61.93526311247,0.0715,2012771620815152512,0.2044,0.0944,-3.433,0.096,-1.541,0.101,0.997,17.684673,0.003588,18.480803,0.015004,16.800871,0.007854,1.679932,,,1.298,472.343,73.647,147.887,0.9,1.0699233860431194,0.0208033504700475,0.850043123995476,0.1286443884440616,0.7944897130804636,0.12122530870830173
-0.3677,-0.3212,0.1377,24,358.31110655451,0.0291,61.93172310069,0.029,2012771625114358656,0.3384,0.0378,-3.453,0.039,-1.503,0.041,0.988,15.919338,0.002781,16.391119,0.004742,15.271508,0.003418,1.119611,,,1.234,2881.19,283.164,550.083,0.91,1.587441835014117,0.0358336605013076,1.0907157383889297,0.0579481101663674,0.6870902066022658,0.03966236327922034
-0.4145,-0.2844,0.2289,23,358.28084094716,0.0341,61.98629069384,0.0315,2012783681077315072,0.3615,0.0435,-3.379,0.044,-1.508,0.043,0.986,16.14543,0.002794,16.606789,0.004268,15.505999,0.003264,1.10079,,,1.233,2330.753,336.16,640.759,0.73,1.5617817805055878,0.0130313875106068,0.6805143792689146,0.3280508932701914,0.43572949035723485,0.21008058532086704
-0.4108,-0.2814,0.1754,24,358.2759476288,0.0347,61.9871518501,0.0327,2012783891540866048,0.3336,0.0437,-3.335,0.046,-1.449,0.044,1.058,16.250004,0.002792,16.768459,0.004188,15.566263,0.003373,1.202196,,,1.24,2412.658,347.695,572.923,0.81,1.4953317518830531,0.0266551099281658,0.9450850409388094,0.0847462456101164,0.6320236561209078,0.0577828238378252
-0.3931,-0.1898,0.1725,22,358.34334370141,0.0365,61.96174152082,0.0326,2012771934351971584,0.3877,0.0448,-3.44,0.051,-1.435,0.046,0.977,16.282818,0.002805,16.796928,0.004291,15.591784,0.003442,1.205144,,,1.247,2059.793,333.082,538.698,0.62,1.4895191382085429,0.0276774309913113,0.9102096126545408,0.1342807514665055,0.6110761448485029,0.0908626661321765
-0.3866,-0.271,0.2213,24,358.33059969089,0.0259,61.93175789137,0.025,2012771625114363392,0.3312,0.0338,-3.425,0.035,-1.434,0.035,0.993,15.700046,0.00278,16.084494,0.003961,15.117332,0.00324,0.967162,,,1.229,2956.702,386.191,659.458,0.92,1.7633448980322963,0.0247895898248085,0.9700213590665931,0.1516486233818041,0.5501030230382229,0.08634755860625551
-0.4379,-0.3123,0.2274,24,358.2226231827,0.1676,61.99080958679,0.1467,2012783925891516032,0.2887,0.2005,-3.497,0.226,-1.336,0.209,1.028,18.927059,0.00362,19.833096,0.069592,17.922792,0.022215,1.910303,,,1.376,462.329,15.614,49.264,0.6,0.949881152568558,0.0027905592890996,0.0,0.027839680935071,0.0,0.02930859388018193
-0.4343,-0.2631,0.2095,24,358.17330157645,0.0215,61.95319516078,0.0201,2012777947308118144,0.3343,0.0271,-3.451,0.029,-1.493,0.028,1.045,15.24062,0.002782,15.620295,0.003225,14.679562,0.00303,0.940733,,,1.217,2817.376,671.608,919.948,0.88,1.896955822995293,0.0661883388080715,1.378178387207414,0.1035364895252846,0.7265210768225855,0.060179893221364605
-0.3409,-0.16,0.1038,26,358.20311634749,0.0364,61.92070096478,0.0323,2012765887038255616,0.3509,0.0433,-3.493,0.05,-1.43,0.045,0.998,16.41597,0.002798,16.963739,0.004288,15.717268,0.003635,1.246471,,,1.239,2232.598,333.425,466.02,0.88,1.455038571737846,0.0139139480666031,0.8403907360914813,0.2011127091528871,0.57757282343914,0.1383284345510336
